Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH09;6404553;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat77;;1 Unit in CRAB en GM.;;;BUILDING template;Kerkhofstraat;77;;;217584;179322
HASSELT - FH09;6436668;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg282B;;3 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Sint-Truidersteenweg;282;B;;217410;179035
HASSELT - FH09;6468237;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat247;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Boomkensstraat;247;;;217450;179309
HASSELT - FH09;6603450;1;0;0;1;SDU;;Y;NA;2;4;Wolfgang Amadeus Mozartlaan24;;1 Unit in CRAB en GM.;;;BUILDING template;Wolfgang Amadeus Mozartlaan;24;;;217959;179250
HASSELT - FH09;6735784;1;0;0;1;SDU;;Y;NA;2;4;Wolfgang Amadeus Mozartlaan2;;1 Unit in CRAB en GM.;;;BUILDING template;Wolfgang Amadeus Mozartlaan;2;;;217903;179311
HASSELT - FH09;6735785;1;0;0;1;SDU;;Y;NA;2;4;Wolfgang Amadeus Mozartlaan14;;1 Unit in CRAB en GM.;;;BUILDING template;Wolfgang Amadeus Mozartlaan;14;;;217953;179295
HASSELT - FH09;6735786;1;0;0;1;SDU;;Y;NA;2;4;Wolfgang Amadeus Mozartlaan18;;1 Unit in CRAB en GM.;;;BUILDING template;Wolfgang Amadeus Mozartlaan;18;;;217963;179274
HASSELT - FH09;704810;1;0;0;1;SDU;;Y;NA;2;4;Bloemenstraat13;;1 Unit in CRAB en GM.;;;BUILDING template;Bloemenstraat;13;;;217896;179767
HASSELT - FH09;704811;1;0;0;1;SDU;;Y;NA;2;4;Bloemenstraat11;;1 Unit in CRAB en GM.;;;BUILDING template;Bloemenstraat;11;;;217891;179773
HASSELT - FH09;706886;1;0;0;1;SDU;;Y;NA;2;4;Kruisherenlaan30;;1 Unit in CRAB, Niet in GM.;;;BUILDING template;Kruisherenlaan;30;;;217338;179441
