Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
EVERE - FH03;1622205;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;54;;
EVERE - FH03;1624342;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;37;;
EVERE - FH03;1355220;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Lindestraat - Rue du Tilleul;387;;
EVERE - FH03;1622206;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;56;;
EVERE - FH03;1358317;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;112;;
EVERE - FH03;1622207;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;58;;
EVERE - FH03;1622976;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;47;;
EVERE - FH03;1624344;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;44;;
EVERE - FH03;1363710;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Weerstandstraat - Rue de la Resistance;17;;
EVERE - FH03;1622208;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;59;;
EVERE - FH03;1364233;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;A. Vanden Bosschestraat - Rue A. Vanden Bossche;62;;
EVERE - FH03;1622209;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;61;;
EVERE - FH03;1622978;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;57;;
EVERE - FH03;1624346;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;50;;
EVERE - FH03;756076;0;2;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck;66;;
EVERE - FH03;1370056;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;228;;
EVERE - FH03;1622210;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;69;;
EVERE - FH03;756586;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;160;;
EVERE - FH03;1373881;0;3;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;148;;
EVERE - FH03;1622211;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;71;;
EVERE - FH03;77995;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;57;;
EVERE - FH03;1442783;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Weerstandstraat - Rue de la Resistance;11;;
EVERE - FH03;1622212;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;73;;
EVERE - FH03;77996;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;55;;
EVERE - FH03;1450698;1;1;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Lindestraat - Rue du Tilleul;295;;
EVERE - FH03;1622213;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;75;;
EVERE - FH03;1624375;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Houtmeyersstraat - Rue J. Houtmeyers;9;;
EVERE - FH03;77997;0;7;0;7;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;50;;
EVERE - FH03;1622215;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;78;;
EVERE - FH03;77998;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;60;;
EVERE - FH03;1622216;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;80;;
EVERE - FH03;1624377;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Houtmeyersstraat - Rue J. Houtmeyers;11;;
EVERE - FH03;77999;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;J. B. Mosselmansstraat - Rue Jean-Baptiste Mosselmans;23;;
EVERE - FH03;1464576;7;0;0;7;MDU;;Y;NA;4;4;;;;;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck;64;;
EVERE - FH03;1622217;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;81;;
EVERE - FH03;78000;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;J. B. Mosselmansstraat - Rue Jean-Baptiste Mosselmans;3;;
EVERE - FH03;1622218;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;82;;
EVERE - FH03;1622986;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;73;;
EVERE - FH03;78001;8;0;0;8;MDU;;Y;NA;4;4;;;;;BUILDING template;Adolf De Brandtstraat - Rue Adolphe De Brandt;24;;
EVERE - FH03;1483486;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;95;;
EVERE - FH03;1621557;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;6;;
EVERE - FH03;1622987;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;75;;
EVERE - FH03;1624380;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Houtmeyersstraat - Rue J. Houtmeyers;14;;
EVERE - FH03;1621558;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;11;;
EVERE - FH03;1622220;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;84;;
EVERE - FH03;1621559;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;13;;
EVERE - FH03;1622221;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;86;;
EVERE - FH03;1624382;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Houtmeyersstraat - Rue J. Houtmeyers;17;;
EVERE - FH03;78004;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Adolf De Brandtstraat - Rue Adolphe De Brandt;23;;
EVERE - FH03;1490291;7;0;0;7;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Louis Pierard - Louis Pierardlaan;31;;
EVERE - FH03;1621560;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;14;;
EVERE - FH03;1622222;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;88;;
EVERE - FH03;1622990;6;0;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;85;;
EVERE - FH03;1624383;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Houtmeyersstraat - Rue J. Houtmeyers;19;;
EVERE - FH03;78005;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Adolf De Brandtstraat - Rue Adolphe De Brandt;42;;
EVERE - FH03;1496257;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;J. B. Mosselmansstraat - Rue Jean-Baptiste Mosselmans;33;;
EVERE - FH03;1621561;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;15;;
EVERE - FH03;78006;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Adolf De Brandtstraat - Rue Adolphe De Brandt;52;;
EVERE - FH03;1622226;0;2;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;93;;
EVERE - FH03;1624385;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;J. Houtmeyersstraat - Rue J. Houtmeyers;21;;
EVERE - FH03;78007;8;0;0;8;MDU;;Y;NA;4;4;;;;;BUILDING template;Adolf De Brandtstraat - Rue Adolphe De Brandt;44;;
EVERE - FH03;14998;0;4;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;162;;
EVERE - FH03;1621563;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;17;;
EVERE - FH03;1622227;0;3;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;97;;
EVERE - FH03;78008;6;0;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Weerstandstraat - Rue de la Resistance;63;;
EVERE - FH03;15012;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;August De Boeckstraat - Rue Auguste De Boeck;9;;
EVERE - FH03;1621564;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;19;;
EVERE - FH03;1504839;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;70;;
EVERE - FH03;1621565;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;21;;
EVERE - FH03;1622231;0;2;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;104;;
EVERE - FH03;20557;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;42;;
EVERE - FH03;78011;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;47;;
EVERE - FH03;1621566;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;23;;
EVERE - FH03;1622232;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;106;;
EVERE - FH03;78012;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;51;;
EVERE - FH03;1622233;0;3;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;107;;
EVERE - FH03;24792;19;2;0;21;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue de l Oud-Kapelleke - Oud-Kapellekelaan;10;;
