Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
KNOKKE-HEIST - FH06;2764164;11;0;0;11;MDU;;Y;NA;4;4;;8 Units in CRAB en GM.;;;BUILDING template;Jozef Nellenslaan;127;;
KNOKKE-HEIST - FH06;2764167;8;0;0;8;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;129;;
KNOKKE-HEIST - FH06;2764171;4;0;0;4;MDU;;Y;NA;4;4;;3 Units in CRAB, in GM ook.;;;BUILDING template;Jozef Nellenslaan;131;;
KNOKKE-HEIST - FH06;2764173;21;0;0;21;MDU;;Y;NA;4;4;;20 Units in CRAB, 22 in GM.;;;BUILDING template;Jozef Nellenslaan;135;;
KNOKKE-HEIST - FH06;2764175;6;0;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;137;;
KNOKKE-HEIST - FH06;2764179;7;0;0;7;MDU;;Y;NA;4;4;;6 Units in CRAB, in GM ook;;;BUILDING template;Jozef Nellenslaan;139;;
KNOKKE-HEIST - FH06;2764180;8;0;0;8;MDU;;Y;NA;4;4;;14 Units in CRAB, in GM ook.;;;BUILDING template;Jozef Nellenslaan;141;;
KNOKKE-HEIST - FH06;2764181;7;0;0;7;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;143;;
KNOKKE-HEIST - FH06;2764203;10;0;0;10;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;166;;
KNOKKE-HEIST - FH06;1168840;16;0;0;16;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;530;;
KNOKKE-HEIST - FH06;2764205;1;0;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Jozef Nellenslaan;167;;
KNOKKE-HEIST - FH06;12846;1;0;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Meerminlaan;11;;
KNOKKE-HEIST - FH06;2764206;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;168;;
KNOKKE-HEIST - FH06;1320279;32;0;0;32;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;501;;
KNOKKE-HEIST - FH06;2764212;13;0;0;13;MDU;;Y;NA;4;4;;12 Units in CRAB en GM.;;;BUILDING template;Jozef Nellenslaan;173;;
KNOKKE-HEIST - FH06;1351483;1;0;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Zeedijk-Knokke;604;;
KNOKKE-HEIST - FH06;2764214;14;0;0;14;MDU;;Y;NA;4;4;;15 Units in CRAB, in GM ook.;;;BUILDING template;Jozef Nellenslaan;176;;
KNOKKE-HEIST - FH06;1438861;14;0;0;14;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;520;;
KNOKKE-HEIST - FH06;2764218;16;0;0;16;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;179;;
KNOKKE-HEIST - FH06;1475884;1;0;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Koningslaan;131;;
KNOKKE-HEIST - FH06;2764220;6;0;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;181;;
KNOKKE-HEIST - FH06;1519814;3;0;0;3;MDU;;N;MON;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;509;;
KNOKKE-HEIST - FH06;2764222;9;0;0;9;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;189;;
KNOKKE-HEIST - FH06;2757656;7;0;0;7;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;483;;
KNOKKE-HEIST - FH06;2764225;8;0;0;8;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;191;;
KNOKKE-HEIST - FH06;2757657;10;0;0;10;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;486;;
KNOKKE-HEIST - FH06;2764226;20;0;0;20;MDU;;Y;NA;4;4;;10 Units in CRAB, 18 in GM.;;;BUILDING template;Jozef Nellenslaan;193;;
KNOKKE-HEIST - FH06;2757666;18;0;0;18;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;496;;
KNOKKE-HEIST - FH06;2764229;12;0;0;12;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;197;;
KNOKKE-HEIST - FH06;2757667;9;0;0;9;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;497;;
KNOKKE-HEIST - FH06;2764235;6;1;0;7;MDU;;Y;NA;4;4;;1 Units in CRAB, 7 in GM.;;;BUILDING template;Jozef Nellenslaan;209;;
KNOKKE-HEIST - FH06;2757670;32;0;0;32;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;504;;
KNOKKE-HEIST - FH06;2764240;3;0;0;3;MDU;;Y;NA;4;4;;6 Units in CRAB, in GM 5 Units.;;;BUILDING template;Jozef Nellenslaan;215;;
KNOKKE-HEIST - FH06;2757672;1;0;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Zeedijk-Albertstrand;506;;
KNOKKE-HEIST - FH06;2764242;13;0;0;13;MDU;;Y;NA;4;4;;12 units in CRAB, 13 in GM.;;;BUILDING template;Jozef Nellenslaan;219;;
KNOKKE-HEIST - FH06;2757680;66;0;0;66;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;512;;
KNOKKE-HEIST - FH06;2764244;14;0;0;14;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;223;;
KNOKKE-HEIST - FH06;2757682;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;513;;
KNOKKE-HEIST - FH06;2765232;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Paul Parmentierlaan;178;;
KNOKKE-HEIST - FH06;2757685;14;0;0;14;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;517;;
KNOKKE-HEIST - FH06;2765235;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Paul Parmentierlaan;184;;
KNOKKE-HEIST - FH06;2757686;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;518;;
KNOKKE-HEIST - FH06;2765237;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Paul Parmentierlaan;186;;
KNOKKE-HEIST - FH06;2757687;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;519;;
KNOKKE-HEIST - FH06;2765240;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Paul Parmentierlaan;188;;
KNOKKE-HEIST - FH06;2757689;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;522;;
KNOKKE-HEIST - FH06;2765247;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Paul Parmentierlaan;190;;
KNOKKE-HEIST - FH06;2757690;10;0;0;10;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;523;;
KNOKKE-HEIST - FH06;2765254;4;0;0;4;MDU;;Y;NA;4;4;;6 Units in CRAB, 5 in GM.;;;BUILDING template;Paul Parmentierlaan;192;;
KNOKKE-HEIST - FH06;2757705;10;0;0;10;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;537;;
KNOKKE-HEIST - FH06;2765258;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Paul Parmentierlaan;194;;
KNOKKE-HEIST - FH06;2757707;10;0;0;10;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;539;;
KNOKKE-HEIST - FH06;2765261;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Paul Parmentierlaan;196;;
KNOKKE-HEIST - FH06;2757709;8;0;0;8;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;540;;
KNOKKE-HEIST - FH06;2765263;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Paul Parmentierlaan;198;;
KNOKKE-HEIST - FH06;2757710;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;541;;
KNOKKE-HEIST - FH06;2765268;5;0;0;5;MDU;;Y;NA;4;4;;6 Units in CRAB, 5 in GM.;;;BUILDING template;Paul Parmentierlaan;200;;
KNOKKE-HEIST - FH06;2757711;9;0;0;9;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;542;;
KNOKKE-HEIST - FH06;2765271;14;0;0;14;MDU;;Y;NA;4;4;;;;;BUILDING template;Paul Parmentierlaan;202;;
KNOKKE-HEIST - FH06;2757712;2;0;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;543;;
KNOKKE-HEIST - FH06;2765275;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Paul Parmentierlaan;206;;
KNOKKE-HEIST - FH06;2757713;9;0;0;9;MDU;;Y;NA;4;4;;;;;BUILDING template;Zeedijk-Albertstrand;544;;
KNOKKE-HEIST - FH06;2765277;14;0;0;14;MDU;;Y;NA;4;4;;;;;BUILDING template;Paul Parmentierlaan;209;;
