Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;adres;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH10;5579541;1;0;0;1;SDU;;Y;NA;2;4;Phillippartpad1;;9 Units in CRAB, Onduidelijk in GM.;;;BUILDING template;Phillippartpad;1;;;73123;226713
KNOKKE-HEIST - FH10;5579543;1;0;0;1;SDU;;Y;NA;2;4;Majoor Quaillestraat10;;18 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Majoor Quaillestraat;10;;;72982;226714
KNOKKE-HEIST - FH10;5990451;1;0;0;1;SDU;;Y;NA;2;4;Kruindreef5A;;1 Unit in CRAB, In aanbouw in GM.;;;BUILDING template;Kruindreef;5;A;;73061;226610
KNOKKE-HEIST - FH10;6240031;1;0;0;1;SDU;;Y;NA;2;4;Zeegrasstraat28A;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Zeegrasstraat;28;A;;72555;226508
KNOKKE-HEIST - FH10;6344143;1;0;0;1;SDU;;Y;NA;2;4;Anemonenlaan11;;1 Unit in CRAB en GM.;;;BUILDING template;Anemonenlaan;11;;;72575;226275
KNOKKE-HEIST - FH10;6347676;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen300A;;1 Unit in CRAB, Onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;300;A;;72421;226538
KNOKKE-HEIST - FH10;6347682;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen300B;;1 Unit in CRAB, Onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;300;B;;72427;226546
KNOKKE-HEIST - FH10;6418857;1;0;0;1;SDU;;Y;NA;2;4;Zeegrasstraat26A;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Zeegrasstraat;26;A;;72535;226528
KNOKKE-HEIST - FH10;6421187;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat7A;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Patriottenstraat;7;A;;72633;226604
KNOKKE-HEIST - FH10;6465861;1;0;0;1;SDU;;Y;NA;2;4;Zeegrasstraat24A;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Zeegrasstraat;24;A;;72555;226531
KNOKKE-HEIST - FH10;6466230;1;0;0;1;SDU;;Y;NA;2;4;Margrietenpad14B;;1 Unit in CRAB en GM.;;;BUILDING template;Margrietenpad;14;B;;73266;226452
KNOKKE-HEIST - FH10;6524203;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen314;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;314;;;72490;226611
KNOKKE-HEIST - FH10;6648286;1;0;0;1;SDU;;Y;NA;2;4;Kruindreef7;;1 Unit in CRAB, In aanbouw in GM.;;;BUILDING template;Kruindreef;7;;;73071;226617
KNOKKE-HEIST - FH10;6650091;1;0;0;1;SDU;;Y;NA;2;4;Florapad2F;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Florapad;2;F;;72569;226343
KNOKKE-HEIST - FH10;6650092;1;0;0;1;SDU;;Y;NA;2;4;Florapad2G;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Florapad;2;G;;72570;226339
KNOKKE-HEIST - FH10;6650093;1;0;0;1;SDU;;Y;NA;2;4;Florapad2C;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Florapad;2;C;;72570;226334
KNOKKE-HEIST - FH10;6650094;1;0;0;1;SDU;;Y;NA;2;4;Florapad2E;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Florapad;2;E;;72568;226349
KNOKKE-HEIST - FH10;6650095;1;0;0;1;SDU;;Y;NA;2;4;Florapad2A;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Florapad;2;A;;72567;226347
KNOKKE-HEIST - FH10;6650096;1;0;0;1;SDU;;Y;NA;2;4;Florapad2H;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Florapad;2;H;;72567;226357
KNOKKE-HEIST - FH10;6650097;1;0;0;1;SDU;;Y;NA;2;4;Florapad2I;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Florapad;2;I;;72566;226359
KNOKKE-HEIST - FH10;6650098;1;0;0;1;SDU;;Y;NA;2;4;Florapad2D;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Florapad;2;D;;72567;226353
KNOKKE-HEIST - FH10;6667848;1;0;0;1;SDU;;Y;NA;2;4;Kruindreef7A;;1 Unit in CRAB, In aanbouw in GM.;;;BUILDING template;Kruindreef;7;A;;73079;226622
KNOKKE-HEIST - FH10;9859;1;0;0;1;SDU;;Y;NA;2;4;Patriottenstraat34;;13 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Patriottenstraat;34;;;72560;226591
KNOKKE-HEIST - FH10;9863;1;0;0;1;SDU;;Y;NA;2;4;Engelsestraat1;;1 Unit in CRAB en GM.;;;BUILDING template;Engelsestraat;1;;;72777;226686
KNOKKE-HEIST - FH10;2759794;14;0;0;14;MDU;;Y;NA;4;4;Engelsestraat31;;;;;BUILDING template;Engelsestraat;31;;;72829,779;226713,203
KNOKKE-HEIST - FH10;295106;2;0;0;2;MDU;;Y;NA;4;4;Leeuwerikenlaan10;;3 Units in CRAB, 2 bussen in GM.;;;BUILDING template;Leeuwerikenlaan;10;;;73139,924;226698,538
KNOKKE-HEIST - FH10;2759797;5;0;0;5;MDU;;Y;NA;4;4;Engelsestraat37;;7 Units in CRAB, 6 bussen in GM.;;;BUILDING template;Engelsestraat;37;;;72841,16;226719,219
KNOKKE-HEIST - FH10;295107;1;0;0;1;SDU;;Y;NA;2;4;Leeuwerikenlaan2;;;;;BUILDING template;Leeuwerikenlaan;2;;;73109,555;226730,159
KNOKKE-HEIST - FH10;2759798;6;0;0;6;MDU;;Y;NA;4;4;Engelsestraat43;;7 Units in CRAB, 6 in GM.;;;BUILDING template;Engelsestraat;43;;;72863,091;226727,849
KNOKKE-HEIST - FH10;295111;1;0;0;1;SDU;;Y;NA;2;4;Jozef Nellenslaan19;Beschermd Erfgoed;;;;BUILDING template;Jozef Nellenslaan;19;;;73104,271;226598,793
KNOKKE-HEIST - FH10;2759801;15;0;0;15;MDU;;Y;NA;4;4;Engelsestraat49;;;;;BUILDING template;Engelsestraat;49;;;72937,555;226759,157
KNOKKE-HEIST - FH10;295112;4;0;0;4;MDU;;Y;NA;4;4;Jozef Nellenslaan21;;;;;BUILDING template;Jozef Nellenslaan;21;;;73125,077;226634,63
KNOKKE-HEIST - FH10;2759802;12;0;0;12;MDU;;Y;NA;4;4;Engelsestraat51;;16 Units in CRAB, 12 in GM.;;;BUILDING template;Engelsestraat;51;;;72950,555;226765,157
KNOKKE-HEIST - FH10;295113;1;0;0;1;SDU;;Y;NA;2;4;Jozef Nellenslaan24;;;;;BUILDING template;Jozef Nellenslaan;24;;;73182,556;226660,159
KNOKKE-HEIST - FH10;2759906;5;0;0;5;MDU;;Y;NA;4;4;Florapad3;;;;;BUILDING template;Florapad;3;;;72605,474;226325,513
KNOKKE-HEIST - FH10;295114;1;0;0;1;SDU;;Y;NA;2;4;Jozef Nellenslaan17;Beschermd Erfgoed;;;;BUILDING template;Jozef Nellenslaan;17;;;73101,049;226588,571
KNOKKE-HEIST - FH10;2759932;1;0;0;1;SDU;;Y;NA;2;4;Gallischpad4;Beschermd Erfgoed;;;;BUILDING template;Gallischpad;4;;;72905,557;226599,157
KNOKKE-HEIST - FH10;295115;7;0;0;7;MDU;;Y;NA;4;4;Phillippartpad6;;;;;BUILDING template;Phillippartpad;6;;;73054,556;226722,158
KNOKKE-HEIST - FH10;2760411;1;0;0;1;SDU;;Y;NA;2;4;Heuvelpad5;;;;;BUILDING template;Heuvelpad;5;;;72921,557;226539,157
KNOKKE-HEIST - FH10;295116;2;0;0;2;MDU;;Y;NA;4;4;Phillippartpad2;;1 Unit in CRAB en GM.;;;BUILDING template;Phillippartpad;2;;;73094,24;226717,205
KNOKKE-HEIST - FH10;2760412;1;0;0;1;SDU;;Y;NA;2;4;Heuvelpad7;;;;;BUILDING template;Heuvelpad;7;;;72923,06;226547,5
