Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
HASSELT - FH05;2426333;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Oude Luikerbaan;150;;
HASSELT - FH05;NB-35004599e889;1;0;0;1;SDU;;Y;NA;2;4;;;;_;BUILDING template;Zomerstraat;45;;
HASSELT - FH05;6149157;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Zomerstraat;43;;
HASSELT - FH05;3990101;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;_;BUILDING template;Oude Luikerbaan;152;;
HASSELT - FH05;2448966;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;Zomerstraat;25;;
HASSELT - FH05;328543;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;_;BUILDING template;Oude Luikerbaan;156;;
HASSELT - FH05;2426334;4;0;0;4;MDU;;N;ORN;3;0;;;Y;_;BUILDING template;Oude Luikerbaan;160;;
HASSELT - FH05;NB-350020e83530;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;_;BUILDING template;Winterstraat;20;;
HASSELT - FH05;NB-350022a40984;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;_;BUILDING template;Winterstraat;22;;
HASSELT - FH05;NB-350024e58686;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;_;BUILDING template;Winterstraat;24;;
HASSELT - FH05;328368;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;;BUILDING template;Winterstraat;8;;
HASSELT - FH05;NB-3500261d4094;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;_;BUILDING template;Winterstraat;26;;
HASSELT - FH05;328367;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Winterstraat;10;;
HASSELT - FH05;5908229;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Winterstraat;16;;
HASSELT - FH05;4176413;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Winterstraat;21;;
HASSELT - FH05;2407039;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Winterstraat;23;;
HASSELT - FH05;NB-3500305f5978;1;0;0;1;SDU;;N;HEIGHT;2;0;;;;_;BUILDING template;Winterstraat;30;;
HASSELT - FH05;2407041;1;0;0;1;SDU;;N;ORN;3;0;;;Y;_;BUILDING template;Winterstraat;25;;
HASSELT - FH05;3937179;8;0;1;9;MDU;;N;ORN;4;0;;;Y;_;BUILDING template;Anne Frankplein;7;;
HASSELT - FH05;2407043;1;0;0;1;SDU;;N;IRREG;3;0;;;Y;;BUILDING template;Winterstraat;27;;
