Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
SINT-NIKLAAS - FH02;75750;0;1;0;1;SDU;;N;IRREG;2;6;;;Y;;BUILDING template;Walburgstraat;70;;;134555,23;205920,128
SINT-NIKLAAS - FH02;3500227;1;0;0;1;SDU;;N;IRREG;3;10;;;Y;;BUILDING template;Knaptandstraat;2;;;134211,48;205660,348
SINT-NIKLAAS - FH02;1513994;1;0;0;1;SDU;;Y;NA;2;8;;;Y;BE;BUILDING template;Walburgstraat;67;;;134533,948;205908,467
SINT-NIKLAAS - FH02;4045793;2;0;0;2;MDU;D;Y;NA;2;6;;;;_;BUILDING template;Veldstraat;165;;;134925,908;206141,232
SINT-NIKLAAS - FH02;5401800;1;0;0;1;MDU;C;Y;NA;3;9;;;Y;;BUILDING template;De Gravestraat;3;A;De Gravestraat 3A-3B-3C;134446,677;206755,611
SINT-NIKLAAS - FH02;3484919;1;0;0;1;SDU;;Y;NA;3;9;;;Y;;BUILDING template;Antwerpse Steenweg;10;;;134868,306;206387,057
SINT-NIKLAAS - FH02;68435;0;1;1;2;MDU;XC;N;IRREG;4;12;;;Y;;BUILDING template;Ankerstraat;95;;Ankerstraat 95-97_Papenakkerstraat 1;134534,699;206352,062
SINT-NIKLAAS - FH02;5411570;1;0;0;1;MDU;D;Y;NA;3;9;;;Y;;BUILDING template;Walburgstraat;24;A;Walburgstraat 24-24A;134405,362;205967,633
SINT-NIKLAAS - FH02;3500230;0;1;0;1;SDU;;N;IRREG;3;10;;;Y;;BUILDING template;Knaptandstraat;4;;;134216,66;205662,781
SINT-NIKLAAS - FH02;1513996;1;0;0;1;SDU;;Y;NA;2;8;;;Y;;BUILDING template;Walburgstraat;69;;;134538,726;205906,265
SINT-NIKLAAS - FH02;3517775;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Veldstraat;136;;;134923,813;206158,457
SINT-NIKLAAS - FH02;3486976;0;1;0;1;MDU;D;Y;NA;2;6;;;;;BUILDING template;Brugsken;32;;Brugsken 30-32;134995,814;205677,278
SINT-NIKLAAS - FH02;5411617;1;0;0;1;MDU;C;Y;NA;3;9;;;Y;;BUILDING template;De Gravestraat;3;B;De Gravestraat 3A-3B-3C;134451,792;206754,402
SINT-NIKLAAS - FH02;3484920;5;0;0;5;MDU;D;N;IRREG;3;9;;;Y;;BUILDING template;Antwerpse Steenweg;12;;;134872,588;206396,004
SINT-NIKLAAS - FH02;3484860;0;1;0;1;MDU;XC;N;IRREG;3;12;;;Y;;BUILDING template;Ankerstraat;97;;Ankerstraat 95-97_Papenakkerstraat 1;134535,986;206357,463
SINT-NIKLAAS - FH02;5427126;1;0;0;1;SDU;;Y;NA;3;9;;;Y;BE;BUILDING template;Walburgstraat;42;B;;134470,208;205951,927
SINT-NIKLAAS - FH02;3500234;1;1;0;2;MDU;D;N;IRREG;3;10;;;Y;;BUILDING template;Knaptandstraat;6;;;134215,874;205652,802
SINT-NIKLAAS - FH02;1513997;1;0;0;1;SDU;;Y;NA;3;4;;;Y;;BUILDING template;Walburgstraat;71;;;134543,151;205904,756
SINT-NIKLAAS - FH02;3484881;1;0;0;1;SDU;;Y;NA;3;9;;;;_;BUILDING template;Ankerstraat;120;B;;134528,632;206386,192
SINT-NIKLAAS - FH02;3490711;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;De Gravestraat;41;;;134559,93;206724,455
SINT-NIKLAAS - FH02;3484925;0;1;0;1;SDU;;Y;NA;2;8;;;Y;;BUILDING template;Antwerpse Steenweg;18;;;134881,813;206403,341
SINT-NIKLAAS - FH02;3484861;1;0;0;1;SDU;;Y;NA;3;9;;;Y;;BUILDING template;Ankerstraat;99;;;134541,723;206363,638
SINT-NIKLAAS - FH02;3948865;4;0;0;4;MDU;C;N;IRREG;4;9;;;Y;;BUILDING template;Walburgstraat;48;A;;134485,306;205947,648
SINT-NIKLAAS - FH02;91075;1;0;0;1;SDU;;Y;NA;3;4;;;Y;;BUILDING template;Knaptandstraat;8;;;134219,375;205643,003
SINT-NIKLAAS - FH02;1513998;1;0;0;1;SDU;;Y;NA;3;4;;;Y;;BUILDING template;Walburgstraat;73;;;134547,906;205903,206
SINT-NIKLAAS - FH02;75558;1;0;0;1;SDU;;Y;NA;2;6;;;;;BUILDING template;Veldstraat;114;;;134873,413;206146,117
SINT-NIKLAAS - FH02;4448867;1;0;0;1;SDU;;Y;NA;2;8;;;;_;BUILDING template;Vermorgenstraat;58;;;134392,294;206756,647
SINT-NIKLAAS - FH02;1514022;1;0;0;1;MDU;D;Y;NA;3;9;;;;;BUILDING template;Kalkstraat;66;;Kalkstraat 64-66;134547,815;205967,955
SINT-NIKLAAS - FH02;4448919;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;De Gravestraat;43;;;134564,025;206723,457
SINT-NIKLAAS - FH02;4447772;1;0;0;1;SDU;;Y;NA;2;8;;;Y;;BUILDING template;Antwerpse Steenweg;20;;;134887,758;206407,503
SINT-NIKLAAS - FH02;3484865;0;1;0;1;SDU;;Y;NA;2;7;;;Y;;BUILDING template;Ankerstraat;103;;;134546,327;206375,115
SINT-NIKLAAS - FH02;75752;1;0;0;1;SDU;;N;IRREG;2;9;;;Y;;BUILDING template;Walburgstraat;48;B;;134492,164;205943,915
SINT-NIKLAAS - FH02;3500240;1;0;0;1;SDU;;Y;NA;3;4;;;Y;;BUILDING template;Knaptandstraat;10;;;134220,602;205638,267
SINT-NIKLAAS - FH02;75748;1;0;0;1;SDU;;Y;NA;3;4;;;Y;;BUILDING template;Walburgstraat;75;;;134552,833;205901,371
SINT-NIKLAAS - FH02;61652;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;De Gravestraat;45;;;134568,169;206722,474
SINT-NIKLAAS - FH02;3484926;1;0;0;1;SDU;;Y;NA;2;8;;;Y;;BUILDING template;Antwerpse Steenweg;22;;;134890,772;206410,013
SINT-NIKLAAS - FH02;3948543;4;0;1;5;MDU;D;N;IRREG;4;12;;;Y;;BUILDING template;Ankerstraat;105;;;134548,624;206381,504
SINT-NIKLAAS - FH02;75565;1;0;0;1;SDU;;Y;NA;3;8;;;Y;1 bel en brievenbus;BUILDING template;Kalkstraat;52;;;134515,605;205994,385
SINT-NIKLAAS - FH02;3500245;1;0;0;1;SDU;;Y;NA;3;4;;;Y;;BUILDING template;Knaptandstraat;12;;;134223,72;205632,656
SINT-NIKLAAS - FH02;75745;1;1;0;2;MDU;D;Y;NA;3;9;;;Y;;BUILDING template;Walburgstraat;77;;;134558,937;205898,325
SINT-NIKLAAS - FH02;3517712;1;0;0;1;MDU;D;Y;NA;2;6;;;;;BUILDING template;Veldstraat;87;;Veldstraat 87-89;134750,769;206083,558
SINT-NIKLAAS - FH02;1513970;1;0;0;1;SDU;;N;IRREG;3;9;;;;BE;BUILDING template;Walburgstraat;39;;;134453,791;205923,907
SINT-NIKLAAS - FH02;62537;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;De Gravestraat;47;;;134572,662;206721,449
SINT-NIKLAAS - FH02;4447774;1;0;0;1;SDU;;Y;NA;2;8;;;Y;;BUILDING template;Antwerpse Steenweg;24;;;134893,556;206412,625
SINT-NIKLAAS - FH02;3484869;2;0;0;2;MDU;D;Y;NA;2;6;;;Y;;BUILDING template;Ankerstraat;107;;;134551,593;206387,212
SINT-NIKLAAS - FH02;75563;1;0;0;1;SDU;;Y;NA;3;8;;;Y;;BUILDING template;Kalkstraat;54;;;134519,899;205991,966
SINT-NIKLAAS - FH02;4260305;1;0;0;1;SDU;;Y;NA;3;4;;;Y;;BUILDING template;Knaptandstraat;14;;;134226,247;205627,017
SINT-NIKLAAS - FH02;1514000;0;1;0;1;SDU;;N;IRREG;3;9;;;Y;;BUILDING template;Walburgstraat;81;;;134567,437;205896,128
SINT-NIKLAAS - FH02;3490714;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;De Gravestraat;49;;;134577,429;206720,14
SINT-NIKLAAS - FH02;3484928;1;0;0;1;SDU;;N;IRREG;3;9;;;Y;;BUILDING template;Antwerpse Steenweg;26;;;134895,739;206416,461
SINT-NIKLAAS - FH02;3484871;0;1;0;1;SDU;;Y;NA;4;4;;;Y;BE;BUILDING template;Ankerstraat;109;;;134555,257;206392,557
SINT-NIKLAAS - FH02;1514013;1;0;0;1;SDU;;Y;NA;2;7;;;Y;;BUILDING template;Kalkstraat;56;;;134525,286;205988,635
SINT-NIKLAAS - FH02;3500513;0;1;0;1;SDU;;N;IRREG;2;6;;;Y;BE;BUILDING template;Kokkelbeekstraat;6;;;134157,273;205853,457
SINT-NIKLAAS - FH02;3521564;4;0;1;5;MDU;C;N;HEIGHT;4;9;;;Y;;BUILDING template;Walburgstraat;83;;;134572,639;205894,526
SINT-NIKLAAS - FH02;3504998;3;0;2;5;MDU;XC;N;ORN;3;9;;;;;BUILDING template;Moerlandstraat;3;A;;134528,152;205564,173
SINT-NIKLAAS - FH02;4448304;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;De Gravestraat;53;;;134585,644;206717,95
SINT-NIKLAAS - FH02;4447775;1;0;0;1;SDU;;Y;NA;2;9;;;Y;;BUILDING template;Antwerpse Steenweg;28;;;134898,914;206418,775
SINT-NIKLAAS - FH02;68437;10;2;1;13;MDU;D;N;IRREG;4;15;;;Y;Achterliggend 1BU en 4 LU technisch enkel te bekabelen via achterzijde, toegankelijk via Papenakkerstraat 25 (Parking Aldi) Fiber gaat via doorgang (20m) naar achterkant van het gebouw.;BUILDING template;Ankerstraat;113;;;134560,973;206408,274
SINT-NIKLAAS - FH02;1514014;1;1;0;2;MDU;D;Y;NA;2;7;;;Y;;BUILDING template;Kalkstraat;58;;;134531,628;205984,259
SINT-NIKLAAS - FH02;4140440;1;0;1;2;MDU;D;Y;NA;3;4;;;Y;;BUILDING template;Kokkelbeekstraat;8;;;134143,577;205832,204
SINT-NIKLAAS - FH02;3948866;3;0;1;4;MDU;D;N;IRREG;4;9;;;Y;;BUILDING template;Walburgstraat;85;;;134578,872;205892,404
SINT-NIKLAAS - FH02;4448305;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;De Gravestraat;55;;;134590,075;206716,389
SINT-NIKLAAS - FH02;4447777;1;0;0;1;SDU;;Y;NA;2;9;;;Y;;BUILDING template;Antwerpse Steenweg;30;;;134902,258;206421,756
SINT-NIKLAAS - FH02;68438;5;0;1;6;MDU;XC;N;IRREG;4;12;;;Y;;BUILDING template;Ankerstraat;115;;;134565,23;206420,043
SINT-NIKLAAS - FH02;1514016;1;0;0;1;SDU;;Y;NA;2;7;;;Y;;BUILDING template;Kalkstraat;60;;;134537,69;205980,507
SINT-NIKLAAS - FH02;3500522;0;1;0;1;SDU;;Y;NA;4;4;;;Y;;BUILDING template;Kokkelbeekstraat;10;;;134144,084;205826,575
SINT-NIKLAAS - FH02;3521565;1;0;0;1;SDU;;N;IRREG;2;0;;;Y;;BUILDING template;Walburgstraat;87;;;134584,71;205890,802
SINT-NIKLAAS - FH02;3525284;2;0;0;2;MDU;D;N;IRREG;3;8;;;;_;BUILDING template;Zeildoekstraat;47;;Zeildoekstraat 45-47;134589,974;205858,625
SINT-NIKLAAS - FH02;3490718;0;1;0;1;SDU;;Y;NA;2;6;;;;;BUILDING template;De Gravestraat;57;;;134598,829;206695,59
SINT-NIKLAAS - FH02;3484932;0;1;0;1;SDU;;N;IRREG;2;6;;;Y;;BUILDING template;Antwerpse Steenweg;32;;;134904,089;206427,736
