Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos;Fiberhood
SCHAERBEEK - FH03;1673588;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Topaaslaan;12;;;151658,092;171428,581;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671537;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;Milcampslaan;152;;;151846,51;171341,959;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673589;3;0;0;3;MDU;;Y;NA;3;6;;"Volgens PXS 3 units; op GM 5 bussen";Y;_;BUILDING template;Topaaslaan;13;;;151671,784;171396,778;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671538;1;1;0;2;MDU;;Y;NA;3;3;;"Op GM vermoedelijk ook LU&apos;s";Y;_;BUILDING template;Milcampslaan;154;;;151848,299;171347,619;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673590;2;0;0;2;MDU;;Y;NA;3;3;;"Volgens PXS 3 units; op GM 1 bus";Y;_;BUILDING template;Topaaslaan;14;;;151666,038;171428,929;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;947999;3;1;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;156;;Milcampslaan 156-158;151852,479;171358,71;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673591;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Topaaslaan;15;;;151678,379;171392,589;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671540;4;0;0;4;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Milcampslaan;157;;;151860,539;171267,65;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673592;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Topaaslaan;16;;;151671,889;171427,939;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949274;1;1;0;2;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;161;;Milcampslaan 159-161;151863,433;171277,71;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673593;1;0;0;1;SDU;;Y;NA;3;3;;"Volgens PXS 2 units; 1 bus op GM";Y;_;BUILDING template;Topaaslaan;17;;;151684,609;171391,509;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671542;1;1;0;2;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Milcampslaan;162;;;151874,019;171436,869;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673594;2;0;0;2;MDU;;Y;NA;3;3;;"Volgens PXS 2 units; 3 bussen en bellen op GM";Y;_;BUILDING template;Topaaslaan;18;;;151677,287;171427,057;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949275;4;0;0;4;MDU;;Y;NA;5;3;;;Y;_;BUILDING template;Milcampslaan;163;;;151864,949;171282,979;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1353613;1;0;0;1;SDU;;Y;NA;3;3;;Staat nog een oud huisnummer aan (12);Y;_;BUILDING template;Topaaslaan;19;;;151690,19;171390,549;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671543;3;1;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;164;;;151875,929;171443,349;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673596;3;0;0;3;MDU;;Y;NA;3;3;;"Volgens PXS 3 units; 4 bussen op GM";Y;_;BUILDING template;Topaaslaan;20;;;151683,051;171425,876;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671544;2;0;0;2;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;165;;;151866,969;171290,049;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;3991195;1;0;0;1;SDU;;Y;NA;3;6;;"Volgens PXS 3 units; 1 bus op GM";Y;_;BUILDING template;Topaaslaan;22;;;151689,025;171424,525;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671545;5;0;0;5;MDU;;Y;NA;6;3;;;Y;_;BUILDING template;Milcampslaan;166;;;151877,066;171450,839;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673597;5;0;0;5;MDU;;Y;NA;6;6;;;Y;_;BUILDING template;Topaaslaan;23;;;151696,74;171389,419;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949276;8;0;0;8;MDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Milcampslaan;167;;;151868,225;171294,426;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673598;3;0;0;3;MDU;;Y;NA;5;9;;"Volgens PXS 2 units; op GM 3 bussen";Y;_;BUILDING template;Topaaslaan;24;;;151695,438;171423,91;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671546;3;0;1;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;168;;;151879,97;171457,139;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673599;3;0;0;3;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Topaaslaan;25;;;151703,92;171388,179;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671547;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;Milcampslaan;169;;;151869,442;171298,667;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949489;2;0;0;2;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;Topaaslaan;26;;;151699,607;171419,857;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949485;5;0;0;5;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;170;;;151882;171464,129;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673600;2;0;0;2;MDU;;Y;NA;3;3;;"Volgens PXS 1 unit; op GM 2 bussen";Y;_;BUILDING template;Topaaslaan;27;;;151710,044;171387,932;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671548;3;0;0;3;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;171;;;151871,234;171304,913;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949490;6;0;0;6;MDU;;Y;NA;7;3;;;Y;_;BUILDING template;Topaaslaan;28;;;151704,604;171422,696;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949486;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;172;;;151883,95;171470,929;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673601;2;0;0;2;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Topaaslaan;29;;;151716,189;171386,071;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671549;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;173;;;151873,169;171311,63;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;3917341;3;0;0;3;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Topaaslaan;31;;;151722,198;171384,659;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671550;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;174;;;151885,969;171477,989;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673602;5;0;0;5;MDU;;Y;NA;4;3;;"Volgens PXS 4 units; op GM 5 bussen";Y;_;BUILDING template;Topaaslaan;32;;;151713,12;171421,139;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671551;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Milcampslaan;175;;;151874,919;171317,729;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673603;4;0;0;4;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Topaaslaan;33;;;151728,58;171383,939;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671552;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;176;;;151888,098;171485,429;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673604;2;0;0;2;MDU;;Y;NA;4;3;;"Volgens PXS 3 units; op GM 2 bussen";Y;_;BUILDING template;Topaaslaan;34;;;151719,899;171419,689;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671553;1;0;0;1;SDU;;Y;NA;3;3;;"Volgens PXS 2 units; op GM 1 bus";Y;_;BUILDING template;Milcampslaan;177;;;151876,469;171323,13;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673605;4;0;0;4;MDU;;Y;NA;4;3;;"Volgens PXS 4 units; op GM 3 bussen";Y;_;BUILDING template;Topaaslaan;35;;;151734,28;171382,949;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671554;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;178;;;151890,168;171492,61;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673606;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Topaaslaan;36;;;151725,829;171418,679;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671555;1;0;0;1;SDU;;Y;NA;3;3;;"Volgens PXS 2 units; op GM 1 bus";Y;_;BUILDING template;Milcampslaan;180;;;151892,568;171498,809;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673607;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Topaaslaan;37;;;151739,867;171382,199;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949278;0;1;0;1;SDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;181;;;151878,749;171331,128;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673608;4;0;0;4;MDU;;Y;NA;5;6;;;Y;_;BUILDING template;Topaaslaan;38;;;151731,479;171417,719;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671556;4;0;0;4;MDU;;Y;NA;3;3;;"Volgens PXS 2 units; op GM 1 bus";Y;_;BUILDING template;Milcampslaan;182;;;151893,739;171504,859;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673609;2;0;0;2;MDU;;Y;NA;4;3;;"Volgens PXS 3 units; op GM 2 bussen";Y;_;BUILDING template;Topaaslaan;39;;;151746,819;171380,789;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949277;16;0;1;17;MDU;;Y;NA;8;6;;;Y;_;BUILDING template;Milcampslaan;183;;;151884,039;171349,509;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673610;3;0;0;3;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Topaaslaan;40;;;151737,839;171416,63;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671557;3;0;0;3;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Milcampslaan;184;;;151895,649;171511,329;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673611;3;0;0;3;MDU;;Y;NA;4;3;;Helft van de units staan onder nummer 43 op GM;Y;_;BUILDING template;Topaaslaan;41;;Topaaslaan 41-43;151751,538;171379,979;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949483;2;0;0;2;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Milcampslaan;186;;;151897,36;171517,159;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673612;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Topaaslaan;45;;;151761,279;171378,299;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671558;24;1;0;25;MDU;;Y;NA;7;3;;;Y;_;BUILDING template;Milcampslaan;188;;;151901,988;171531,141;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673613;3;0;0;3;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Topaaslaan;47;;;151766,939;171377,328;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;303949;4;1;0;5;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Milcampslaan;195;;Milcampslaan 195_Smaragdlaan 2;151891,548;171394,967;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673614;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Topaaslaan;49;;;151772,644;171376,035;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;303950;2;1;0;3;MDU;;Y;NA;3;6;;"Volgens PXS 3 units; op GM 1 bus";Y;_;BUILDING template;Milcampslaan;197;;;151898,219;171398,649;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673615;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Topaaslaan;51;;;151778,869;171375,279;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671560;3;0;0;3;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Milcampslaan;199;;;151900,13;171405,159;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4107834;0;0;0;0;SDU;;Y;NA;3;4;;;N;;BUILDING template;Topaaslaan;52;;;151818,604;171401,524;
SCHAERBEEK - FH03;1671561;3;0;0;3;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Milcampslaan;201;;;151901,735;171410,368;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673616;4;0;0;4;MDU;;Y;NA;4;3;;"Volgens PXS 3 units; op GM 1 bus";Y;_;BUILDING template;Topaaslaan;53;;;151784,6;171374,289;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671562;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Milcampslaan;203;;;151903,409;171416,32;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673617;2;0;0;2;MDU;;Y;NA;4;3;;"Volgens PXS 3 units; op GM 1 bus";Y;_;BUILDING template;Topaaslaan;55;;;151790,337;171373,296;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671563;3;0;0;3;MDU;;Y;NA;4;3;;"Volgens PXS 4 units; op GM 2 bussen";Y;_;BUILDING template;Milcampslaan;205;;;151905,001;171422,014;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673618;1;0;0;1;SDU;;Y;NA;3;3;;"Volgens PXS 2 units; op GM 1 bus";Y;_;BUILDING template;Topaaslaan;57;;;151796,097;171372,671;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671564;8;0;1;9;MDU;;Y;NA;4;3;;"Volgens PXS 7 units; op GM 3 bussen";Y;_;BUILDING template;Milcampslaan;207;;Milcampslaan 207-209;151907,11;171428,999;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673619;1;0;0;1;SDU;;Y;NA;2;3;;"Volgens PXS 1 unit; op GM 3 bussen";Y;_;BUILDING template;Topaaslaan;59;;;151801,668;171371,849;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671566;3;0;0;3;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Milcampslaan;211;;;151910,428;171440,519;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673620;9;0;0;9;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Topaaslaan;61;;;151807,76;171370,299;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671567;1;0;0;1;SDU;;Y;NA;3;3;;"Volgens PXS 2 units; op GM 1 bus";Y;_;BUILDING template;Milcampslaan;213;;;151912,368;171447,259;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;947981;4;1;0;5;MDU;;Y;NA;4;3;;"Volgens PXS 4 LU&apos;s en 1 BU, op GM is er enkel BU op 2";Y;_;BUILDING template;Diamantlaan;2;;Diamantlaan 2-4;151634,091;171404,497;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671568;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Milcampslaan;215;;;151913,365;171452,723;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681465;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Diamantlaan;6;;;151639,736;171396,186;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671569;4;0;0;4;MDU;;Y;NA;4;3;;"Volgens PXS 4 units; vermoedelijk op GM 2 units op nr 217A";Y;_;BUILDING template;Milcampslaan;217;;Milcampslaan 217-217A;151916,233;171460,724;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681467;3;0;0;3;MDU;;Y;NA;3;3;;"Volgens PXS 3 units; 2 bussen op GM";Y;_;BUILDING template;Diamantlaan;8;;;151643,376;171391,162;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949580;17;1;1;19;MDU;;Y;NA;8;3;;;Y;_;BUILDING template;Auguste Reyerslaan;1;;;152110,908;171543,979;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681468;4;0;0;4;MDU;;Y;NA;3;3;;"Volgens PXS 3 units; 4 bussen op GM";Y;_;BUILDING template;Diamantlaan;10;;;151649,049;171386,519;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678042;23;0;1;24;MDU;;Y;NA;8;3;;"Volgens PXS: 20 units; in GM vermoedelijk 21 units";Y;_;BUILDING template;Auguste Reyerslaan;3;;;152114,76;171526,928;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4119457;0;1;0;1;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;Diamantlaan;12;;Diamantlaan 12-14;151652,409;171381,759;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678046;2;0;0;2;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Auguste Reyerslaan;9;;;152118,015;171512,629;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681472;1;0;0;1;SDU;;Y;NA;3;3;;"Volgens PXS 3 units; 1 bus op GM";Y;_;BUILDING template;Diamantlaan;16;;;151659,469;171372,805;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678047;8;0;0;8;MDU;;Y;NA;4;6;;"Volgens PXS: 11; in GM lijkt dit kleiner";Y;_;BUILDING template;Auguste Reyerslaan;11;;;152121,919;171504,159;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681474;1;0;0;1;SDU;;Y;NA;3;3;;"Volgens PXS 3 units; 1 bus op GM";Y;_;BUILDING template;Diamantlaan;18;;;151663,33;171368,289;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949584;1;1;0;2;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Auguste Reyerslaan;13;;;152125,29;171495,079;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681475;5;0;0;5;MDU;;Y;NA;4;3;;"Volgens PXS 6 units; 5 bussen op GM";Y;_;BUILDING template;Diamantlaan;20;;;151667,659;171363,419;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949582;12;0;1;13;MDU;;Y;NA;7;3;;"Volgens PXS: 12; in GM vermoedelijk 6 units";Y;_;BUILDING template;Auguste Reyerslaan;15;;Auguste Reyerslaan 15-17;152128,369;171487,079;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;26226;8;0;1;9;MDU;;Y;NA;4;3;;"Volgens PXS 8 units; 1 bus op GM (2014)";Y;_;BUILDING template;Diamantlaan;22;;;151676,81;171352,775;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1321723;3;0;0;3;MDU;;Y;NA;5;6;;;Y;_;BUILDING template;Auguste Reyerslaan;19;;;152132,47;171475,239;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;947982;9;0;2;11;MDU;;Y;NA;6;3;;;Y;_;BUILDING template;Diamantlaan;24;;;151682,751;171347,177;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949581;24;0;1;25;MDU;;Y;NA;9;3;;"Volgens PXS: 23 units; in GM vermoedelijk 28";Y;_;BUILDING template;Auguste Reyerslaan;21;;;152139,899;171461,119;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1332839;10;1;1;12;MDU;;Y;NA;6;3;;;Y;_;BUILDING template;Diamantlaan;26;;Diamantlaan 26-28;151688,779;171341,774;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949688;16;0;1;17;MDU;;Y;NA;9;6;;;Y;_;BUILDING template;Auguste Reyerslaan;31;;;152152,689;171423,669;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681480;10;1;1;12;MDU;;Y;NA;6;3;;;Y;_;BUILDING template;Diamantlaan;28;;Diamantlaan 26-28;151693,205;171336,857;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949690;18;0;1;19;MDU;;Y;NA;9;6;;;Y;_;BUILDING template;Auguste Reyerslaan;33;;;152157,529;171410,389;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;5585366;10;0;2;12;MDU;;Y;NA;5;3;;"Volgens PXS 10 units; 5 units horen bij nr 32 op GM";Y;_;BUILDING template;Diamantlaan;30;;Diamantlaan 30-32;151697,865;171331,446;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;949689;16;0;1;17;MDU;;Y;NA;9;6;;;Y;_;BUILDING template;Auguste Reyerslaan;35;;;152167,638;171383,669;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1675489;12;0;1;13;MDU;;Y;NA;6;6;;;Y;_;BUILDING template;Adolphe Lacomblélaan;6;;Adolphe Lacomblélaan 4-6;152260;171106;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;5585367;12;0;1;13;MDU;;Y;NA;5;3;;"Volgens PXS 11 units; 6 units horen bij nr 36 op GM";Y;_;BUILDING template;Diamantlaan;34;;Diamantlaan 34-36;151709,028;171322,998;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678056;20;0;1;21;MDU;;Y;NA;8;3;;;Y;_;BUILDING template;Auguste Reyerslaan;41;;Auguste Reyerslaan 41-43;152184,129;171340,06;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;950433;10;0;1;11;MDU;;Y;NA;6;6;;;Y;_;BUILDING template;Adolphe Lacomblélaan;10;;Adolphe Lacomblélaan 8-10;152250;171095;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;947987;10;0;2;12;MDU;;Y;NA;5;3;;"Volgens PXS 21 units; op GM vermoedelijk 16";Y;_;BUILDING template;Diamantlaan;38;;;151724,636;171311,287;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;951310;20;0;1;21;MDU;;Y;NA;8;3;;;Y;_;BUILDING template;Auguste Reyerslaan;43;;Auguste Reyerslaan 41-43;152186,689;171333,189;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1675492;4;0;0;4;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;Adolphe Lacomblélaan;11;;;152267;171074;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;947986;3;0;0;3;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Diamantlaan;64;;;151777,479;171278,559;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678059;16;1;1;18;MDU;;Y;NA;8;3;;"Volgens PXS: 5 units; op GM vermoedelijk 8";Y;_;BUILDING template;Auguste Reyerslaan;45;;Auguste Reyerslaan 45-47;152189,319;171326,109;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;5585176;0;1;0;1;SDU;;Y;NA;1;6;;;Y;Enkel garageboxen dit is geen appartement;BUILDING template;Adolphe Lacomblélaan;12;;;152242;171089;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681504;3;0;0;3;MDU;;Y;NA;4;6;;"Volgens PXS 3 units; op GM 1 bus  en bel";Y;_;BUILDING template;Diamantlaan;66;;;151782,179;171276,03;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4110313;1;0;0;1;SDU;;Y;NA;5;6;;;Y;_;BUILDING template;Auguste Reyerslaan;49;;;152194,439;171311,708;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;950442;11;0;1;12;MDU;;Y;NA;6;6;;;Y;_;BUILDING template;Adolphe Lacomblélaan;16;;Adolphe Lacomblélaan 14-16;152236;171082;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681505;1;0;0;1;SDU;;Y;NA;4;6;;"Volgens PXS 3 units; op GM 1 bus  en bel";Y;_;BUILDING template;Diamantlaan;68;;;151787,079;171273,389;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1678062;8;0;0;8;MDU;;Y;NA;8;6;;;Y;_;BUILDING template;Auguste Reyerslaan;51;;;152196,768;171305,401;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;950432;10;0;1;11;MDU;;Y;NA;6;6;;;Y;_;BUILDING template;Adolphe Lacomblélaan;20;;Adolphe Lacomblélaan 18-20;152225;171068;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1681507;3;0;0;3;MDU;;Y;NA;4;6;;"Volgens PXS 3 units; op GM 4 bussen";Y;_;BUILDING template;Diamantlaan;70;;;151793,259;171270,058;W03-C-Schaerbeek-FH03
