Projectnummer;LAM MK;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Kolom1;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH09;NB-35001436485;1;0;0;1;SDU;;Roode Roosstraat14;Y;NA;2;4;;in GM leeg perceel, volgens kadaster en CRAB nieuwbouw;Y;;BUILDING template;Roode Roosstraat;14;;;218187;179523
HASSELT - FH09;NB-35001462502;1;0;0;1;SDU;;Wolfgang Amadeus Mozartlaan14;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Wolfgang Amadeus Mozartlaan;14;;;217953;179295
HASSELT - FH09;NB-3500146705;1;0;0;1;SDU;;Roode Roosstraat1;Y;NA;2;4;;in GM leeg perceel, volgens kadaster en CRAB nieuwbouw;Y;;BUILDING template;Roode Roosstraat;1;;;218116;179506
HASSELT - FH09;NB-350015074073;1;0;0;1;SDU;;Sint-Truidersteenweg150;Y;NA;2;4;;1 Unit in CRAB, Onduidelijk in GM.;Y;;BUILDING template;Sint-Truidersteenweg;150;;;217688;179528
HASSELT - FH09;NB-350015164157;1;0;0;1;SDU;;Sint-Truidersteenweg151;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Sint-Truidersteenweg;151;;;217663;179548
HASSELT - FH09;NB-35001519128;1;0;0;1;SDU;;Eikenstraat15;Y;NA;2;4;;1 Unit in CRAB, onduidelijk in GM.;Y;;BUILDING template;Eikenstraat;15;;;217508;179756
HASSELT - FH09;NB-350015A46433;1;0;0;1;SDU;;Roode Roosstraat15A;Y;NA;2;4;;in GM in aanbouw, volgens kadaster en CRAB nieuwbouw;Y;;BUILDING template;Roode Roosstraat;15;A;;218260;179544
HASSELT - FH09;NB-350015B10435;1;0;0;1;SDU;;Roode Roosstraat15B;Y;NA;2;4;;in GM in aanbouw, volgens kadaster en CRAB nieuwbouw;Y;;BUILDING template;Roode Roosstraat;15;B;;218280;179533
HASSELT - FH09;NB-350015C71879;1;0;0;1;SDU;;Roode Roosstraat15C;Y;NA;2;4;;in GM in aanbouw, volgens kadaster en CRAB nieuwbouw;Y;;BUILDING template;Roode Roosstraat;15;C;;218300;179526
HASSELT - FH09;NB-350015D15990;1;0;0;1;SDU;;Roode Roosstraat15D;Y;NA;2;4;;in GM in aanbouw, volgens kadaster en CRAB nieuwbouw;Y;;BUILDING template;Roode Roosstraat;15;D;;218324;179522
HASSELT - FH09;NB-35001653474;1;0;0;1;SDU;;Roode Roosstraat16;Y;NA;2;4;;in GM leeg perceel, volgens kadaster en CRAB nieuwbouw;Y;;BUILDING template;Roode Roosstraat;16;;;218195;179534
HASSELT - FH09;NB-350016808131;1;0;0;1;SDU;;Boomkensstraat168;Y;NA;2;4;;1 Units in CRAB, niet in GM.;Y;;BUILDING template;Boomkensstraat;168;;;217583;179631
HASSELT - FH09;NB-350017572400;1;0;0;1;SDU;;Boomkensstraat175;Y;NA;2;4;;1 Unit in CRAB, Nieuwbouw in GM.;Y;;BUILDING template;Boomkensstraat;175;;;217561;179620
HASSELT - FH09;NB-35001773542;1;0;0;1;SDU;;A. Vivaldilaan17;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;A. Vivaldilaan;17;;;217782;179402
HASSELT - FH09;NB-35001782343;1;0;0;1;SDU;;Eikenstraat17;Y;NA;2;4;;1 Unit in CRAB, onduidelijk in GM.;Y;;BUILDING template;Eikenstraat;17;;;217502;179757
