Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Kolom1;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH12;300761;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat14; ;;;;BUILDING template;Laurierstraat;14;;;72294,64;225431,742
KNOKKE-HEIST - FH12;1476265;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat167; ;;;;BUILDING template;Pannenstraat;167;;;71862,727;225885,291
KNOKKE-HEIST - FH12;2764916;3;0;0;3;MDU;;Y;NA;4;4;Pannenstraat285; ;1 Unit in CRAB, 3 bussen in GM.;;;BUILDING template;Pannenstraat;285;;;72178,175;225956,958
KNOKKE-HEIST - FH12;300762;1;0;0;1;SDU;;Y;NA;2;4;Heestersstraat26; ;;;;BUILDING template;Heestersstraat;26;;;72403,472;225504,471
KNOKKE-HEIST - FH12;1494374;5;0;0;5;MDU;;Y;NA;4;4;Emanuel Hielstraat1; ;;;;BUILDING template;Emanuel Hielstraat;1;;;71979,168;225856,337
KNOKKE-HEIST - FH12;2764919;7;0;0;7;MDU;;Y;NA;4;4;Pannenstraat289; ;;;;BUILDING template;Pannenstraat;289;;;72185,772;225992,333
KNOKKE-HEIST - FH12;300763;1;0;0;1;SDU;;Y;NA;2;4;Heestersstraat24; ;;;;BUILDING template;Heestersstraat;24;;;72384,322;225497,325
KNOKKE-HEIST - FH12;1497556;1;0;0;1;SDU;;Y;NA;2;4;Zuidstraat6; ;;;;BUILDING template;Zuidstraat;6;;;71972,9;226005,92
KNOKKE-HEIST - FH12;2764922;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat293; ;;;;BUILDING template;Pannenstraat;293;;;72195,112;225985,329
KNOKKE-HEIST - FH12;300764;1;0;0;1;SDU;;Y;NA;2;4;Heestersstraat18; ;;;;BUILDING template;Heestersstraat;18;;;72330,537;225482,322
KNOKKE-HEIST - FH12;1497764;1;0;0;1;SDU;;Y;NA;2;4;Hendrik Consciencestraat7; ;;;;BUILDING template;Hendrik Consciencestraat;7;;;71781,431;225870,416
KNOKKE-HEIST - FH12;2764923;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat294; ;;;;BUILDING template;Pannenstraat;294;;;72378,177;226036,49
KNOKKE-HEIST - FH12;300765;1;0;0;1;SDU;;Y;NA;2;4;Heestersstraat2; ;;;;BUILDING template;Heestersstraat;2;;;72234,236;225454,616
KNOKKE-HEIST - FH12;2312;34;1;0;35;MDU;;Y;NA;4;4;Krommedijk57; ;41 Units in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Krommedijk;57;;;72494,522;225807,148
KNOKKE-HEIST - FH12;2764925;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat295; ;;;;BUILDING template;Pannenstraat;295;;;72208,537;225969,213
KNOKKE-HEIST - FH12;300766;1;0;0;1;SDU;;Y;NA;2;4;Heestersstraat32; ;;;;BUILDING template;Heestersstraat;32;;;72498,818;225533,149
KNOKKE-HEIST - FH12;2756563;1;0;0;1;SDU;;Y;NA;2;4;Pinksterbloemhof2; ;;;;BUILDING template;Pinksterbloemhof;2;;;72510,889;225929,688
KNOKKE-HEIST - FH12;2764926;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat296; ;;;;BUILDING template;Pannenstraat;296;;;72385,129;226045,726
KNOKKE-HEIST - FH12;300768;1;0;0;1;SDU;;Y;NA;2;4;Varenstraat8; ;;;;BUILDING template;Varenstraat;8;;;72586,08;225520,487
KNOKKE-HEIST - FH12;2756564;1;0;0;1;SDU;;Y;NA;2;4;Pinksterbloemhof9; ;;;;BUILDING template;Pinksterbloemhof;9;;;72531,42;225978,039
KNOKKE-HEIST - FH12;2764928;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat297; ;;;;BUILDING template;Pannenstraat;297;;;72217,463;225973,532
