Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;NR BU GM;NR LU GM;NR SU GM;UNITS TOTAL GM;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;OPMERKINGEN;Wall Mount;Wall Mount IFH;Opdrachttemplate
ROESELARE - FH03;Units su diff;3417225;BL0304;;165159;3417225;29394433;Meensesteenweg 14-16-18-20;Meensesteenweg 14-16-18-20;Meensesteenweg;20;;A;;2020-06-17;Geert Stockman;MDU;0;8;1;9;0;8;1;9;1;8;2;11;;N;N;BUILDING template
ROESELARE - FH03;Units bu diff;3417225;BL0304;;165159;3417225;29394433;Meensesteenweg 14-16-18-20;Meensesteenweg 14-16-18-20;Meensesteenweg;20;;A;;2020-06-17;Geert Stockman;MDU;0;8;1;9;0;8;1;9;1;8;2;11;;N;N;BUILDING template
ROESELARE - FH03;Units su diff;3417728;BL0328;;165569;3417728;7772217;Ooststraat 16-18;Ooststraat 16-18;Ooststraat;16;;A;;2020-02-07;Ryan De Vries;MDU;0;5;2;7;0;5;2;7;0;5;2;7;Floorbox naast BDFO in kelder?;Y;Y;BUILDING template
ROESELARE - FH03;Units bu diff;3417728;BL0328;;165569;3417728;7772217;Ooststraat 16-18;Ooststraat 16-18;Ooststraat;16;;A;;2020-02-07;Ryan De Vries;MDU;0;5;2;7;0;5;2;7;0;5;2;7;Floorbox naast BDFO in kelder?;Y;Y;BUILDING template
ROESELARE - FH03;Units su diff;3417729;BL0328;;165570;3417729;7772217;Ooststraat 16-18;Ooststraat 16-18;Ooststraat;18;;A;;2020-02-07;;MDU;1;0;0;1;1;0;0;1;1;0;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;3417729;BL0328;;165570;3417729;7772217;Ooststraat 16-18;Ooststraat 16-18;Ooststraat;18;;A;;2020-02-07;;MDU;1;0;0;1;1;0;0;1;1;0;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;4368467;BL0317;;4707893;4368467;33118755;Rumbeeksesteenweg 4-4a;Rumbeeksesteenweg 4-4a;Rumbeeksesteenweg;4;;D;;2018-04-05;Belhassen OUERTANI;MDU;1;0;0;1;1;0;0;1;1;0;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;4368467;BL0317;;4707893;4368467;33118755;Rumbeeksesteenweg 4-4a;Rumbeeksesteenweg 4-4a;Rumbeeksesteenweg;4;;D;;2018-04-05;Belhassen OUERTANI;MDU;1;0;0;1;1;0;0;1;1;0;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;3418211;BL0318;;166009;3418211;31535241;Rumbeeksesteenweg 56 - 58;Rumbeeksesteenweg 56 - 58;Rumbeeksesteenweg;56;;D;;2020-02-04;Ryan De Vries;MDU;0;1;0;1;0;1;0;1;0;1;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units bu diff;3418211;BL0318;;166009;3418211;31535241;Rumbeeksesteenweg 56 - 58;Rumbeeksesteenweg 56 - 58;Rumbeeksesteenweg;56;;D;;2020-02-04;Ryan De Vries;MDU;0;1;0;1;0;1;0;1;0;1;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;3418669;BL0326;;166411;3418669;37830910;Sint-Alfonsusstraat 61-63;Sint-Alfonsusstraat 61-63;Sint-Alfonsusstraat;63;;E;;;Recep TUNC;MDU;0;9;2;11;0;9;2;11;0;9;2;11;;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;3418669;BL0326;;166411;3418669;37830910;Sint-Alfonsusstraat 61-63;Sint-Alfonsusstraat 61-63;Sint-Alfonsusstraat;63;;E;;;Recep TUNC;MDU;0;9;2;11;0;9;2;11;0;9;2;11;;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;3413490;BL0314;;161943;3413490;9024114;Vredestraat 1_Koning Albert I Laan 89;Vredestraat 1_Koning Albert I Laan 89;Koning Albert I-laan;98;;C;;2020-03-09 10:30:15;olivier collignon;MDU;1;0;1;1;1;0;0;1;1;0;1;2;;N;N;BUILDING template
ROESELARE - FH03;Units su diff;3413490;BL0314;;161943;3413490;9024114;Vredestraat 1_Koning Albert I Laan 89;Vredestraat 1_Koning Albert I Laan 89;Koning Albert I-laan;98;;C;;2020-03-09 10:30:15;olivier collignon;MDU;1;0;1;1;1;0;0;1;1;0;1;2;;N;N;BUILDING template
ROESELARE - FH03;Units bu diff;4357073;BL0314;;9024103;4357073;9024114;Vredestraat 1_Koning Albert I Laan 89;Vredestraat 1_Koning Albert I Laan 89;Vredestraat;1;;C;;;Peter Cremers;MDU;0;1;0;1;0;1;0;1;0;1;0;1;;N;N;BUILDING template
ROESELARE - FH03;Units lu diff;4357073;BL0314;;9024103;4357073;9024114;Vredestraat 1_Koning Albert I Laan 89;Vredestraat 1_Koning Albert I Laan 89;Vredestraat;1;;C;;;Peter Cremers;MDU;0;1;0;1;0;1;0;1;0;1;0;1;;N;N;BUILDING template
ROESELARE - FH03;Quadrant diff;3420200;BL0321;;167734;3420200;;Zuidstraat 25-27;Zuidstraat 25-27;Zuidstraat;25;;;C;2020-06-27;Geert Stockman;MDU;1;0;0;1;;;;;1;0;0;1;Best samen eens nakijken. Nummer 33 hoort ook nog bij scholengroep?;N;N;BUILDING template
ROESELARE - FH03;Units total diff;878563;BL0320;;94725;878563;7764110;Zuidstraat 39-41;Zuidstraat 39-41;Zuidstraat;41;;C;;2018-06-14;Ken DEKEYZER;MDU;0;9;1;10;0;9;1;10;0;9;1;10;;N;N;BUILDING template
ROESELARE - FH03;Units su diff;878563;BL0320;;94725;878563;7764110;Zuidstraat 39-41;Zuidstraat 39-41;Zuidstraat;41;;C;;2018-06-14;Ken DEKEYZER;MDU;0;9;1;10;0;9;1;10;0;9;1;10;;N;N;BUILDING template
ROESELARE - FH03;Units bu diff;878563;BL0320;;94725;878563;7764110;Zuidstraat 39-41;Zuidstraat 39-41;Zuidstraat;41;;C;;2018-06-14;Ken DEKEYZER;MDU;0;9;1;10;0;9;1;10;0;9;1;10;;N;N;BUILDING template
ROESELARE - FH03;Units su diff;3420209;BL0320;;167741;3420209;7764141;Zuidstraat 49-51;Zuidstraat 49-51;Zuidstraat;49;;A;;2018-04-18;Recep TUNC;MDU;1;0;0;1;1;0;0;1;1;0;0;1;Is een QC niet mogelijk?;N;N;BUILDING template
ROESELARE - FH03;Units total diff;3420209;BL0320;;167741;3420209;7764141;Zuidstraat 49-51;Zuidstraat 49-51;Zuidstraat;49;;A;;2018-04-18;Recep TUNC;MDU;1;0;0;1;1;0;0;1;1;0;0;1;Is een QC niet mogelijk?;N;N;BUILDING template
ROESELARE - FH03;Units total diff;3420212;BL0320;;167743;3420212;7764141;Zuidstraat 49-51;Zuidstraat 49-51;Zuidstraat;51;;A;;2018-03-07;Ryan De Vries;MDU;0;9;1;10;0;9;1;10;0;9;1;10;Is een QC niet mogelijk?;N;N;BUILDING template
ROESELARE - FH03;Units bu diff;3420212;BL0320;;167743;3420212;7764141;Zuidstraat 49-51;Zuidstraat 49-51;Zuidstraat;51;;A;;2018-03-07;Ryan De Vries;MDU;0;9;1;10;0;9;1;10;0;9;1;10;Is een QC niet mogelijk?;N;N;BUILDING template
ROESELARE - FH03;Units total diff;3420215;BL0311;;5051622;3420215;9266134;Zuidstraat 54-56;Zuidstraat 54-56;Zuidstraat;56;;D;;2018-10-03;Hidde Kiekens;MDU;0;1;0;1;0;1;0;1;1;1;1;3;gewone rijwoning maar naam op belletjes zijn bedrijfsnamen? BU?;Y;Y;BUILDING template
ROESELARE - FH03;Units bu diff;3420215;BL0311;;5051622;3420215;9266134;Zuidstraat 54-56;Zuidstraat 54-56;Zuidstraat;56;;D;;2018-10-03;Hidde Kiekens;MDU;0;1;0;1;0;1;0;1;1;1;1;3;gewone rijwoning maar naam op belletjes zijn bedrijfsnamen? BU?;Y;Y;BUILDING template
