Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;adres;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
ANTWERPEN-WEST - FH10;4210825;5;0;0;5;MDU;;Y;NA;4;4;Graaf van Hoornestraat9; ; ;;;BUILDING template;Graaf van Hoornestraat;9;;;151701,612;210896,446
ANTWERPEN-WEST - FH10;973048;7;0;0;7;MDU;;Y;NA;4;4;Kasteelpleinstraat68;Beschermd Erfgoed;1 Unit in CRAB, aantal onduidelijk in GM.;;;BUILDING template;Kasteelpleinstraat;68;;;152338,58;211028,276
ANTWERPEN-WEST - FH10;1972254;1;0;0;1;SDU;;Y;NA;2;4;Kronenburgstraat110;Beschermd Erfgoed;enkel in GM, BG met nr 18;;;BUILDING template;Kronenburgstraat;110;;;152220;211284
ANTWERPEN-WEST - FH10;1738602;5;1;0;6;MDU;;Y;NA;4;4;Emiel Banningstraat47; ;1 Unit in CRAB, 5 bussen in GM.;;;BUILDING template;Emiel Banningstraat;47;;;151413,373;210573,859
ANTWERPEN-WEST - FH10;1944444;1;0;0;1;SDU;;Y;NA;2;4;Graaf van Hoornestraat42;Beschermd Erfgoed; ;;;BUILDING template;Graaf van Hoornestraat;42;;;151658,27;210780,289
ANTWERPEN-WEST - FH10;2048282;1;0;0;1;SDU;;Y;NA;2;4;Karel Rogierstraat16;Beschermd Erfgoed; ;;;BUILDING template;Karel Rogierstraat;16;;;151895,359;211128,779
ANTWERPEN-WEST - FH10;2062129;1;0;0;1;SDU;;Y;NA;2;4;De Vrierestraat10; ; ;;;BUILDING template;De Vrierestraat;10;;;151999,711;211086,987
ANTWERPEN-WEST - FH10;4215636;1;0;0;1;SDU;;Y;NA;2;4;Koninginnestraat3; ; ;;;BUILDING template;Koninginnestraat;3;;;152585,29;211298,905
ANTWERPEN-WEST - FH10;973049;10;1;0;11;MDU;;Y;NA;4;4;Kasteelpleinstraat52; ;8 Units in CRAB, 12 bussen in GM.;;;BUILDING template;Kasteelpleinstraat;52;;;152315,214;211090,348
ANTWERPEN-WEST - FH10;1980078;1;0;0;1;SDU;;Y;NA;2;4;Lambermontplaats21; ;1 Unit in CRAB, 4 bussen in GM.;;;BUILDING template;Lambermontplaats;21;;;151564;210739
ANTWERPEN-WEST - FH10;1738603;3;0;0;3;MDU;;Y;NA;4;4;Emiel Banningstraat48; ;2 Units in CRAB en GM.;;;BUILDING template;Emiel Banningstraat;48;;;151395,933;210608,982
ANTWERPEN-WEST - FH10;1944445;2;0;0;2;MDU;;Y;NA;4;4;Graaf van Hoornestraat43; ; ;;;BUILDING template;Graaf van Hoornestraat;43;;;151688,129;210800,12
ANTWERPEN-WEST - FH10;2048283;0;1;0;1;SDU;;Y;NA;2;4;Karel Rogierstraat18;Beschermd Erfgoed;5 Units in CRAB, 7 bussen in GM.;;;BUILDING template;Karel Rogierstraat;18;;;151888,315;211126,648
ANTWERPEN-WEST - FH10;2062130;1;0;0;1;SDU;;Y;NA;2;4;De Vrierestraat12; ; ;;;BUILDING template;De Vrierestraat;12;;;152000,478;211080,975
ANTWERPEN-WEST - FH10;4218041;3;0;0;3;MDU;;Y;NA;4;4;Gijzelaarsstraat57;Beschermd Erfgoed;1 Unit in CRAB, 3 bussen in GM.;;;BUILDING template;Gijzelaarsstraat;57;;;151381,941;210623,046
ANTWERPEN-WEST - FH10;973050;7;0;0;7;MDU;;Y;NA;4;4;Kasteelpleinstraat26; ;1 Unit in CRAB, Onduidelijk in GM.;;;BUILDING template;Kasteelpleinstraat;26;;;152286,446;211164,669
ANTWERPEN-WEST - FH10;1980091;1;0;0;1;SDU;;Y;NA;2;4;Lambermontplaats27;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Lambermontplaats;27;;;151506;210771
ANTWERPEN-WEST - FH10;1738604;4;0;0;4;MDU;;Y;NA;4;4;Emiel Banningstraat49;Beschermd Erfgoed; ;;;BUILDING template;Emiel Banningstraat;49;;;151409,534;210568,304
ANTWERPEN-WEST - FH10;1944446;1;0;0;1;SDU;;Y;NA;2;4;Graaf van Hoornestraat44;Beschermd Erfgoed; ;;;BUILDING template;Graaf van Hoornestraat;44;;;151657,754;210775,08
ANTWERPEN-WEST - FH10;2048284;8;1;0;9;MDU;;Y;NA;4;4;Karel Rogierstraat19; ; ;;;BUILDING template;Karel Rogierstraat;19;;;151913,879;211107,153
ANTWERPEN-WEST - FH10;2062131;4;0;0;4;MDU;;Y;NA;4;4;De Vrierestraat13;Beschermd Erfgoed; ;;;BUILDING template;De Vrierestraat;13;;;152027,191;211078,852
ANTWERPEN-WEST - FH10;4221639;3;0;0;3;MDU;;Y;NA;4;4;De Vrierestraat15;Beschermd Erfgoed;1 Unit in CRAB, 2 bussen in GM.;;;BUILDING template;De Vrierestraat;15;;;152027,777;211072,892
ANTWERPEN-WEST - FH10;973052;0;3;0;3;MDU;;Y;NA;4;4;Kasteelpleinstraat10; ; ;;;BUILDING template;Kasteelpleinstraat;10;;;152269,428;211213,201
ANTWERPEN-WEST - FH10;1980104;1;0;0;1;SDU;;Y;NA;2;4;Lambermontplaats33;Beschermd Erfgoed;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Lambermontplaats;33;;;151506;210796
ANTWERPEN-WEST - FH10;1738605;2;0;0;2;MDU;;Y;NA;4;4;Emiel Banningstraat50; ;1 Unit in CRAB, 2  bussen in GM.;;;BUILDING template;Emiel Banningstraat;50;;;151393,946;210604,751
ANTWERPEN-WEST - FH10;1944447;2;0;0;2;MDU;;Y;NA;4;4;Graaf van Hoornestraat45; ;1 Unit in CRAB, 2 bussen in GM.;;;BUILDING template;Graaf van Hoornestraat;45;;;151687,194;210794,674
ANTWERPEN-WEST - FH10;2048285;3;0;0;3;MDU;;Y;NA;4;4;Karel Rogierstraat19C; ;2 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Karel Rogierstraat;19;C;;151904,95;211102,8
ANTWERPEN-WEST - FH10;2062132;3;0;0;3;MDU;;Y;NA;4;4;De Vrierestraat14;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;De Vrierestraat;14;;;151999,12;211075,797
ANTWERPEN-WEST - FH10;4223972;2;0;0;2;MDU;;Y;NA;4;4;Kasteelstraat42;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Kasteelstraat;42;;;151611,083;210731,629
ANTWERPEN-WEST - FH10;973053;1;0;0;1;SDU;;Y;NA;2;4;Verbondstraat37;Beschermd Erfgoed; ;;;BUILDING template;Verbondstraat;37;;;152209,296;211122,412
ANTWERPEN-WEST - FH10;1980171;1;0;0;1;SDU;;Y;NA;2;4;Lambermontstraat29; ;4 Units in CRAB, 3 bussen in GM.;;;BUILDING template;Lambermontstraat;29;;;152053;211205
ANTWERPEN-WEST - FH10;1738606;4;0;0;4;MDU;;Y;NA;4;4;Emiel Banningstraat51; ;3 Units in CRAB, 3 bussen in GM.;;;BUILDING template;Emiel Banningstraat;51;;;151405,329;210563,306
ANTWERPEN-WEST - FH10;1944449;3;0;0;3;MDU;;Y;NA;4;4;Graaf van Hoornestraat46;Beschermd Erfgoed; ;;;BUILDING template;Graaf van Hoornestraat;46;;;151655,455;210770,076
ANTWERPEN-WEST - FH10;2048286;1;0;0;1;SDU;;Y;NA;2;4;Karel Rogierstraat20;Beschermd Erfgoed;niet in CRAB en GM.;;;BUILDING template;Karel Rogierstraat;20;;;151883,841;211123,164
ANTWERPEN-WEST - FH10;2062133;3;0;0;3;MDU;;Y;NA;4;4;De Vrierestraat16; ; ;;;BUILDING template;De Vrierestraat;16;;;152000,068;211070,59
ANTWERPEN-WEST - FH10;4228821;4;0;0;4;MDU;;Y;NA;4;4;Bollandusstraat12; ;1 Unit in CRAB, 4 bussen in GM.;;;BUILDING template;Bollandusstraat;12;;;152607,031;211180,823
ANTWERPEN-WEST - FH10;973054;3;0;0;3;MDU;;Y;NA;4;4;Verbondstraat33; ;1 Unit in CRAB, 4 bussen in GM.;;;BUILDING template;Verbondstraat;33;;;152219,446;211141,981
ANTWERPEN-WEST - FH10;1992870;1;0;0;1;SDU;;Y;NA;2;4;Louizastraat12;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Louizastraat;12;;;152522;211272
ANTWERPEN-WEST - FH10;1738607;0;9;0;9;MDU;;Y;NA;4;4;Emiel Banningstraat52; ;1 Unit in CRAB, Hotel in GM.;;;BUILDING template;Emiel Banningstraat;52;;;151390,312;210601,615
ANTWERPEN-WEST - FH10;1944450;4;0;0;4;MDU;;Y;NA;4;4;Graaf van Hoornestraat47; ;3 Units inCRAB, 4 bussen in GM.;;;BUILDING template;Graaf van Hoornestraat;47;;;151686,113;210789,853
ANTWERPEN-WEST - FH10;2048287;4;0;0;4;MDU;;Y;NA;4;4;Karel Rogierstraat21; ; ;;;BUILDING template;Karel Rogierstraat;21;;;151897,54;211100,104
ANTWERPEN-WEST - FH10;2062134;3;0;0;3;MDU;;Y;NA;4;4;De Vrierestraat17; ;1 Unit in CRAB, aantal onduidelijk in GM.;;;BUILDING template;De Vrierestraat;17;;;152029,108;211064,34
ANTWERPEN-WEST - FH10;4232527;1;0;0;1;SDU;;Y;NA;2;4;Begijnenvest83; ; ;;;BUILDING template;Begijnenvest;83;;;152583,299;211256,455
ANTWERPEN-WEST - FH10;973056;1;0;0;1;SDU;;Y;NA;2;4;Verbondstraat3; ; ;;;BUILDING template;Verbondstraat;3;;;152264,445;211218,152
ANTWERPEN-WEST - FH10;1992921;1;0;0;1;SDU;;Y;NA;2;4;Louizastraat40;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Louizastraat;40;;;152543;211141
ANTWERPEN-WEST - FH10;1738608;0;3;0;3;MDU;;Y;NA;4;4;Emiel Banningstraat54; ;1 Unit in CRAB, 5 bussen in GM.;;;BUILDING template;Emiel Banningstraat;54;;;151386,492;210597,201
ANTWERPEN-WEST - FH10;1944451;1;1;0;2;MDU;;Y;NA;4;4;Graaf van Hoornestraat48;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Graaf van Hoornestraat;48;;;151655,012;210764,511
ANTWERPEN-WEST - FH10;2048288;1;0;0;1;SDU;;Y;NA;2;4;Karel Rogierstraat22;Beschermd Erfgoed; ;;;BUILDING template;Karel Rogierstraat;22;;;151878,256;211121,335
ANTWERPEN-WEST - FH10;2062136;1;0;0;1;SDU;;Y;NA;2;4;De Vrierestraat18;Beschermd Erfgoed; ;;;BUILDING template;De Vrierestraat;18;;;152001,962;211063,792
ANTWERPEN-WEST - FH10;4234010;4;0;0;4;MDU;;Y;NA;4;4;Scheldestraat81; ;5 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Scheldestraat;81;;;151934,849;211230,871
ANTWERPEN-WEST - FH10;973057;0;2;0;2;MDU;;Y;NA;4;4;Verbondstraat1; ;1 Unit in CRAB, 2 bussen in GM.;;;BUILDING template;Verbondstraat;1;;;152266,503;211224,441
ANTWERPEN-WEST - FH10;1992924;1;0;0;1;SDU;;Y;NA;2;4;Louizastraat42;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Louizastraat;42;;;152539;211137
ANTWERPEN-WEST - FH10;1738609;3;0;0;3;MDU;;Y;NA;4;4;Emiel Banningstraat56; ;1 Unit in CRAB, 6 bussen in GM.;;;BUILDING template;Emiel Banningstraat;56;;;151382,525;210592,519
ANTWERPEN-WEST - FH10;1944452;4;0;0;4;MDU;;Y;NA;4;4;Graaf van Hoornestraat49;Beschermd Erfgoed; ;;;BUILDING template;Graaf van Hoornestraat;49;;;151690,805;210784,003
ANTWERPEN-WEST - FH10;2048289;4;0;0;4;MDU;;Y;NA;4;4;Karel Rogierstraat23; ; ;;;BUILDING template;Karel Rogierstraat;23;;;151890,92;211097,591
ANTWERPEN-WEST - FH10;2062137;1;0;0;1;SDU;;Y;NA;2;4;De Vrierestraat20;Beschermd Erfgoed; ;;;BUILDING template;De Vrierestraat;20;;;152002,794;211057,517
ANTWERPEN-WEST - FH10;4234401;1;0;0;1;SDU;;Y;NA;2;4;Begijnenvest99; ; ;;;BUILDING template;Begijnenvest;99;;;152612,777;211324,763
ANTWERPEN-WEST - FH10;973058;5;0;0;5;MDU;;Y;NA;4;4;Tolstraat47; ;1 Unit in CRAB, 5 bussen in GM.;;;BUILDING template;Tolstraat;47;;;152189,572;211078,473
ANTWERPEN-WEST - FH10;2038536;1;0;0;1;SDU;;Y;NA;2;4;Pacificatiestraat31A;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Pacificatiestraat;31;A;;151407;210707
ANTWERPEN-WEST - FH10;1739389;3;0;0;3;MDU;;Y;NA;4;4;Beeldhouwersstraat4;Beschermd Erfgoed; ;;;BUILDING template;Beeldhouwersstraat;4;;;151719,485;210916,904
ANTWERPEN-WEST - FH10;1944453;3;0;0;3;MDU;;Y;NA;4;4;Graaf van Hoornestraat51; ;1 Unit in CRAB, 2 bussen in GM.;;;BUILDING template;Graaf van Hoornestraat;51;;;151688,932;210778,105
ANTWERPEN-WEST - FH10;2048290;1;0;0;1;SDU;;Y;NA;2;4;Karel Rogierstraat24;Beschermd Erfgoed; ;;;BUILDING template;Karel Rogierstraat;24;;;151873,584;211119,274
ANTWERPEN-WEST - FH10;2062138;1;0;0;1;SDU;;Y;NA;2;4;De Vrierestraat21;Beschermd Erfgoed; ;;;BUILDING template;De Vrierestraat;21;;;152030,058;211054,737
ANTWERPEN-WEST - FH10;4234637;1;0;0;1;SDU;;Y;NA;2;4;Coquilhatstraat5;Beschermd Erfgoed; ;;;BUILDING template;Coquilhatstraat;5;;;151921,981;211020,266
ANTWERPEN-WEST - FH10;973059;5;0;0;5;MDU;;Y;NA;4;4;Tolstraat69; ; ;;;BUILDING template;Tolstraat;69;;;152252,006;211047,399
ANTWERPEN-WEST - FH10;2038542;1;0;0;1;SDU;;Y;NA;2;4;Pacificatiestraat33A;Beschermd Erfgoed;1 Unit in CRAB, niet in GM.;;;BUILDING template;Pacificatiestraat;33;A;;151413;210707
ANTWERPEN-WEST - FH10;1739390;1;0;0;1;SDU;;Y;NA;2;4;Beeldhouwersstraat5;Beschermd Erfgoed; ;;;BUILDING template;Beeldhouwersstraat;5;;;151890,766;210814,281
ANTWERPEN-WEST - FH10;1944454;1;0;0;1;SDU;;Y;NA;2;4;Graaf van Hoornestraat52; ; ;;;BUILDING template;Graaf van Hoornestraat;52;;;151655,199;210752,936
ANTWERPEN-WEST - FH10;2048291;1;0;0;1;SDU;;Y;NA;2;4;Karel Rogierstraat25;Beschermd Erfgoed; ;;;BUILDING template;Karel Rogierstraat;25;;;151884,88;211094,836
ANTWERPEN-WEST - FH10;2062139;1;0;0;1;SDU;;Y;NA;2;4;De Vrierestraat23; ; ;;;BUILDING template;De Vrierestraat;23;;;152031,481;211048,577
ANTWERPEN-WEST - FH10;4243958;3;0;0;3;MDU;;Y;NA;4;4;Tolstraat59;Beschermd Erfgoed; ;;;BUILDING template;Tolstraat;59;;;152221,714;211062,644
ANTWERPEN-WEST - FH10;973060;1;0;0;1;SDU;;Y;NA;2;4;Tolstraat71; ; ;;;BUILDING template;Tolstraat;71;;;152258,55;211043,19
ANTWERPEN-WEST - FH10;2038639;1;0;0;1;SDU;;Y;NA;2;4;Pacificatiestraat97; ;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Pacificatiestraat;97;;;151647;210671
ANTWERPEN-WEST - FH10;1739391;5;0;0;5;MDU;;Y;NA;4;4;Beeldhouwersstraat6;Beschermd Erfgoed; ;;;BUILDING template;Beeldhouwersstraat;6;;;151723,305;210912,873
ANTWERPEN-WEST - FH10;1944455;4;0;0;4;MDU;;Y;NA;4;4;Graaf van Hoornestraat55; ; ;;;BUILDING template;Graaf van Hoornestraat;55;;;151684,782;210767,727
ANTWERPEN-WEST - FH10;2048292;4;0;0;4;MDU;;Y;NA;4;4;Karel Rogierstraat26; ;3 Units in CRAB, 3 bussen in GM.;;;BUILDING template;Karel Rogierstraat;26;;;151867,09;211117,741
ANTWERPEN-WEST - FH10;2062140;3;0;0;3;MDU;;Y;NA;4;4;De Vrierestraat29;Beschermd Erfgoed;1 Unit in CRAB, 3 bussen in GM.;;;BUILDING template;De Vrierestraat;29;;;152034,936;211010,273
ANTWERPEN-WEST - FH10;4245328;1;0;0;1;SDU;;Y;NA;2;4;Zwijgerstraat33;Beschermd Erfgoed; ;;;BUILDING template;Zwijgerstraat;33;;;151930,054;211045,92
ANTWERPEN-WEST - FH10;973061;5;0;0;5;MDU;;Y;NA;4;4;Tolstraat89; ; ;;;BUILDING template;Tolstraat;89;;;152315,211;211016,43
ANTWERPEN-WEST - FH10;2042508;1;0;0;1;SDU;;Y;NA;2;4;Edward Pecherstraat5;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Edward Pecherstraat;5;;;151456;210840
ANTWERPEN-WEST - FH10;1739392;4;0;0;4;MDU;;Y;NA;4;4;Beeldhouwersstraat8;Beschermd Erfgoed;1 Unit in CRAB, 4 in GM.;;;BUILDING template;Beeldhouwersstraat;8;;;151728,564;210909,322
ANTWERPEN-WEST - FH10;1944456;1;0;0;1;SDU;;Y;NA;2;4;Graaf van Hoornestraat56; ; ;;;BUILDING template;Graaf van Hoornestraat;56;;;151654,08;210742,016
ANTWERPEN-WEST - FH10;2048293;4;0;0;4;MDU;;Y;NA;4;4;Karel Rogierstraat27;Beschermd Erfgoed;1 Unit in CRAB, 4 bellen in GM.;;;BUILDING template;Karel Rogierstraat;27;;;151878,235;211092,058
ANTWERPEN-WEST - FH10;2062141;1;0;0;1;SDU;;Y;NA;2;4;De Vrierestraat31; ; ;;;BUILDING template;De Vrierestraat;31;;;152036,076;211003,809
ANTWERPEN-WEST - FH10;4251750;2;0;0;2;MDU;;Y;NA;4;4;Beeldhouwersstraat18;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Beeldhouwersstraat;18;;;151755,105;210889,971
ANTWERPEN-WEST - FH10;973062;4;0;0;4;MDU;;Y;NA;4;4;Welvaartstraat27A; ;1 Unit in CRAB, 4 bussen in GM.;;;BUILDING template;Welvaartstraat;27;A;;152221,737;211136,407
ANTWERPEN-WEST - FH10;2042563;1;0;0;1;SDU;;Y;NA;2;4;Edward Pecherstraat25;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Edward Pecherstraat;25;;;151470;210783
ANTWERPEN-WEST - FH10;1739393;1;0;0;1;SDU;;Y;NA;2;4;Beeldhouwersstraat10;Beschermd Erfgoed; ;;;BUILDING template;Beeldhouwersstraat;10;;;151734,358;210905,206
