Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Building comment;Crab Comment;Opdrachttemplate;Building exists;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
MECHELEN - FH02;335261;4;1;0;5;MDU;B;Y;NA;3;9;;;BUILDING template;;Colomastraat;16;;
MECHELEN - FH02;5553120;0;1;0;1;SDU;D;Y;NA;1;3;;;BUILDING template;;Groenstraat;12;;
MECHELEN - FH02;3035598;1;0;1;2;SDU;D;Y;NA;3;10;;;BUILDING template;;Groenstraat;22;;
MECHELEN - FH02;1332974;3;1;0;4;MDU;X;Y;NA;3;9;nagekeken;;BUILDING template;;Hoogstraat;77;;
MECHELEN - FH02;3040930;3;1;0;4;MDU;D;N;IRREG;3;9;BE_;;BUILDING template;;Leopoldstraat;88;;
MECHELEN - FH02;3040926;0;1;0;1;SDU;D;N;IRREG;3;9;;;BUILDING template;;Leopoldstraat;84;;
MECHELEN - FH02;4762107;1;1;0;2;MDU;;N;IRREG;4;12;;;BUILDING template;;Louizastraat;21;;
MECHELEN - FH02;3042474;1;0;0;1;SDU;;N;IRREG;4;12;;;BUILDING template;;Louizastraat;23;;
MECHELEN - FH02;388434;0;4;0;4;MDU;X;N;IRREG;4;9;;;BUILDING template;;Oude Brusselsestraat;7;;
MECHELEN - FH02;4215413;0;6;2;8;MDU;;N;IRREG;5;15;;;BUILDING template;;Stationsstraat;60;;
MECHELEN - FH02;3050681;4;0;0;4;MDU;X;N;IRREG;4;12;"nagekeken;  opm. : bij lift staat lu ipv su bij 'details eenheden'";;BUILDING template;;Vaartdijk;27;;
MECHELEN - FH02;3036043;1;0;0;1;SDU;;N;ORN;3;11;;;BUILDING template;;Hanswijkstraat;30;;
