Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking;SS_FOTO_FACADE1_URL
HASSELT - FH08;BL0021;NB-3500700881;Monseigneur Kerkhofsstraat;7;;;217473;180226;SDU;;1;0;0;1;N;HEIGHT;1;Bouwgrond;;Y;;BUILDING template;;;https://web.appeee.nl/Files/FormEntry/55607-4e0e2de6-790c-49c3-b5af-ab9d01084d48
HASSELT - FH08;BL0018;4895216;Acaciastraat;9;;;217293,223;180123,668;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-6e9924d3-fd06-4968-a0a3-aba900b184a6;;https://web.appeee.nl/Files/FormEntry/55607-6e9924d3-fd06-4968-a0a3-aba900b184a6200426124624776000.jpg
HASSELT - FH08;BL0019;2414689;Ertbeekstraat;44;;;217367,58;180238,073;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-4081f7f8-4801-4756-af19-aba900c65f15;;https://web.appeee.nl/Files/FormEntry/55607-4081f7f8-4801-4756-af19-aba900c65f15200426140220046000.jpg
HASSELT - FH08;BL0016;2446496;Vredestraat;106;;;217059,746;179998,872;SDU;;1;0;0;1;N;IRREG;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-544494ce-a8ec-4396-a766-aba900d3328b;;https://web.appeee.nl/Files/FormEntry/55607-544494ce-a8ec-4396-a766-aba900d3328b200426144904692000.jpg
HASSELT - FH08;BL0022;707021;Spoorwegstraat;54;;;217477,229;180377,387;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-8092a458-4b55-404c-b949-aba900e4bd9e;;https://web.appeee.nl/Files/FormEntry/55607-8092a458-4b55-404c-b949-aba900e4bd9e200426155249709774.jpg
HASSELT - FH08;BL0015;4895713;Djef Swennenstraat;35;;;216959;180007;SDU;;1;0;0;1;N;IRREG;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-266c166b-1e48-46e1-a929-aba90080eec9;;https://web.appeee.nl/Files/FormEntry/55607-266c166b-1e48-46e1-a929-aba90080eec9200426094929542000.jpg
HASSELT - FH08;BL0018;4895217;Acaciastraat;11;;;217287,839;180127,488;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-fbd7978a-f435-4ce4-b032-aba900b161e3;;https://web.appeee.nl/Files/FormEntry/55607-fbd7978a-f435-4ce4-b032-aba900b161e3200426124554946000.jpg
HASSELT - FH08;BL0020;2414691;Ertbeekstraat;45;;;217363,761;180288,698;MDU;;10;0;0;10;Y;NA;4;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-6a8670f5-3810-4875-b8e9-aba900d3390e;;https://web.appeee.nl/Files/FormEntry/55607-6a8670f5-3810-4875-b8e9-aba900d3390e200426144907437000.jpg
HASSELT - FH08;BL0014;2446498;Vredestraat;107;;;216996,394;179892,186;SDU;;1;0;0;1;N;IRREG;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-9d197345-52e0-4611-a5ba-aba900d39274;;https://web.appeee.nl/Files/FormEntry/55607-9d197345-52e0-4611-a5ba-aba900d39274200426145025148000.jpg
HASSELT - FH08;BL0022;707022;Spoorwegstraat;51;;;217493,601;180377,727;SDU;;1;0;0;1;Y;NA;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-c58d2df6-2b1d-475f-b546-aba900e4161f;;https://web.appeee.nl/Files/FormEntry/55607-c58d2df6-2b1d-475f-b546-aba900e4161f200426155036527000.jpg
HASSELT - FH08;BL0016;4901495;Runkstersteenweg;183;;;217144,524;179899,885;SDU;;0;0;0;0;N;HEIGHT;1;;;N;;BUILDING template;;;https://web.appeee.nl/Files/FormEntry/55607-f86e37c7-acba-4df6-a9ca-aba900ddc54b
HASSELT - FH08;BL0017;707118;Acaciastraat;12;;;217288,759;180099,459;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-eee1b52e-2a51-44c4-9c1e-aba90091e4f7;;https://web.appeee.nl/Files/FormEntry/55607-eee1b52e-2a51-44c4-9c1e-aba90091e4f7200426105114656000.jpg
HASSELT - FH08;BL0019;2414693;Ertbeekstraat;48;;;217365,032;180228,31;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-2a08e897-b279-49f9-923e-abab01089e97;;https://web.appeee.nl/Files/FormEntry/55607-2a08e897-b279-49f9-923e-abab01089e97200428180335066000.jpg
HASSELT - FH08;BL0016;2446499;Vredestraat;108;;;217058,796;179991,427;SDU;;1;0;0;1;N;IRREG;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-31540784-4851-4710-b69b-aba900d370ac;;https://web.appeee.nl/Files/FormEntry/55607-31540784-4851-4710-b69b-aba900d370ac200426145002965000.jpg
HASSELT - FH08;BL0022;707023;Spoorwegstraat;50;;;217498,995;180378,155;SDU;;1;0;0;1;Y;NA;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-fe02ea5e-f188-4a1f-9966-aba900e3d0ba;;https://web.appeee.nl/Files/FormEntry/55607-fe02ea5e-f188-4a1f-9966-aba900e3d0ba200426154927607897.jpg
HASSELT - FH08;BL0006;708538;Boekstraat;1;;;217044,531;180449,115;SDU;;0;1;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-838f6e98-14ba-4ac2-8586-aba90096d542;;https://web.appeee.nl/Files/FormEntry/55607-838f6e98-14ba-4ac2-8586-aba90096d542200426110913894000.jpg
HASSELT - FH08;BL0018;2407584;Acaciastraat;13;;;217282,925;180128,775;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-a4993db6-06e3-49fc-9297-aba900b13ce3;;https://web.appeee.nl/Files/FormEntry/55607-a4993db6-06e3-49fc-9297-aba900b13ce3200426124524153000.jpg
HASSELT - FH08;BL0020;2414696;Ertbeekstraat;49;;;217355,423;180277,353;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-953d92c8-8960-4345-8dbf-aba900d37dd0;;https://web.appeee.nl/Files/FormEntry/55607-953d92c8-8960-4345-8dbf-aba900d37dd0200426145004397000.jpg
HASSELT - FH08;BL0016;2446502;Vredestraat;116;;;217047,519;179939,569;SDU;;0;1;0;1;N;IRREG;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-1f80f88c-84ca-4012-9e41-aba900d4d6d4;;https://web.appeee.nl/Files/FormEntry/55607-1f80f88c-84ca-4012-9e41-aba900d4d6d4200426145300166000.jpg
HASSELT - FH08;BL0022;707024;Spoorwegstraat;49;;;217506,659;180379,848;SDU;;1;0;0;1;Y;NA;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-3526cdfe-8029-48f6-adc0-aba900e37943;;https://web.appeee.nl/Files/FormEntry/55607-3526cdfe-8029-48f6-adc0-aba900e37943200426154834436000.jpg
HASSELT - FH08;BL0002;5496618;Monseigneur Schruerslaan;5;;;216689;180545;SDU;;1;0;0;1;N;ORN;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-de514959-47c8-4508-9b7e-abab0077d8df;;https://web.appeee.nl/Files/FormEntry/55607-de514959-47c8-4508-9b7e-abab0077d8df200428091631125000.jpg
HASSELT - FH08;BL0017;2407585;Acaciastraat;14;;;217284,955;180098,246;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-97659968-9dab-442f-99c4-aba90091c36d;;https://web.appeee.nl/Files/FormEntry/55607-97659968-9dab-442f-99c4-aba90091c36d200426105049450000.jpg
HASSELT - FH08;BL0019;2414698;Ertbeekstraat;50;;;217360,792;180224,537;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-171488ea-0dd1-4c90-81fc-aba900c6c304;;https://web.appeee.nl/Files/FormEntry/55607-171488ea-0dd1-4c90-81fc-aba900c6c304200426140344635000.jpg
HASSELT - FH08;BL0016;2446504;Vredestraat;120;;;217041,312;179907,207;SDU;;0;1;0;1;N;IRREG;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-5eeae5d5-11ba-478c-bb58-aba900d5c15a;;https://web.appeee.nl/Files/FormEntry/55607-5eeae5d5-11ba-478c-bb58-aba900d5c15a200426145820962000.jpg
HASSELT - FH08;BL0022;707025;Spoorwegstraat;43;;;217544,917;180372,654;SDU;;1;0;0;1;Y;NA;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-31d1080f-42c4-4c26-9c6d-aba900e36238;;https://web.appeee.nl/Files/FormEntry/55607-31d1080f-42c4-4c26-9c6d-aba900e36238200426154753329088.jpg
HASSELT - FH08;BL0002;5508736;Monseigneur Schruerslaan;23;;;216574;180564;SDU;;1;0;0;1;N;ORN;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-970b5df4-df4c-46cd-bf7f-abab007bdcba;;https://web.appeee.nl/Files/FormEntry/55607-970b5df4-df4c-46cd-bf7f-abab007bdcba200428093118028000.jpg
HASSELT - FH08;BL0018;2407586;Acaciastraat;15;;;217277,526;180130,124;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-3281a4d3-0c51-4654-a079-aba900b1192a;;https://web.appeee.nl/Files/FormEntry/55607-3281a4d3-0c51-4654-a079-aba900b1192a200426124453870000.jpg
HASSELT - FH08;BL0020;2414701;Ertbeekstraat;51;;;217348,059;180271,374;MDU;;3;0;0;3;Y;NA;4;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-775986ce-c559-415b-a62b-aba900d3b720;;https://web.appeee.nl/Files/FormEntry/55607-775986ce-c559-415b-a62b-aba900d3b720200426145052848000.jpg
HASSELT - FH08;BL0016;2446506;Vredestraat;122;;;217040,148;179898,985;SDU;;1;0;0;1;N;IRREG;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-6d2204fc-0cd7-419f-ab80-aba900d6305e;;https://web.appeee.nl/Files/FormEntry/55607-6d2204fc-0cd7-419f-ab80-aba900d6305e200426150002009000.jpg
HASSELT - FH08;BL0018;707027;Wilgenstraat;26;;;217263,622;180235,329;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-ac3452ea-d307-4049-a90a-aba900a2363e;;https://web.appeee.nl/Files/FormEntry/55607-ac3452ea-d307-4049-a90a-aba900a2363e200426115041349000.jpg
HASSELT - FH08;BL0002;5509061;Monseigneur Schruerslaan;13;;;216646;180551;SDU;;0;1;0;1;N;ORN;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-9ccf98a5-c732-4ba3-a359-abab00797521;;https://web.appeee.nl/Files/FormEntry/55607-9ccf98a5-c732-4ba3-a359-abab00797521200428092220926000.jpg
HASSELT - FH08;BL0017;2407587;Acaciastraat;16;;;217279,905;180098,332;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-a85be28c-aa7e-4751-9ccf-aba900919edd;;https://web.appeee.nl/Files/FormEntry/55607-a85be28c-aa7e-4751-9ccf-aba900919edd200426105015011000.jpg
HASSELT - FH08;BL0019;2414702;Ertbeekstraat;52;;;217359,097;180219,843;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-84328e3b-ab38-4a43-972f-aba900c6e298;;https://web.appeee.nl/Files/FormEntry/55607-84328e3b-ab38-4a43-972f-aba900c6e298200426140410198000.jpg
HASSELT - FH08;BL0016;2446507;Vredestraat;124;;;217040,124;179890,317;SDU;;1;0;0;1;N;IRREG;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-61b597ff-8998-4eca-b501-aba900d66ea6;;https://web.appeee.nl/Files/FormEntry/55607-61b597ff-8998-4eca-b501-aba900d66ea6200426150053618000.jpg
HASSELT - FH08;BL0020;707028;Wilgenstraat;19;;;217279,092;180260,71;MDU;;3;0;0;3;Y;NA;4;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-6e73daea-7fb4-4869-b76a-aba900d72f2a;;https://web.appeee.nl/Files/FormEntry/55607-6e73daea-7fb4-4869-b76a-aba900d72f2a200426150332136000.jpg
HASSELT - FH08;BL0002;5509062;Monseigneur Schruerslaan;15;;;216622;180556;SDU;;1;0;0;1;N;ORN;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-222baa45-116a-4843-8502-abab007a6910;;https://web.appeee.nl/Files/FormEntry/55607-222baa45-116a-4843-8502-abab007a6910200428092551923000.jpg
HASSELT - FH08;BL0018;4233725;Acaciastraat;17;;;217270,675;180129,525;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-d2b92fc1-8e08-4063-8767-aba900b0f88f;;https://web.appeee.nl/Files/FormEntry/55607-d2b92fc1-8e08-4063-8767-aba900b0f88f200426124423666000.jpg
HASSELT - FH08;BL0020;2414704;Ertbeekstraat;53;;;217347,343;180263,522;SDU;;1;0;0;1;Y;NA;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-5653e021-7678-4e23-9f04-aba900d3d990;;https://web.appeee.nl/Files/FormEntry/55607-5653e021-7678-4e23-9f04-aba900d3d990200426145124888000.jpg
HASSELT - FH08;BL0020;2447509;Wilgenstraat;3;;;217323,013;180234,96;SDU;;1;0;0;1;Y;NA;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-bbbb9523-c044-4976-bf8e-aba900d5e3b4;;https://web.appeee.nl/Files/FormEntry/55607-bbbb9523-c044-4976-bf8e-aba900d5e3b4200426145853607000.jpg
HASSELT - FH08;BL0018;707029;Wilgenstraat;4;;;217319,523;180206,654;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-efde23f2-58d7-409c-85e2-aba900a08ea5;;https://web.appeee.nl/Files/FormEntry/55607-efde23f2-58d7-409c-85e2-aba900a08ea5200426114438738000.jpg
HASSELT - FH08;BL0004;708337;Sint-Servaasstraat;1;;;216586,412;180330,885;SDU;;1;0;0;1;N;IRREG;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-8dcf8ed0-5f5b-4f79-8c37-aba9006d1e5d;;https://web.appeee.nl/Files/FormEntry/55607-8dcf8ed0-5f5b-4f79-8c37-aba9006d1e5d200426083738973000.jpg
HASSELT - FH08;BL0017;2407589;Acaciastraat;18;;;217274,802;180096,772;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-0fe040e3-8b94-475b-aa72-aba900917288;;https://web.appeee.nl/Files/FormEntry/55607-0fe040e3-8b94-475b-aa72-aba900917288200426104936488000.jpg
HASSELT - FH08;BL0019;2414705;Ertbeekstraat;54;;;217357,366;180215,051;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-29ca693f-a241-4b3b-8aed-aba900c70126;;https://web.appeee.nl/Files/FormEntry/55607-29ca693f-a241-4b3b-8aed-aba900c70126200426140437373000.jpg
HASSELT - FH08;BL0018;2447511;Wilgenstraat;6;;;217314,571;180208,885;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-09d990a6-1cc5-497f-8f81-aba900a0b4f9;;https://web.appeee.nl/Files/FormEntry/55607-09d990a6-1cc5-497f-8f81-aba900a0b4f9200426114511482000.jpg
HASSELT - FH08;BL0020;707030;Wilgenstraat;1;;;217330,025;180225,379;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-d46232f9-0ea5-4a5a-947a-aba900d5ad76;;https://web.appeee.nl/Files/FormEntry/55607-d46232f9-0ea5-4a5a-947a-aba900d5ad76200426145806108000.jpg
HASSELT - FH08;BL0004;708348;Sint-Kristoffelstraat;1;;;216568,661;180378,79;SDU;;1;0;0;1;N;IRREG;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-f1e26ede-a048-4385-91c5-aba9006b514b;;https://web.appeee.nl/Files/FormEntry/55607-f1e26ede-a048-4385-91c5-aba9006b514b200426083101962000.jpg
HASSELT - FH08;BL0018;2407590;Acaciastraat;19;;;217263;180141;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-68fa842d-da3d-4752-812b-aba900b0d310;;https://web.appeee.nl/Files/FormEntry/55607-68fa842d-da3d-4752-812b-aba900b0d310200426124352342000.jpg
HASSELT - FH08;BL0019;2414706;Ertbeekstraat;58;;;217355,434;180205,18;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-0519f82d-aad1-4370-a54c-aba900c74a11;;https://web.appeee.nl/Files/FormEntry/55607-0519f82d-aad1-4370-a54c-aba900c74a11200426140541929000.jpg
HASSELT - FH08;BL0018;2447512;Wilgenstraat;8;;;217309,725;180211,496;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-7efbcdc3-d73d-45a2-93c1-aba900a0da52;;https://web.appeee.nl/Files/FormEntry/55607-7efbcdc3-d73d-45a2-93c1-aba900a0da52200426114543419000.jpg
HASSELT - FH08;BL0017;2407592;Acaciastraat;20;;;217269,952;180098,588;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-ae9790c0-f209-42a5-9801-aba900914d32;;https://web.appeee.nl/Files/FormEntry/55607-ae9790c0-f209-42a5-9801-aba900914d32200426104909883000.jpg
HASSELT - FH08;BL0002;5509208;Spoorwegstraat;167;;;216609,731;180617,079;SDU;;1;0;0;1;N;ORN;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-a3379f11-5384-48ab-a14b-abab0070be48;;https://web.appeee.nl/Files/FormEntry/55607-a3379f11-5384-48ab-a14b-abab0070be48200428085036040000.jpg
HASSELT - FH08;BL0018;4895221;Acaciastraat;21;;;217252,251;180131,279;MDU;;2;0;0;2;Y;NA;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-8fd4095b-aa0b-4ae2-96b4-aba900b099ad;;https://web.appeee.nl/Files/FormEntry/55607-8fd4095b-aa0b-4ae2-96b4-aba900b099ad200426124308893000.jpg
HASSELT - FH08;BL0020;2414707;Ertbeekstraat;59;;;217337,047;180238,959;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-4bd44146-8ee0-4a53-bd82-aba900d4c355;;https://web.appeee.nl/Files/FormEntry/55607-4bd44146-8ee0-4a53-bd82-aba900d4c355200426145442772000.jpg
HASSELT - FH08;BL0020;2447513;Wilgenstraat;9;;;217307,2;180242,673;SDU;;1;0;0;1;Y;NA;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-5f0bdddb-f8e2-40a3-900b-aba900d65880;;https://web.appeee.nl/Files/FormEntry/55607-5f0bdddb-f8e2-40a3-900b-aba900d65880200426150030016000.jpg
HASSELT - FH08;BL0017;2407593;Acaciastraat;22;;;217264,373;180098,708;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-7ab29afe-7ebc-4c61-9181-aba90091289e;;https://web.appeee.nl/Files/FormEntry/55607-7ab29afe-7ebc-4c61-9181-aba90091289e200426104835271000.jpg
HASSELT - FH08;BL0002;5552888;Monseigneur Schruerslaan;4;;;216695;180543;SDU;;1;0;0;1;N;ORN;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-82f7fdbb-046b-41ff-b3cd-abab0077a5a7;;https://web.appeee.nl/Files/FormEntry/55607-82f7fdbb-046b-41ff-b3cd-abab0077a5a7200428091542280000.jpg
HASSELT - FH08;BL0018;4083526;Acaciastraat;23;;;217244,272;180131,863;MDU;;4;0;0;4;Y;NA;4;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-b2f9a924-a0fc-4a89-9555-aba900b060cf;;https://web.appeee.nl/Files/FormEntry/55607-b2f9a924-a0fc-4a89-9555-aba900b060cf200426124214772000.jpg
HASSELT - FH08;BL0019;2414709;Ertbeekstraat;60;;;217354,936;180200,007;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-47f6a588-c719-4780-85f3-aba900c7729d;;https://web.appeee.nl/Files/FormEntry/55607-47f6a588-c719-4780-85f3-aba900c7729d200426140621374000.jpg
HASSELT - FH08;BL0020;2447514;Wilgenstraat;11;;;217301,9;180246,841;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-58edea71-3d69-4d9a-ba57-aba900d68822;;https://web.appeee.nl/Files/FormEntry/55607-58edea71-3d69-4d9a-ba57-aba900d68822200426150109723000.jpg
HASSELT - FH08;BL0017;2407595;Acaciastraat;24;;;217259,964;180100,799;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-41775a8b-b24f-4073-b2ee-aba9009100b0;;https://web.appeee.nl/Files/FormEntry/55607-41775a8b-b24f-4073-b2ee-aba9009100b0200426104800262000.jpg
HASSELT - FH08;BL0002;5552889;Monseigneur Schruerslaan;6;;;216684;180545;SDU;;1;0;0;1;N;ORN;3;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-c1676eeb-0c8e-4dd1-b456-abab007810df;;https://web.appeee.nl/Files/FormEntry/55607-c1676eeb-0c8e-4dd1-b456-abab007810df200428091714974000.jpg
HASSELT - FH08;BL0017;4901579;Acaciastraat;26;;;217254,744;180101,16;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-8ba7ec2c-0d6d-4f27-9c1c-aba90090e434;;https://web.appeee.nl/Files/FormEntry/55607-8ba7ec2c-0d6d-4f27-9c1c-aba90090e434200426104735816000.jpg
HASSELT - FH08;BL0020;2414710;Ertbeekstraat;61;;;217334,01;180234,57;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-3c7708c2-95bc-4d98-b3e0-aba900d4e6e0;;https://web.appeee.nl/Files/FormEntry/55607-3c7708c2-95bc-4d98-b3e0-aba900d4e6e0200426145512440000.jpg
HASSELT - FH08;BL0020;2447515;Wilgenstraat;13;;;217295,476;180249,86;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template;https://web.appeee.nl/Files/FormEntry/55607-918358f0-2ed0-4c60-9cdb-aba900d6acb6;;https://web.appeee.nl/Files/FormEntry/55607-918358f0-2ed0-4c60-9cdb-aba900d6acb6200426150139633000.jpg
