Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
KNOKKE - FH01;2763137;9;0;1;10;MDU;XA;N;IRREG;6;4;;;;;BUILDING template;Lippenslaan;148;;
KNOKKE - FH01;2765539;4;0;1;5;MDU;XC;Y;NA;5;4;;;;;BUILDING template;Piers de Raveschootlaan;61;;
KNOKKE - FH01;5941738;4;0;1;5;MDU;C;N;IRREG;5;4;;;;;BUILDING template;Koningslaan;52;A;
KNOKKE - FH01;4035437;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Edward Verheyestraat;55;;
KNOKKE - FH01;2763141;5;1;1;7;MDU;XA;N;IRREG;6;4;;;;;BUILDING template;Lippenslaan;150;;
KNOKKE - FH01;338493;8;1;2;11;MDU;XC;Y;NA;5;4;;;;;BUILDING template;Piers de Raveschootlaan;63;;
KNOKKE - FH01;6166019;6;0;2;8;MDU;C;N;IRREG;3;4;;;;;BUILDING template;Nestor de Tierestraat;8;B;
KNOKKE - FH01;2767136;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Edward Verheyestraat;57;;
KNOKKE - FH01;239616;0;1;0;1;SDU;;N;IRREG;5;0;;;;;BUILDING template;Lippenslaan;151;;
KNOKKE - FH01;1209518;8;1;1;10;MDU;X;N;IRREG;6;4;;;;In aanbouw - En construction;BUILDING template;Piers de Raveschootlaan;67;;
KNOKKE - FH01;6326538;1;0;0;1;SDU;;Y;NA;4;4;;;;;BUILDING template;Nieuwstraat;10;;
KNOKKE - FH01;4343901;1;0;0;1;SDU;;Y;NA;2;4;;;;;BUILDING template;Edward Verheyestraat;59;;
KNOKKE - FH01;320996;0;2;0;2;MDU;D;Y;NA;5;6;;;;;BUILDING template;Lippenslaan;152;;
KNOKKE - FH01;2765550;8;1;2;11;MDU;XC;N;IRREG;5;4;;;;;BUILDING template;Piers de Raveschootlaan;71;;
KNOKKE - FH01;6326539;6;0;2;8;MDU;B;N;ORN;4;0;;;;;BUILDING template;Nieuwstraat;12;;Nieuwstraat 12_Natiënlaan 53
KNOKKE - FH01;84722;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Edward Verheyestraat;61;;
KNOKKE - FH01;1452733;17;2;1;20;MDU;C;Y;NA;5;4;;;;;BUILDING template;Piers de Raveschootlaan;75;;
KNOKKE - FH01;2763150;0;1;0;1;SDU;;N;IRREG;6;0;;;;SDU, BU S;BUILDING template;Lippenslaan;157;;
KNOKKE - FH01;2765557;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Piers de Raveschootlaan;79;;
KNOKKE - FH01;6378694;0;1;0;1;MDU;C;N;IRREG;3;4;;;;;BUILDING template;Nestor de Tierestraat;4;;Nestor de Tièrestraat 4-6
KNOKKE - FH01;239602;14;0;2;16;MDU;A;N;IRREG;6;4;;;;;BUILDING template;Elizabetlaan;96;;
KNOKKE - FH01;2763161;0;1;0;1;MDU;D;N;IRREG;5;4;;;;;BUILDING template;Lippenslaan;163;;Lippenslaan 163-167
KNOKKE - FH01;4347658;3;1;2;6;MDU;D;Y;NA;4;4;;;;Bovenste is duplex;BUILDING template;Piers de Raveschootlaan;81;;
KNOKKE - FH01;6400883;0;1;0;1;SDU;;N;IRREG;3;4;;;;;BUILDING template;Boudewijnlaan;50;;
KNOKKE - FH01;2759601;6;1;0;7;MDU;XA;N;IRREG;6;4;;;;;BUILDING template;Elizabetlaan;100;;
KNOKKE - FH01;3990557;19;1;2;22;MDU;A;N;IRREG;6;0;;;;;BUILDING template;Lippenslaan;171;;
KNOKKE - FH01;338442;9;0;2;11;MDU;D;Y;NA;5;4;;;;;BUILDING template;Piers de Raveschootlaan;83;;
KNOKKE - FH01;6413780;7;0;0;7;MDU;X;N;IRREG;3;0;;;;Afbraak -  Démolition;BUILDING template;Piers de Raveschootlaan;10;;
KNOKKE - FH01;239603;19;1;1;21;MDU;A;Y;NA;6;4;;;;Leopoldlaan 4 en 6 moeten nog aangemaakt worden;BUILDING template;Elizabetlaan;102;;Elizabetlaan 102_Leopoldlaan 4-6
KNOKKE - FH01;2765567;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Piers de Raveschootlaan;87;;
