Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
ANTWERPEN-WEST - FH06;1893194;1;0;0;1;SDU;;Y;NA;0;4;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Maarschalk Gérardstraat;29;;
ANTWERPEN-WEST - FH06;6629699;0;1;0;1;SDU;;Y;NA;5;5;;;Y;_;BUILDING template;Lombardenvest;61;;
ANTWERPEN-WEST - FH06;55484;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Bervoetstraat;55;;
ANTWERPEN-WEST - FH06;1921113;0;1;0;1;SDU;;Y;NA;4;5;;;Y;_;BUILDING template;Groenkerkhofstraat;5;;
ANTWERPEN-WEST - FH06;2068441;0;1;0;1;SDU;;Y;NA;5;5;;;Y;_;BUILDING template;Lombardenvest;49;;
ANTWERPEN-WEST - FH06;55485;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Bervoetstraat;47;;
ANTWERPEN-WEST - FH06;1921159;0;1;0;1;SDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Groenplaats;5;;
ANTWERPEN-WEST - FH06;2068443;0;1;0;1;SDU;;Y;NA;5;55;;;Y;_;BUILDING template;Lombardenvest;53;;
ANTWERPEN-WEST - FH06;55500;1;0;0;1;SDU;;Y;NA;3;8;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Begijnenstraat;85;;
ANTWERPEN-WEST - FH06;55503;1;0;0;1;SDU;;Y;NA;4;4;;;Y;;BUILDING template;Begijnenstraat;1;;
ANTWERPEN-WEST - FH06;2068446;0;1;0;1;SDU;;Y;NA;5;5;;;Y;;BUILDING template;Lombardenvest;65;;
ANTWERPEN-WEST - FH06;55505;0;1;0;1;SDU;;Y;NA;4;5;;;Y;_;BUILDING template;Vleminckveld;68;;
ANTWERPEN-WEST - FH06;1921210;0;1;0;1;SDU;;Y;NA;3;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Groenplaats;13;;
ANTWERPEN-WEST - FH06;1921214;0;1;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Groenplaats;14;;
ANTWERPEN-WEST - FH06;1921232;0;1;0;1;SDU;;N;ORN;3;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Groenplaats;17;;
ANTWERPEN-WEST - FH06;55508;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Rosier;42;;
ANTWERPEN-WEST - FH06;1921239;0;1;0;1;SDU;;N;ORN;4;3;Beschermd Erfgoed;;Y;_ BE;BUILDING template;Groenplaats;18;;
ANTWERPEN-WEST - FH06;55509;0;1;0;1;SDU;;Y;NA;4;3;;;Y;;BUILDING template;Rosier;32;;
ANTWERPEN-WEST - FH06;1921243;0;1;0;1;SDU;;N;MON;4;4;Monument;;Y;Review Required MON;BUILDING template;Groenplaats;19;;
ANTWERPEN-WEST - FH06;3985734;0;1;0;1;SDU;;N;MON;5;3;Monument;;Y;_ MON;BUILDING template;Schoenmarkt;14;;
ANTWERPEN-WEST - FH06;1921248;0;1;0;1;SDU;;N;MON;3;3;Monument;;Y;_ MON;BUILDING template;Groenplaats;20;;
ANTWERPEN-WEST - FH06;55512;0;1;0;1;SDU;;Y;NA;3;4;Beschermd Erfgoed;;Y;_;BUILDING template;Maarschalk Gérardstraat;16;;
ANTWERPEN-WEST - FH06;1921250;0;1;0;1;SDU;;N;MON;1;0;Monument;;Y;MON;BUILDING template;Groenplaats;21;;
