Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH03;4344410;0;0;0;0;SDU;;N;IRREG;4;4;;;N;;BUILDING template;Lippenslaan;272;;;74788,517;227301,581
KNOKKE-HEIST - FH03;2763334;6;1;1;8;MDU;;N;IRREG;7;3;Beschermd Erfgoed;7LU in CRAB, in GM ook met BU bijgerekend.;Y;_;BUILDING template;Lippenslaan;308;;;74788,654;227362,206
KNOKKE-HEIST - FH03;2763337;0;1;0;1;MDU;;N;IRREG;7;3;;1LU in CRAB, kan BU in GM zijn.;Y;_;BUILDING template;Lippenslaan;310;;Lippenslaan 310-312;74789,012;227368,783
KNOKKE-HEIST - FH03;2763343;0;1;0;1;SDU;;N;IRREG;3;3;Beschermd Erfgoed;;Y;_;BUILDING template;Lippenslaan;314;;;74789,548;227377,171
KNOKKE-HEIST - FH03;2763346;6;1;1;8;MDU;;N;IRREG;7;3;Beschermd Erfgoed;;Y;_;BUILDING template;Lippenslaan;316;;;74790,548;227387,171
KNOKKE-HEIST - FH03;2763317;12;0;1;13;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;286;;Lippenslaan 284-286-300-302;74791,252;227329,382
KNOKKE-HEIST - FH03;336834;0;1;0;1;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Dumortierlaan;3;;Dumortierlaan 3-5-7_Lippenslaan 262;74791,418;227271,809
KNOKKE-HEIST - FH03;2763348;6;1;1;8;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;318;;;74791,548;227393,171
KNOKKE-HEIST - FH03;2763350;0;1;0;1;MDU;;N;IRREG;8;3;;1LU in CRAB, onduidelijk in GM;Y;_;BUILDING template;Lippenslaan;320;;Lippenslaan 320-322;74792,352;227401,278
KNOKKE-HEIST - FH03;2763321;0;0;0;0;SDU;;N;IRREG;2;4;;;N;;BUILDING template;Lippenslaan;290;;;74792,512;227283,479
KNOKKE-HEIST - FH03;2763356;0;1;0;1;MDU;;N;IRREG;6;3;;5LU in CRAB, lijkt in GM BU op GLV te zijn.;Y;_;BUILDING template;Lippenslaan;324;;Lippenslaan 324-326;74792,548;227408,343
KNOKKE-HEIST - FH03;2768154;4;1;1;6;MDU;;N;IRREG;5;3;;;Y;_;BUILDING template;Zoutelaan;9;;;74793,35;227142,308
KNOKKE-HEIST - FH03;4344418;0;0;0;0;SDU;;N;IRREG;2;4;;;N;;BUILDING template;Lippenslaan;296;;;74795,057;227327,855
KNOKKE-HEIST - FH03;336836;0;1;0;1;MDU;;N;IRREG;7;3;;1LU in CRAB, BU in GM;Y;_;BUILDING template;Lippenslaan;332;;Koninginnenlaan 2_Lippenslaan 332-334-336-338;74795,092;227430,631
KNOKKE-HEIST - FH03;4344417;0;0;0;0;SDU;;N;IRREG;2;4;;;N;;BUILDING template;Lippenslaan;294;;;74795,145;227332,353
KNOKKE-HEIST - FH03;2763369;0;1;0;1;MDU;;N;IRREG;7;3;;1LU in CRAB, lijkt in GM BU op GLV.;Y;_;BUILDING template;Lippenslaan;334;;Koninginnenlaan 2_Lippenslaan 332-334-336-338;74796,134;227436,492
KNOKKE-HEIST - FH03;5579479;0;1;0;1;MDU;;N;IRREG;7;3;;1LU in CRAB, onduidelijk in GM;Y;_;BUILDING template;Lippenslaan;338;;Koninginnenlaan 2_Lippenslaan 332-334-336-338;74796,134;227450,494
KNOKKE-HEIST - FH03;2763374;12;1;1;14;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;336;;Koninginnenlaan 2_Lippenslaan 332-334-336-338;74796,586;227443,182
KNOKKE-HEIST - FH03;2763331;9;0;1;10;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;306;;Lippenslaan 304-306;74797,248;227349,939
KNOKKE-HEIST - FH03;2763340;6;0;1;7;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;312;;Lippenslaan 310-312;74797,973;227366,893
KNOKKE-HEIST - FH03;5579337;0;1;0;1;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Dumortierlaan;7;;Dumortierlaan 3-5-7_Lippenslaan 262;74798;227278
KNOKKE-HEIST - FH03;5514774;0;0;0;0;SDU;;N;IRREG;2;4;;;N;;BUILDING template;Lippenslaan;286;D;;74799,703;227328,08
KNOKKE-HEIST - FH03;2763377;0;1;0;1;MDU;;N;IRREG;7;3;;1LU in CRAB, onduidelijk in GM;Y;_;BUILDING template;Lippenslaan;342;;Lippenslaan 342-344;74800,029;227489,235
KNOKKE-HEIST - FH03;6430776;0;0;0;0;SDU;;N;IRREG;2;4;;;N;;BUILDING template;Lippenslaan;286;C;;74800,224;227324,368
KNOKKE-HEIST - FH03;2763352;0;0;1;1;MDU;;N;IRREG;8;3;;;Y;_;BUILDING template;Lippenslaan;322;;Lippenslaan 320-322;74800,424;227399,893
KNOKKE-HEIST - FH03;2763358;5;0;1;6;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Lippenslaan;326;;Lippenslaan 324-326;74800,75;227407,609
KNOKKE-HEIST - FH03;4023258;0;0;0;0;SDU;;N;IRREG;2;4;;;N;;BUILDING template;Lippenslaan;288;;;74800,81;227332,08
KNOKKE-HEIST - FH03;6460095;0;0;0;0;SDU;;N;IRREG;2;4;;;N;;BUILDING template;Lippenslaan;336;A;;74801;227434
KNOKKE-HEIST - FH03;2763380;0;1;0;1;MDU;;N;IRREG;7;3;;1LU in CRAB, kan BU op GLV zijn.;Y;_;BUILDING template;Lippenslaan;346;;Lippenslaan 346-348;74802,117;227499,344
KNOKKE-HEIST - FH03;2765620;12;0;1;13;MDU;;N;IRREG;4;5;;;Y;_;BUILDING template;Piers de Raveschootlaan;159;;Zoutelaan 4-6-8-10-12-14-14B_Piers de Raveschootlaan 159-161;74804,538;227096,505
KNOKKE-HEIST - FH03;2768162;3;1;0;4;MDU;;N;IRREG;3;4;;5LU in CRAB, 3 in GM;Y;_;BUILDING template;Zoutelaan;13;;;74804,594;227145,609
KNOKKE-HEIST - FH03;2765609;4;0;1;5;MDU;;N;IRREG;5;3;;;Y;_;BUILDING template;Piers de Raveschootlaan;137;;;74804,683;227016,706
KNOKKE-HEIST - FH03;336897;11;0;1;12;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;350;;Lippenslaan 350_Van Bunnenplein 29-30;74805,123;227508,847
KNOKKE-HEIST - FH03;2763379;11;1;1;13;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;344;;Lippenslaan 342-344;74806,214;227492,693
KNOKKE-HEIST - FH03;2763382;6;0;1;7;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Lippenslaan;348;;Lippenslaan 346-348;74809,039;227498,066
KNOKKE-HEIST - FH03;6424672;0;0;0;0;SDU;;N;IRREG;2;4;;;N;;BUILDING template;Lippenslaan;344;A;;74809,195;227488,59
KNOKKE-HEIST - FH03;6395901;0;0;0;0;SDU;;N;IRREG;2;4;;;N;;BUILDING template;Lippenslaan;352;;;74811,359;227504,851
KNOKKE-HEIST - FH03;2759225;5;1;0;6;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Dumortierlaan;15;;;74811,549;227291,171
KNOKKE-HEIST - FH03;2765621;1;0;0;1;MDU;;N;IRREG;5;3;;;Y;_;BUILDING template;Piers de Raveschootlaan;161;;Zoutelaan 4-6-8-10-12-14-14B_Piers de Raveschootlaan 159-161;74812,751;227103,383
KNOKKE-HEIST - FH03;NB-830030b41663;17;0;1;18;MDU;;N;IRREG;7;3;;;;_;BUILDING template;Van Bunnenplein;30;;Lippenslaan 350_Van Bunnenplein 29-30;74819;227505
KNOKKE-HEIST - FH03;5579295;0;1;0;1;MDU;;N;IRREG;7;3;;;Y;_;BUILDING template;Van Bunnenplein;29;;Lippenslaan 350_Van Bunnenplein 29-30;74821,547;227514,171
KNOKKE-HEIST - FH03;NB-8300284d7d67;0;1;0;1;MDU;;N;IRREG;7;3;;;;_;BUILDING template;Van Bunnenplein;28;;Van Bunnenplein 26-27-28;74827;227516
KNOKKE-HEIST - FH03;5321535;0;1;0;1;MDU;;N;IRREG;7;3;;1LU in CRAB, niet duidelijk in GM of kadaster.;Y;_;BUILDING template;Van Bunnenplein;26;;Van Bunnenplein 26-27-28;74831,726;227518,982
