Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH01;2442300;1;0;0;1;SDU;;N;IRREG;2;8;;;;;BUILDING template;Thonissenlaan;38;;;;
HASSELT - FH01;2442401;9;0;1;10;MDU;D;Y;NA;5;12;;;;Thonissenlaan 58A: Mdu 9Lu's 1 su  doorgaande gevelbekabeling en aansluiting mogelijk;BUILDING template;Thonissenlaan;58;A;;;
HASSELT - FH01;2429017;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;41;;;;
HASSELT - FH01;4903384;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Woutersstraat;4;;;;
HASSELT - FH01;654099;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;43;;;;
HASSELT - FH01;2448155;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Woutersstraat;6;;;;
HASSELT - FH01;3937312;2;0;0;2;MDU;D;N;IRREG;3;8;;;;;BUILDING template;Fonteinstraat;10;;;;
HASSELT - FH01;2448156;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Woutersstraat;8;;;;
HASSELT - FH01;2415019;7;0;1;8;MDU;E;N;IRREG;4;12;;;;;BUILDING template;Fonteinstraat;14;;;;
HASSELT - FH01;2448159;1;0;0;1;SDU;;Y;NA;2;9;;;;;BUILDING template;Woutersstraat;10;;;;
HASSELT - FH01;6162631;1;0;0;1;SDU;;N;IRREG;4;12;;;;;BUILDING template;Fonteinstraat;16;;;;
HASSELT - FH01;3937728;2;0;0;2;MDU;D;Y;NA;3;9;;;;;BUILDING template;Woutersstraat;12;;;;
HASSELT - FH01;2415022;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Fonteinstraat;18;;;;
HASSELT - FH01;2448162;1;0;0;1;SDU;;Y;NA;2;9;;;;;BUILDING template;Woutersstraat;14;;;;
HASSELT - FH01;4897587;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Fonteinstraat;20;;;;
HASSELT - FH01;4903391;1;0;0;1;SDU;;Y;NA;2;9;;;;;BUILDING template;Woutersstraat;16;;;;
HASSELT - FH01;4897589;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Fonteinstraat;22;;;;
HASSELT - FH01;2448166;3;0;0;3;MDU;D;Y;NA;3;10;;;;;BUILDING template;Woutersstraat;18;;;;
HASSELT - FH01;4897392;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Boomkensstraat;93;;;;
HASSELT - FH01;2415024;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Fonteinstraat;24;;;;
HASSELT - FH01;707434;1;0;0;1;SDU;;Y;NA;3;10;;;;;BUILDING template;Woutersstraat;20;;;;
HASSELT - FH01;2409804;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Boomkensstraat;95;;;;
HASSELT - FH01;2415026;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Fonteinstraat;26;;;;
HASSELT - FH01;4903272;1;0;0;1;SDU;;Y;NA;3;10;;;;;BUILDING template;Woutersstraat;22;;;;
HASSELT - FH01;2409806;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Boomkensstraat;97;;;;
HASSELT - FH01;2415028;1;1;0;2;MDU;D;Y;NA;3;9;;;;;BUILDING template;Fonteinstraat;30;;;;
HASSELT - FH01;2448172;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Woutersstraat;24;;;;
HASSELT - FH01;653418;1;0;0;1;SDU;;N;IRREG;2;8;;;;;BUILDING template;Geraetsstraat;24;;;;
HASSELT - FH01;4199619;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Boomkensstraat;99;;;;
HASSELT - FH01;707478;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Fonteinstraat;32;;;;
HASSELT - FH01;707433;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Woutersstraat;26;;;;
HASSELT - FH01;653407;0;1;0;1;SDU;;N;IRREG;2;7;;;;;BUILDING template;Koningin Astridlaan;32;;;;
HASSELT - FH01;2409809;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Boomkensstraat;101;;;;
HASSELT - FH01;707202;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;4;;;;
HASSELT - FH01;707227;2;0;0;2;MDU;D;N;IRREG;3;11;;;;;BUILDING template;Woutersstraat;2;A;;;
HASSELT - FH01;2408247;0;1;0;1;MDU;E;N;IRREG;4;11;;;;Building group 34-36;BUILDING template;Koningin Astridlaan;34;;Koningin Astridlaan 34-36;;
HASSELT - FH01;2409811;1;0;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Boomkensstraat;103;;;;
HASSELT - FH01;2438347;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;6;;;;
HASSELT - FH01;653673;10;0;1;11;MDU;XA;N;IRREG;6;21;;;;;BUILDING template;Bampslaan;1;;de Schiervellaan 13_Bampslaan 1;;
HASSELT - FH01;4852717;1;2;0;3;MDU;E;N;IRREG;4;30;;;;Building group 34-36;BUILDING template;Koningin Astridlaan;36;;Koningin Astridlaan 34-36;;
HASSELT - FH01;2448161;6;0;0;6;MDU;C;N;IRREG;4;12;;;;;BUILDING template;Woutersstraat;13;;Woutersstraat 1-3-5-7-11-13-15;;
HASSELT - FH01;2409815;2;1;0;3;MDU;D;Y;NA;3;9;;;;;BUILDING template;Boomkensstraat;105;;;;
HASSELT - FH01;4897368;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;8;;;;
HASSELT - FH01;2409775;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Boomkensstraat;57;;;;
HASSELT - FH01;2408496;2;1;0;3;MDU;D;N;IRREG;3;9;;;;;BUILDING template;Bampslaan;7;;;;
HASSELT - FH01;2408250;0;1;0;1;SDU;;N;IRREG;2;8;;;;;BUILDING template;Koningin Astridlaan;38;;;;
HASSELT - FH01;2448163;0;1;0;1;MDU;C;N;IRREG;1;4;;;;;BUILDING template;Woutersstraat;15;;Woutersstraat 1-3-5-7-11-13-15;;
HASSELT - FH01;3937247;5;0;0;5;MDU;D;N;IRREG;3;9;;;;;BUILDING template;Boomkensstraat;107;;;;
HASSELT - FH01;2438351;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;10;;;;
HASSELT - FH01;4175303;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Boomkensstraat;59;;;;
HASSELT - FH01;2408498;0;1;0;1;SDU;;N;IRREG;3;9;;;;;BUILDING template;Bampslaan;9;;;;
HASSELT - FH01;2408252;3;0;0;3;MDU;D;N;IRREG;3;8;;;;;BUILDING template;Koningin Astridlaan;40;;Koningin Astridlaan 40-40A;;
HASSELT - FH01;707431;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Woutersstraat;17;;;;
HASSELT - FH01;3937249;2;0;0;2;MDU;D;Y;NA;2;7;;;;;BUILDING template;Boomkensstraat;111;;;;
HASSELT - FH01;2438357;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;12;;;;
HASSELT - FH01;2409776;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Boomkensstraat;61;;;;
HASSELT - FH01;2408500;2;0;0;2;MDU;D;N;IRREG;3;9;;;;Bampslaan 11  bestaat niet : Bampslaan 9b  : Mdu  2 Lu's bestaande doorgaande gevelbekabeling aansluitbaar via gevel.;BUILDING template;Bampslaan;11;;;;
HASSELT - FH01;3937214;0;1;0;1;SDU;;N;IRREG;3;11;;;;;BUILDING template;Koningin Astridlaan;42;;;;
HASSELT - FH01;4903452;1;0;0;1;SDU;;Y;NA;3;10;;;;;BUILDING template;Woutersstraat;19;;;;
HASSELT - FH01;2409821;3;0;0;3;MDU;D;Y;NA;3;9;;;;;BUILDING template;Boomkensstraat;113;;;;
HASSELT - FH01;2438363;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;14;;;;
HASSELT - FH01;2409780;2;0;0;2;MDU;D;Y;NA;3;9;;;;;BUILDING template;Boomkensstraat;63;;;;
HASSELT - FH01;2408502;0;1;0;1;SDU;;N;IRREG;2;9;;;;;BUILDING template;Bampslaan;13;;;;
HASSELT - FH01;653405;0;1;0;1;SDU;;N;IRREG;3;10;;;;;BUILDING template;Koningin Astridlaan;44;;;;
HASSELT - FH01;2448170;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Woutersstraat;21;;;;
HASSELT - FH01;3937252;3;0;0;3;MDU;D;Y;NA;3;9;;;;;BUILDING template;Boomkensstraat;115;;;;
HASSELT - FH01;2438367;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;16;;;;
HASSELT - FH01;4235187;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Boomkensstraat;65;;;;
HASSELT - FH01;653672;0;1;0;1;SDU;;N;IRREG;4;10;;;;;BUILDING template;Bampslaan;19;;;;
HASSELT - FH01;4221701;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Woutersstraat;23;;;;
