Projectnummer;Opdrachtnummer;Straat;Huisnummer;Huisnummer Toevoeging;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;BG Name;xPos;yPos
EVERE - FH04;1621958;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;59;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152611,333;174112,798
EVERE - FH04;1622571;P. Mattheussensstraat - Rue Pierre Mattheussens;10;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151783,294;173742,058
EVERE - FH04;1623197;Edward Stuckensstraat - Rue Edouard Stuckens;120;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152079,525;173966,562
EVERE - FH04;1623708;L. Van Boeckelstraat - Rue L. Van Boeckel;12;;2;0;0;2;MDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152212,142;173917,068
EVERE - FH04;4108430;Lindestraat - Rue du Tilleul;49;;3;0;0;3;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151671,177;173994,728
EVERE - FH04;828325;Frans Leonstraat - Rue Frans Leon;42;;3;0;0;3;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;;152336,172;174300,916
EVERE - FH04;832179;L. Van Boeckelstraat - Rue L. Van Boeckel;2;;2;1;0;3;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152187,572;173899,457
EVERE - FH04;1624191;Edward Dekosterstraat - Rue Edouard Dekoster;27;;0;0;0;0;SDU;;Y;NA;2;4;;;N;;BUILDING template;;152384;174149
EVERE - FH04;1621130;Vredeplein - Place de la Paix;4;;1;0;1;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152236,847;174074,779
EVERE - FH04;1621959;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;61;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152612,881;174118,516
EVERE - FH04;1622572;P. Mattheussensstraat - Rue Pierre Mattheussens;12;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151788,894;173743,462
EVERE - FH04;1623198;Edward Stuckensstraat - Rue Edouard Stuckens;121;;1;0;0;1;SDU;;Y;NA;2;5;;;Y;_;BUILDING template;;152092,346;173998,988
EVERE - FH04;1623709;L. Van Boeckelstraat - Rue L. Van Boeckel;14;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152217,6;173918,637
EVERE - FH04;4108442;Vliegpleinstraat -Rue Plaine d Aviation;34;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152480,253;174007,035
EVERE - FH04;828326;Frans Leonstraat - Rue Frans Leon;30;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152358,273;174273,081
EVERE - FH04;832180;L. Van Boeckelstraat - Rue L. Van Boeckel;16;;3;0;0;3;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;;152221,543;173923,119
EVERE - FH04;1624204;Edward Dekosterstraat - Rue Edouard Dekoster;40;;0;1;0;1;MDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Edward Dekosterstraat 38-40;152438;174118
EVERE - FH04;1621131;Vredeplein - Place de la Paix;5;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152238,704;174081,315
EVERE - FH04;1621960;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;63;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152614,604;174124,277
EVERE - FH04;1622573;P. Mattheussensstraat - Rue Pierre Mattheussens;15;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151790,428;173773,646
EVERE - FH04;1623199;Edward Stuckensstraat - Rue Edouard Stuckens;122;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152083,85;173968,909
EVERE - FH04;1623711;L. Van Boeckelstraat - Rue L. Van Boeckel;18;;0;1;1;2;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;;152229,471;173926,631
EVERE - FH04;4108444;Sint-Vincentiusstraat - Rue Saint-Vincent;51;;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;;152595,489;174345,055
EVERE - FH04;828328;Frans Leonstraat - Rue Frans Leon;33;;3;0;0;3;MDU;;Y;NA;4;4;;;Y;_;BUILDING template;;152339,513;174252,394
EVERE - FH04;832184;L. Van Boeckelstraat - Rue L. Van Boeckel;47;;4;0;0;4;MDU;;Y;NA;5;4;;;Y;_;BUILDING template;;152290,699;174009,582
EVERE - FH04;1624231;Edward Dekosterstraat - Rue Edouard Dekoster;133;;1;0;0;1;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;Edward Dekosterstraat 131-133;152522;174504
EVERE - FH04;1621132;Vredeplein - Place de la Paix;7;;1;1;0;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152245,284;174082,272
EVERE - FH04;1621961;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;65;;1;0;1;2;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152617,024;174129,91
EVERE - FH04;1622574;P. Mattheussensstraat - Rue Pierre Mattheussens;17;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151794,935;173776,205
EVERE - FH04;1623200;Edward Stuckensstraat - Rue Edouard Stuckens;124;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152088,216;173971,226
EVERE - FH04;1623713;L. Van Boeckelstraat - Rue L. Van Boeckel;21;;2;0;0;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152222,452;173955,172
EVERE - FH04;4108445;Sint-Vincentiusstraat - Rue Saint-Vincent;53;;3;0;0;3;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;;152597,886;174341,48
EVERE - FH04;828329;Frans Leonstraat - Rue Frans Leon;1;;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;;152418,551;174206,191
EVERE - FH04;832185;L. Van Boeckelstraat - Rue L. Van Boeckel;15;;0;1;0;1;MDU;;Y;NA;6;6;;;Y;_;BUILDING template;L. Van Boeckelstraat 13-15;152214,075;173948,564
EVERE - FH04;1624234;Edward Dekosterstraat - Rue Edouard Dekoster;136;;0;1;0;1;MDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Edward Dekosterstraat 134-136_Sint-Vincentiusstraat 28-30;152508,904;174414,83
EVERE - FH04;1621133;Vredeplein - Place de la Paix;8;;3;0;0;3;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;;152247,794;174087,638
EVERE - FH04;1621962;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;67;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152618,549;174136,015
EVERE - FH04;1622575;P. Mattheussensstraat - Rue Pierre Mattheussens;18;;1;0;1;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151807,468;173753,984
EVERE - FH04;1623201;Edward Stuckensstraat - Rue Edouard Stuckens;126;;1;0;1;2;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152092,855;173973,95
EVERE - FH04;1623714;L. Van Boeckelstraat - Rue L. Van Boeckel;22;;1;0;1;2;MDU;;Y;NA;2;5;;;Y;_;BUILDING template;;152233,801;173934,399
EVERE - FH04;4108728;Fr. Van Cutsemstraat - Rue Fr. Van Cutsem;110;;1;0;0;1;SDU;;Y;NA;4;8;;;Y;_;BUILDING template;;152853,94;174242,007
EVERE - FH04;828330;Frans Leonstraat - Rue Frans Leon;40;;39;0;1;40;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152348,35;174289,863
EVERE - FH04;832187;Frans Pepermansstraat - Rue Frans Pepermans;7;;2;0;0;2;MDU;;Y;NA;3;4;;;Y;_;BUILDING template;;152141,596;173992,593
EVERE - FH04;1624235;Edward Dekosterstraat - Rue Edouard Dekoster;137;;1;0;0;1;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;Edward Dekosterstraat 135-137;152527;174510
EVERE - FH04;1621135;Vredeplein - Place de la Paix;11;;2;0;0;2;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;;152260,183;174091,878
EVERE - FH04;1621963;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;69;;1;0;0;1;SDU;;Y;NA;3;7;;;Y;_;BUILDING template;;152621,553;174141,395
EVERE - FH04;1622576;P. Mattheussensstraat - Rue Pierre Mattheussens;20;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151812,793;173756,116
EVERE - FH04;1623202;Edward Stuckensstraat - Rue Edouard Stuckens;128;;0;0;1;1;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;Edward Stuckensstraat 128-130;152099,86;173976,984
EVERE - FH04;1623715;L. Van Boeckelstraat - Rue L. Van Boeckel;24;;3;0;0;3;MDU;;Y;NA;4;3;;;Y;_;BUILDING template;;152241,344;173936,57
EVERE - FH04;4109017;W. Van Perckstraat - Rue Willebrord Van Perck;57;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151891,28;173748,599
EVERE - FH04;828331;Van Waeyenberghstraat - Rue Van Waeyenbergh;3;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152481,56;174380,825
EVERE - FH04;832188;L. Van Boeckelstraat - Rue L. Van Boeckel;31;;2;0;0;2;MDU;;N;IRREG;4;4;;;Y;_;BUILDING template;;152252,208;173975,376
EVERE - FH04;1624241;Edward Dekosterstraat - Rue Edouard Dekoster;160;;1;0;1;2;MDU;;Y;NA;2;5;;;Y;_;BUILDING template;;152554,24;174504,891
EVERE - FH04;1621136;Vredeplein - Place de la Paix;14;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152300,055;174094,647
EVERE - FH04;1621964;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;74;;3;0;0;3;MDU;;Y;NA;2;5;;;Y;_;BUILDING template;;152647,165;174126,044
EVERE - FH04;1622577;P. Mattheussensstraat - Rue Pierre Mattheussens;21;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151804,594;173779,188
EVERE - FH04;1623203;Edward Stuckensstraat - Rue Edouard Stuckens;132;;6;0;0;6;MDU;;N;IRREG;4;4;;;Y;_;BUILDING template;;152116,319;173984,143
EVERE - FH04;1623716;L. Van Boeckelstraat - Rue L. Van Boeckel;25;;3;0;0;3;MDU;;Y;NA;3;4;;;Y;_;BUILDING template;;152234,519;173965,07
EVERE - FH04;4109226;Parijsstraat - Rue de Paris;42;;0;0;0;0;SDU;;Y;NA;2;4;;;N;;BUILDING template;;152317,409;174038,967
EVERE - FH04;828332;Van Waeyenberghstraat - Rue Van Waeyenbergh;25;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152426,481;174415,077
EVERE - FH04;885591;Houtweg - Chemin Du Bois;54;;4;0;0;4;MDU;;N;IRREG;4;4;;;Y;_;BUILDING template;Houteweg 54-56;152660,387;174682,845
EVERE - FH04;1624243;Edward Dekosterstraat - Rue Edouard Dekoster;164;;1;0;0;1;SDU;;Y;NA;2;6;;;Y;_;BUILDING template;;152563,408;174508,963
EVERE - FH04;1621137;Vredeplein - Place de la Paix;15;;0;1;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152304,076;174091,032
EVERE - FH04;1621965;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;76;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152649,033;174133,985
EVERE - FH04;1622578;P. Mattheussensstraat - Rue Pierre Mattheussens;22;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151817,383;173759,221
EVERE - FH04;1623204;Edward Stuckensstraat - Rue Edouard Stuckens;137;;0;1;1;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152204,24;174057,19
EVERE - FH04;1623717;L. Van Boeckelstraat - Rue L. Van Boeckel;26;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152246,869;173942,926
EVERE - FH04;4109335;Jaak Ballingsstraat - Rue Jacques Ballings;10;;4;0;0;4;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152071,242;173718,3
EVERE - FH04;828333;Van Waeyenberghstraat - Rue Van Waeyenbergh;27;;1;0;1;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152421,109;174418,656
EVERE - FH04;886111;J. F. De Craenstraat - Rue J. F. De Craen;4;;1;0;0;1;SDU;;Y;NA;2;5;;;Y;_;BUILDING template;;151691,587;174093,449
EVERE - FH04;1624246;Edward Dekosterstraat - Rue Edouard Dekoster;169;;2;0;0;2;MDU;;Y;NA;2;6;;;Y;_;BUILDING template;;152582,746;174588,711
EVERE - FH04;1621138;Vredeplein - Place de la Paix;16;;3;1;0;4;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;;152306,853;174085,989
EVERE - FH04;1621966;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;78;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152651,071;174139,73
EVERE - FH04;1622579;P. Mattheussensstraat - Rue Pierre Mattheussens;23;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151808,97;173781,56
EVERE - FH04;1623205;Edward Stuckensstraat - Rue Edouard Stuckens;138;;4;0;0;4;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;;152136,321;174000,779
EVERE - FH04;1623718;L. Van Boeckelstraat - Rue L. Van Boeckel;27;;3;0;0;3;MDU;;N;IRREG;4;4;;;Y;_;BUILDING template;;152239,752;173970,52
EVERE - FH04;4109497;L. Van Boeckelstraat - Rue L. Van Boeckel;11;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152205,795;173940,566
EVERE - FH04;828334;Arnold Sohiestraat - Rue Arnold Sohie;1;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152348,701;174120,725
EVERE - FH04;886112;J. F. De Craenstraat - Rue J. F. De Craen;34;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151645,247;174191,35
EVERE - FH04;24786;Lindestraat - Rue du Tilleul;55;;0;1;0;1;SDU;;Y;NA;4;6;;;Y;_;BUILDING template;;151678;173977
EVERE - FH04;1621139;Vredeplein - Place de la Paix;20;;4;1;0;5;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;;152295,192;174048,139
EVERE - FH04;1621967;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;82;;1;0;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;;152653,097;174151,985
EVERE - FH04;1622580;P. Mattheussensstraat - Rue Pierre Mattheussens;24;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151822,481;173760,782
EVERE - FH04;1623207;Edward Stuckensstraat - Rue Edouard Stuckens;144;;1;0;0;1;SDU;;Y;NA;4;5;;;Y;_;BUILDING template;;152157,259;174010,677
EVERE - FH04;1623719;L. Van Boeckelstraat - Rue L. Van Boeckel;32;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;Wachtbuis vol hier is er twijfel;BUILDING template;;152252,318;173947,435
EVERE - FH04;4109562;Edward Dekosterstraat - Rue Edouard Dekoster;25;;0;2;1;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152384,389;174149,387
EVERE - FH04;828335;Gastendelleweg - Chemin de Gastendelle;13;;1;0;1;2;MDU;;N;IRREG;3;8;;;Y;_;BUILDING template;;151705,081;174273,299
EVERE - FH04;24834;P. Mattheussensstraat - Rue Pierre Mattheussens;1;;2;0;0;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151756;173757
EVERE - FH04;1621140;Vredeplein - Place de la Paix;21;;4;1;0;5;MDU;;Y;NA;5;5;;;Y;_;BUILDING template;;152288,498;174048,343
EVERE - FH04;1621968;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;83;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152632,756;174187,75
EVERE - FH04;1622581;P. Mattheussensstraat - Rue Pierre Mattheussens;25;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151812,884;173784,455
EVERE - FH04;1623208;Edward Stuckensstraat - Rue Edouard Stuckens;146;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152161,547;174013,664
EVERE - FH04;1623721;L. Van Boeckelstraat - Rue L. Van Boeckel;34;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152258,59;173950,055
EVERE - FH04;4109768;Windmolenstraat - Rue du Moulin AÂ  Vent;31;;1;0;1;2;MDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151883,43;173655,792
EVERE - FH04;1621357;Stroobantsstraat - Rue Stroobants;11;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151548,149;174266,589
EVERE - FH04;3918847;Lindestraat - Rue du Tilleul;201;;0;0;0;0;SDU;;Y;NA;2;4;;;N;;BUILDING template;;151812,643;173575,878
EVERE - FH04;1621141;Vredeplein - Place de la Paix;22;;3;1;1;5;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;;152280,568;174048,357
EVERE - FH04;1621969;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;85;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152636,423;174192,737
EVERE - FH04;1622582;P. Mattheussensstraat - Rue Pierre Mattheussens;26;;1;0;1;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151826,869;173764,04
EVERE - FH04;1623209;Edward Stuckensstraat - Rue Edouard Stuckens;148;A;4;0;0;4;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;;152171,562;174018,418
EVERE - FH04;1623722;L. Van Boeckelstraat - Rue L. Van Boeckel;35;;2;0;0;2;MDU;;Y;NA;2;5;;;Y;_;BUILDING template;;152264,497;173987,436
EVERE - FH04;4109777;P. Van Obberghenstraat - Rue P. Van Obberghen;46;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151987,626;173762,439
EVERE - FH04;828341;Stroobantsstraat - Rue Stroobants;12;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151568,542;174248,005
EVERE - FH04;4080627;Frans Pepermansstraat - Rue Frans Pepermans;14;;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;152139;173943
EVERE - FH04;1621142;Vredeplein - Place de la Paix;23;;3;1;1;5;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;;152274,039;174049,799
EVERE - FH04;1621970;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;87;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152638,867;174198,006
EVERE - FH04;1622583;P. Mattheussensstraat - Rue Pierre Mattheussens;27;;1;0;1;2;MDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151817,553;173786,381
EVERE - FH04;1623210;Edward Stuckensstraat - Rue Edouard Stuckens;150;;5;0;0;5;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152178,365;174021,679
EVERE - FH04;1623723;L. Van Boeckelstraat - Rue L. Van Boeckel;36;;1;1;0;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152265,63;173951,932
EVERE - FH04;4109778;Fr. Van Cutsemstraat - Rue Fr. Van Cutsem;8;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152578,092;174614,206
EVERE - FH04;1621358;Stroobantsstraat - Rue Stroobants;13;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151551,444;174269,494
EVERE - FH04;4080789;Frans Pepermansstraat - Rue Frans Pepermans;12;;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;152137;173946
EVERE - FH04;1621143;Vredeplein - Place de la Paix;23;A;1;1;1;3;MDU;;Y;NA;2;6;;;Y;_;BUILDING template;;152266,863;174048,254
EVERE - FH04;1621971;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;88;;1;0;1;2;MDU;;Y;NA;3;4;;;Y;_;BUILDING template;;152658,596;174170,288
EVERE - FH04;1622584;P. Mattheussensstraat - Rue Pierre Mattheussens;28;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151832,243;173765,571
EVERE - FH04;1623211;Edward Stuckensstraat - Rue Edouard Stuckens;152;;1;1;0;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152184,226;174023,228
EVERE - FH04;1623724;L. Van Boeckelstraat - Rue L. Van Boeckel;37;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152270,533;173991,716
EVERE - FH04;4109781;Rustplaatslaan - Avenue Champs de Repos;48;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152773,355;174294,488
EVERE - FH04;1621359;Stroobantsstraat - Rue Stroobants;14;;0;1;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151570;174248
EVERE - FH04;4083769;Frans Pepermansstraat - Rue Frans Pepermans;4;;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;152126;173967
EVERE - FH04;1621144;Vredeplein - Place de la Paix;24;;3;1;0;4;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152259,01;174047,435
EVERE - FH04;1621972;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;90;;3;0;0;3;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;;152659,987;174177,071
EVERE - FH04;1622585;P. Mattheussensstraat - Rue Pierre Mattheussens;29;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151822,538;173787,945
EVERE - FH04;1623212;Edward Stuckensstraat - Rue Edouard Stuckens;154;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152189,051;174023,515
EVERE - FH04;1623725;L. Van Boeckelstraat - Rue L. Van Boeckel;39;;1;0;0;1;SDU;;Y;NA;2;3;;;Y;_;BUILDING template;;152275,899;173995,458
EVERE - FH04;4109783;Parijsstraat - Rue de Paris;14;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152198,257;174162,912
EVERE - FH04;1621360;Stroobantsstraat - Rue Stroobants;15;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151555,499;174270,935
EVERE - FH04;4107431;Laurent Vandenhovenstraat - Rue Laurent Vandenhoven;6;;0;1;0;1;SDU;;Y;NA;2;8;;;Y;_;BUILDING template;;152466;174533
EVERE - FH04;1621145;Vredeplein - Place de la Paix;25;;2;1;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152254,525;174048,122
EVERE - FH04;1621973;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;93;;5;0;0;5;MDU;;Y;NA;3;4;;;Y;_;BUILDING template;;152645,25;174217,448
EVERE - FH04;1622586;P. Mattheussensstraat - Rue Pierre Mattheussens;30;;1;0;1;2;MDU;;Y;NA;3;4;;;Y;_;BUILDING template;;151836,11;173769,917
EVERE - FH04;1623214;Edward Stuckensstraat - Rue Edouard Stuckens;162;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152205,231;174031,214
EVERE - FH04;1623726;L. Van Boeckelstraat - Rue L. Van Boeckel;43;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152279,755;174002,536
EVERE - FH04;1622486;H. Van Hammestraat - Rue H. Van Hamme;60;;4;0;0;4;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151933,553;173988,907
EVERE - FH04;1621361;Stroobantsstraat - Rue Stroobants;16;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151574,535;174249,347
EVERE - FH04;4107860;Jaak Ballingsstraat - Rue Jacques Ballings;2;A;2;0;0;2;MDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Jaak Ballingsstraat 2A_P. Van Obberghenstraat 67;152040,793;173713,028
EVERE - FH04;1621146;Vredeplein - Place de la Paix;26;;0;1;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152249,768;174047,993
EVERE - FH04;1621975;Frans Leonstraat - Rue Frans Leon;3;;1;0;0;1;SDU;;Y;NA;3;7;;;Y;_;BUILDING template;;152408,023;174206,89
EVERE - FH04;1622587;P. Mattheussensstraat - Rue Pierre Mattheussens;31;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151827,089;173790,38
EVERE - FH04;1623218;Laurent Vandenhovenstraat - Rue Laurent Vandenhoven;8;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152468,96;174537,278
EVERE - FH04;1623728;L. Van Boeckelstraat - Rue L. Van Boeckel;45;;2;0;0;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152284,957;174005,984
EVERE - FH04;4110478;Vliegpleinstraat -Rue Plaine d Aviation;53;;2;0;0;2;MDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152557,068;174026,211
EVERE - FH04;828345;Picardiestraat - Rue Picardie;15;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151626,321;174178,444
EVERE - FH04;4108730;Edward Dekosterstraat - Rue Edouard Dekoster;124;;1;0;0;1;MDU;;Y;NA;3;7;;;Y;_;BUILDING template;Edward Dekosterstraat 122-124;152506,904;174382,867
EVERE - FH04;1621147;Vredeplein - Place de la Paix;27;;1;1;0;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152245,309;174048,729
EVERE - FH04;1621976;Frans Leonstraat - Rue Frans Leon;4;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152418,133;174230,64
EVERE - FH04;1622588;P. Mattheussensstraat - Rue Pierre Mattheussens;35;;1;0;1;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151864,292;173807,688
EVERE - FH04;1623219;Laurent Vandenhovenstraat - Rue Laurent Vandenhoven;10;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152473,72;174541,242
EVERE - FH04;1623729;L. Van Boeckelstraat - Rue L. Van Boeckel;50;;1;0;0;1;SDU;;Y;NA;2;5;;;Y;_;BUILDING template;;152312,651;173995,411
EVERE - FH04;4110480;H. Van Neromstraat - Rue H. Van Nerom;17;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;152109,489;173873,579
EVERE - FH04;828346;Picardiestraat - Rue Picardie;15;A;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151648,557;174185,366
EVERE - FH04;4108890;Sint-Vincentiusstraat - Rue Saint-Vincent;3;;0;3;0;3;MDU;;N;IRREG;1;4;;;Y;_;BUILDING template;;152464;174517
EVERE - FH04;1621148;Vredeplein - Place de la Paix;28;;2;1;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152239,009;174045,15
EVERE - FH04;1621977;Frans Leonstraat - Rue Frans Leon;6;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152413,288;174234,28
EVERE - FH04;1622589;P. Mattheussensstraat - Rue Pierre Mattheussens;37;;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;;151868,854;173810,383
EVERE - FH04;1623220;Laurent Vandenhovenstraat - Rue Laurent Vandenhoven;11;;1;0;0;1;SDU;;Y;NA;3;9;;;Y;_;BUILDING template;;152469,625;174579,23
