Projectnummer;Opdrachtnummer;Straat;Huisnummer;Huisnummer Toevoeging;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;BG Name;xPos;yPos
EVERE - FH04;831365;W. Van Perckstraat - Rue Willebrord Van Perck;39;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151857,164;173816,66
EVERE - FH04;1621851;Windmolenstraat - Rue du Moulin;39;;0;1;0;1;MDU;;N;IRREG;2;4;;;Y;_;BUILDING template;Windmolenstraat 39_W. Van Perckstraat 71;151957,405;173717,634
EVERE - FH04;831990;Picardiestraat - Rue Picardie;6;;4;0;0;4;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151615,513;174148,96
EVERE - FH04;1620695;Haachtsesteenweg - Chaussee de Haecht;989;;2;0;0;2;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152335,336;173780,377
EVERE - FH04;1621547;Walkiersstraat - Rue Walkiers;42;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151516,416;174294,978
EVERE - FH04;1622469;H. Van Hammestraat - Rue H. Van Hamme;13;;1;0;0;1;SDU;;Y;NA;2;6;;;Y;_;BUILDING template;;151740,13;173973,758
EVERE - FH04;1623151;Edward Stuckensstraat - Rue Edouard Stuckens;61;;3;0;0;3;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151907,246;173948,562
EVERE - FH04;1623556;Jaak Ballingsstraat - Rue Jacques Ballings;23;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152096,921;173757,17
EVERE - FH04;4001229;W. Van Perckstraat - Rue Willebrord Van Perck;110;;3;0;0;3;MDU;;Y;NA;3;3;;;Y;_;BUILDING template;;151950,552;173584,903
EVERE - FH04;827998;Lindestraat - Rue du Tilleul;209;;3;0;0;3;MDU;;Y;NA;3;9;;;Y;_;BUILDING template;;151822,717;173556,206
EVERE - FH04;831366;W. Van Perckstraat - Rue Willebrord Van Perck;2;;5;0;0;5;MDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151785,911;173923,368
EVERE - FH04;1621928;G. Van Leeuwlaan - Avenue Guillaume Van Leeuw;12;;2;0;0;2;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;G. Van Leeuwlaan 10-12;152592,988;173979,529
EVERE - FH04;1621237;Picardiestraat - Rue Picardie;7;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151608,535;174170,381
EVERE - FH04;1620696;Haachtsesteenweg - Chaussee de Haecht;991;;2;1;0;3;MDU;;N;IRREG;4;4;;;Y;_;BUILDING template;;152340,134;173784,207
EVERE - FH04;1621843;Windmolenstraat - Rue du Moulin AÂ  Vent;28;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;151879,405;173626,785
EVERE - FH04;1622470;H. Van Hammestraat - Rue H. Van Hamme;15;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151745,145;173975,38
EVERE - FH04;1623152;Edward Stuckensstraat - Rue Edouard Stuckens;62;;3;0;0;3;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;;151881,297;173922,92
EVERE - FH04;1623557;Jaak Ballingsstraat - Rue Jacques Ballings;24;;3;0;0;3;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152112,674;173728,166
EVERE - FH04;4002390;Laurent Vandenhovenstraat - Rue Laurent Vandenhoven;36;;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;;152535,396;174598,598
EVERE - FH04;827999;Lindestraat - Rue du Tilleul;211;;5;0;0;5;MDU;;Y;NA;4;7;;;Y;_;BUILDING template;;151825,608;173549,275
EVERE - FH04;831367;W. Van Perckstraat - Rue Willebrord Van Perck;32;;0;1;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;;151795,95;173808,804
EVERE - FH04;1621980;Frans Leonstraat - Rue Frans Leon;10;;0;1;0;1;SDU;;N;IRREG;2;4;;;Y;_;BUILDING template;;152401;174239
EVERE - FH04;4112626;Picardiestraat - Rue Picardie;8;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151621,036;174151,221
EVERE - FH04;1620698;Haachtsesteenweg - Chaussee de Haecht;993;;3;1;0;4;MDU;;Y;NA;3;5;;;Y;_;BUILDING template;;152346,161;173788,777
EVERE - FH04;1621844;Windmolenstraat - Rue du Moulin AÂ  Vent;30;;1;0;0;1;SDU;;Y;NA;3;5;;;Y;_;BUILDING template;;151883,92;173630,554
EVERE - FH04;1622471;H. Van Hammestraat - Rue H. Van Hamme;17;;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;;151750,112;173977,216
EVERE - FH04;1623153;Edward Stuckensstraat - Rue Edouard Stuckens;64;;1;0;0;1;SDU;;Y;NA;4;6;;;Y;_;BUILDING template;;151887,82;173922,736
EVERE - FH04;1623558;Jaak Ballingsstraat - Rue Jacques Ballings;25;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152104,761;173750,77
EVERE - FH04;4005648;H. Van Neromstraat - Rue H. Van Nerom;14;;1;0;0;1;SDU;;Y;NA;3;8;;;Y;_;BUILDING template;;152127,316;173902,828
EVERE - FH04;828000;Lindestraat - Rue du Tilleul;219;;5;0;0;5;MDU;;Y;NA;4;5;;;Y;_;BUILDING template;;151835,553;173523,099
EVERE - FH04;831369;P. Van Obberghenstraat - Rue P. Van Obberghen;2;;0;0;0;0;SDU;;Y;NA;2;4;;;N;;BUILDING template;;151907,361;173925,134
