Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Opdrachttemplate
MECHELEN - FH01;Units lu diff;3047607;BL0127;4;10472511;3047607;;;;Lange Schipstraat;24;;D;;6/05/2020;Dieu Jocelin;MDU;2;0;1;3;1;1;0;2;BUILDING template
MECHELEN - FH01;Units bu diff;3047607;BL0127;4;10472511;3047607;;;;Lange Schipstraat;24;;D;;6/05/2020;Dieu Jocelin;MDU;2;0;1;3;1;1;0;2;BUILDING template
MECHELEN - FH01;Units su diff;3047607;BL0127;4;10472511;3047607;;;;Lange Schipstraat;24;;D;;6/05/2020;Dieu Jocelin;MDU;2;0;1;3;1;1;0;2;BUILDING template
MECHELEN - FH01;Units total diff;3047607;BL0127;4;10472511;3047607;;;;Lange Schipstraat;24;;D;;6/05/2020;Dieu Jocelin;MDU;2;0;1;3;1;1;0;2;BUILDING template
MECHELEN - FH01;Units lu diff;3048621;BL0108;1;11452664;3048621;33740175;Sint-Katelijnestraat 36-36B;Sint-Katelijnestraat 36-36B;Sint-Katelijnestraat;36;B;D;;25/05/2020 8:25;Jo De Clippel;MDU;1;1;0;2;1;0;0;1;BUILDING template
MECHELEN - FH01;Units total diff;3048621;BL0108;1;11452664;3048621;33740175;Sint-Katelijnestraat 36-36B;Sint-Katelijnestraat 36-36B;Sint-Katelijnestraat;36;B;D;;25/05/2020 8:25;Jo De Clippel;MDU;1;1;0;2;1;0;0;1;BUILDING template
MECHELEN - FH01;Units lu diff;3049069;BL0116;4;437711;3049069;;;;Steenweg;8;;D;;18/05/2020 10:45;Dieu Jocelin;MDU;1;1;1;3;1;3;1;5;BUILDING template
MECHELEN - FH01;Units total diff;3049069;BL0116;4;437711;3049069;;;;Steenweg;8;;D;;18/05/2020 10:45;Dieu Jocelin;MDU;1;1;1;3;1;3;1;5;BUILDING template
MECHELEN - FH01;Quadrant diff;3049080;BL0116;4;437716;3049080;;;;Steenweg;18;;XC;D;18/05/2020 10:40;Dieu Jocelin;MDU;1;3;0;4;1;3;0;4;BUILDING template
MECHELEN - FH01;Units lu diff;3054434;BL0128;4;440267;3054434;33740192;Lekkernijstraatje 8-10;Lekkernijstraatje 8-10;Lekkernijstraatje;8;;C;;15/06/2020;Jo De Clippel;MDU;0;1;0;1;1;0;0;1;BUILDING template
MECHELEN - FH01;Units bu diff;3054434;BL0128;4;440267;3054434;33740192;Lekkernijstraatje 8-10;Lekkernijstraatje 8-10;Lekkernijstraatje;8;;C;;15/06/2020;Jo De Clippel;MDU;0;1;0;1;1;0;0;1;BUILDING template
MECHELEN - FH01;Quadrant diff;3054434;BL0128;4;440267;3054434;33740192;Lekkernijstraatje 8-10;Lekkernijstraatje 8-10;Lekkernijstraatje;8;;C;D;15/06/2020;Jo De Clippel;MDU;0;1;0;1;1;0;0;1;BUILDING template
MECHELEN - FH01;Quadrant diff;3944014;BL0104;2;441085;3944014;33740108;Frederik de Merodestraat 38-40;Frederik de Merodestraat 38-40;Frederik de Merodestraat;38;;D;C;28/05/2020;Dieu Jocelin;MDU;0;3;1;4;0;3;1;4;BUILDING template
MECHELEN - FH01;Quadrant diff;3944228;BL0120;3;441208;3944228;33740112;Zakstraat 13-15-17A;Zakstraat 13-15-17A;Zakstraat;15;;D;C;18/05/2020 11:35;Jo De Clippel;MDU;0;3;0;3;0;3;0;3;BUILDING template
MECHELEN - FH01;Units total diff;4010572;BL0116;4;11452567;4010572;33740187;Vismarkt 12-14;Vismarkt 12-14;Vismarkt;14;;D;;19/05/2020 8:55;Dieu Jocelin;MDU;1;0;1;2;1;0;0;1;BUILDING template
MECHELEN - FH01;Units su diff;4010572;BL0116;4;11452567;4010572;33740187;Vismarkt 12-14;Vismarkt 12-14;Vismarkt;14;;D;;19/05/2020 8:55;Dieu Jocelin;MDU;1;0;1;2;1;0;0;1;BUILDING template
MECHELEN - FH01;Units su diff;4061904;BL0104;2;33738228;4061904;33740108;Frederik de Merodestraat 38-40;Frederik de Merodestraat 38-40;Frederik de Merodestraat;40;;D;;28/05/2020;Dieu Jocelin;MDU;0;1;1;2;0;1;0;1;BUILDING template
MECHELEN - FH01;Quadrant diff;4061904;BL0104;2;33738228;4061904;33740108;Frederik de Merodestraat 38-40;Frederik de Merodestraat 38-40;Frederik de Merodestraat;40;;D;C;28/05/2020;Dieu Jocelin;MDU;0;1;1;2;0;1;0;1;BUILDING template
MECHELEN - FH01;Units total diff;4061904;BL0104;2;33738228;4061904;33740108;Frederik de Merodestraat 38-40;Frederik de Merodestraat 38-40;Frederik de Merodestraat;40;;D;;28/05/2020;Dieu Jocelin;MDU;0;1;1;2;0;1;0;1;BUILDING template
MECHELEN - FH01;Quadrant diff;4164871;BL0105;2;11452596;4164871;;;;Frederik de merodestraat;14;;XC;D;27/05/2020 9:15;Dieu Jocelin;MDU;0;7;1;8;0;5;1;6;BUILDING template
MECHELEN - FH01;Units lu diff;4164871;BL0105;2;11452596;4164871;;;;Frederik de merodestraat;14;;XC;;27/05/2020 9:15;Dieu Jocelin;MDU;0;7;1;8;0;5;1;6;BUILDING template
MECHELEN - FH01;Units total diff;4164871;BL0105;2;11452596;4164871;;;;Frederik de merodestraat;14;;XC;;27/05/2020 9:15;Dieu Jocelin;MDU;0;7;1;8;0;5;1;6;BUILDING template
MECHELEN - FH01;Quadrant diff;4208745;BL0108;1;11452663;4208745;33740174;Sint-Katelijnestraat 16-18;Sint-Katelijnestraat 16-18;Sint-Katelijnestraat;18;;X;D;25/05/2020 8:15;Jo De Clippel;MDU;0;1;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Quadrant diff;4236745;BL0113;5;443102;4236745;33740194;;;Thaborstraat;17;;;A;19/05/2020 9:10;Jo De Clippel;SDU;0;1;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Quadrant diff;4246718;BL0128;4;443248;4246718;33740192;Lekkernijstraatje 8-10;Lekkernijstraatje 8-10;Lekkernijstraatje;10;;XC;D;9/06/2020;Jo De Clippel;MDU;0;2;0;2;0;2;0;2;BUILDING template
MECHELEN - FH01;Units lu diff;4731537;BL0129;4;444513;4731537;33740171;Lange Schipstraat 71-73;Lange Schipstraat 71-73;Lange Schipstraat;73;;D;;26/05/2020 15:10;Jo De Clippel;MDU;0;0;1;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units su diff;4731537;BL0129;4;444513;4731537;33740171;Lange Schipstraat 71-73;Lange Schipstraat 71-73;Lange Schipstraat;73;;D;;26/05/2020 15:10;Jo De Clippel;MDU;0;0;1;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units bu diff;4733077;BL0111;1;444584;4733077;;;;Nieuwe Beggaardenstraat;21;;;;18/05/2020 9:10;Dieu Jocelin;SDU;1;0;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units lu diff;4733077;BL0111;1;444584;4733077;;;;Nieuwe Beggaardenstraat;21;;;;18/05/2020 9:10;Dieu Jocelin;SDU;1;0;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units bu diff;4733080;BL0111;1;444585;4733080;;;;Nieuwe Beggaardenstraat;23;;;;18/05/2020 9:10;Dieu Jocelin;SDU;1;0;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units lu diff;4733080;BL0111;1;444585;4733080;;;;Nieuwe Beggaardenstraat;23;;;;18/05/2020 9:10;Dieu Jocelin;SDU;1;0;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Quadrant diff;4736702;BL0113;5;7092619;4736702;33740194;;;Thaborstraat;19;;;A;19/05/2020 9:15;Jo De Clippel;SDU;0;1;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Quadrant diff;4736704;BL0113;5;444832;4736704;33740194;;;Thaborstraat;21;;;A;19/05/2020 9:20;Jo De Clippel;SDU;0;1;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units lu diff;4736784;BL0113;5;33738233;4736784;33740110;Thaborstraat 51-55-57;Thaborstraat 51-55-57;Thaborstraat;55;;D;;19/05/2020 8:45;Jo De Clippel;MDU;1;0;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units bu diff;4736784;BL0113;5;33738233;4736784;33740110;Thaborstraat 51-55-57;Thaborstraat 51-55-57;Thaborstraat;55;;D;;19/05/2020 8:45;Jo De Clippel;MDU;1;0;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units lu diff;4740715;BL0101;1;7092621;4740715;33740203;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat;29;;D;;18/05/2020 9:40;Dieu Jocelin;MDU;1;3;0;4;1;0;0;1;BUILDING template
MECHELEN - FH01;Units total diff;4740715;BL0101;1;7092621;4740715;33740203;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat;29;;D;;18/05/2020 9:40;Dieu Jocelin;MDU;1;3;0;4;1;0;0;1;BUILDING template
MECHELEN - FH01;Units total diff;4748761;BL0116;4;445783;4748761;33740187;Vismarkt 12-14;Vismarkt 12-14;Vismarkt;12;;D;;19/05/2020 8:55;Dieu Jocelin;MDU;1;0;1;2;1;0;0;1;BUILDING template
MECHELEN - FH01;Units su diff;4748761;BL0116;4;445783;4748761;33740187;Vismarkt 12-14;Vismarkt 12-14;Vismarkt;12;;D;;19/05/2020 8:55;Dieu Jocelin;MDU;1;0;1;2;1;0;0;1;BUILDING template
MECHELEN - FH01;Units total diff;5318115;BL0110;5;21704278;5318115;33740122;Begijnenstraat 50-50A;Begijnenstraat 50-50A;Begijnenstraat;50;A;XC;;20/05/2020;Dieu Jocelin;MDU;0;8;1;9;0;8;2;10;BUILDING template
MECHELEN - FH01;Units su diff;5318115;BL0110;5;21704278;5318115;33740122;Begijnenstraat 50-50A;Begijnenstraat 50-50A;Begijnenstraat;50;A;XC;;20/05/2020;Dieu Jocelin;MDU;0;8;1;9;0;8;2;10;BUILDING template
MECHELEN - FH01;Units su diff;5374208;BL0104;2;449022;5374208;33740182;Veemarkt 39-41;Veemarkt 39-41;Veemarkt;41;;D;;18/05/2020 10:05;Jo De Clippel;MDU;1;0;1;2;1;0;0;1;BUILDING template
MECHELEN - FH01;Units total diff;5374208;BL0104;2;449022;5374208;33740182;Veemarkt 39-41;Veemarkt 39-41;Veemarkt;41;;D;;18/05/2020 10:05;Jo De Clippel;MDU;1;0;1;2;1;0;0;1;BUILDING template
MECHELEN - FH01;Units total diff;5507055;BL0102;1;7092625;5507055;33740172;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat;10;A;XC;;20/05/2020 7:15;Jo De Clippel;MDU;0;7;1;8;0;7;2;9;BUILDING template
MECHELEN - FH01;Units su diff;5507055;BL0102;1;7092625;5507055;33740172;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat;10;A;XC;;20/05/2020 7:15;Jo De Clippel;MDU;0;7;1;8;0;7;2;9;BUILDING template
MECHELEN - FH01;Units lu diff;5508105;BL0102;1;7092626;5508105;33740172;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat;8;;XC;;27/05/2020 8:10;Jo De Clippel;MDU;0;6;1;7;0;8;2;10;BUILDING template
MECHELEN - FH01;Units total diff;5508105;BL0102;1;7092626;5508105;33740172;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat;8;;XC;;27/05/2020 8:10;Jo De Clippel;MDU;0;6;1;7;0;8;2;10;BUILDING template
MECHELEN - FH01;Units su diff;5508105;BL0102;1;7092626;5508105;33740172;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat;8;;XC;;27/05/2020 8:10;Jo De Clippel;MDU;0;6;1;7;0;8;2;10;BUILDING template
MECHELEN - FH01;Units su diff;5524627;BL0102;1;7092627;5524627;33740172;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat;10;;XC;;20/05/2020 11:40;Jo De Clippel;MDU;0;7;1;8;0;7;2;9;BUILDING template
MECHELEN - FH01;Units total diff;5524627;BL0102;1;7092627;5524627;33740172;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat;10;;XC;;20/05/2020 11:40;Jo De Clippel;MDU;0;7;1;8;0;7;2;9;BUILDING template
MECHELEN - FH01;Units total diff;5543967;BL0104;2;7092628;5543967;33740181;;;Varkensstraat;15;;XC;;15/05/2020 11:20;Dieu Jocelin;MDU;0;4;1;5;0;4;2;6;BUILDING template
MECHELEN - FH01;Units su diff;5543967;BL0104;2;7092628;5543967;33740181;;;Varkensstraat;15;;XC;;15/05/2020 11:20;Dieu Jocelin;MDU;0;4;1;5;0;4;2;6;BUILDING template
MECHELEN - FH01;Units su diff;5706656;BL0104;2;11452536;5706656;33740181;Varkensstraat 17-19;Varkensstraat 17-19;Varkensstraat;19;;XC;;15/05/2020 11:22;Dieu Jocelin;MDU;0;3;1;4;0;2;2;4;BUILDING template
MECHELEN - FH01;Units lu diff;5706656;BL0104;2;11452536;5706656;33740181;Varkensstraat 17-19;Varkensstraat 17-19;Varkensstraat;19;;XC;;15/05/2020 11:22;Dieu Jocelin;MDU;0;3;1;4;0;2;2;4;BUILDING template
MECHELEN - FH01;Units lu diff;5749434;BL0104;2;11452635;5749434;33740181;Varkensstraat 17-19;Varkensstraat 17-19;Varkensstraat;17;;XC;;15/05/2020 11:22;Dieu Jocelin;MDU;0;3;1;4;0;1;0;1;BUILDING template
MECHELEN - FH01;Units su diff;5749434;BL0104;2;11452635;5749434;33740181;Varkensstraat 17-19;Varkensstraat 17-19;Varkensstraat;17;;XC;;15/05/2020 11:22;Dieu Jocelin;MDU;0;3;1;4;0;1;0;1;BUILDING template
MECHELEN - FH01;Units total diff;5749434;BL0104;2;11452635;5749434;33740181;Varkensstraat 17-19;Varkensstraat 17-19;Varkensstraat;17;;XC;;15/05/2020 11:22;Dieu Jocelin;MDU;0;3;1;4;0;1;0;1;BUILDING template
MECHELEN - FH01;Quadrant diff;5776141;BL0110;5;11452645;5776141;33740207;Drabstraat 6A-8-8A-8B;Drabstraat 6A-8-8A-8B;Drabstraat;6;A;C;D;7/05/2020;Dieu Jocelin;MDU;0;6;2;8;0;6;2;8;BUILDING template
MECHELEN - FH01;Units lu diff;5904577;BL0102;1;7092640;5904577;33740172;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat;8;B;XC;;20/05/2020 7:05;Jo De Clippel;MDU;0;5;1;6;0;3;1;4;BUILDING template
MECHELEN - FH01;Units total diff;5904577;BL0102;1;7092640;5904577;33740172;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;Sint-Janstraat;8;B;XC;;20/05/2020 7:05;Jo De Clippel;MDU;0;5;1;6;0;3;1;4;BUILDING template
MECHELEN - FH01;Quadrant diff;5904645;BL0110;5;7092641;5904645;33740207;Drabstraat 6A-8-8A-8B;Drabstraat 6A-8-8A-8B;Drabstraat;8;A;C;D;7/05/2020;Dieu Jocelin;MDU;0;1;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Quadrant diff;5930292;BL0110;5;21704311;5930292;33740207;;;Drabstraat;8;C;XC;D;8/06/2020;Jo De Clippel;MDU;0;4;1;5;0;4;1;5;BUILDING template
MECHELEN - FH01;Units total diff;6382367;BL0109;1;33738235;6382367;33740111;Wollemarkt 11-13;Wollemarkt 11-13;Wollemarkt;13;;D;;19/05/2020 9:05;Dieu Jocelin;MDU;0;10;0;10;0;1;0;1;BUILDING template
MECHELEN - FH01;Units lu diff;6382367;BL0109;1;33738235;6382367;33740111;Wollemarkt 11-13;Wollemarkt 11-13;Wollemarkt;13;;D;;19/05/2020 9:05;Dieu Jocelin;MDU;0;10;0;10;0;1;0;1;BUILDING template
MECHELEN - FH01;Units total diff;6447591;BL0101;1;11452604;6447591;33740203;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat;27;A;D;;18/05/2020;Dieu Jocelin;MDU;1;3;0;4;0;1;0;1;BUILDING template
MECHELEN - FH01;Units bu diff;6447591;BL0101;1;11452604;6447591;33740203;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat;27;A;D;;18/05/2020;Dieu Jocelin;MDU;1;3;0;4;0;1;0;1;BUILDING template
MECHELEN - FH01;Units lu diff;6447591;BL0101;1;11452604;6447591;33740203;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat 27-27A-29;Goswin de Stassartstraat;27;A;D;;18/05/2020;Dieu Jocelin;MDU;1;3;0;4;0;1;0;1;BUILDING template
MECHELEN - FH01;Quadrant diff;6668746;BL0120;3;33738236;6668746;33740112;Zakstraat 13-15-17A;Zakstraat 13-15-17A;Zakstraat;17;A;D;C;18/05/2020 11:40;Jo De Clippel;MDU;0;1;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units bu diff;6668749;BL0113;5;33738234;6668749;33740110;Thaborstraat 51-55-57;Thaborstraat 51-55-57;Thaborstraat;57;;D;;19/05/2020 8:50;Jo De Clippel;MDU;1;0;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units lu diff;6668749;BL0113;5;33738234;6668749;33740110;Thaborstraat 51-55-57;Thaborstraat 51-55-57;Thaborstraat;57;;D;;19/05/2020 8:50;Jo De Clippel;MDU;1;0;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units bu diff;901434;BL0120;3;450287;901434;33740112;Zakstraat 13-15-17A;Zakstraat 13-15-17A;Zakstraat;13;;D;;18/05/2020 11:35;Jo De Clippel;MDU;1;5;1;7;0;6;1;7;BUILDING template
MECHELEN - FH01;Units lu diff;901434;BL0120;3;450287;901434;33740112;Zakstraat 13-15-17A;Zakstraat 13-15-17A;Zakstraat;13;;D;;18/05/2020 11:35;Jo De Clippel;MDU;1;5;1;7;0;6;1;7;BUILDING template
MECHELEN - FH01;Quadrant diff;901434;BL0120;3;450287;901434;33740112;Zakstraat 13-15-17A;Zakstraat 13-15-17A;Zakstraat;13;;D;C;18/05/2020 11:35;Jo De Clippel;MDU;1;5;1;7;0;6;1;7;BUILDING template
MECHELEN - FH01;Quadrant diff;903467;BL0127;4;450407;903467;33740162;;;Lange Schipstraat;68;;;C;9/06/2020;Dieu Jocelin;SDU;1;0;0;1;1;0;0;1;BUILDING template
MECHELEN - FH01;Units bu diff;904579;BL0127;4;10472533;904579;;;;Lange Schipstraat;2;;D;;17/02/2020;Jo De Clippel;MDU;1;2;0;3;0;2;0;2;BUILDING template
MECHELEN - FH01;Units total diff;904579;BL0127;4;10472533;904579;;;;Lange Schipstraat;2;;D;;17/02/2020;Jo De Clippel;MDU;1;2;0;3;0;2;0;2;BUILDING template
MECHELEN - FH01;Units su diff;905286;BL0116;2;33738227;905286;;;;Begijnenstraat;11;;XC;;25/05/2020 10:00;Dieu Jocelin;MDU;0;8;1;9;0;11;0;11;BUILDING template
MECHELEN - FH01;Units total diff;905286;BL0116;2;33738227;905286;;;;Begijnenstraat;11;;XC;;25/05/2020 10:00;Dieu Jocelin;MDU;0;8;1;9;0;11;0;11;BUILDING template
MECHELEN - FH01;Quadrant diff;905286;BL0116;2;33738227;905286;;;;Begijnenstraat;11;;XC;D;25/05/2020 10:00;Dieu Jocelin;MDU;0;8;1;9;0;11;0;11;BUILDING template
MECHELEN - FH01;Units lu diff;905286;BL0116;2;33738227;905286;;;;Begijnenstraat;11;;XC;;25/05/2020 10:00;Dieu Jocelin;MDU;0;8;1;9;0;11;0;11;BUILDING template
MECHELEN - FH01;Units lu diff;905287;BL0110;5;450501;905287;;;;Begijnenstraat;18;;XC;;9/06/2020 11:15;Jo De Clippel;MDU;1;2;0;3;0;10;10;20;BUILDING template
MECHELEN - FH01;Units bu diff;905287;BL0110;5;450501;905287;;;;Begijnenstraat;18;;XC;;9/06/2020 11:15;Jo De Clippel;MDU;1;2;0;3;0;10;10;20;BUILDING template
MECHELEN - FH01;Units su diff;905287;BL0110;5;450501;905287;;;;Begijnenstraat;18;;XC;;9/06/2020 11:15;Jo De Clippel;MDU;1;2;0;3;0;10;10;20;BUILDING template
MECHELEN - FH01;Units total diff;905287;BL0110;5;450501;905287;;;;Begijnenstraat;18;;XC;;9/06/2020 11:15;Jo De Clippel;MDU;1;2;0;3;0;10;10;20;BUILDING template
MECHELEN - FH01;Units lu diff;905645;BL0110;5;7092687;905645;33740122;Begijnenstraat 50-50A;Begijnenstraat 50-50A;Begijnenstraat;50;;XC;;20/05/2020;Dieu Jocelin;MDU;2;10;1;13;0;12;2;14;BUILDING template
MECHELEN - FH01;Units su diff;905645;BL0110;5;7092687;905645;33740122;Begijnenstraat 50-50A;Begijnenstraat 50-50A;Begijnenstraat;50;;XC;;20/05/2020;Dieu Jocelin;MDU;2;10;1;13;0;12;2;14;BUILDING template
MECHELEN - FH01;Units bu diff;905645;BL0110;5;7092687;905645;33740122;Begijnenstraat 50-50A;Begijnenstraat 50-50A;Begijnenstraat;50;;XC;;20/05/2020;Dieu Jocelin;MDU;2;10;1;13;0;12;2;14;BUILDING template
MECHELEN - FH01;Units total diff;905645;BL0110;5;7092687;905645;33740122;Begijnenstraat 50-50A;Begijnenstraat 50-50A;Begijnenstraat;50;;XC;;20/05/2020;Dieu Jocelin;MDU;2;10;1;13;0;12;2;14;BUILDING template
MECHELEN - FH01;Quadrant diff;905651;BL0110;5;7092688;905651;33740207;Drabstraat 6A-8-8A-8B;Drabstraat 6A-8-8A-8B;Drabstraat;8;;C;D;7/05/2020;Dieu Jocelin;MDU;0;1;0;1;0;1;0;1;BUILDING template
MECHELEN - FH01;Units su diff;905659;BL0116;4;7092690;905659;33740189;Vismarkt 2-4;Vismarkt 2-4;Vismarkt;2;;D;;19/05/2020 8:45;Dieu Jocelin;MDU;1;0;1;2;0;1;0;1;BUILDING template
MECHELEN - FH01;Units bu diff;905659;BL0116;4;7092690;905659;33740189;Vismarkt 2-4;Vismarkt 2-4;Vismarkt;2;;D;;19/05/2020 8:45;Dieu Jocelin;MDU;1;0;1;2;0;1;0;1;BUILDING template
MECHELEN - FH01;Units total diff;905659;BL0116;4;7092690;905659;33740189;Vismarkt 2-4;Vismarkt 2-4;Vismarkt;2;;D;;19/05/2020 8:45;Dieu Jocelin;MDU;1;0;1;2;0;1;0;1;BUILDING template
MECHELEN - FH01;Units lu diff;905659;BL0116;4;7092690;905659;33740189;Vismarkt 2-4;Vismarkt 2-4;Vismarkt;2;;D;;19/05/2020 8:45;Dieu Jocelin;MDU;1;0;1;2;0;1;0;1;BUILDING template
MECHELEN - FH01;Units bu diff;935331;BL0111;1;7092695;935331;;;;Stadsheimelijkheid;1;;XC;;27/05/2020 11:00;Dieu Jocelin;MDU;1;10;1;12;2;9;1;12;BUILDING template
MECHELEN - FH01;Units lu diff;935331;BL0111;1;7092695;935331;;;;Stadsheimelijkheid;1;;XC;;27/05/2020 11:00;Dieu Jocelin;MDU;1;10;1;12;2;9;1;12;BUILDING template
