Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
KNOKKE-HEIST - FH04;Zeedijk-Knokke;691;;75125,5449;227718,1732;MDU;;8;1;0;9;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;6;A;74880,24641;227568,2815;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;692;;75126;227719;MDU;;8;0;0;8;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeewindstraat;9;;75797;227862;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;693;;75130,54487;227720,1732;MDU;;8;1;0;9;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;4;;75450,87;227740,75;MDU;;1;1;0;2;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;694;;75131;227721;MDU;;10;0;0;10;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;6;;75447,54423;227749,1757;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;695;;75136;227723;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;11;;75446;227765;MDU;;36;0;0;36;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;696;;75135,54485;227722,1733;MDU;;8;1;0;9;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;17;;75513,54407;227758,1762;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;697;;75148,17487;227717,9634;MDU;;32;0;0;32;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;3;;75316;227748;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;699;;75165;227731;MDU;;2;0;0;2;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;5;;75324;227719;MDU;;27;0;0;27;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;5;;74880;227569;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;15;;75316;227748;MDU;;2;0;0;2;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;13;A;74992,10659;227600,7982;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Van Bunnenplein;13;;74842,54615;227607,1711;MDU;;25;1;0;26;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;13;B;74990,3;227590,77;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;16;;75240,54499;227687,1742;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;15;;75004,1;227595,31;MDU;;6;0;0;6;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Ebbestraat;6;;75883;227887;MDU;;2;0;0;2;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;17;;75013,54599;227599,1725;MDU;;2;1;0;3;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;652;;74852;227631;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;29;;75091,54569;227624,1731;MDU;;5;1;0;6;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;671;;75008;227681;MDU;;22;0;0;22;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;31;;75097,54566;227626,1731;MDU;;3;0;0;3;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;677;;75045;227692;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;35;;75105,54563;227629,1732;MDU;;10;2;0;12;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;679;;75064;227698;MDU;;6;0;0;6;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;37;;75106;227630;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;681;;75074;227701;MDU;;7;0;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;45;;75165,17;227658,5;MDU;;24;2;0;26;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;27;;75084,54571;227622,173;MDU;;10;1;0;11;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;47;;75168;227649;MDU;;25;0;0;25;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;41;;75116;227633;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;49;;75168;227649;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;65;;75260;227688;MDU;;11;0;0;11;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;51;;75180,3;227656,9;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;101;;75354,54454;227725,175;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;59;;75229,54512;227673,1741;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;129;;75432;227720;MDU;;6;0;0;6;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;67;;75267,54495;227688,1744;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;137;;75447;227721;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;71;;75275,5449;227693,1744;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;145;;75524,5442;227740,1763;MDU;;37;2;0;39;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;73;;75276;227694;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;149;;75540;227746;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;75;;75283,34482;227701,4245;MDU;;23;2;0;25;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;173;;75572,79388;227772,4567;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;77;;75290;227700;MDU;;23;0;0;23;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;183;;75593;227767;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;79;;75290;227700;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;189;;75622;227778;MDU;;3;0;0;3;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;81;;75299,54479;227703,1746;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;241;;75717,34333;227817,9878;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;83;;75305,54476;227706,1746;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;311;;75902;227883;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;87;;75315,54472;227709,1747;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;12;;74900,43;227605,55;MDU;;26;0;0;26;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;89;;75318,54471;227710,1747;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;20;;74891,2;227631,15;MDU;;21;2;0;23;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;91;;75322,5447;227710,1748;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Marie-Josestraat;1;;75034,88;227685,67;MDU;;12;0;0;12;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;93;;75327,54469;227711,1748;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Marie-Josestraat;19;;75058,15;227613,25;MDU;;4;1;0;5;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;103;;75363,54454;227723,1751;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Swolfsstraat;3;;75123;227696;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;105;;75366,57;227730,07;MDU;;0;5;0;5;Y;NA;4;BUILDING template
