Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Building comment;Building exists;Opdrachttemplate
ANTWERPEN-WEST - FH06;BL0604;1778782;Bredestraat;13;;;152342,989;211637,713;MDU;;10;1;0;11;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0605;2061268;Vleminckveld;27;;;152410,744;211645,399;SDU;;1;0;0;1;N;MON;5;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0603;12607;Mechelseplein;6;;;152507,237;211476,284;SDU;;0;1;0;1;N;MON;4;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;1778789;Bredestraat;15;;;152342,36;211632,283;MDU;;4;0;0;4;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061269;Vleminckveld;28;;;152399,716;211624,347;SDU;;0;1;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0605;12633;Oudaan;32;;;152507,862;211767,123;MDU;;6;0;0;6;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;1778794;Bredestraat;17;;;152344;211626;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0605;2061270;Vleminckveld;29;;;152415,568;211639,4;SDU;;1;0;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0619;12649;Eiermarkt;31;;;152463,908;212148,206;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;1778804;Bredestraat;25;;;152338,54;211612,09;MDU;;3;0;0;3;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061271;Vleminckveld;30;;;152408,213;211618,524;SDU;;0;1;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;1778808;Bredestraat;27;;;152337,581;211607,775;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0605;2061272;Vleminckveld;31;;;152418,076;211636,75;MDU;;4;0;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0610;49247;Groenplaats;43;;;152286,924;212050,69;MDU;;35;10;0;45;N;MON;5;MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;1778829;Bredestraat;35;;;152335,595;211591,337;MDU;;5;0;0;5;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061273;Vleminckveld;32;;;152415,936;211610,377;SDU;;0;1;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0611;49251;Schrijnwerkersstraat;22;;;152438,007;211971,384;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;1778839;Bredestraat;39;;;152333,198;211582,912;SDU;;0;1;0;1;Y;NA;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0605;2061275;Vleminckveld;33;;;152420,979;211633,011;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0611;49252;Schrijnwerkersstraat;4;;;152434,783;212018,592;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;1778850;Bredestraat;43;;;152330,663;211572,912;MDU;;1;1;0;2;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0605;2061276;Vleminckveld;35;;;152422,843;211629,39;MDU;;3;1;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;49253;Schoenmarkt;12;;;152446,285;212034,604;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0617;1857314;Eiermarkt;1;;;152360,473;212191,684;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061277;Vleminckveld;36;;;152419,276;211607,202;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0611;49254;Schoenmarkt;10;;;152430,013;212032,368;SDU;;0;1;0;1;N;MON;4;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0617;1857325;Eiermarkt;3;;;152364,838;212192,024;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0605;2061278;Vleminckveld;37;;;152428,306;211626,804;MDU;;13;1;0;14;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;49255;Schoenmarkt;20;;;152471,823;212043,02;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0618;1857364;Eiermarkt;9;;;152401,487;212174,781;MDU;;3;0;0;3;N;MON;4;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061279;Vleminckveld;38;;;152422,943;211605,435;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;49256;Meirbrug;2;;;152482,005;212049,867;MDU;;26;2;0;28;Y;NA;7;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0618;1857371;Eiermarkt;11;;;152407,694;212179,016;SDU;;0;1;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061280;Vleminckveld;40;;;152424,289;211602,799;MDU;;5;0;0;5;Y;NA;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;49257;Meirbrug;4;;;152495,519;212047,952;MDU;;0;2;0;2;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0618;1857405;Eiermarkt;19;;;152424,465;212171,004;MDU;;3;1;0;4;N;MON;3;MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061281;Vleminckveld;42;;;152428,609;211594,145;MDU;;3;1;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;54870;Lombardenvest;34;;;152308,449;211953,931;MDU;;1;5;0;6;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0606;1868992;Everdijstraat;4;;;152300,936;211837,639;SDU;;1;0;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061282;Vleminckveld;44;;;152434,157;211588,528;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;54874;Lombardenvest;2;;;152224,235;211971,946;SDU;;0;1;0;1;N;MON;4;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0606;1869001;Everdijstraat;6;;;152304,489;211838,046;SDU;;1;0;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061283;Vleminckveld;46;;;152439,294;211586,542;SDU;;1;0;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0606;1869018;Everdijstraat;8;;;152308,916;211838,775;MDU;;1;1;0;2;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061284;Vleminckveld;48;;;152442,705;211581,241;MDU;;2;1;0;3;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54876;Lombardenvest;80;;;152450,284;211931,939;SDU;;0;1;0;1;Y;NA;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0606;1869022;Everdijstraat;10;;;152316,855;211838,865;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061285;Vleminckveld;50;;;152448,388;211579,05;MDU;;2;2;0;4;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;54877;Lombardenvest;20;;;152267,799;211962,628;SDU;;0;1;0;1;Y;NA;2;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0606;1869031;Everdijstraat;12;;;152329;211839;SDU;;1;0;0;1;Y;NA;3;;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0604;2061286;Vleminckveld;52;;;152449,294;211574,693;MDU;;7;0;0;7;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;54878;Lombardenvest;24;;;152282,606;211953,371;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;1869037;Everdijstraat;13;;;152322,594;211853,089;MDU;;1;1;0;2;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;2061288;Vleminckveld;64;;;152476,555;211550,994;SDU;;0;1;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54879;Lombardenvest;64;;;152412,313;211932,435;MDU;;3;1;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;1869043;Everdijstraat;15;;;152329,108;211852,362;SDU;;1;0;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;2061289;Vleminckveld;66;;;152477,924;211546,542;MDU;;3;1;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54880;Lombardenvest;54;;;152381,778;211937,407;MDU;;3;1;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;1869049;Everdijstraat;17;;;152333,415;211853,379;MDU;;4;0;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;2061292;Vleminckveld;72;;;152483,541;211527,227;SDU;;1;0;0;1;Y;NA;0;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54881;Lombardenvest;66;;;152418,142;211933,103;MDU;;1;1;0;2;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;1869062;Everdijstraat;19;;;152340,523;211853,188;SDU;;1;0;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;2061293;Vleminckveld;74;;;152483,151;211524,567;SDU;;0;1;0;1;Y;NA;0;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54882;Lombardenvest;68;;;152425,039;211929,856;MDU;;4;0;0;4;Y;NA;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;1869064;Everdijstraat;21;;;152345,976;211852,739;SDU;;1;0;0;1;Y;NA;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;2061294;Vleminckveld;76;;;152484,157;211520,72;SDU;;1;0;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54883;Lombardenvest;62;;;152407,228;211932,579;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1869077;Everdijstraat;31;;;152400,244;211852,597;MDU;;3;1;0;4;N;MON;3;Review Required MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0602;2061295;Vleminckveld;78;;;152482,034;211515,925;SDU;;0;1;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54884;Lombardenvest;58;;;152394,225;211934,562;SDU;;0;1;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1869083;Everdijstraat;33;;;152412,689;211851,816;SDU;;0;1;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0618;2061296;Vleminckstraat;4;;;152402,991;212212,92;MDU;;4;0;0;4;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54886;Lombardenvest;74;;;152431,844;211932,566;MDU;;7;1;0;8;Y;NA;5;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1869096;Everdijstraat;35;;;152419,01;211853,064;MDU;;14;1;0;15;N;MON;3;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0624;2061297;Vleminckstraat;5;;;152412,83;212230,112;MDU;;3;1;0;4;Y;NA;0;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54887;Lombardenvest;60;;;152401,444;211933,656;MDU;;1;1;0;2;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1869103;Everdijstraat;37;;;152427,677;211852,322;SDU;;0;1;0;1;Y;NA;0;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0624;2061298;Vleminckstraat;7;;;152419,071;212227,598;SDU;;1;0;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54888;Lombardenvest;52;;;152368,537;211911,885;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1869113;Everdijstraat;39;;;152432,87;211851,328;MDU;;7;0;0;7;Y;NA;5;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0624;2061300;Vleminckstraat;9;;;152428,73;212222,903;MDU;;1;1;0;2;Y;NA;0;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;54889;Kammenstraat;57;;;152271,357;211870,516;SDU;;0;1;0;1;N;ORN;6;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1869118;Everdijstraat;41;;;152438,76;211852,042;SDU;;0;1;0;1;Y;NA;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0624;2061301;Vleminckstraat;11;;;152439,488;212223,659;MDU;;2;0;0;2;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;54890;Kammenstraat;55;;;152268,843;211874,398;MDU;;2;1;0;3;N;ORN;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1869122;Everdijstraat;43;;;152448,379;211853,167;SDU;;0;1;0;1;N;MON;4;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0618;2061305;Vleminckstraat;18;;;152456;212198;MDU;;2;0;0;2;Y;NA;3;;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;54891;Kammenstraat;19;;;152216,311;211973,313;SDU;;0;1;0;1;N;IRREG;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1884602;Korte Gasthuisstraat;4;;;152457,837;211928,195;SDU;;0;1;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0624;2061306;Vleminckstraat;23;;;152466,287;212216,207;MDU;;9;0;0;9;N;ORN;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;54892;Kammenstraat;21;;;152217,59;211966,303;SDU;;0;1;0;1;N;ORN;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1884618;Korte Gasthuisstraat;6;;;152458,999;211924,716;SDU;;0;1;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;54893;Kammenstraat;67;;;152291,337;211851,411;SDU;;0;1;0;1;N;ORN;6;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1884633;Korte Gasthuisstraat;8;;;152458,908;211920,815;MDU;;1;1;0;2;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;2064238;Wiegstraat;12;;;152490,874;212011,352;SDU;;0;1;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54894;Korte Gasthuisstraat;2;;;152457;211932;SDU;;0;1;0;1;Y;NA;5;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1884669;Korte Gasthuisstraat;10;;;152460,442;211915,978;SDU;;0;1;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;2064240;Wiegstraat;18;;;152484,388;211999,554;SDU;;0;1;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54895;Korte Gasthuisstraat;34;;;152483,37;211857,396;SDU;;0;1;0;1;N;MON;3;_ MON;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1884691;Korte Gasthuisstraat;12;;;152460,912;211911,272;SDU;;0;1;0;1;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;2064241;Wiegstraat;22;;;152479,711;211992,309;MDU;;3;0;0;3;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54896;Korte Gasthuisstraat;24;;;152474,061;211880,014;MDU;;1;1;0;2;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1884705;Korte Gasthuisstraat;14;;;152462,272;211906,06;MDU;;2;0;0;2;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;2064242;Wiegstraat;24;;;152477,291;211987,79;MDU;;1;1;0;2;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;54897;Everdijstraat;53;;;152476,839;211854,189;SDU;;1;0;0;1;Y;NA;4;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1884727;Korte Gasthuisstraat;18;;;152468,042;211894,952;MDU;;7;1;0;8;Y;NA;3;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;2064243;Wiegstraat;26;;;152474,705;211983,648;MDU;;3;1;0;4;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;54899;Everdijstraat;23;;;152352,474;211850,802;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1884742;Korte Gasthuisstraat;20;;;152470,186;211890,176;SDU;;0;1;0;1;Y;NA;3;_ BE;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0612;2064244;Wiegstraat;28;;;152473,415;211979,902;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0607;54901;Everdijstraat;11;;;152315,966;211851,937;MDU;;1;1;0;2;Y;NA;4;_;Y;BUILDING template
ANTWERPEN-WEST - FH06;BL0608;1884816;Korte Gasthuisstraat;28;;;152478,245;211870,377;SDU;;0;1;0;1;Y;NA;5;_;Y;BUILDING template
