Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;Opdrachttemplate
KNOKKE-HEIST - FH04;Kustlaan;205;;8300;Knokke-Heist;75644,0;227787,0;NB-83002054c2469;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;793;;8300;Knokke-Heist;75787,0;227905,0;NB-8300793a04037;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;794;;8300;Knokke-Heist;75787,0;227905,0;NB-8300794c31966;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;3;;8300;Knokke-Heist;75601,74;227813,51;NB-83003728155;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;795;;8300;Knokke-Heist;75792,0;227908,0;NB-8300795e69c96;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;17;;8300;Knokke-Heist;75609,0;227792,0;NB-83001795a590;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;213;;8300;Knokke-Heist;75658,0;227792,0;NB-83002136d2008;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;7;;8300;Knokke-Heist;75604,0;227807,0;NB-83007bdc126;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;648;A;8300;Knokke-Heist;74839,0;227629,0;NB-8300648Af046;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;6;A;8300;Knokke-Heist;75591,0;227787,0;NB-83006Afe57;BUILDING template
KNOKKE-HEIST - FH04;Zandstraat;7;;8300;Knokke-Heist;75206,0;227686,0;NB-83007842b83;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;707;;8300;Knokke-Heist;75233,8233;227753,4183;NB-8300707da3124;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;697;A;8300;Knokke-Heist;75148,63;227718,79;NB-8300697Ad675;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;3;;8300;Knokke-Heist;74879,54;227568,81;NB-830030c5e89;BUILDING template
KNOKKE-HEIST - FH04;Zandstraat;12;;8300;Knokke-Heist;75182,0;227690,0;NB-830012a68415;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;709;;8300;Knokke-Heist;75249,05;227751,47;NB-830070999a964;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;697;B;8300;Knokke-Heist;75148,63;227718,79;NB-8300697B8604;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;5;;8300;Knokke-Heist;74879,54;227568,81;NB-83005315019;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;227;;8300;Knokke-Heist;75685,0;227802,0;NB-8300227cab185;BUILDING template
KNOKKE-HEIST - FH04;Zandstraat;16;;8300;Knokke-Heist;75184,0;227683,0;NB-830016cb6855;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;710;;8300;Knokke-Heist;75249,05;227751,47;NB-8300710c88908;BUILDING template
