File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building  SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod Date LU;Prov Mod By LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;11452608;2,01912E+13;4733038;41630000;798;Arme-Clarenstraat;'28;';2800;Mechelen;;157401;191056;;N;IRREG;2;;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:31;;Y;;;;6/12/2019 10:50;1;11090726;;LU;1;';';';';';;;;;;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;21704387;2,01912E+13;5838132;41630000;44441;Oude Beggaardenstraat;'5;';2800;Mechelen;;157665;191079;;Y;NA;3;9;Unknown;Unknown;;None;;;;SSV_IMPORT;6/12/2019 10:53;;Y;;;;6/12/2019 10:50;1;11231803;;LU;1;';';';';';;;;;;;;;6/12/2019 10:53;SSV_IMPORT;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;21704404;2,01912E+13;6617967;41630000;27774;Schoutetstraat;'9;';2800;Mechelen;;157719;191258;;Y;NA;3;9;Unknown;Unknown;;None;;;;SSV_IMPORT;6/12/2019 10:54;;Y;;;;6/12/2019 10:50;1;11231812;;LU;1;';';';';';;;;;;;;;6/12/2019 10:54;SSV_IMPORT;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;435788;2,01912E+13;3045165;41630000;23024;Onder-den-Toren;'2;';2800;Mechelen;;157688,9522;190912,6885;;N;MON;3;15;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:07;;Y;;;;6/12/2019 10:50;2;1568702;;BU;1;';';';';';Y;#HA.GV/KELDER/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;COMM;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;437725;2,01912E+13;3049091;41630000;29614;Steenweg;'36;';2800;Mechelen;;157721,7775;190853,144;;Y;NA;4;12;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:17;;Y;;;;6/12/2019 10:50;1;1579587;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450421;2,01912E+13;904218;41630000;27506;Korte Schipstraat;'1;';2800;Mechelen;;157889,685;190551,6809;;Y;NA;3;10;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:09;;Y;;;;6/12/2019 10:50;1;1557524;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450444;2,01912E+13;904878;41630000;27117;Schaalstraat;'30;';2800;Mechelen;;157770,1665;190672,7553;;Y;NA;2;12;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:09;;Y;;;;6/12/2019 10:50;1;1576489;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;451899;2,01912E+13;929576;41630000;29067;Sint-Katelijnestraat;'14;';2800;Mechelen;;157646,3285;191082,0301;;N;IRREG;3;17;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:14;;Y;;;;6/12/2019 10:50;1;1563385;;LU;1;';';';';';Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;7092635;2,01912E+13;5697979;41630000;27289;Scheerstraat;'8;';2800;Mechelen - Malines;;157814,1825;190942,7717;;N;IRREG;3;10;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:09;;Y;;;;6/12/2019 10:50;1;10447768;;BU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;;6/12/2019 11:56;IFH_BATCH;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;10472517;2,01912E+13;3047630;41630000;27507;Lange Schipstraat;'54;';2800;Mechelen - Malines;;157812,3528;190479,1233;;Y;NA;3;12;Unknown;Unknown;D - Facade Box;None;;;;IFH_BATCH;6/12/2019 11:11;;Y;;;;6/12/2019 10:50;2;1587290;3885333;LU;1;'1;'LU2;';'1;';Y;#A.2/C/K3-P3;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;11452587;2,01912E+13;6527839;41630000;44441;Oude Beggaardenstraat;'21;';2800;Mechelen;;157731,377;191117,414;;Y;NA;3;5;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:23;;Y;;;;6/12/2019 10:50;1;11090685;;BU;1;';';';';';;;;;;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;21704450;2,01912E+13;5838075;41630000;44677;Straatje-zonder-einde;'2;';2800;Mechelen;;157520;191045;;Y;NA;2;6;Unknown;Unknown;;None;;;;SSV_IMPORT;6/12/2019 10:55;;Y;;;;6/12/2019 10:50;1;11231825;;LU;1;';';';';';;;;;;;;;6/12/2019 10:55;SSV_IMPORT;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;430417;2,01912E+13;3035215;41630000;9632;Geitestraat;'13;';2800;Mechelen;;157803,4285;190791,4132;;Y;NA;4;17;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 11:31;;Y;;;;6/12/2019 10:50;1;1562220;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;430991;2,01912E+13;3036248;41630000;11591;Hazestraat;'4;';2800;Mechelen;;157960,157;190495,8412;;Y;NA;3;9;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 10:57;;Y;;;;6/12/2019 10:50;2;10446745;;LU;1;';';';';';Y;;HOUSE;WONING - MAISON;NA;;;;;;;Y;;;;6/12/2019 10:50
;;;Zoning;6833207;2,01911E+13;W03-D-Mechelen-FH01;6833207;2,01911E+13;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;431740;2,01912E+13;3037622;41630000;13778;Ijzerenleen;'17;';2800;Mechelen;;157742,3255;190760,8059;;Y;NA;4;15;Unknown;Unknown;;None;;;;IFH_BATCH;6/12/2019 10:58;;Y;;;;6/12/2019 10:50;1;1566352;;BU;1;';';';';';Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;Y;;;;6/12/2019 10:50
