Projectnummer;LAM MK;Building FID;SSV Date;BUILDING KEY;Blok;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
KNOKKE - FH01;2765498;;;2765498;BL0111;8334835;;2019-09-14;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;2766628;;;2766628;BL0105;8357798;;2019-09-02;;;;;;;;;;;;;2019-09-18;2020-12-05;(L/B/S)U template
KNOKKE - FH01;4233994;;;4233994;BL0102;8362780;;2019-10-12;;;;;;;;;;;;;2019-08-26;2020-02-03;(L/B/S)U template
KNOKKE - FH01;5579533;;;5579533;BL0124;8335527;;2019-09-24;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763034;;;2763034;;11282479;PENDING;2019-11-02;;;;;;;;;;;;;2019-11-22;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765054;;;2765054;;11294340;PENDING;2019-10-24;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;239613;;;239613;BL0125;11079247;PENDING;2019-09-26;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;321046;;;321046;BL0115;8359070;PENDING;2019-09-07;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;333279;;;333279;BL0111;11078987;PENDING;2019-08-31;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;338419;;;338419;BL0114;8341482;PENDING;2019-08-08;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;1486957;;;1486957;BL0114;8357875;PENDING;2019-11-08;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;2763023;;;2763023;BL0114;8364434;NOK;2019-09-14;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;2763124;;;2763124;BL0125;8358115;PENDING;2019-09-02;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2765066;;;2765066;BL0120;8350614;PENDING;2019-10-12;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765498;;;2765498;BL0111;11079124;;2019-09-24;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;2766629;;;2766629;BL0103;8343805;;2019-11-02;;;;;;;;;;;;;2019-09-05;2020-03-23;(L/B/S)U template
KNOKKE - FH01;4238287;;;4238287;BL0116;8336047;;2019-09-26;;;;;;;;;;;;;2019-11-13;2021-02-01;(L/B/S)U template
KNOKKE - FH01;5579533;;;5579533;BL0124;8335528;;2019-09-16;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763044;;;2763044;;11282480;PENDING;2019-09-07;;;;;;;;;;;;;2019-11-22;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765057;;;2765057;;11294341;PENDING;2019-10-24;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;239616;;;239616;BL0126;10556585;;2019-08-31;;;;;;;;;;;;;2019-11-25;2020-06-29;(L/B/S)U template
KNOKKE - FH01;321046;;;321046;BL0115;8363368;PENDING;2019-08-08;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;333279;;;333279;BL0111;11139486;PENDING;2019-08-15;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;338419;;;338419;BL0114;8341483;PENDING;2019-11-08;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;2759945;;;2759945;BL0109;8349740;;2019-09-14;;;;;;;;;;;;;2019-08-30;2020-01-19;(L/B/S)U template
KNOKKE - FH01;2763023;;;2763023;BL0114;8364435;NOK;2019-10-12;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;2763124;;;2763124;BL0125;8362411;PENDING;2019-11-02;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2765066;;;2765066;BL0120;8350615;PENDING;2019-09-07;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765498;;;2765498;BL0111;11079125;;2019-08-08;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;2766630;;;2766630;BL0105;8341953;;2019-08-15;;;;;;;;;;;;;2019-09-18;2020-12-05;(L/B/S)U template
KNOKKE - FH01;4243993;;;4243993;BL0103;8340412;;2019-11-08;;;;;;;;;;;;;2019-09-05;2020-03-23;(L/B/S)U template
