Projectnummer;LAM MK;Building FID;SSV Date;Quadrant;TSA SIGNED;BUILDING KEY;Blok;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
KNOKKE-HEIST - FH11;71681;20976761;2020-02-08 16:55:13;D;;71681;BL1111;71681;;2020-02-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71682;20976762;;;;71682;BL1110;71682;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71683;20976763;;;;71683;BL1111;71683;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71684;20976764;2020-01-23 12:35:26;D;;71684;BL1111;71684;;2020-01-23;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71686;20976765;2020-02-08 17:05:12;D;;71686;BL1111;71686;;2020-02-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71687;20976766;;;;71687;BL1111;71687;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71688;20976767;2020-02-08 17:35:11;D;;71688;BL1112;71688;;2020-02-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71690;20976768;2020-02-08 17:35:11;D;;71690;BL1112;71690;;2020-02-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71692;20976769;;;;71692;BL1114;71692;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71693;20976770;;;;71693;BL1114;71693;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71694;20976771;;;;71694;BL1114;71694;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71695;20976772;;;;71695;BL1114;71695;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71696;20976802;;;;71696;BL1114;71696;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71697;20976803;;;;71697;BL1114;71697;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71716;20976804;2020-01-23 12:20:30;D;;71716;BL1111;71716;;2020-01-23;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71717;20976805;;;;71717;BL1111;71717;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71719;20976806;;;;71719;BL1112;71719;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71720;20976807;2020-03-10 15:30:17;XA;PENDING;71720;BL1114;71720;PENDING;2020-03-10;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71722;20976808;2020-03-10 15:30:15;XA;PENDING;71722;BL1115;71722;PENDING;2020-03-10;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71723;20976809;2020-02-07 09:20:32;XA;PENDING;71723;BL1115;71723;PENDING;2020-02-07;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71724;20976810;;;;71724;BL1114;71724;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71725;20976811;;;;71725;BL1114;71725;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71726;20976812;;;;71726;BL1114;71726;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71727;20976813;;;;71727;BL1114;71727;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71728;20976814;;;;71728;BL1114;71728;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71730;20976815;2020-01-30 16:15:21;XC;PENDING;71730;BL1108;71730;PENDING;2020-01-30;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71752;20976816;;;;71752;BL1125;71752;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71753;20976817;;;;71753;BL1113;71753;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71754;20976818;;;;71754;BL1113;71754;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71755;20976819;2020-02-09 16:05:12;;;71755;BL1114;71755;;2020-02-09;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71756;20976820;;;;71756;BL1114;71756;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71757;20976821;;;;71757;BL1114;71757;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71758;20976822;;;;71758;BL1114;71758;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292449;21256496;;C;PENDING;292449;BL1102;292449;PENDING;;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292475;20975921;2020-01-23 10:35:19;D;;292475;BL1101;292475;;2020-01-23;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292496;20975922;;;;292496;BL1130;292496;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292498;20975923;;;;292498;BL1130;292498;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292500;20975924;;;;292500;BL1102;292500;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292501;20975925;;;;292501;BL1102;292501;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292502;20975926;;;;292502;BL1130;292502;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292504;20975927;;;;292504;BL1102;292504;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292506;20975928;;;;292506;BL1104;292506;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292507;20975929;;;;292507;BL1104;292507;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292508;20975930;2020-01-16 09:40:24;XC;PENDING;292508;BL1128;292508;PENDING;2020-01-16;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292512;21255975;2020-01-24 09:15:24;XA;PENDING;292512;BL1103;292512;PENDING;2020-01-24;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292513;20975931;;;;292513;BL1103;292513;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292516;20975933;2020-02-18;XA;PENDING;292516;BL1103;292516;PENDING;2020-02-18;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292517;20975934;2020-01-20 10:25:18;XA;PENDING;292517;BL1103;292517;PENDING;2020-01-20;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292520;20975935;;;;292520;BL1101;292520;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292523;20975936;;;;292523;BL1101;292523;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292526;20975937;2020-01-23 10:05:21;D;;292526;BL1131;292526;;2020-01-23;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292527;20975938;;;;292527;BL1101;292527;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292528;20975939;2020-01-23 10:35:24;C;PENDING;292528;BL1101;292528;PENDING;2020-01-23;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292529;20975940;;;;292529;BL1102;292529;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292530;21255783;2020-01-23 15:15:30;D;;292530;BL1101;292530;;2020-01-23;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292531;20975941;;;;292531;BL1101;292531;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292533;20975942;;;;292533;BL1102;292533;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292534;20975943;2020-02-09 12:05:12;D;;292534;BL1104;292534;;2020-02-09;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292535;20975944;2020-02-24 13:00:29;D;;292535;BL1102;292535;;2020-02-24;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292536;20975945;;;;292536;BL1104;292536;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292537;20975946;2020-02-09 12:55:10;D;;292537;BL1102;292537;;2020-02-09;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292539;20975948;;;;292539;BL1102;292539;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292541;20975951;2020-02-09 11:50:14;XC;PENDING;292541;BL1102;292541;PENDING;2020-02-09;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292542;20975952;2020-02-18 12:40:21;D;;292542;BL1102;292542;;2020-02-18;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292543;20975953;;;;292543;BL1102;292543;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292544;20975954;2020-02-18 12:55:18;D;;292544;BL1102;292544;;2020-02-18;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292545;20975957;;;;292545;BL1102;292545;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292546;20975958;;;;292546;BL1102;292546;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292547;20975959;;;;292547;BL1102;292547;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292548;20975960;;;;292548;BL1102;292548;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292554;20975965;2020-01-11 10:35:13;;;292554;BL1104;292554;;2020-01-11;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292632;20975966;;;;292632;BL1102;292632;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292634;20975967;2020-02-17 16:40:16;D;;292634;BL1102;292634;;2020-02-17;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;297282;20975968;;;;297282;BL1140;297282;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;297283;20975969;;;;297283;BL1122;297283;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299812;21256331;;;;299812;BL1121;299812;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299814;20975971;;;;299814;BL1121;299814;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;299815;20975972;2020-01-09 11:00:29;D;;299815;BL1122;299815;;2020-01-09;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299816;20975973;2020-01-09 10:55:21;D;;299816;BL1122;299816;;2020-01-09;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;299817;20975974;;;;299817;BL1121;299817;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
