'Building_Units'[mainkey];Lu_Key;Block_Name;Street;House_Nr;House_Nr_Suffix;App_Nr;Postal_Code;City;LU_nature;MUD/SDU;Quadrant;VCA;M5A;M6A;B1;B2;Handover_Date;Stop_Selling_Dt;Stop_Service_Dt;Best_Unit_Status;RFS;RFT;Building_Group_FID;Building_Group_name;B2_new
109143;11077290;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;2;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109143;11077291;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;2;;301;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109143;1693419;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;2;;1;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109143;1693420;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;2;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109146;11077293;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;4;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109146;11077294;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;4;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109146;1775614;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;4;;1;2000;Antwerpen;BU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109146;1775615;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;4;;2;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
109147;10366119;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;18;;;2000;Antwerpen;BU;SDU;;;;;2020-04-06;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1128032;11077017;W03-C-Antwerpen-West-FH01_BL0012;Londenstraat;30;;;2000;Antwerpen;BU;SDU;;;;;2020-04-14;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1266447;10410695;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;12;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1266447;10410724;W03-C-Antwerpen-West-FH01_BL0011;Londenstraat;12;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-06;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
