OpdrachtID,Projectnummer,Straat,Huisnummer,"Huisnummer Toevoeging",Postcode,Plaats,xPos,yPos,Opdrachtnummer,"LAM MK",Opdrachttemplate
774380,"ANTWERPEN-WEST - FH09",Oudevaartplaats,54,,2000,Antwerpen,,,NB-Antw5499cd95,NB-Antw5499cd95,"BUILDING template"
774382,"ANTWERPEN-WEST - FH09",Oudevaartplaats,57,,2000,Antwerpen,,,NB-Antw57adf614,NB-Antw57adf614,"BUILDING template"
774384,"ANTWERPEN-WEST - FH09",Oudevaartplaats,62,A,2000,Antwerpen,,,NB-Antw62A0631,NB-Antw62A0631,"BUILDING template"
774135,"ANTWERPEN-WEST - FH09",Frankrijklei,76,,2000,Antwerpen,,,NB-Antw76c55957,NB-Antw76c55957,"BUILDING template"
774392,"ANTWERPEN-WEST - FH09",Oudevaartplaats,72,,2000,Antwerpen,,,NB-Antw72d62e51,NB-Antw72d62e51,"BUILDING template"
774137,"ANTWERPEN-WEST - FH09",Frankrijklei,82,A,2000,Antwerpen,,,NB-Antw82A9c71,NB-Antw82A9c71,"BUILDING template"
774394,"ANTWERPEN-WEST - FH09",Schermersstraat,19,,2000,Antwerpen,,,NB-Antw19ec3967,NB-Antw19ec3967,"BUILDING template"
774139,"ANTWERPEN-WEST - FH09",Frankrijklei,86,B,2000,Antwerpen,,,NB-Antw86Bd895,NB-Antw86Bd895,"BUILDING template"
774396,"ANTWERPEN-WEST - FH09",Schermersstraat,35,,2000,Antwerpen,,,NB-Antw35ffc383,NB-Antw35ffc383,"BUILDING template"
774141,"ANTWERPEN-WEST - FH09",Frankrijklei,86,C,2000,Antwerpen,,,NB-Antw86Ce022,NB-Antw86Ce022,"BUILDING template"
774398,"ANTWERPEN-WEST - FH09",Schermersstraat,37,,2000,Antwerpen,,,NB-Antw3711d799,NB-Antw3711d799,"BUILDING template"
774143,"ANTWERPEN-WEST - FH09",Frankrijklei,94,,2000,Antwerpen,,,NB-Antw942ede42,NB-Antw942ede42,"BUILDING template"
