OpdrachtID,Projectnummer,Straat,Huisnummer,"Huisnummer Toevoeging",Postcode,Plaats,xPos,yPos,Opdrachtnummer,Opdrachttemplate
556226,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",712,,8300,Knokke-Heist,,,NB-8300712273896,"BUILDING template"
555715,"KNOKKE-HEIST - FH04",Kustlaan,311,,8300,Knokke-Heist,,,NB-8300311335c19,"BUILDING template"
556228,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",713,,8300,Knokke-Heist,,,NB-8300713633331,"BUILDING template"
555717,"KNOKKE-HEIST - FH04",Kustlaan,319,,8300,Knokke-Heist,,,NB-830031952d748,"BUILDING template"
556230,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",720,,8300,Knokke-Heist,,,NB-83007208ca563,"BUILDING template"
556232,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",722,,8300,Knokke-Heist,,,NB-8300722a62e04,"BUILDING template"
556235,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",726,,8300,Knokke-Heist,,,NB-8300726cc2682,"BUILDING template"
555212,"KNOKKE-HEIST - FH04",Albertplein,12,,8300,Knokke-Heist,,,NB-83001286ee55,"BUILDING template"
555725,"KNOKKE-HEIST - FH04",Kustlaan,323,,8300,Knokke-Heist,,,NB-8300323748476,"BUILDING template"
556237,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",727,,8300,Knokke-Heist,,,NB-830072724b517,"BUILDING template"
555214,"KNOKKE-HEIST - FH04",Albertplein,13,,8300,Knokke-Heist,,,NB-830013c7ab96,"BUILDING template"
555727,"KNOKKE-HEIST - FH04",Kustlaan,331,,8300,Knokke-Heist,,,NB-830033194c408,"BUILDING template"
555216,"KNOKKE-HEIST - FH04","Antoine Breartstraat",3,,8300,Knokke-Heist,,,NB-830038bf560,"BUILDING template"
555729,"KNOKKE-HEIST - FH04",Kustlaan,335,,8300,Knokke-Heist,,,NB-8300335ba0134,"BUILDING template"
555218,"KNOKKE-HEIST - FH04","Antoine Breartstraat",4,,8300,Knokke-Heist,,,NB-83004d6e305,"BUILDING template"
555475,"KNOKKE-HEIST - FH04",Kustlaan,25,,8300,Knokke-Heist,,,NB-830025b35132,"BUILDING template"
555731,"KNOKKE-HEIST - FH04",Kustlaan,341,,8300,Knokke-Heist,,,NB-8300341d8a660,"BUILDING template"
555733,"KNOKKE-HEIST - FH04",Lichttorenplein,2,,8300,Knokke-Heist,,,NB-83002f75086,"BUILDING template"
556501,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,665,,8300,Knokke-Heist,,,NB-8300665c96830,"BUILDING template"
555735,"KNOKKE-HEIST - FH04",Lichttorenplein,3,,8300,Knokke-Heist,,,NB-8300315b913,"BUILDING template"
556503,"KNOKKE-HEIST - FH04",Zeedijk-Knokke,667,,8300,Knokke-Heist,,,NB-8300667f07470,"BUILDING template"
555480,"KNOKKE-HEIST - FH04",Kustlaan,33,,8300,Knokke-Heist,,,NB-830033d9f566,"BUILDING template"
555482,"KNOKKE-HEIST - FH04",Kustlaan,37,,8300,Knokke-Heist,,,NB-830037013497,"BUILDING template"
555738,"KNOKKE-HEIST - FH04",Lichttorenplein,4,,8300,Knokke-Heist,,,NB-8300434cc38,"BUILDING template"
556250,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",731,,8300,Knokke-Heist,,,NB-830073149f465,"BUILDING template"
555484,"KNOKKE-HEIST - FH04",Kustlaan,39,,8300,Knokke-Heist,,,NB-830039251f24,"BUILDING template"
555740,"KNOKKE-HEIST - FH04",Lichttorenplein,7,,8300,Knokke-Heist,,,NB-83007528363,"BUILDING template"
556252,"KNOKKE-HEIST - FH04","Zeedijk-Het Zoute",733,,8300,Knokke-Heist,,,NB-83007334e5512,"BUILDING template"
