Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
ANTWERPEN-WEST - FH09;NO CLUSTERS;59577;BL0019;;714141;59577;38305482;Oudevaartplaats 43-45;;Oudevaartplaats;43;;;;;Yves de Roo;MDU;1;7;0;8;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59578;BL0019;;714142;59578;;;;Oudevaartplaats;47;;;;;Yves de Roo;MDU;1;2;0;3;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59579;BL0013;;714143;59579;38305463;Arenbergstraat 18_Leopoldstraat 15;;Arenbergstraat;18;;;;;Yves de Roo;MDU;1;1;0;2;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59580;BL0013;;13723863;59580;;;;Arenbergstraat;22;;;;;Yves de Roo;MDU;1;8;0;9;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59581;BL0013;;714145;59581;;;;Arenbergstraat;24;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59582;BL0013;;13723864;59582;;;;Arenbergstraat;30;;;;;Yves de Roo;MDU;2;0;0;2;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59583;BL0013;;714147;59583;;;;Arenbergstraat;20;;;;;Yves de Roo;MDU;0;3;0;3;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59584;BL0019;;714148;59584;;;;Nieuwstad;20;;;;;Yves de Roo;MDU;0;2;0;2;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59585;BL0019;;714149;59585;38305473;Nieuwstad 2-4;;Nieuwstad;2;;;;;Yves de Roo;MDU;2;0;0;2;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59587;BL0019;;714150;59587;;;;Tabakvest;74;;;;;Yves de Roo;MDU;1;3;0;4;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59588;BL0019;;714151;59588;;;;Tabakvest;78;;;;;Yves de Roo;SDU;0;1;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;BG Name diff;59589;;;38299074;59589;38305395;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;Tabakvest 92-94-96;Tabakvest;93;;;;;Filip Van Dyck;MDU;1;0;0;1;0;1;0;1;Y;Y;BUILDING template
ANTWERPEN-WEST - FH09;Units bu diff;59589;;;38299074;59589;38305395;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;Tabakvest 92-94-96;Tabakvest;93;;;;;Filip Van Dyck;MDU;1;0;0;1;0;1;0;1;Y;Y;BUILDING template
ANTWERPEN-WEST - FH09;MISSING BLOK;59589;;;38299074;59589;38305395;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;;Tabakvest;93;;;;;Filip Van Dyck;MDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59589;;;38299074;59589;38305395;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;;Tabakvest;93;;;;;Filip Van Dyck;MDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59589;BL0019;;38299074;59589;;Tabakvest 92-94-96;;Tabakvest;96;;;;;Filip Van Dyck;MDU;0;1;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;BG Blok diff;59589;;;38299074;59589;38305395;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;;Tabakvest;93;;;;;Filip Van Dyck;MDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;Units lu diff;59589;;;38299074;59589;38305395;Bourlastraat 1-3-5_Tabakvest 89-91-93_leopoldplaats 6-6A-7;Tabakvest 92-94-96;Tabakvest;93;;;;;Filip Van Dyck;MDU;1;0;0;1;0;1;0;1;Y;Y;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59591;BL0013;;714152;59591;38305463;Arenbergstraat 18_Leopoldstraat 15;;Leopoldstraat;15;;;;;Yves de Roo;MDU;1;1;0;2;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59592;BL0013;;714153;59592;38305464;Leopoldstraat 21_Willem Tellstraat 1;;Leopoldstraat;21;;;;;Yves de Roo;MDU;1;7;0;8;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59593;BL0013;;714154;59593;38305430;Leopoldstraat 23-25;;Leopoldstraat;23;;;;;Yves de Roo;MDU;1;1;0;2;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59594;BL0013;;714155;59594;;;;Leopoldstraat;31;;;;;Yves de Roo;MDU;1;5;0;6;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59595;BL0013;;714156;59595;;;;Leopoldstraat;33;;;;;Yves de Roo;MDU;1;6;0;7;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59596;BL0013;;714157;59596;;;;Leopoldstraat;35;;;;;Yves de Roo;MDU;1;5;0;6;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59597;BL0013;;714158;59597;;;;Leopoldstraat;37;;;;;Yves de Roo;MDU;1;2;0;3;;;;;N;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59598;BL0013;;33069995;59598;;;;Leopoldstraat;49;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59599;BL0013;;714159;59599;38305465;Leopoldstraat 39-41;;Leopoldstraat;39;;;;;Yves de Roo;MDU;1;5;0;6;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59600;BL0014;;714160;59600;;;;Leopoldstraat;22;;;;;Yves de Roo;SDU;1;0;0;1;;;;;Y;;BUILDING template
ANTWERPEN-WEST - FH09;NO CLUSTERS;59604;BL0013;;714161;59604;;;;Henri Van Heurckstraat;7;;;;;Yves de Roo;MDU;0;4;0;4;;;;;Y;;BUILDING template
