Lamkey;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;Quadrant_PR;BG_Name;VCA_Status;VCA
877100;Hof van t Henneken;103;;D - Facade Box;D;;;OK
877101;Hof van t Henneken;101;;D - Facade Box;D;;;OK
877104;Hof van t Henneken;85;;;;;;OK
877107;s Gravenstraat;1;;;;;;OK
877109;s Gravenstraat;28;;;;;;OK
877112;s Gravenstraat;30;;D - Facade Box;D;;;OK
877113;s Gravenstraat;26;;D - Facade Box;D;;;OK
877128;Hippoliet Spilleboutdreef;32;;D - Facade Box;D;;;OK
877133;Dokter Delbekestraat;2;;D - Facade Box;D;;;OK
877138;Dokter Delbekestraat;27;;;;;;OK
877143;Damberdstraat;51;;D - Facade Box;D;;;OK
877447;Iepersestraat;129;;D - Facade Box;D;;;OK
877452;Iepersestraat;127;;D - Facade Box;D;;;OK
877457;Westlaan;90;;D - Facade Box;D;Westlaan 88-90-92-94;;OK
877458;Westlaan;92;;D - Facade Box;D;Westlaan 88-90-92-94;;OK
877470;Iepersestraat;99;;;;;;OK
877502;Bollenstraat;8;;D - Facade Box;D;;;OK
877517;Verwerijstraat;29;;D - Facade Box;D;;;OK
878422;Ooststraat;8;;D - Facade Box;D;;;OK
880620;Iepersestraat;30;;D - Facade Box;D;;;OK
880709;Zuidstraat;24;;X - Awaiting decision on B;X;Zuidstraat 18-20-22-24_Verwerijstraat 23;;OK
