Zoning_FID;Area;Zoning_ID;Lamkey;Lu_Key;E;Area;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;B1;B2_new
8105287;W03-C-Antwerpen-West-FH01;19074;108797;1731477;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108798;11076606;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108798;11076607;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;108798;11076608;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109137;11077754;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109137;11077755;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109137;11077756;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109137;1693421;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109143;11077290;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109143;11077291;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109143;1693419;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109143;1693420;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109146;11077293;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109146;11077294;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109146;1775614;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109146;1775615;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;109147;10366119;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1128032;11077017;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1266447;10410695;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1266447;10410724;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1266447;10410741;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1266447;10416518;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-06;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1506186;1630965;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1506186;1630966;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1506186;1630967;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1506186;1630968;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1506186;1630969;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1506186;1630970;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-22;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755770;11077757;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755770;11077758;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755770;1741583;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755771;11077763;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755771;11077764;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755771;11077765;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755771;11077766;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755771;11077767;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755771;11077768;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755771;11077769;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755771;11077771;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755771;1839626;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755772;11077016;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755774;1840122;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755779;11077772;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755779;11077773;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755779;11077774;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755779;11077775;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
8105287;W03-C-Antwerpen-West-FH01;19074;1755779;1630471;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020-04-14;2020-07-05
