Lamkey;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;Quadrant_PR;BG_Name;VCA_Status;VCA
3010815;Bondgenotenlaan;80;;D - Facade Box;D;;;OK
3010817;Bondgenotenlaan;81;;D - Facade Box;D;;;OK
3010820;Bondgenotenlaan;82;;D - Facade Box;D;;;OK
3010822;Bondgenotenlaan;83;;D - Facade Box;D;;;OK
3010831;Bondgenotenlaan;89;;D - Facade Box;D;;;OK
3010833;Bondgenotenlaan;90;;D - Facade Box;D;;;OK
3010834;Bondgenotenlaan;91;;;;;;OK
3010838;Bondgenotenlaan;92;;D - Facade Box;D;;;OK
3010840;Bondgenotenlaan;93;;D - Facade Box;D;;;OK
3010841;Bondgenotenlaan;94;;D - Facade Box;D;;;OK
3010843;Bondgenotenlaan;95;;D - Facade Box;D;;;OK
3010844;Bondgenotenlaan;96;;D - Facade Box;D;;;OK
3010846;Bondgenotenlaan;98;;D - Facade Box;D;;;OK
3010848;Bondgenotenlaan;99;;D - Facade Box;D;;;OK
3010850;Bondgenotenlaan;101;;D - Facade Box;D;;;OK
3010852;Bondgenotenlaan;102;;D - Facade Box;D;;;OK
3010856;Bondgenotenlaan;104;;D - Facade Box;D;;;OK
3010865;Bondgenotenlaan;107;;D - Facade Box;D;;;OK
3010868;Bondgenotenlaan;109;;D - Facade Box;D;;;OK
3010871;Bondgenotenlaan;110;;D - Facade Box;D;;;OK
3010873;Bondgenotenlaan;111;;D - Facade Box;D;;;OK
3010877;Bondgenotenlaan;115;;D - Facade Box;D;;;OK
3010879;Bondgenotenlaan;116;;;;;;OK
3010881;Bondgenotenlaan;117;;D - Facade Box;D;;;NOK
3010890;Bondgenotenlaan;121;;D - Facade Box;D;;;OK
3010891;Bondgenotenlaan;122;;D - Facade Box;D;;;OK
3010895;Bondgenotenlaan;123;;D - Facade Box;D;;;NOK
3010899;Bondgenotenlaan;125;;D - Facade Box;D;;;OK
3010903;Bondgenotenlaan;127;;D - Facade Box;D;;;OK
3010904;Bondgenotenlaan;129;;D - Facade Box;D;;;OK
3010908;Bondgenotenlaan;133;;;;;;OK
3010909;Bondgenotenlaan;135;;D - Facade Box;D;;;OK
3010910;Bondgenotenlaan;137;;D - Facade Box;D;;;OK
3010912;Bondgenotenlaan;138;;;;;;OK
3010916;Bondgenotenlaan;141;;D - Facade Box;D;;;OK
3010918;Bondgenotenlaan;142;;D - Facade Box;D;;;OK
3010919;Bondgenotenlaan;144;;D - Facade Box;D;;;OK
3010926;Bondgenotenlaan;150;;D - Facade Box;D;;;OK
3010927;Bondgenotenlaan;151;;D - Facade Box;D;;;OK
3010928;Bondgenotenlaan;152;;D - Facade Box;D;;;OK
3010934;Bondgenotenlaan;155;;D - Facade Box;D;;;OK
3010949;Bondgenotenlaan;163;;D - Facade Box;D;;;OK
3010951;Bondgenotenlaan;165;;D - Facade Box;D;;;OK
3010953;Bondgenotenlaan;167;;D - Facade Box;D;;;OK
3014360;Vital Decosterstraat;4;;D - Facade Box;D;;;OK
3014380;Vital Decosterstraat;20;;D - Facade Box;D;;;OK
3014445;Vital Decosterstraat;74;;D - Facade Box;D;;;OK
3014897;Diestsestraat;68;;D - Facade Box;D;;;OK
3014917;Diestsestraat;83;;;;;;OK
3014923;Diestsestraat;88;;D - Facade Box;D;;;OK
3014926;Diestsestraat;91;;;;;;OK
3014930;Diestsestraat;93;;;;;;OK
3014936;Diestsestraat;98;;;;;;OK
3014937;Diestsestraat;101;;;;;;OK
3014941;Diestsestraat;110;;;;;;OK
3014944;Diestsestraat;112;;;;;;OK
3014945;Diestsestraat;113;;D - Facade Box;D;;;OK
3014949;Diestsestraat;122;;D - Facade Box;D;;;OK
3014950;Diestsestraat;124;;D - Facade Box;D;;;OK
3014953;Diestsestraat;127;;D - Facade Box;D;;;OK
3014956;Diestsestraat;129;;D - Facade Box;D;;;OK
3014957;Diestsestraat;130;;D - Facade Box;D;;;OK
3014959;Diestsestraat;132;;D - Facade Box;D;;;OK
3014964;Diestsestraat;138;;D - Facade Box;D;;;OK
3014967;Diestsestraat;139;;D - Facade Box;D;;;OK
3014968;Diestsestraat;141;;D - Facade Box;D;;;OK
3014969;Diestsestraat;142;;D - Facade Box;D;;;OK
3014970;Diestsestraat;143;;;;;;OK
3014971;Diestsestraat;144;;D - Facade Box;D;;;OK
3014983;Diestsestraat;156;;D - Facade Box;D;;;OK
3014985;Diestsestraat;157;;D - Facade Box;D;;;OK
3014997;Diestsestraat;165;;D - Facade Box;D;;;OK
3015000;Diestsestraat;168;;D - Facade Box;D;;;OK
3015013;Diestsestraat;179;;;;;;OK
3015015;Diestsestraat;180;;D - Facade Box;D;;;OK
3015024;Diestsestraat;189;;D - Facade Box;D;;;OK
3015026;Diestsestraat;191;;D - Facade Box;D;;;OK
3015028;Diestsestraat;192;;D - Facade Box;D;;;OK
3015029;Diestsestraat;193;;D - Facade Box;D;;;OK
3015031;Diestsestraat;194;;D - Facade Box;D;;;OK
3015033;Diestsestraat;196;;D - Facade Box;D;;;OK
3015035;Diestsestraat;197;;D - Facade Box;D;;;OK
3015042;Diestsestraat;201;;;;;;OK
3015044;Diestsestraat;202;;;;;;OK
3015048;Diestsestraat;205;;;;;;OK
3015051;Diestsestraat;207;;D - Facade Box;D;;;OK
3015053;Diestsestraat;208;;;;;;OK
3015057;Diestsestraat;210;;D - Facade Box;D;;;OK
3015059;Diestsestraat;211;;D - Facade Box;D;;;OK
3015061;Diestsestraat;212;;D - Facade Box;D;;;OK
3015064;Diestsestraat;214;;;;;;OK
3015067;Diestsestraat;216;;D - Facade Box;D;;;OK
3015070;Diestsestraat;219;;D - Facade Box;D;;;OK
3015072;Diestsestraat;221;;D - Facade Box;D;;;OK
3015074;Diestsestraat;222;;D - Facade Box;D;;;OK
3015082;Diestsestraat;229;A;D - Facade Box;D;;;OK
3015086;Diestsestraat;231;;D - Facade Box;D;;;OK
3015088;Diestsestraat;232;;;;;;OK
3015089;Diestsestraat;233;;;;;;OK
3015090;Diestsestraat;234;;D - Facade Box;D;;;OK
3015093;Diestsestraat;235;;;;;;OK
3015094;Diestsestraat;236;;D - Facade Box;D;;;OK
3015100;Diestsestraat;240;;D - Facade Box;D;;;OK
3015103;Diestsestraat;242;;;;;;OK
3015105;Diestsestraat;246;;D - Facade Box;D;;;OK
3015106;Diestsestraat;248;;D - Facade Box;D;;;OK
3015111;Diestsestraat;253;;D - Facade Box;D;;;OK
3015116;Diestsestraat;255;;D - Facade Box;D;;;OK
3015120;Diestsestraat;259;;;;;;OK
3015122;Diestsestraat;261;;D - Facade Box;D;;;OK
3015126;Diestsestraat;265;;;;;;OK
3015936;Diestsevest;3;;;;;;OK
3015939;Diestsevest;9;;D - Facade Box;D;;;OK
3015943;Diestsevest;13;;D - Facade Box;D;;;OK
3015948;Diestsevest;15;;D - Facade Box;D;;;OK
3015954;Diestsevest;21;;;;;;OK
3015990;Diestsevest;51;;D - Facade Box;D;;;OK
3016000;Diestsevest;56;;D - Facade Box;D;;;OK
3016008;Diestsevest;64;;D - Facade Box;D;;;OK
3016012;Diestsevest;70;;D - Facade Box;D;;;OK
3016028;Diestsevest;81;;D - Facade Box;D;;;OK
3016035;Diestsevest;85;;;;;;OK
3016039;Diestsevest;90;;D - Facade Box;D;;;OK
3016047;Diestsevest;98;;D - Facade Box;;;;OK
3016048;Diestsevest;99;;D - Facade Box;D;;;OK
3016072;Diestsevest;127;;D - Facade Box;D;;;OK
3016074;Diestsevest;129;;D - Facade Box;D;;;OK
3025320;Lepelstraat;44;;D - Facade Box;D;;;OK
3025324;Lepelstraat;50;;D - Facade Box;D;;;OK
3025327;Lepelstraat;52;B;;;;;OK
3025367;Lepelstraat;72;A;D - Facade Box;D;;;OK
3027904;Justus Lipsiusstraat;10;;D - Facade Box;D;;;OK
3027924;Justus Lipsiusstraat;12;;D - Facade Box;D;;;OK
3027950;Justus Lipsiusstraat;17;;D - Facade Box;D;;;OK
3028070;Justus Lipsiusstraat;29;;;;;;OK
3028071;Justus Lipsiusstraat;33;;D - Facade Box;D;;;OK
3028103;Justus Lipsiusstraat;46;;D - Facade Box;D;;;OK
3029251;Maria-Theresiastraat;35;;D - Facade Box;D;;;OK
3029318;Maria-Theresiastraat;73;;D - Facade Box;D;;;OK
3029336;Maria-Theresiastraat;85;;D - Facade Box;D;;;OK
3029346;Maria-Theresiastraat;88;;D - Facade Box;D;;;OK
3029351;Maria-Theresiastraat;90;;D - Facade Box;D;;;OK
3029357;Maria-Theresiastraat;91;;D - Facade Box;D;;;OK
3029368;Maria-Theresiastraat;95;;D - Facade Box;D;;;OK
3029371;Maria-Theresiastraat;96;;D - Facade Box;D;;;OK
3029381;Maria-Theresiastraat;97;;D - Facade Box;D;;;OK
3029396;Maria-Theresiastraat;99;;D - Facade Box;D;;;OK
3029404;Maria-Theresiastraat;101;;D - Facade Box;D;;;OK
3029407;Maria-Theresiastraat;102;;D - Facade Box;D;;;OK
3029424;Maria-Theresiastraat;111;;D - Facade Box;D;;;OK
3029430;Maria-Theresiastraat;113;;D - Facade Box;D;;;OK
3029432;Maria-Theresiastraat;114;;D - Facade Box;D;;;OK
3029433;Maria-Theresiastraat;115;;D - Facade Box;D;;;OK
3029453;Maria-Theresiastraat;125;;D - Facade Box;D;;;OK
3030054;Martelarenplein;1;;D - Facade Box;D;;;OK
3030056;Martelarenplein;2;;D - Facade Box;D;;;OK
3030059;Martelarenplein;3;;D - Facade Box;D;;;OK
3030068;Martelarenplein;8;;D - Facade Box;D;;;OK
3030070;Martelarenplein;10;;D - Facade Box;D;;;OK
3030074;Martelarenplein;11;;D - Facade Box;D;;;OK
3030082;Martelarenplein;14;;D - Facade Box;D;;;OK
3030094;Martelarenplein;18;;;;;;OK
3030108;Martelarenplein;22;;;;;;OK
3031372;Louis Melsensstraat;1;;;;;;OK
3031376;Louis Melsensstraat;3;;D - Facade Box;D;;;OK
3031382;Louis Melsensstraat;5;;;;;;OK
3031384;Louis Melsensstraat;7;;;;;;OK
3031391;Louis Melsensstraat;9;;;;;;OK
3031395;Louis Melsensstraat;11;;;;;;OK
3031408;Louis Melsensstraat;17;;D - Facade Box;D;;;OK
3031416;Louis Melsensstraat;21;;D - Facade Box;D;;;OK
3031420;Louis Melsensstraat;23;;D - Facade Box;D;;;OK
3032197;Jan-Pieter Minckelersstraat;3;;D - Facade Box;D;;;OK
3032204;Jan-Pieter Minckelersstraat;7;;D - Facade Box;D;;;OK
3032211;Jan-Pieter Minckelersstraat;11;;D - Facade Box;D;;;OK
3032218;Jan-Pieter Minckelersstraat;26;;D - Facade Box;D;;;OK
3032222;Jan-Pieter Minckelersstraat;29;;;;;;OK
3032233;Jan-Pieter Minckelersstraat;33;;D - Facade Box;D;;;OK
3032289;Jan-Pieter Minckelersstraat;58;;D - Facade Box;D;;;OK
3032297;Jan-Pieter Minckelersstraat;62;;D - Facade Box;D;;;OK
3032303;Jan-Pieter Minckelersstraat;66;;D - Facade Box;D;;;OK
3032340;Jan-Pieter Minckelersstraat;84;;D - Facade Box;D;;;NOK
3032345;Jan-Pieter Minckelersstraat;88;;D - Facade Box;D;;;NOK
3032382;Jan-Pieter Minckelersstraat;108;;D - Facade Box;D;;;OK
3035114;NerviÃ«rsstraat;28;;;;;;OK
3040618;Ravenstraat;17;;D - Facade Box;D;;;OK
3040636;Ravenstraat;45;;D - Facade Box;D;;;OK
3040643;Ravenstraat;51;;;;;;OK
3040652;Ravenstraat;60;;D - Facade Box;D;;;OK
3040664;Ravenstraat;69;;D - Facade Box;D;;;OK
3040666;Ravenstraat;71;;D - Facade Box;D;;;OK
3044841;Sint-Maartenstraat;8;;D - Facade Box;D;;;OK
3044855;Sint-Maartenstraat;14;;D - Facade Box;D;;;OK
3045276;Strijdersstraat;2;;;;;;OK
3047714;Tiensevest;10;;D - Facade Box;D;;;OK
3047720;Tiensevest;12;;;;;;OK
3047722;Tiensevest;14;;D - Facade Box;D;;;OK
3047724;Tiensevest;16;;D - Facade Box;D;;;OK
3047726;Tiensevest;18;;D - Facade Box;D;;;OK
3047728;Tiensevest;20;;D - Facade Box;D;;;OK
3047731;Tiensevest;32;;;;;;OK
3047744;Tiensevest;52;;D - Facade Box;D;;;OK
3047748;Tiensevest;56;;D - Facade Box;D;;;OK
3047756;Tiensevest;70;;D - Facade Box;D;;;OK
3047757;Tiensevest;74;;D - Facade Box;D;;;OK
3049500;Jean-Baptiste Van Monsstraat;123;;D - Facade Box;D;;;OK
3052251;Weidestraat;10;;D - Facade Box;D;;;OK
3053067;Willemsstraat;12;;D - Facade Box;D;;;OK
3053077;Willemsstraat;23;;D - Facade Box;D;;;OK
3062574;Koning Leopold I-straat;8;;D - Facade Box;D;;;OK
3062577;Koning Leopold I-straat;9;;;;;;OK
3062610;Koning Leopold I-straat;27;;;;;;OK
3062613;Koning Leopold I-straat;28;;D - Facade Box;D;;;OK
3062619;Koning Leopold I-straat;30;;D - Facade Box;D;;;OK
3062622;Koning Leopold I-straat;31;;D - Facade Box;D;;;OK
3062636;Koning Leopold I-straat;33;;D - Facade Box;D;;;OK
3062669;Koning Leopold I-straat;41;;D - Facade Box;D;;;OK
3062694;Koning Leopold I-straat;45;;;;;;OK
377955;Bondgenotenlaan;58;;;;;;OK
377957;Bondgenotenlaan;60;;D - Facade Box;D;;;OK
377958;Bondgenotenlaan;66;;D - Facade Box;D;;;OK
377959;Bondgenotenlaan;68;;D - Facade Box;D;;;OK
377960;Bondgenotenlaan;72;;D - Facade Box;D;;;OK
377962;Jan Stasstraat;10;;D - Facade Box;D;;;OK
377963;Jan Stasstraat;12;;D - Facade Box;D;;;OK
377964;Jan Stasstraat;18;;D - Facade Box;D;;;OK
378015;Jan Stasstraat;5;;D - Facade Box;D;;;OK
378447;Bondgenotenlaan;55;;;;;;OK
378450;Bondgenotenlaan;75;;;;;;OK
378463;Lepelstraat;46;;D - Facade Box;D;;;OK
378509;Bondgenotenlaan;103;;;;;;OK
378991;Bondgenotenlaan;74;;D - Facade Box;D;;;OK
378992;Bondgenotenlaan;84;;D - Facade Box;D;;;OK
378993;Bondgenotenlaan;86;;D - Facade Box;D;;;OK
378995;Justus Lipsiusstraat;2;;;;;;OK
379000;Justus Lipsiusstraat;16;;;;;;OK
379003;Justus Lipsiusstraat;15;;D - Facade Box;D;;;OK
379005;Ravenstraat;89;;D - Facade Box;D;;;OK
379006;Ravenstraat;87;;D - Facade Box;D;;;OK
379011;Willemsstraat;17;;D - Facade Box;D;;;OK
379024;Koning Leopold I-straat;52;;D - Facade Box;D;;;OK
379027;Koning Leopold I-straat;48;;D - Facade Box;D;;;OK
379133;Bondgenotenlaan;106;;D - Facade Box;D;;;OK
379138;Bondgenotenlaan;114;;D - Facade Box;D;;;OK
379152;Bondgenotenlaan;159;;D - Facade Box;D;;;OK
379155;Bondgenotenlaan;153;;D - Facade Box;D;;;OK
379156;Bondgenotenlaan;143;;D - Facade Box;D;;;OK
379211;Bondgenotenlaan;128;;D - Facade Box;D;;;OK
379723;Koning Leopold I-straat;5;;;;;;OK
379724;Koning Leopold I-straat;21;;D - Facade Box;D;;;OK
379725;Koning Leopold I-straat;22;;D - Facade Box;D;;;OK
379738;Bogaardenstraat;21;;;;;;OK
3923630;Lepelstraat;42;;D - Facade Box;D;;;OK
3923645;Jan-Pieter Minckelersstraat;19;;D - Facade Box;D;;;OK
3941142;Diestsestraat;178;A;D - Facade Box;D;;;OK
3941145;Diestsestraat;250;;D - Facade Box;D;;;OK
3941162;Diestsevest;121;;D - Facade Box;D;;;OK
3941279;Lepelstraat;62;;D - Facade Box;D;;;OK
3941304;Maria-Theresiastraat;83;;D - Facade Box;D;;;OK
3941324;Louis Melsensstraat;2;;D - Facade Box;D;;;OK
3941566;Jean-Baptiste Van Monsstraat;34;;D - Facade Box;D;;;OK
3941567;Jean-Baptiste Van Monsstraat;121;;D - Facade Box;D;;;OK
3964974;Bondgenotenlaan;175;;D - Facade Box;D;;;OK
3965049;Diestsestraat;126;;;;;;OK
3975713;Bogaardenstraat;4;;D - Facade Box;D;;;OK
4003278;Diestsestraat;149;;D - Facade Box;D;;;OK
4024148;Diestsestraat;159;;D - Facade Box;D;;;OK
4025438;Jan-Pieter Minckelersstraat;76;;D - Facade Box;D;;;OK
4032985;Maria-Theresiastraat;103;;D - Facade Box;D;;;OK
4127959;Bogaardenstraat;37;;;;;;OK
4132546;Lepelstraat;60;A;D - Facade Box;D;;;OK
4213146;Lepelstraat;71;;D - Facade Box;D;;;OK
4216194;NerviÃ«rsstraat;73;;D - Facade Box;D;;;OK
4221583;Jean-Baptiste Van Monsstraat;58;;D - Facade Box;D;;;OK
4264200;Lepelstraat;63;;D - Facade Box;D;;;OK
4698078;Diestsestraat;173;;D - Facade Box;D;;;OK
4785434;Ravenstraat;79;;;;;;OK
4786669;Diestsestraat;218;;D - Facade Box;D;;;OK
4786672;Diestsestraat;251;;;;;;OK
4789338;Jan-Pieter Minckelersstraat;25;;;;;;OK
4790683;Maria-Theresiastraat;47;;D - Facade Box;D;;;OK
4790685;Maria-Theresiastraat;57;;D - Facade Box;D;;;OK
4790711;Bogaardenstraat;61;;;;;;OK
4791807;Bondgenotenlaan;41;;;;;;OK
4792366;Bondgenotenlaan;112;;D - Facade Box;D;;;OK
4792818;Diestsevest;83;;D - Facade Box;D;;;OK
4793018;Willemsstraat;60;;D - Facade Box;D;;;OK
4794310;Tiensevest;4;;;;;;OK
4794339;Diestsestraat;238;;D - Facade Box;D;;;OK
4795362;Lepelstraat;12;;D - Facade Box;D;;;OK
4795387;Diestsestraat;166;;;;;;OK
4795388;Diestsestraat;172;;D - Facade Box;D;;;OK
4799320;Diestsevest;66;;;;;;OK
4799322;Diestsevest;68;;D - Facade Box;D;;;PENDING
4800898;Tiensevest;76;;D - Facade Box;D;;;OK
4802578;Bondgenotenlaan;171;;;;;;OK
4802593;Martelarenplein;9;;D - Facade Box;D;;;OK
4802684;Diestsestraat;118;;D - Facade Box;D;;;OK
4802977;Lepelstraat;58;;;;;;OK
4802990;Lepelstraat;69;;;;;;OK
4802992;Lepelstraat;75;;;;;;OK
4804043;Ravenstraat;50;;D - Facade Box;D;;;OK
4804104;Mussenstraat;7;;D - Facade Box;D;;;OK
4804109;Mussenstraat;25;;D - Facade Box;D;;;OK
5366;Jean-Baptiste Van Monsstraat;127;;D - Facade Box;D;;;OK
5376;Bondgenotenlaan;146;;D - Facade Box;D;;;OK
5380;Diestsestraat;229;;;;;;OK
5390;Bondgenotenlaan;124;;D - Facade Box;D;;;OK
5448;Bogaardenstraat;33;;D - Facade Box;D;;;OK
5602414;Bondgenotenlaan;105;;D - Facade Box;D;;;OK
5602588;Jan Stasstraat;7;;D - Facade Box;D;;;OK
5762746;Lepelstraat;44;A;D - Facade Box;D;;;OK
5899109;Bondgenotenlaan;73;;;;;;OK
5906700;Bondgenotenlaan;177;;D - Facade Box;D;;;OK
6029735;Lepelstraat;65;;D - Facade Box;D;;;OK
6050173;Puttegang;3;;D - Facade Box;D;;;OK
6140689;Diestsestraat;119;;;;;;OK
6140694;Lepelstraat;52;A;;;;;OK
