LAM MK;xPos;yPos
NB-2000701890;151950;211122
NB-200019B02051;151914;211104
NB-200027C01892;151880;211087
NB-20009701893;151855;211077
NB-2000801894;152271;211217
NB-20001301895;152284;211256
NB-20002102052;152291;211243
NB-20002901897;152299;211222
NB-20003001898;152287;211147
NB-20003101899;152302;211213
NB-20004201900;152304;211115
NB-200043A01901;152324;211165
NB-20004601902;152309;211108
NB-20004701903;152323;211156
NB-20004802053;152311;211103
NB-200049A02094;152327;211146
NB-20005602095;152328;211059
NB-20006402096;152334;211035
NB-20006502057;152345;211096
NB-20006702058;152347;211089
NB-20007902059;152367;211036
NB-2000602060;151465;210846
NB-20001402061;151477;210833
NB-20001802062;151482;210829
NB-200026A01914;151499;210814
NB-20004901915;151646;210733
NB-20005301916;151682;210707
NB-20005901917;151694;210699
NB-20001801918;152651;211235
NB-2000501919;152593;211296
NB-2000701920;152600;211297
NB-20005001921;152008;211327
NB-200052A01922;152018;211324
NB-20005401923;152022;211324
NB-20009801924;152183;211291
NB-200010001925;152189;211292
NB-200010601926;152205;211289
NB-200011001927;152220;211284
NB-2000301928;151536;210831
NB-20001701929;151588;210750
NB-20002102097;151564;210739
NB-20002701931;151506;210771
NB-20002901932;151505;210777
NB-20003301933;151506;210796
NB-20003501934;151507;210803
NB-2000301935;152120;211288
NB-20005A01936;152113;211278
NB-2000901937;152104;211267
NB-20002301938;152074;211233
NB-20002902064;152053;211205
NB-200017A01940;151642;210865
NB-20002901941;151616;210835
NB-20009A01942;152679;211356
NB-200010A02065;152667;211360
NB-20001202066;152653;211364
NB-20001201945;152522;211272
NB-20001401946;152524;211263
NB-200035B01947;152551;211213
NB-200037A01948;152551;211206
NB-20004001949;152543;211141
NB-20004101950;152557;211172
NB-20004201951;152539;211137
NB-20004301952;152559;211166
NB-2000201953;151989;211193
NB-200010A01954;152022;211124
NB-200015A01955;151969;211160
NB-20001702067;151967;211171
NB-20003601957;151966;211174
NB-200031A02068;151407;210707
NB-200033A01959;151413;210707
NB-200041A02069;151437;210705
NB-20007402070;151625;210670
NB-20009702071;151647;210671
NB-20008502072;151943;211223
NB-20009302073;151962;211210
NB-20009602074;151953;211178
NB-20009702075;151969;211202
NB-200098A01967;151958;211175
NB-2000801968;152434;211340
NB-20004401969;152606;211371
NB-20004601970;152610;211371
NB-2000801971;151971;210911
NB-20001001972;151978;210904
NB-20001101973;151838;211045
NB-20001701974;151855;211029
NB-200025A02076;151875;211015
NB-200027A01976;151909;210985
NB-20001301977;152415;211245
NB-20003001978;152352;211300
NB-20003401979;152362;211309
NB-20004001980;152402;211325
NB-20003901981;152139;211107
NB-20005801982;152226;211027
NB-200015A01983;152245;211185
NB-20002101984;152235;211169
NB-200067A01986;152132;210994
NB-20006701985;152137;211004
NB-20007801987;152100;211000
NB-200010701988;152067;210886
NB-200011001989;152057;210921
NB-2000701990;151616;210927
NB-20002301991;151574;210921
NB-200025A01992;151567;210921
NB-200033A01993;151544;210918
NB-200049A01994;151501;210909
NB-200051B01995;151494;210908
NB-200055A01996;151483;210907
NB-200061A01997;151462;210904
NB-200061C01998;151455;210903
NB-2000702000;151963;211284
NB-20001302001;151953;211270
NB-20002102002;151941;211254
NB-20003102003;151905;211210
NB-200035A02004;151897;211199
NB-20001902006;152188;211218
NB-20003202007;152156;211238
NB-20003402078;152149;211235
NB-2000102079;152122;211185
NB-200033B02080;152255;211120
NB-200033C02081;152267;211117
NB-20004302082;152296;211100
NB-20004502083;152298;211099
NB-20007802084;152325;211061
NB-2000702085;151975;211100
NB-2000902098;151972;211097
NB-20002802099;151905;211054
NB-20003002100;151901;211046
NB-20003202101;151899;211043
NB-20004402102;151879;211013
