adres_full;SU;BU;LU;File_SSV_Action;File_SSV_Status;File_SSV_Error;Area_Type;Area_FID;Area_Version;Area_Name;Zoning_FID;Zoning_Version;Zoning_Name;Zoning_Id;Zoning_Tech;BG_Id;BG_Version;BG_Name;BG_SSV_Action;BG_SSV_Status;BG_SSV_Error;BG_Building_SSV_Action;BG_Building_SSV_Status;BG_Building_SSV_Error;Building_FID;Building_Version;LAM_MK;LAM_City_Code;LAM_Street_Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall_Mount;SS_Reason;Number_Floors;Height_Cable;Orig_VC_Type;New_VC_Type;VC_Method;Intro_Tube;Prov_Status;Prov_Reason;Prov_Planned;Prov_Mod_By;Prov_Mod_Date;Comments;SSV_Flag;SSV_Action;SSV_Status;SSV_Error;SSV_Date;Seq;LU_Key;LAM_SK;Nature;Nr_TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD_Details;CAD_Type;CAD_Type_Descr;CAD_SubType;Prov_Status_LU;Prov_Reason_LU;Prov_Planned_LU;Prov_Mod_By_LU;Prov_Mod_Date_LU;Comments_LU;SSV_Flag_LU;SSV_Action_LU;SSV_Status_LU;SSV_Error_LU;SSV_Date_LU;planrrr_bid;planrrr_uid;BT;GUESSED_UNITS_FLOOR;Seq_test;maxSeq;newSeq;LAM Nature index;Unit Counter_x;GUESSED_FLOOR;GUESSED_FLOOR_TRUNC;SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP;Unit Counter_y;MERGED_FLOOR;MERGED_APP;MERGED_PBOX
Gouverneur Roppesingel 165;0;6;0;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;33629369;'20200508112853;'Gouverneur Roppesingel 165_Luikersteenweg 230-232;KEEP;;;KEEP;;;380822;'20200508112853;2405875;'26300000;'10;Gouverneur Roppesingel;'165;';3500;Hasselt;;'218859,254;'178952,897;;N;ORN;3;0;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';;;;BU;1;;;;;;;;;;;;;;;;;N;NEW;;;';2405875;;MDU;2.0;0;2;3;2405875-BU3;3.0;1.0;1;;;;;;;;;1;101;101
Gouverneur Roppesingel 165;0;6;0;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;33629369;'20200508112853;'Gouverneur Roppesingel 165_Luikersteenweg 230-232;KEEP;;;KEEP;;;380822;'20200508112853;2405875;'26300000;'10;Gouverneur Roppesingel;'165;';3500;Hasselt;;'218859,254;'178952,897;;N;ORN;3;0;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';;;;BU;1;;;;;;;;;;;;;;;;;N;NEW;;;';2405875;;MDU;2.0;0;2;4;2405875-BU4;4.0;1.5;1;;;;;;;;;1;102;102
Gouverneur Roppesingel 165;0;6;0;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;33629369;'20200508112853;'Gouverneur Roppesingel 165_Luikersteenweg 230-232;KEEP;;;KEEP;;;380822;'20200508112853;2405875;'26300000;'10;Gouverneur Roppesingel;'165;';3500;Hasselt;;'218859,254;'178952,897;;N;ORN;3;0;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';;;;BU;1;;;;;;;;;;;;;;;;;N;NEW;;;';2405875;;MDU;2.0;0;2;5;2405875-BU5;5.0;2.0;2;;;;;;;;;2;201;201
Gouverneur Roppesingel 165;0;6;0;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;33629369;'20200508112853;'Gouverneur Roppesingel 165_Luikersteenweg 230-232;KEEP;;;KEEP;;;380822;'20200508112853;2405875;'26300000;'10;Gouverneur Roppesingel;'165;';3500;Hasselt;;'218859,254;'178952,897;;N;ORN;3;0;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';;;;BU;1;;;;;;;;;;;;;;;;;N;NEW;;;';2405875;;MDU;2.0;0;2;6;2405875-BU6;6.0;2.5;2;;;;;;;;;2;202;202
Anne Frankplein 1;1;0;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;381355;'20201006155126;2407163;'26300000;'85;Anne Frankplein;'1;';3500;Hasselt;;'218580,637;'179364,181;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';1;1152148;;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';2407163;1152148;MDU;1.75;1;9;1;2407163-LU1;1.0;0.0;0;;;;;;;;;0;001;001
Anne Frankplein 1;1;0;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;381355;'20201006155126;2407163;'26300000;'85;Anne Frankplein;'1;';3500;Hasselt;;'218580,637;'179364,181;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';2;1152149;;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';2407163;1152149;MDU;1.75;2;9;2;2407163-LU2;2.0;0.5714285714285714;0;;;;;;;;;0;002;002
Anne Frankplein 1;1;0;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;381355;'20201006155126;2407163;'26300000;'85;Anne Frankplein;'1;';3500;Hasselt;;'218580,637;'179364,181;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';3;1152240;;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';2407163;1152240;MDU;1.75;3;9;3;2407163-LU3;3.0;1.1428571428571428;1;;;;;;;;;1;101;101
Anne Frankplein 1;1;0;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;381355;'20201006155126;2407163;'26300000;'85;Anne Frankplein;'1;';3500;Hasselt;;'218580,637;'179364,181;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';4;1152241;;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';2407163;1152241;MDU;1.75;4;9;4;2407163-LU4;4.0;1.7142857142857142;1;;;;;;;;;1;102;102
Anne Frankplein 1;1;0;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;381355;'20201006155126;2407163;'26300000;'85;Anne Frankplein;'1;';3500;Hasselt;;'218580,637;'179364,181;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';5;1152242;;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';2407163;1152242;MDU;1.75;5;9;5;2407163-LU5;5.0;2.2857142857142856;2;;;;;;;;;2;201;201
Anne Frankplein 1;1;0;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;381355;'20201006155126;2407163;'26300000;'85;Anne Frankplein;'1;';3500;Hasselt;;'218580,637;'179364,181;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';6;1152312;;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';2407163;1152312;MDU;1.75;6;9;6;2407163-LU6;6.0;2.8571428571428568;2;;;;;;;;;2;202;202
Anne Frankplein 1;1;0;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;381355;'20201006155126;2407163;'26300000;'85;Anne Frankplein;'1;';3500;Hasselt;;'218580,637;'179364,181;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';2407163;;MDU;1.75;0;9;10;2407163-LU7;7.0;3.428571428571429;3;;;;;;;;;3;301;301
