SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP
W03-C-Knokke-Heist-FH01;2763112;LU;502;;5;
W03-C-Knokke-Heist-FH01;2763112;SU;0;;;
W03-C-Knokke-Heist-FH01;4080285;BU;0.1;;0;
W03-C-Knokke-Heist-FH01;4080285;LU;1.1;;1;
W03-C-Knokke-Heist-FH01;4080285;LU;2.1;;2;
W03-C-Knokke-Heist-FH01;4080285;LU;3.1;;3;
W03-C-Knokke-Heist-FH01;4080285;LU;4.1;;4;
W03-C-Knokke-Heist-FH01;4080285;LU;5.1;;5;
W03-C-Knokke-Heist-FH01;4080285;SU;0;;;
W03-C-Knokke-Heist-FH01;4080285;SU;0;;;
W03-C-Knokke-Heist-FH01;320996;BU;1;;0;
W03-C-Knokke-Heist-FH01;320996;BU;101;;1;
W01-C-Namur-FH04;1434016;LU;;430;Rdc;1
W01-C-Namur-FH04;1434016;LU;;430;1;11
W01-C-Namur-FH04;1434016;LU;;430;2;21
;4191311;SU;;;-1;-101
;4191311;LU;;;1;101
;4191311;LU;;;1;102
;4191311;LU;;;2;201
;4191311;LU;;;2;202
;4191311;LU;;;3;301
;4191311;LU;;;3;302
W03-C-Knokke-Heist-FH01;321041;BU;1;;0;
W03-C-Knokke-Heist-FH01;321041;BU;2;;0;
W03-C-Knokke-Heist-FH01;321041;LU;11;;1;
W03-C-Knokke-Heist-FH01;321041;LU;12;;1;
W03-C-Knokke-Heist-FH01;321041;LU;21;;2;
W03-C-Knokke-Heist-FH01;321041;LU;22;;2;
W03-C-Knokke-Heist-FH01;321041;LU;23;;2;
W03-C-Knokke-Heist-FH01;321041;LU;31;;3;
W03-C-Knokke-Heist-FH01;321041;LU;32;;3;
W03-C-Knokke-Heist-FH01;321041;LU;33;;3;
W03-C-Knokke-Heist-FH01;321041;LU;41;;4;
W03-C-Knokke-Heist-FH01;321041;LU;42;;4;
W03-C-Knokke-Heist-FH01;321041;LU;43;;4;
W03-C-Knokke-Heist-FH01;321041;LU;51;;5;
W03-C-Knokke-Heist-FH01;321041;LU;52;;5;
W03-C-Knokke-Heist-FH01;321041;LU;53;;5;
W03-C-Knokke-Heist-FH01;321041;LU;61;;6;
W03-C-Knokke-Heist-FH01;321041;SU;0;;;
W01-C-Namur-FH04;5343811;BU;;430;Rdc;1
W01-C-Namur-FH04;5343811;LU;;430;2;21
W01-C-Namur-FH04;1434004;LU;;430;Rdc;1
W01-C-Namur-FH04;1434004;LU;;430;1;11
W01-C-Namur-FH04;1313573;SU;;438;-1;1
W01-C-Namur-FH04;1313573;BU;;438;Rdc;1
W01-C-Namur-FH04;1313573;LU;;438;1;11
W01-C-Namur-FH04;1313573;LU;;438;1;12
