SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP
W03-D-Sint-Niklaas-FH02;3512942;LU;302;;3;
W03-D-Sint-Niklaas-FH02;3512942;SU;0;;0;
W03-D-Sint-Niklaas-FH02;3525056;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3525056;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3525056;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3525056;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3525056;SU;0;;0;
W03-D-Sint-Niklaas-FH02;1449708;LU;1;;0;
W03-D-Sint-Niklaas-FH02;1449708;LU;2;;1;
W03-D-Sint-Niklaas-FH02;1449708;LU;3;;1;
W03-D-Sint-Niklaas-FH02;1449708;LU;4;;2;
W03-D-Sint-Niklaas-FH02;1449708;LU;5;;2;
W03-D-Sint-Niklaas-FH02;1449708;LU;6;;2;
W03-D-Sint-Niklaas-FH02;1449708;LU;7;;2;
W03-D-Sint-Niklaas-FH02;1449708;LU;8;;2;
W03-D-Sint-Niklaas-FH02;1449708;LU;9;;3;
W03-D-Sint-Niklaas-FH02;1449708;LU;10;;3;
W03-D-Sint-Niklaas-FH02;1449708;LU;11;;4;
W03-D-Sint-Niklaas-FH02;1449708;LU;12;;4;
W03-D-Sint-Niklaas-FH02;1449708;SU;0;;;
;469812;BU;;;Rdc;1
;469812;BU;;;Rdc;2
;469812;LU;;;1;11
;469812;LU;;;2;21
;469812;LU;;;3;31
;469812;LU;;;4;41
;469812;LU;;;5;51
;469812;LU;;;6;61
;469812;SU;;;Rdc;1
;469812;SU;;;Rdc;2
;469813;BU;;;Rdc;1
;469813;BU;;;Rdc;2
;469813;LU;;;1;11
;469813;LU;;;1;12
;469813;LU;;;2;21
;469813;LU;;;2;22
;469813;LU;;;3;31
;469813;BU;;;3;32
;469813;LU;;;4;41
;469813;LU;;;5;51
;469813;LU;;;5;52
;469813;LU;;;6;61
;469813;LU;;;6;62
;469813;SU;;;Rdc;1
;469813;SU;;;Rdc;2
W03-D-Sint-Niklaas-FH02;68406;LU;1;;0;
W03-D-Sint-Niklaas-FH02;68406;LU;2;;0;
W03-D-Sint-Niklaas-FH02;68406;LU;3;;0;
W03-D-Sint-Niklaas-FH02;68406;LU;4;;0;
W03-D-Sint-Niklaas-FH02;68406;LU;101;;1;
W03-D-Sint-Niklaas-FH02;68406;LU;102;;1;
W03-D-Sint-Niklaas-FH02;68406;LU;103;;1;
W03-D-Sint-Niklaas-FH02;68406;LU;104;;1;
W03-D-Sint-Niklaas-FH02;68406;LU;201;;2;
W03-D-Sint-Niklaas-FH02;68406;LU;202;;2;
W03-D-Sint-Niklaas-FH02;68406;LU;301;;3;
W03-D-Sint-Niklaas-FH02;68406;LU;302;;3;
W03-D-Sint-Niklaas-FH02;68406;SU;0;;-1;
W03-D-Sint-Niklaas-FH02;3484809;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3484809;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484809;LU;201;;2;
W03-D-Sint-Niklaas-FH02;68419;LU;1;;0;
W03-D-Sint-Niklaas-FH02;68419;LU;101;;1;
W03-D-Sint-Niklaas-FH02;56088;BU;1;;0;
W03-D-Sint-Niklaas-FH02;56088;BU;2;;0;
W03-D-Sint-Niklaas-FH02;56088;LU;101;;1;
W03-D-Sint-Niklaas-FH02;56088;LU;201;;2;
W03-D-Sint-Niklaas-FH02;56088;LU;1001;;0;
W03-D-Sint-Niklaas-FH02;56088;LU;1101;;1;
W03-D-Sint-Niklaas-FH02;56088;LU;1201;;2;
W03-D-Sint-Niklaas-FH02;6161014;LU;101;;1;
