SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP
W02-D-Evere-FH01;756585;LU;6.1;;6;1
W02-D-Evere-FH01;756585;LU;6.2;;6;1
W02-D-Evere-FH01;756585;LU;7.1;;7;1
W02-D-Evere-FH01;756585;LU;7.2;;7;1
W02-D-Evere-FH01;756585;LU;8.1;;8;1
W02-D-Evere-FH01;756585;LU;8.2;;8;1
W03-C-Uccle-FH03;1684859;LU;1;;0;
W03-C-Uccle-FH03;1684859;SU;1;;;
W03-C-Uccle-FH03;1051784;BU;1;;0;
W03-C-Uccle-FH03;1051784;LU;101;;1;
W03-C-Uccle-FH03;1051784;LU;201;;2;
W03-C-Uccle-FH03;1051784;SU;1;;0;
W03-C-Uccle-FH03;1686661;SU;;;-1;1
W03-C-Uccle-FH03;1686661;LU;;;1;2
W03-C-Uccle-FH03;1686661;LU;;;2;3
W03-C-Uccle-FH03;1686661;LU;;;3;4
W03-C-Uccle-FH03;1626544;SU;;;-1;1
W03-C-Uccle-FH03;1626544;LU;;;1;2
W03-C-Uccle-FH03;1626544;LU;;;3;3
W03-C-Uccle-FH03;1051973;LU;1;;0;
W03-C-Uccle-FH03;1051973;LU;2;;0;
W03-C-Uccle-FH03;1051973;LU;101;;1;
W03-C-Uccle-FH03;1051973;LU;102;;1;
W03-C-Uccle-FH03;1051973;LU;201;;2;
W03-C-Uccle-FH03;1051973;LU;202;;2;
W03-C-Uccle-FH03;1051973;LU;301;;3;
W03-C-Uccle-FH03;1051973;LU;302;;3;
W03-C-Uccle-FH03;1050130;SU;1;;0;
W03-C-Uccle-FH03;1050130;BU;1;;0;
W03-C-Uccle-FH03;1050130;LU;101;;1;
W03-C-Uccle-FH03;1050130;LU;102;;1;
W03-C-Uccle-FH03;1050130;LU;201;;2;
W03-C-Uccle-FH03;1050130;LU;202;;2;
W03-C-Uccle-FH03;1050130;LU;301;;3;
W03-C-Uccle-FH03;1050130;LU;302;;3;
W03-C-Liege-FH07;5207456;SU;;;Rdc;
W03-C-Liege-FH07;5207456;LU;;;Rdc;1
W03-C-Liege-FH07;5207456;LU;;;Rdc;2
W03-C-Liege-FH07;5207456;LU;;;1;11
W03-C-Liege-FH07;5207456;LU;;;2;21
W03-C-Liege-FH07;5207456;LU;;;3;31
W03-C-Liege-FH07;3127639;BU;;;Rdc;1
W03-C-Liege-FH07;3127639;BU;;;Rdc;2
W03-C-Liege-FH07;3127639;LU;;;1;11
W03-C-Liege-FH07;3127639;LU;;;1;12
W03-C-Liege-FH07;3127639;LU;;;2;21
W03-C-Liege-FH07;3140165;BU;;;1;11
W03-C-Liege-FH07;3140165;LU;;;2;21
