Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Postcode;Municipality
EVERE - FH03;BUILDING template;1620402;1620402;28;Friulilaan - Avenue du Frioul;1140;Evere
EVERE - FH03;BUILDING template;1620403;1620403;28;Friulilaan - Avenue du Frioul;1140;Evere
EVERE - FH03;BUILDING template;1620404;1620404;28;Friulilaan - Avenue du Frioul;1140;Evere
EVERE - FH03;BUILDING template;1620405;1620405;28;Friulilaan - Avenue du Frioul;1140;Evere
EVERE - FH03;BUILDING template;1620406;1620406;28;Friulilaan - Avenue du Frioul;1140;Evere
EVERE - FH03;BUILDING template;1620407;1620407;28;Friulilaan - Avenue du Frioul;1140;Evere
EVERE - FH03;BUILDING template;1620409;1620409;30;Jutlandweg - Chemin du Jutland;1140;Evere
EVERE - FH03;BUILDING template;1620411;1620411;34;Peloponnesosstraat - Rue du Peloponnese;1140;Evere
EVERE - FH03;BUILDING template;1620412;1620412;34;Peloponnesosstraat - Rue du Peloponnese;1140;Evere
EVERE - FH03;BUILDING template;1620413;1620413;34;Peloponnesosstraat - Rue du Peloponnese;1140;Evere
EVERE - FH03;BUILDING template;1620414;1620414;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620415;1620415;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620416;1620416;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620417;1620417;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620418;1620418;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620419;1620419;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620420;1620420;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620421;1620421;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620422;1620422;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620423;1620423;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620424;1620424;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620425;1620425;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620426;1620426;38;Algarvegaarde - Clos de l Algarve;1140;Evere
EVERE - FH03;BUILDING template;1620427;1620427;38;Algarvegaarde - Clos de l Algarve;1140;Evere
EVERE - FH03;BUILDING template;1620428;1620428;38;Algarvegaarde - Clos de l Algarve;1140;Evere
EVERE - FH03;BUILDING template;1620429;1620429;38;Algarvegaarde - Clos de l Algarve;1140;Evere
