Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Municipality
EVERE - FH01;BUILDING template;1120020;1120020;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1120019;1120019;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620451;1620451;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620452;1620452;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620453;1620453;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620454;1620454;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;4119477;4119477;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620455;1620455;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620456;1620456;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620457;1620457;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620458;1620458;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1120016;1120016;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1120017;1120017;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620459;1620459;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620460;1620460;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620461;1620461;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620462;1620462;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620463;1620463;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620464;1620464;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620465;1620465;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1120018;1120018;377;Avenue Artemis - Artemislaan;Evere - Evere
EVERE - FH01;BUILDING template;1620474;1620474;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620475;1620475;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620477;1620477;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620479;1620479;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620481;1620481;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620483;1620483;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620484;1620484;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620485;1620485;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620486;1620486;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;726794;726794;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;726790;726790;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;726791;726791;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620467;1620467;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620469;1620469;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620471;1620471;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;1620473;1620473;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;726792;726792;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;726793;726793;712;Avenue de la Béatitude - Gelukzaligheidslaan;Evere - Evere
EVERE - FH01;BUILDING template;5866849;5866849;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;4942981;4942981;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;6574486;6574486;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;23413;23413;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;5866855;5866855;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;5942689;5942689;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;6034050;6034050;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;5926158;5926158;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;1120059;1120059;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;5894343;5894343;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;25437;25437;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;1620517;1620517;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;1620516;1620516;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;1620518;1620518;2306;Avenue Cicéron - Cicerolaan;Evere - Evere
EVERE - FH01;BUILDING template;726870;726870;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620519;1620519;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620520;1620520;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620521;1620521;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620522;1620522;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620523;1620523;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620524;1620524;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620525;1620525;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620526;1620526;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;726871;726871;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;726872;726872;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620527;1620527;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620528;1620528;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
EVERE - FH01;BUILDING template;1620529;1620529;3046;Avenue des Désirs - Begeertenlaan;Evere - Evere
