LAM MK;TOTAAL;SU;BU;LU;Zip;File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM City Code;LAM Street Code;Nr;Suffix;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;Street;Municipality;LANGUAGE;BT
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;20;1899789;3578317;LU;1;20;;;;;Y;#BL.DG.OG2/257/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;21;1899793;3578318;LU;1;21;;;;;Y;#BL.DS.OG3/400@409.415@419/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;22;1899794;3578319;LU;1;22;;;;;Y;#BL.DS.OG3/410/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;23;1899795;3578320;LU;1;23;;;;;Y;#BL.DS.OG3/411/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;24;1899796;3578321;LU;1;24;;;;;Y;#BL.DS.OG3/412.413/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;25;1899797;3578322;LU;1;25;;;;;Y;#BL.DS.OG3/414/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;26;1899798;3578323;LU;1;26;;;;;Y;#BL.DS.OG4/650.651.662.663/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;27;1899799;3578324;LU;1;27;;;;;Y;#BL.DS.OG4/652@656/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;28;1899800;3578325;LU;1;28;;;;;Y;#BL.DS.OG4/657@661/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;29;1899801;3578326;LU;1;29;;;;;Y;#BL.DS.OG4/664@669/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
