ZONE_NAME;FIS_MDU;FIS_SDU;MDU_TOTAL;SDU_TOTAL;BUILDINGS_TOTAL;FIS_PROCENT;UNITS_TOTAL;FTS_TODO;FTS_TOTAL;FTS_PROCENT;MDU_SSV;SSV_PROCENT;STS;STS_PROCENT;STS_TODO;SSV_TODO;TSA_SIGNED;TSA_REJECTED;TSA_PROCENT
W03-C-Antwerpen-West-FH05;0;0;762;979;1741;0.0;5261;0;0;0.0;0;0.0;120;6.89;1621;0;0;0;0.0
W03-C-Antwerpen-West-FH06;0;0;319;374;693;0.0;1983;8;101;7.92;318;99.69;687;99.13;6;1;16;0;15.84
W03-C-Antwerpen-West-FH07;510;0;623;266;889;81.86;3287;43;157;27.39;623;100.0;855;96.18;34;0;51;0;32.48
W03-C-Antwerpen-West-FH08;0;0;328;131;459;0.0;1825;0;0;0.0;0;0.0;459;100.0;0;0;0;0;0.0
W03-C-Antwerpen-West-FH09;0;0;332;148;480;0.0;2853;0;0;0.0;0;0.0;481;100.21;-1;0;1;0;inf
W03-C-Antwerpen-West-FH10;0;0;1275;635;1910;0.0;6051;0;0;0.0;0;0.0;1910;100.0;0;0;0;0;0.0
W03-C-Antwerpen-West-FH11;0;0;441;153;594;0.0;2696;0;29;0.0;223;50.57;588;98.99;6;218;3;0;10.34
W03-C-Charleroi-FH06;0;0;104;526;630;0.0;1034;0;0;0.0;0;0.0;630;100.0;0;0;0;0;0.0
W03-C-Charleroi-FH07;0;0;0;0;0;0.0;0;0;0;0.0;0;0.0;1749;0.0;0;0;0;0;0.0
W03-C-Charleroi-FH08;0;0;193;1000;1193;0.0;1829;0;0;0.0;0;0.0;1193;100.0;0;0;0;0;0.0
W03-C-Charleroi-FH09;0;0;394;1392;1786;0.0;2492;0;0;0.0;0;0.0;1786;100.0;0;0;0;0;0.0
W03-C-Charleroi-FH10;0;0;327;1878;2205;0.0;3565;30;62;48.39;307;93.88;2152;97.6;53;20;42;0;67.74
W03-C-Charleroi-FH11;0;0;293;1622;1915;0.0;3287;35;50;70.0;274;93.52;1924;100.47;-9;19;9;0;18.0
W03-C-Charleroi-FH12;0;0;183;1630;1813;0.0;2699;4;34;11.76;155;84.7;1808;99.72;5;28;0;0;0.0
W03-C-Charleroi-FH13;0;0;339;990;1329;0.0;2408;0;1;0.0;3;0.88;1324;99.62;5;336;1;0;100.0
W03-C-Charleroi-FH14;0;0;180;834;1014;0.0;1437;0;0;0.0;0;0.0;1014;100.0;0;0;0;0;0.0
W03-C-Charleroi-FH15;0;0;230;1233;1463;0.0;1955;0;0;0.0;0;0.0;1463;100.0;0;0;0;0;0.0
W03-C-Charleroi-FH17;0;0;175;1674;1849;0.0;2338;0;0;0.0;0;0.0;1849;100.0;0;0;0;0;0.0
W03-C-Charleroi-FH18;0;0;87;953;1040;0.0;1182;0;0;0.0;0;0.0;1040;100.0;0;0;0;0;0.0
W03-C-Charleroi-FH19;0;0;556;329;885;0.0;2614;23;93;24.73;509;91.55;540;61.02;345;47;21;0;22.58
W03-C-Hasselt-FH08;0;0;115;1052;1167;0.0;1553;0;0;0.0;0;0.0;1167;100.0;0;0;0;0;0.0
W03-C-Knokke-Heist-FH01;473;1;497;417;914;95.17;3556;108;277;38.99;497;100.0;557;60.94;357;0;116;2;42.6
W03-C-Knokke-Heist-FH03;0;0;708;159;867;0.0;4942;0;0;0.0;0;0.0;867;100.0;0;0;0;0;0.0
W03-C-Knokke-Heist-FH04;249;0;397;104;501;62.72;3623;24;359;6.69;387;97.48;501;100.0;0;10;20;2;6.13
W03-C-Knokke-Heist-FH05;0;0;379;18;397;0.0;2685;0;0;0.0;0;0.0;397;100.0;0;0;0;0;0.0
W03-C-Knokke-Heist-FH06;1;0;492;41;533;0.2;4588;6;224;2.68;274;55.69;530;99.44;3;218;3;1;1.79
W03-C-Knokke-Heist-FH08;0;0;130;324;454;0.0;1629;0;0;0.0;0;0.0;454;100.0;0;0;0;0;0.0
W03-C-Knokke-Heist-FH09;343;1;384;93;477;89.32;4358;29;310;9.35;383;99.74;471;98.74;6;1;33;7;12.9
W03-C-Knokke-Heist-FH10;0;0;247;402;649;0.0;3084;0;0;0.0;0;0.0;649;100.0;0;0;0;0;0.0
W03-C-Knokke-Heist-FH11;425;0;474;1313;1787;89.66;3683;50;184;27.17;474;100.0;1786;99.94;1;0;54;2;30.43
