File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817385;2,02001E+13;9433;60370000;24333;Grote Peperstraat;1;;9100;Sint-Niklaas;;134180,6575;205921,1902;;Y;NA;2;9;Unknown;Unknown;;None;;;;;;;;;;;;1;2094243;;LU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817390;2,02001E+13;9449;60370000;24858;Polderstraat;49;;9100;Sint-Niklaas;;134946,0797;206084,5012;;Y;NA;3;8;Unknown;Unknown;;None;;;;;;;;;;;;1;2116952;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;2;0;0;2;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817390;2,02001E+13;9449;60370000;24858;Polderstraat;49;;9100;Sint-Niklaas;;134946,0797;206084,5012;;Y;NA;3;8;Unknown;Unknown;;None;;;;;;;;;;;;2;2116953;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;2;0;0;2;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817391;2,02001E+13;9451;60370000;31779;Veldstraat;105;;9100;Sint-Niklaas;;134790,3412;206094,719;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2095806;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817393;2,02001E+13;9455;60370000;35360;Zeildoekstraat;49;;9100;Sint-Niklaas;;134594,9974;205866,8288;;Y;NA;2;6;Unknown;Unknown;;None;;;;;;;;;;;;1;2116925;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817405;2,02001E+13;9483;60370000;16358;Knaptandstraat;88;;9100;Sint-Niklaas;;134312,4488;205460,1184;;Y;NA;2;7;Unknown;Unknown;;None;;;;;;;;;;;;1;2126157;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;817407;2,02001E+13;9489;60370000;21025;Moerlandstraat;1;;9100;Sint-Niklaas;;134540,6663;205567,8348;;N;IRREG;3;10;Unknown;Unknown;;None;;;;;;;;;;;;1;2094355;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;813575;2,02001E+13;54660;60370000;1030;Azalealaan;1;;9100;Sint-Niklaas;;134935,1587;205712,9583;;Y;NA;3;9;Unknown;Unknown;;None;;;;;;;;;;;;1;2094440;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;11486368;2,02001E+13;54661;60370000;1030;Azalealaan;2;;9100;Sint-Niklaas;;134941,6994;205750,2338;;N;IRREG;4;12;Unknown;Unknown;;None;;;;;;;;;;;;1;11094358;;BU;1;;;;;;;;;;;;;;;;;;;;;;0;1;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;813725;2,02001E+13;56049;60370000;30963;Truweelstraat;1;;9100;Sint-Niklaas;;134589,6453;206481,6452;;Y;NA;2;8;Unknown;Unknown;;None;;;;;;;;;;;;1;2094194;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;0;1;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;813726;2,02001E+13;56050;60370000;30963;Truweelstraat;3;;9100;Sint-Niklaas;;134589,9583;206489,6585;;Y;NA;2;9;Unknown;Unknown;;None;;;;;;;;;;;;1;2110757;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;813727;2,02001E+13;56051;60370000;30963;Truweelstraat;29;;9100;Sint-Niklaas;;134621,8083;206565,8573;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;2110248;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;3;0;0;3;NL;MDU
;;;Zoning;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;6832763;2,01911E+13;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;813727;2,02001E+13;56051;60370000;30963;Truweelstraat;29;;9100;Sint-Niklaas;;134621,8083;206565,8573;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;2;2110249;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;3;0;0;3;NL;MDU
