BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
2024772;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
109142;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
2024779;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
109136;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
5944507;Kattendijkdok Westkaai 91-92-93;Kattendijkdok-Westkaai;91;;E;2020-03-19;2019-10-22;;
6521030;Kattendijkdok Westkaai 91-92-93;Kattendijkdok-Westkaai;91;;E;2020-03-19;2019-10-22;;
6605118;Kattendijkdok Westkaai 91-92-93;Kattendijkdok-Westkaai;91;;E;2020-03-19;2019-10-22;;
4511920;Kattendijkdok Westkaai 41-42-43;Kattendijkdok-Westkaai;42;;A;2020-03-29;2019-10-22;;
6525842;Kattendijkdok Westkaai 41-42-43;Kattendijkdok-Westkaai;42;;A;2020-03-29;2019-10-22;;
1195063;Kattendijkdok Westkaai 41-42-43;Kattendijkdok-Westkaai;42;;A;2020-03-29;2019-10-22;;
5944504;Kattendijkdok Westkaai 81-82-83;Kattendijkdok-Westkaai;81;;E;2020-06-11;2019-10-22;;
6521029;Kattendijkdok Westkaai 81-82-83;Kattendijkdok-Westkaai;81;;E;2020-06-11;2019-10-22;;
6605117;Kattendijkdok Westkaai 81-82-83;Kattendijkdok-Westkaai;81;;E;2020-06-11;2019-10-22;;
1735098;1735098;Amsterdamstraat;25;;XA;;;NOK;NOK
5891727;Kattendijkdok Westkaai 71-72-73;Kattendijkdok-Westkaai;71;;E;;2019-10-22;;
5899748;Kattendijkdok Westkaai 71-72-73;Kattendijkdok-Westkaai;71;;E;;2019-10-22;;
6008100;Kattendijkdok Westkaai 71-72-73;Kattendijkdok-Westkaai;71;;E;;2019-10-22;;
5804916;Kattendijkdok Westkaai 61-63-65;Kattendijkdok-Westkaai;61;;A;;2019-10-22;NOK;
5537964;Kattendijkdok Westkaai 61-63-65;Kattendijkdok-Westkaai;61;;A;;2019-10-22;NOK;
6187119;Kattendijkdok Westkaai 61-63-65;Kattendijkdok-Westkaai;61;;A;;2019-10-22;NOK;
62446;Ankerrui 11-13;Ankerrui;11;;A;2019-10-15;2019-09-20;;
5575022;Ankerrui 11-13;Ankerrui;11;;A;2019-10-15;2019-09-20;;
1786894;Cadixstraat 35-35A;Cadixstraat;35;;C;;2020-03-18;NOK;
6463778;Cadixstraat 35-35A;Cadixstraat;35;;C;;2020-03-18;NOK;
1195065;Kattendijkdok Westkaai 51-54-56;Kattendijkdok-Westkaai;51;;A;;2019-10-22;;
5804911;Kattendijkdok Westkaai 51-54-56;Kattendijkdok-Westkaai;51;;A;;2019-10-22;;
4511926;Kattendijkdok Westkaai 51-54-56;Kattendijkdok-Westkaai;51;;A;;2019-10-22;;
2069024;Entrepotkaai 10A-11-12-13-14;;;;;2020-03-10;;;
2069022;Entrepotkaai 10A-11-12-13-14;;;;;2020-03-10;;;
3928764;Entrepotkaai 10A-11-12-13-14;;;;;2020-03-10;;;
4066155;Entrepotkaai 10A-11-12-13-14;;;;;2020-03-10;;;
2069021;Entrepotkaai 10A-11-12-13-14;;;;;2020-03-10;;;
2069017;Entrepotkaai 7-8-9-10;;;;;2020-02-10;;;
2069018;Entrepotkaai 7-8-9-10;;;;;2020-02-10;;;
2069019;Entrepotkaai 7-8-9-10;;;;;2020-02-10;;;
4507060;Entrepotkaai 7-8-9-10;;;;;2020-02-10;;;
62439;Godefriduskaai 18-20-22;;;;;2019-10-22;;;
62444;Godefriduskaai 18-20-22;;;;;2019-10-22;;;
1905398;Godefriduskaai 18-20-22;;;;;2019-10-22;;;
5576507;Entrepotkaai 15-16;;;;;2019-09-20;;;
2069025;Entrepotkaai 15-16;;;;;2019-09-20;;;
1905268;Godefriduskaai 8-10;;;;;;;NOK;
