LAM MK;LU;BU;SU;TOTAAL;BT
1986500;4;1;0;5;MDU
1986516;3;1;0;4;MDU
1986523;2;0;0;2;MDU
1992472;2;1;1;4;MDU
1992477;4;0;1;5;MDU
1992481;3;1;1;5;MDU
1992482;2;0;0;2;MDU
1992485;2;0;1;3;MDU
1992486;0;1;0;1;SDU
1992488;2;1;1;4;MDU
1992494;6;0;0;6;MDU
1992495;1;0;0;1;SDU
1992496;8;0;0;8;MDU
1992508;3;1;1;5;MDU
1992511;4;1;1;6;MDU
1992517;5;1;0;6;MDU
1992519;0;1;1;2;SDU
1992528;3;1;1;5;MDU
1992540;4;0;1;5;MDU
1992550;0;1;0;1;SDU
1992553;1;2;0;3;MDU
1992555;1;1;0;2;MDU
1992559;0;1;0;1;SDU
1992561;4;1;0;5;MDU
1992564;15;1;0;16;MDU
1992566;1;1;1;3;MDU
1992570;4;1;1;6;MDU
1992574;3;0;0;3;MDU
2008888;9;0;0;9;MDU
2008915;1;0;1;2;SDU
2008923;11;3;0;14;MDU
2008939;5;0;0;5;MDU
2008982;0;1;0;1;SDU
2008988;0;1;0;1;SDU
2009000;9;1;0;10;MDU
2009021;5;0;1;6;MDU
2009033;0;4;1;5;MDU
2015971;0;1;0;1;SDU
2015972;0;1;0;1;SDU
2024620;2;0;0;2;MDU
2024624;4;0;0;4;MDU
2024627;4;0;0;4;MDU
2024631;4;0;0;4;MDU
2024634;4;0;0;4;MDU
2024639;0;1;0;1;SDU
2024656;7;0;0;7;MDU
2024662;0;2;0;2;MDU
2024695;4;1;0;5;MDU
2024698;5;1;0;6;MDU
2024710;2;1;0;3;MDU
2024713;2;1;0;3;MDU
2024715;7;1;0;8;MDU
2024719;12;0;0;12;MDU
2024723;0;1;0;1;SDU
2024728;2;1;0;3;MDU
2024731;2;1;0;3;MDU
2024753;1;1;0;2;MDU
2024759;11;0;0;11;MDU
2024763;0;1;0;1;SDU
2024771;8;0;0;8;MDU
2024772;5;0;0;5;MDU
2024775;5;2;0;7;MDU
2024779;0;1;0;1;SDU
2024783;3;1;0;4;MDU
2024788;4;0;0;4;MDU
2024791;4;0;0;4;MDU
2024799;0;1;0;1;SDU
2024805;3;1;0;4;MDU
2024854;5;0;0;5;MDU
2024869;3;0;1;4;MDU
2024873;4;1;0;5;MDU
2024875;4;1;1;6;MDU
2024882;3;1;1;5;MDU
2024884;4;2;1;7;MDU
2024895;7;1;0;8;MDU
2024906;0;1;0;1;SDU
2024910;1;1;0;2;MDU
2024913;13;0;0;13;MDU
2024934;5;1;1;7;MDU
2024938;5;1;0;6;MDU
2024953;4;0;1;5;MDU
2024962;0;2;0;2;MDU
2028886;0;1;0;1;SDU
2047563;4;1;1;6;MDU
2047587;0;1;0;1;SDU
2047589;0;6;0;6;MDU
2047591;3;2;0;5;MDU
2047593;6;2;1;9;MDU
2047595;8;1;1;10;MDU
2047596;5;0;1;6;MDU
2047597;5;0;1;6;MDU
2047598;13;1;0;14;MDU
2047602;0;1;0;1;SDU
2047604;0;1;0;1;SDU
2051445;1;1;0;2;MDU
2051446;5;1;0;6;MDU
2051449;3;1;1;5;MDU
2051451;1;1;0;2;MDU
2051452;5;0;1;6;MDU
2051455;1;1;0;2;MDU
2053439;1;0;0;1;SDU
2053440;3;1;0;4;MDU
2056114;0;2;0;2;MDU
2059541;6;2;0;8;MDU
2059542;5;0;0;5;MDU
2059544;0;1;0;1;SDU
2059545;0;1;0;1;SDU
2059548;1;1;2;4;MDU
2059549;5;1;0;6;MDU
2059550;2;1;0;3;MDU
2059551;4;1;0;5;MDU
2059552;1;1;0;2;MDU
2059553;0;1;0;1;SDU
2059554;10;0;0;10;MDU
2059555;0;1;0;1;SDU
2059556;8;0;0;8;MDU
2059557;4;1;0;5;MDU
2066332;4;0;1;5;MDU
2066334;0;1;0;1;SDU
2067063;0;5;1;6;MDU
2069012;10;0;0;10;MDU
2069014;0;3;0;3;MDU
2069015;12;0;0;12;MDU
2069017;9;0;0;9;MDU
2069018;0;2;0;2;MDU
2069019;14;0;0;14;MDU
2069021;0;1;0;1;SDU
2069022;8;0;0;8;MDU
2069024;13;0;0;13;MDU
2069025;0;1;0;1;SDU
3918458;4;0;2;6;MDU
3928764;0;2;0;2;MDU
3954604;0;2;0;2;MDU
3962176;12;0;0;12;MDU
3962177;10;5;0;15;MDU
3989962;4;2;0;6;MDU
3998019;0;1;1;2;SDU
4016605;27;1;0;28;MDU
4021011;0;1;0;1;SDU
4031647;0;1;0;1;SDU
4042596;0;2;0;2;MDU
4048591;28;0;0;28;MDU
4048873;1;0;1;2;SDU
4059303;0;1;0;1;SDU
4066155;0;2;0;2;MDU
4070580;2;0;0;2;MDU
4081990;8;0;0;8;MDU
4083535;0;2;0;2;MDU
4092751;2;1;1;4;MDU
4101358;0;2;1;3;MDU
4126592;21;0;0;21;MDU
4128342;0;1;0;1;SDU
4128343;0;9;0;9;MDU
4128344;0;9;0;9;MDU
4145817;7;0;0;7;MDU
4153712;4;0;1;5;MDU
4153735;0;1;0;1;SDU
4155271;4;0;0;4;MDU
4244346;0;2;1;3;MDU
4274709;26;2;0;28;MDU
4505438;0;1;0;1;SDU
4505440;7;0;0;7;MDU
4505441;0;1;0;1;SDU
4505442;7;0;0;7;MDU
4505443;0;1;0;1;SDU
4505458;0;1;0;1;SDU
4505462;1;0;0;1;SDU
4505465;4;0;0;4;MDU
4505471;2;0;0;2;MDU
4505491;4;0;0;4;MDU
4505621;5;0;0;5;MDU
4505623;18;0;0;18;MDU
4505626;9;0;0;9;MDU
4505630;0;2;0;2;MDU
4506128;1;1;0;2;MDU
4506338;0;1;0;1;SDU
4506340;0;2;0;2;MDU
4506351;0;1;0;1;SDU
4506352;0;1;1;2;SDU
4506358;6;0;0;6;MDU
4506359;2;0;0;2;MDU
4506376;0;1;0;1;SDU
4506378;3;1;0;4;MDU
4506381;0;1;0;1;SDU
4506382;8;0;0;8;MDU
4506388;3;1;0;4;MDU
4506389;0;1;0;1;SDU
4506391;0;1;0;1;SDU
4506392;3;1;0;4;MDU
4506393;6;0;0;6;MDU
4507060;0;1;0;1;SDU
4509558;0;1;0;1;SDU
4510542;3;1;1;5;MDU
4510550;0;1;0;1;SDU
4510554;0;1;0;1;SDU
4510612;24;0;1;25;MDU
4510620;0;1;0;1;SDU
4510623;0;1;0;1;SDU
4510628;0;1;0;1;SDU
4510637;4;0;0;4;MDU
4510642;6;1;0;7;MDU
4510648;3;0;0;3;MDU
4510651;1;0;0;1;SDU
4511892;4;1;0;5;MDU
4511908;1;0;0;1;SDU
4511909;1;0;0;1;SDU
4511917;0;0;1;1;SDU
4511920;0;1;0;1;SDU
4511924;0;1;0;1;SDU
4511927;0;1;0;1;SDU
4511975;5;0;0;5;MDU
4511988;0;1;0;1;SDU
4511990;0;1;0;1;SDU
4511991;0;0;1;1;SDU
4511992;2;0;1;3;MDU
4511993;3;0;2;5;MDU
4513293;0;1;0;1;SDU
4513307;0;3;1;4;MDU
4513324;0;1;0;1;SDU
4513329;3;0;1;4;MDU
5320926;1;0;0;1;SDU
5394016;0;0;13;13;SDU
5448225;0;1;0;1;SDU
5492426;0;2;0;2;MDU
5507307;0;1;0;1;SDU
5507308;1;0;0;1;SDU
5507309;0;1;0;1;SDU
5507310;0;1;0;1;SDU
5507311;0;1;0;1;SDU
5507312;8;0;0;8;MDU
5508518;3;8;0;11;MDU
5563826;0;1;0;1;SDU
5569316;7;0;0;7;MDU
5575022;8;0;0;8;MDU
5575585;1;2;0;3;MDU
5575786;0;1;0;1;SDU
5575903;0;0;1;1;SDU
5576029;4;0;0;4;MDU
5576453;2;4;1;7;MDU
5576507;10;0;0;10;MDU
5751357;0;1;0;1;SDU
5802357;0;1;0;1;SDU
5802358;0;1;0;1;SDU
5804911;0;1;0;1;SDU
5804916;66;2;3;71;MDU
5835595;0;1;0;1;SDU
5891727;64;1;0;65;MDU
5906909;0;2;0;2;MDU
5911749;3;0;0;3;MDU
5944504;108;1;0;109;MDU
5944507;63;1;0;64;MDU
5960425;2;0;0;2;MDU
5963666;0;3;0;3;MDU
5976489;0;1;0;1;SDU
5978286;0;1;0;1;SDU
6000240;7;0;0;7;MDU
6005416;21;0;0;21;MDU
6027282;0;1;0;1;SDU
6027745;0;1;0;1;SDU
6058636;0;1;0;1;SDU
6198471;0;1;0;1;SDU
6242346;0;1;0;1;SDU
6369818;4;0;0;4;MDU
6369819;4;0;0;4;MDU
6375622;0;1;0;1;SDU
6395025;0;1;0;1;SDU
6427222;0;1;0;1;SDU
6440424;0;1;0;1;SDU
6452833;2;0;0;2;MDU
6452834;2;0;0;2;MDU
6519266;76;0;0;76;MDU
6519267;4;0;0;4;MDU
6519268;4;0;0;4;MDU
6525841;0;1;0;1;SDU
6525842;0;1;0;1;SDU
6525843;0;1;0;1;SDU
