Projectnummer;Opdrachtnummer;Blok;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
MECHELEN - FH01;3047872;BL0108;3047872;;;Schoutetstraat;7;;;;;Kevin Dekens;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;904915;BL0123;904915;;;Blauwhondstraat;29;;;;2018-06-25;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;3047559;BL0128;3047559;;;Korte Schipstraat;9;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;929622;BL0101;929622;;;Schoutetstraat;8;;;;;Kevin Dekens;MDU;0;7;1;8;BUILDING template
MECHELEN - FH01;904908;BL0123;904908;;;Geitestraat;2;;;;2018-06-25;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;919858;BL0121;919858;;;Desire Boucherystraat;2;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;903515;BL0126;903515;;;Korte Schipstraat;10;;;D;2020-01-08 08:35:19;Dieu Jocelin;MDU;0;2;0;2;BUILDING template
MECHELEN - FH01;4260111;BL0101;4260111;;;Schoutetstraat;10;;;;;Kevin Dekens;MDU;0;3;0;3;BUILDING template
MECHELEN - FH01;3031625;BL0121;3031625;;;Desire Boucherystraat;4;;;;;Abdelmalek Lamkoref;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;3047561;BL0128;3047561;;;Korte Schipstraat;11;;;D;2018-09-06;Bernardo Kana da Rosa;MDU;1;2;0;3;BUILDING template
MECHELEN - FH01;901602;BL0107;901602;;;Sint-Janskerkhof;3;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;905282;BL0110;905282;;;Begijnenstraat;2;;;;2018-06-25;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;3031628;BL0121;3031628;;;Desire Boucherystraat;6;;;;;Abdelmalek Lamkoref;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;3047563;BL0128;3047563;;;Korte Schipstraat;13;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;901603;BL0107;901603;;;Sint-Janskerkhof;5;;;D;2020-02-03 10:20:16;Dieu Jocelin;MDU;0;3;0;3;BUILDING template
MECHELEN - FH01;4736818;BL0112;4736818;;;Arme-Clarenstraat;29;;;;2020-02-12 09:45:47;Dieu Jocelin;SDU;0;0;0;0;BUILDING template
MECHELEN - FH01;3031630;BL0121;3031630;;;Desire Boucherystraat;8;;;D;2020-01-24 08:05:15;Dieu Jocelin;MDU;1;3;0;4;BUILDING template
MECHELEN - FH01;9585;BL0126;9585;;;Korte Schipstraat;14;;;;;Abdelmalek Lamkoref;MDU;0;28;1;29;BUILDING template
MECHELEN - FH01;3048561;BL0103;3048561;;;Sint-Janstraat;3;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;5436459;BL0121;5436459;;;Hallestraat;20;;;;2020-02-12 09:55:38;Dieu Jocelin;SDU;0;0;0;0;BUILDING template
MECHELEN - FH01;3031632;BL0121;3031632;;;Desire Boucherystraat;10;;;D;2020-03-02 08:00:13;Dieu Jocelin;MDU;1;6;1;8;BUILDING template
MECHELEN - FH01;3047569;BL0128;3047569;;;Korte Schipstraat;15;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;901620;BL0102;901620;;;Sint-Janstraat;6;;;;;Kevin Dekens;MDU;0;3;0;3;BUILDING template
MECHELEN - FH01;3047572;BL0128;3047572;;;Korte Schipstraat;17;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;901174;BL0103;901174;;;Sint-Janstraat;7;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;919857;BL0121;919857;;;Desire Boucherystraat;14;;;D;2020-01-24 08:00:21;Dieu Jocelin;MDU;1;1;0;2;BUILDING template
MECHELEN - FH01;3047574;BL0128;3047574;;;Korte Schipstraat;19;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;5508105;BL0102;5508105;;;Sint-Janstraat;8;;;;;Kevin Dekens;MDU;0;26;1;27;BUILDING template
MECHELEN - FH01;4733917;BL0130;4733917;;;Leermarkt;26;;;;;;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;919856;BL0121;919856;;;Desire Boucherystraat;16;;;D;2020-03-09 09:55:11;Marouane Zoubir;MDU;1;1;1;3;BUILDING template
MECHELEN - FH01;3047575;BL0128;3047575;;;Korte Schipstraat;21;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;901607;BL0107;901607;;;Sint-Janstraat;9;;;;;Kevin Dekens;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;3031638;BL0121;3031638;;;Desire Boucherystraat;18;;;D;2020-02-04;Dieu Jocelin;MDU;1;1;1;3;BUILDING template
MECHELEN - FH01;3047577;BL0128;3047577;;;Korte Schipstraat;23;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;5524627;BL0102;5524627;;;Sint-Janstraat;10;;;;;Kevin Dekens;MDU;0;9;1;10;BUILDING template
MECHELEN - FH01;4749181;BL0120;4749181;;;Rik Woutersstraat;18;;;;2020-02-12 10:00:48;Dieu Jocelin;SDU;0;0;0;0;BUILDING template
MECHELEN - FH01;3031640;BL0121;3031640;;;Desire Boucherystraat;22;;;D;2020-01-24 08:15:22;Dieu Jocelin;MDU;1;1;0;2;BUILDING template
MECHELEN - FH01;3047578;BL0128;3047578;;;Korte Schipstraat;25;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;3048565;BL0102;3048565;;;Sint-Janstraat;12;;;;;Kevin Dekens;MDU;0;4;0;4;BUILDING template
MECHELEN - FH01;4236144;BL0107;4236144;;;Schoolstraat;19;;;;2020-02-12 10:00:51;Dieu Jocelin;SDU;0;0;0;0;BUILDING template
MECHELEN - FH01;901179;BL0105;901179;;;Frederik de Merodestraat;2;;;;;Abdelmalek Lamkoref;MDU;0;3;0;3;BUILDING template
MECHELEN - FH01;3047580;BL0128;3047580;;;Korte Schipstraat;27;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;901606;BL0107;901606;;;Sint-Janstraat;13;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;4218797;BL0125;4218797;;;Borzestraat;40;;;;2020-02-12;Dieu Jocelin;SDU;0;0;0;0;BUILDING template
MECHELEN - FH01;3049064;BL0122;3049064;;;Vleeshouwersstraat;6;;;;2020-01-23 17:00:30;Dieu Jocelin;SDU;0;0;0;0;BUILDING template
