Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH01;108273;108273;;August Michielsstraat 26_Londenstraat 39_Napelsstraat 63-65-67;August Michielsstraat;26;;20191009090339;XA;2019-09-16 15:00:24;Mark van Gossum;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6419169;6419169;14068975;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Braziliestraat;2;D;20190828121212;C;2018-11-19;Geert Stockman;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH01;59296;59296;;Van Schoonbekeplein 11_Spanjaardsteeg 21;Van Schoonbekeplein;11;;;C;2019-12-11 10:25:15;Senel Koksal;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;52549;52549;11196789;Amsterdamstraat 21_Braziliestraat 43;Braziliestraat;43;;20190705082415;D;2019-07-30 15:40:09;Steffen Verhofste;MDU;0;1;1;1;BUILDING template
ANTWERPEN-WEST - FH01;6419634;6419634;14068975;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Braziliestraat;2;C;20190828121212;C;2018-11-19;Geert Stockman;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH01;2028886;2028886;;Noorderplaats 5-7-9;Noorderplaats;5;;20191009113209;A;2019-06-18 16:55:13;Olivier Collignon;MDU;14;0;4;18;BUILDING template
ANTWERPEN-WEST - FH01;4128344;4128344;;Noorderplaats 5-7-9;Noorderplaats;7;;20191009113209;A;2019-06-18 16:55:13;Olivier Collignon;MDU;14;0;4;18;BUILDING template
ANTWERPEN-WEST - FH01;3918458;3918458;11196806;Braziliestraat 25-27-29;Braziliestraat;29;;20190705082417;C;2020-02-18 16:55:20;olivier collignon;MDU;0;2;2;4;BUILDING template
ANTWERPEN-WEST - FH01;4511926;4511926;20689391;Kattendijkdok Westkaai 51-54-56;Kattendijkdok-Westkaai;54;;;A;2019-10-15 16:49:38;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;5537964;5537964;20558752;Kattendijkdok Westkaai 61-63-65;Kattendijkdok-Westkaai;65;;;A;2019-10-15 16:54:34;Nicholas De Mol;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1992550;1992550;;August Michielsstraat 26_Londenstraat 39_Napelsstraat 63-65-67;Londenstraat;39;;20191009090339;XA;2019-09-16 15:00:24;Mark van Gossum;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;5899748;5899748;20558919;Kattendijkdok Westkaai 71-72-73;Kattendijkdok-Westkaai;73;;;E;2019-10-15 16:54:45;Nicholas De Mol;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1992553;1992553;;Londenstraat 40-42;Londenstraat;40;;;A;2020-02-20;olivier collignon;MDU;0;10;1;11;BUILDING template
ANTWERPEN-WEST - FH01;6008100;6008100;20558919;Kattendijkdok Westkaai 71-72-73;Kattendijkdok-Westkaai;72;;;E;2019-10-15 16:54:45;Nicholas De Mol;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6187119;6187119;20558752;Kattendijkdok Westkaai 61-63-65;Kattendijkdok-Westkaai;63;;;A;2019-10-15 16:54:34;Nicholas De Mol;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1992555;1992555;;Londenstraat 40-42;Londenstraat;42;;;A;2020-02-20;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6521029;6521029;20559006;Kattendijkdok Westkaai 81-82-83;Kattendijkdok-Westkaai;82;;;E;2019-10-15 16:54:55;Nicholas De Mol;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6521030;6521030;20558663;Kattendijkdok Westkaai 91-92-93;Kattendijkdok-Westkaai;93;;;E;2019-10-15 16:55:23;Nicholas De Mol;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6605117;6605117;20559006;Kattendijkdok Westkaai 81-82-83;Kattendijkdok-Westkaai;83;;;E;2019-10-15 16:54:55;Nicholas De Mol;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6605118;6605118;20558663;Kattendijkdok Westkaai 91-92-93;Kattendijkdok-Westkaai;92;;;E;2019-10-15 16:55:23;Nicholas De Mol;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6027745;6027745;14286007;Cadixstraat 49-49A-51-51A;Cadixstraat;51;A;20190913125248;C;2020-01-17 14:20:18;Senel Koksal;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6027282;6027282;14286007;Cadixstraat 49-49A-51-51A;Cadixstraat;49;A;20190913125248;C;2020-01-17 14:20:18;Senel Koksal;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108297;108297;14286007;Cadixstraat 49-49A-51-51A;Cadixstraat;49;;20190913125248;C;2020-01-17 14:20:18;Senel Koksal;MDU;1;0;0;1;BUILDING template
