Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH01;5802358;5802358;14068975;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Rijnkaai;4;;20200224115431;C;2018-11-19;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;186517;186517;11196799;Oudeleeuwenrui 13-15;Oudeleeuwenrui;13;;20200224114618;A;2020-02-05;Senel Koksal;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1949212;1949212;;;Indiestraat;44;;;;2018-08-24;Nicholas De Mol;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;186515;186515;;;Oudeleeuwenrui;25;;;D;2019-08-15 11:35:13;Steve De Weerdt;MDU;7;0;0;7;BUILDING template
ANTWERPEN-WEST - FH01;1088922;1088922;;;Adriaan Brouwerstraat;5;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1734637;1734637;11196793;Sint-Aldegondiskaai 56-58;Sint-Aldegondiskaai;58;;20200224123017;D;2018-11-19;Steffen Verhofste;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;5575903;5575903;;;Oudeleeuwenrui;31;;;;;Nicholas De Mol;SDU;0;0;1;1;BUILDING template
ANTWERPEN-WEST - FH01;1781985;1781985;;;Adriaan Brouwerstraat;13;;;D;2020-02-20 11:50:25;olivier collignon;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH01;62430;62430;;;Oudeleeuwenrui;33;;;D;2019-08-15 11:05:10;Piet Lietaert;MDU;0;5;0;5;BUILDING template
ANTWERPEN-WEST - FH01;4128342;4128342;;;Londenstraat;58;;;;2019-06-18 16:10:15;Olivier Collignon;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1986516;1986516;;;Oudeleeuwenrui;35;;;D;2019-08-15 11:35:09;Steve De Weerdt;MDU;1;2;0;3;BUILDING template
ANTWERPEN-WEST - FH01;62433;62433;;;Oudeleeuwenrui;47;;;;;Nicholas De Mol;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1782029;1782029;20521214;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;21;;20200224122728;XA;2020-02-06;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108303;108303;;;Londenstraat;53;;;;2018-11-18;Geert Stockman;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108296;108296;;;Rigastraat;26;;;D;2019-09-20 15:45:18;Mark van Gossum;MDU;1;4;0;5;BUILDING template
ANTWERPEN-WEST - FH01;1782040;1782040;20521214;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;27;;20200224122728;XA;2020-02-06;olivier collignon;MDU;0;4;1;5;BUILDING template
ANTWERPEN-WEST - FH01;1734627;1734627;;;Sint-Aldegondiskaai;20;;;;2019-08-20 14:10:36;Mark van Gossum;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1782047;1782047;;;Adriaan Brouwerstraat;29;;;D;2019-08-16;Mark van Gossum;MDU;0;2;0;2;BUILDING template
ANTWERPEN-WEST - FH01;4505458;4505458;11196795;Napelsstraat 32-34;Napelsstraat;34;;20200224114152;D;2018-11-17;Steffen Verhofste;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1782050;1782050;;;Adriaan Brouwerstraat;31;;;D;2019-08-16 10:15:16;Piet Lietaert;MDU;4;0;1;5;BUILDING template
ANTWERPEN-WEST - FH01;59276;59276;;;Sint-Aldegondiskaai;30;;;;;Nicholas De Mol;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;182977;182977;;;Adriaan Brouwerstraat;33;;;;;Geert Lermyte;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;109078;109078;;;Rijnkaai;25;;;D;2019-09-23;Geert Stockman;MDU;1;4;0;5;BUILDING template
ANTWERPEN-WEST - FH01;1735094;1735094;14079336;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;16;;20200224105705;A;2020-02-25;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;2047591;2047591;;;Rijnkaai;26;;;D;2019-09-05 15:35:13;Peter Van Leeuwen;MDU;1;3;0;4;BUILDING template
ANTWERPEN-WEST - FH01;1735095;1735095;14079336;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;18;;20200224105705;A;2020-02-25;Peter Van Leeuwen;MDU;5;0;1;6;BUILDING template
ANTWERPEN-WEST - FH01;108283;108283;;;Kempischdok-Westkaai;90;;;C;2018-11-19;Geert Stockman;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH01;2047593;2047593;;;Rijnkaai;27;;;;2019-08-23 13:30:16;Peter Van Leeuwen;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;59279;59279;;;Sint-Aldegondiskaai;36;;;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;52537;52537;11196789;Amsterdamstraat 21_Braziliestraat 43;Amsterdamstraat;21;;20200224105855;D;2019-07-30 15:40:09;Steffen Verhofste;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;2047596;2047596;;;Rijnkaai;29;;;D;2019-07-30 14:30:20;Geert Stockman;MDU;1;4;0;5;BUILDING template
