Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Bg Name ifh;Kolom1;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
SINT-NIKLAAS - FH02;4455408;BL0212;2;4455408;;Veldstraat 157-159;;ONWAAR;Veldstraat;157;;;;2018-07-23;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3517789;BL0212;2;3517789;;Veldstraat 157-159;;ONWAAR;Veldstraat;159;;;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4455406;BL0212;2;4455406;;Veldstraat 153-155;;ONWAAR;Veldstraat;155;;;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4455405;BL0212;2;4455405;;Veldstraat 153-155;;ONWAAR;Veldstraat;153;;;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4080623;BL0212;2;4080623;;Veldstraat 149-151;;ONWAAR;Veldstraat;151;;;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3517786;BL0212;2;3517786;;Veldstraat 149-151;;ONWAAR;Veldstraat;149;;;;2018-07-23;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3517782;BL0212;2;3517782;;Veldstraat 145-147;;ONWAAR;Veldstraat;145;;;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3517784;BL0212;2;3517784;;Veldstraat 145-147;;ONWAAR;Veldstraat;147;;;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3517780;BL0212;2;3517780;;Veldstraat 139-141;;ONWAAR;Veldstraat;139;;;;2018-07-23;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4262029;BL0212;2;4262029;;Veldstraat 139-141;;ONWAAR;Veldstraat;141;;;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3516638;BL0205;1;3516638;11489716;Truweelstraat 9-11-13-15;Truweelstraat 9-11-13-15;WAAR;Truweelstraat;9;;20200108082423;;2019-01-01;Bernardo Kana da Rosa;MDU;0;5;1;6;BUILDING template
