Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH04;60000;BL0427;6;60000;;Meir 32-34-36 ;Meir;32;;;XA;2020-02-10 19:40:15;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;59998;BL0427;6;59998;;Meir 42-46 ;Meir;42;;;;;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;5575985;BL0427;6;5575985;;Meir 42-46 ;Meir;46;;;;;Peter Van Leeuwen;MDU;0;17;0;17;BUILDING template
ANTWERPEN-WEST - FH04;2001472;BL0422;5;2001472;;Meir 55-57;Meir;57;;;D;2020-03-30 15:57:13;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;2001470;BL0422;5;2001470;;Meir 55-57 ;Meir;55;;;D;2020-03-30 15:57:13;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;2001517;BL0423;5;2001517;;Meir 89-91-93-95-97 ;Meir;89;;;;;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;2001519;BL0423;5;2001519;;Meir 89-91-93-95-97 ;Meir;91;;;;;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;3958136;BL0423;5;3958136;;Meir 89-91-93-95-97 ;Meir;93;;;;;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;2001522;BL0423;5;2001522;;Meir 89-91-93-95-97 ;Meir;95;;;;;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;110111;BL0423;5;110111;;Meir 89-91-93-95-97 ;Meir;97;;;;;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;109215;BL0407;2;109215;;Molenbergstraat 2-3-4 ;Molenbergstraat;2;;;;;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;6577633;BL0407;2;6577633;;Molenbergstraat 2-3-4 ;Molenbergstraat;3;;;;;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;4061939;BL0407;2;4061939;;Molenbergstraat 2-3-4 ;Molenbergstraat;4;;;;;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;1338783;BL0407;2;1338783;;Molenbergstraat 9_Sint Jacobsmarkt 97;Molenbergstraat;9;;;XA;2020-01-14 07:20:18;Geert Stockman;MDU;1;0;1;2;BUILDING template
