Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
SINT-NIKLAAS - FH02;3512136;BL0212;2;802480;3512136;;;Polderstraat;46;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;4227995;BL0212;2;808572;4227995;;;Polderstraat;48;;;;Youssef Abdellaoui;SDU;1;0;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;3512139;BL0212;2;802481;3512139;;;Polderstraat;50;;;;Youssef Abdellaoui;SDU;0;1;0;1;N;;BUILDING template
SINT-NIKLAAS - FH02;3512142;BL0212;2;802482;3512142;;;Polderstraat;52;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;75473;BL0212;2;815976;75473;;;Polderstraat;54;;D;2020-02-19 21:15:18;Hidde Kiekens;MDU;0;2;0;2;Y;;BUILDING template
SINT-NIKLAAS - FH02;3512145;BL0212;2;802483;3512145;;;Polderstraat;56;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template
SINT-NIKLAAS - FH02;3512117;BL0212;2;802478;3512117;33742738;Polderstraat 38A-38B;Polderstraat;38;A;D;;Youssef Abdellaoui;MDU;0;1;0;1;N;Y;BUILDING template
SINT-NIKLAAS - FH02;5390736;BL0212;2;813066;5390736;33742761;Polderstraat 40A-40B;Polderstraat;40;B;D;;Youssef Abdellaoui;MDU;0;1;0;1;N;N;BUILDING template
SINT-NIKLAAS - FH02;4464734;BL0212;2;811793;4464734;;;Polderstraat;18;;;;;SDU;0;1;0;1;N;;BUILDING template
SINT-NIKLAAS - FH02;3518559;BL0212;2;804688;3518559;;;Sint-Vincentiusstraat;2;;D;2020-02-22 15:00:24;Hidde Kiekens;MDU;0;2;0;2;N;;BUILDING template
