Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
ANTWERPEN-WEST - FH06;11192417;BL0612;;;2052140;;;Schrijnwerkersstraat;5;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192418;BL0612;;;2052140;;;Schrijnwerkersstraat;5;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192419;BL0612;;;2052140;;;Schrijnwerkersstraat;5;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192420;BL0612;;;2052140;;;Schrijnwerkersstraat;5;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192421;BL0612;;;2052140;;;Schrijnwerkersstraat;5;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192429;BL0601;;;2056536;;;Terninckstraat;3;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192430;BL0601;;;2056536;;;Terninckstraat;3;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192431;BL0601;;;2056539;;;Terninckstraat;7;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192432;BL0601;;;2056539;;;Terninckstraat;7;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192433;BL0601;;;2056544;;;Terninckstraat;15;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192434;BL0601;;;2056544;;;Terninckstraat;15;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192437;BL0601;;;2056545;;;Terninckstraat;17;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192438;BL0601;;;2056549;;;Terninckstraat;21;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192489;BL0604;;;2061285;;;Vleminckveld;50;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192491;BL0604;;;2061285;;;Vleminckveld;50;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192492;BL0602;;;2061289;;;Vleminckveld;66;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192493;BL0602;;;2061289;;;Vleminckveld;66;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192494;BL0602;;;2061289;;;Vleminckveld;66;;;;;;;;;;;;(L/B/S)U template
