Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Opdrachttemplate
ANTWERPEN-WEST - FH01;2008923;2008923;;;August Michielsstraat;8;;;BUILDING template
ANTWERPEN-WEST - FH01;972217;972217;;;August Michielsstraat;10;;;BUILDING template
ANTWERPEN-WEST - FH01;2008939;2008939;;;August Michielsstraat;12;;;BUILDING template
ANTWERPEN-WEST - FH01;108274;108274;;;August Michielsstraat;13;;;BUILDING template
ANTWERPEN-WEST - FH01;4506392;4506392;;;August Michielsstraat;14;;;BUILDING template
ANTWERPEN-WEST - FH01;2008982;2008982;;;August Michielsstraat;15;;;BUILDING template
ANTWERPEN-WEST - FH01;4145817;4145817;;;August Michielsstraat;16;;;BUILDING template
ANTWERPEN-WEST - FH01;4506381;4506381;;;August Michielsstraat;17;;;BUILDING template
ANTWERPEN-WEST - FH01;4506393;4506393;;;August Michielsstraat;18;;;BUILDING template
ANTWERPEN-WEST - FH01;2008988;2008988;;;August Michielsstraat;19;;;BUILDING template
ANTWERPEN-WEST - FH01;4506382;4506382;11196776;Upkot;August Michielsstraat;21;;20191004142320;BUILDING template
ANTWERPEN-WEST - FH01;2009021;2009021;;;August Michielsstraat;22;;;BUILDING template
ANTWERPEN-WEST - FH01;2009033;2009033;;;August Michielsstraat;23;;;BUILDING template
ANTWERPEN-WEST - FH01;108275;108275;;;August Michielsstraat;24;;;BUILDING template
ANTWERPEN-WEST - FH01;4101358;4101358;;;August Michielsstraat;25;;;BUILDING template
ANTWERPEN-WEST - FH01;108273;108273;20714618;;August Michielsstraat;26;;20191009090339;BUILDING template
ANTWERPEN-WEST - FH01;108271;108271;;;August Michielsstraat;27;;;BUILDING template
ANTWERPEN-WEST - FH01;4126592;4126592;;;August Michielsstraat;32;;;BUILDING template
ANTWERPEN-WEST - FH01;1265934;1265934;;;August Michielsstraat;34;;;BUILDING template
ANTWERPEN-WEST - FH01;108272;108272;;;August Michielsstraat;38;;;BUILDING template
ANTWERPEN-WEST - FH01;108076;108076;14079336;20+18+16+14+1+5+7+11+30;Bataviastraat;1;;20191105091418;BUILDING template
ANTWERPEN-WEST - FH01;108075;108075;14079336;20+18+16+14+1+5+7+11+30;Bataviastraat;5;;20191105091418;BUILDING template
ANTWERPEN-WEST - FH01;108074;108074;14079336;20+18+16+14+1+5+7+11+30;Bataviastraat;7;;20191105091418;BUILDING template
ANTWERPEN-WEST - FH01;108073;108073;14079336;20+18+16+14+1+5+7+11+30;Bataviastraat;11;;20191105091418;BUILDING template
ANTWERPEN-WEST - FH01;2067063;2067063;;;Bataviastraat;19;;;BUILDING template
ANTWERPEN-WEST - FH01;1746379;1746379;;;Binnenvaartstraat;50;;;BUILDING template
ANTWERPEN-WEST - FH01;109137;109137;;;Bordeauxstraat;2;;;BUILDING template
ANTWERPEN-WEST - FH01;1755770;1755770;;;Bordeauxstraat;3;;;BUILDING template
ANTWERPEN-WEST - FH01;4092751;4092751;;;Bordeauxstraat;4;;;BUILDING template
ANTWERPEN-WEST - FH01;4153712;4153712;;;Bordeauxstraat;5;;;BUILDING template
ANTWERPEN-WEST - FH01;1755771;1755771;;;Bordeauxstraat;7;A;;BUILDING template
ANTWERPEN-WEST - FH01;1755774;1755774;;;Bordeauxstraat;7;C;;BUILDING template
ANTWERPEN-WEST - FH01;108788;108788;;;Bordeauxstraat;7;;;BUILDING template
ANTWERPEN-WEST - FH01;1755772;1755772;11196783;Bordeauxstraat 7a - 7b - 7c;Bordeauxstraat;7;B;20190705082415;BUILDING template
ANTWERPEN-WEST - FH01;5569316;5569316;;;Bordeauxstraat;8;;;BUILDING template
ANTWERPEN-WEST - FH01;108787;108787;;;Bordeauxstraat;9;;;BUILDING template
ANTWERPEN-WEST - FH01;109139;109139;;;Bordeauxstraat;10;;;BUILDING template
ANTWERPEN-WEST - FH01;5507308;5507308;;;Bordeauxstraat;10;A;;BUILDING template
ANTWERPEN-WEST - FH01;1755779;1755779;;;Bordeauxstraat;11;;;BUILDING template
ANTWERPEN-WEST - FH01;109140;109140;;;Bordeauxstraat;12;;;BUILDING template
ANTWERPEN-WEST - FH01;108786;108786;;;Bordeauxstraat;13;;;BUILDING template
ANTWERPEN-WEST - FH01;109136;109136;;;Bordeauxstraat;14;;;BUILDING template
ANTWERPEN-WEST - FH01;5507312;5507312;;;Bordeauxstraat;16;;;BUILDING template
ANTWERPEN-WEST - FH01;1775168;1775168;14079300;2A+5;Braziliestraat;2;A;20191004142312;BUILDING template
ANTWERPEN-WEST - FH01;6440424;6440424;14068975;1+2+4+2C+2D+2E;Braziliestraat;2;E;20190828121212;BUILDING template
ANTWERPEN-WEST - FH01;6419169;6419169;14068975;1+2+4+2C+2D+2E;Braziliestraat;2;D;20190828121212;BUILDING template
ANTWERPEN-WEST - FH01;6419634;6419634;14068975;1+2+4+2C+2D+2E;Braziliestraat;2;C;20190828121212;BUILDING template
ANTWERPEN-WEST - FH01;1775171;1775171;;;Braziliestraat;6;;;BUILDING template
ANTWERPEN-WEST - FH01;4511975;4511975;;;Braziliestraat;8;;;BUILDING template
ANTWERPEN-WEST - FH01;1775176;1775176;;;Braziliestraat;10;;;BUILDING template
ANTWERPEN-WEST - FH01;1775185;1775185;;;Braziliestraat;12;;;BUILDING template
ANTWERPEN-WEST - FH01;1775191;1775191;;;Braziliestraat;15;;;BUILDING template
ANTWERPEN-WEST - FH01;1775195;1775195;;;Braziliestraat;17;;;BUILDING template
ANTWERPEN-WEST - FH01;1775199;1775199;;;Braziliestraat;18;;;BUILDING template
ANTWERPEN-WEST - FH01;1775203;1775203;;;Braziliestraat;19;;;BUILDING template
ANTWERPEN-WEST - FH01;4511908;4511908;;;Braziliestraat;21;;;BUILDING template
ANTWERPEN-WEST - FH01;1775206;1775206;;;Braziliestraat;22;;;BUILDING template
ANTWERPEN-WEST - FH01;1775213;1775213;;;Braziliestraat;23;;;BUILDING template
ANTWERPEN-WEST - FH01;1365795;1365795;;;Braziliestraat;24;;;BUILDING template
ANTWERPEN-WEST - FH01;4511909;4511909;;;Braziliestraat;25;;;BUILDING template
ANTWERPEN-WEST - FH01;4511988;4511988;;;Braziliestraat;26;;;BUILDING template
ANTWERPEN-WEST - FH01;1775218;1775218;;;Braziliestraat;27;;;BUILDING template
ANTWERPEN-WEST - FH01;1775235;1775235;;;Braziliestraat;28;;;BUILDING template
ANTWERPEN-WEST - FH01;3918458;3918458;11196806;Brazili?straat 25 - 27 - 29;Braziliestraat;29;;20190705082417;BUILDING template
ANTWERPEN-WEST - FH01;4511990;4511990;;;Braziliestraat;30;;;BUILDING template
ANTWERPEN-WEST - FH01;4511991;4511991;;;Braziliestraat;32;;;BUILDING template
ANTWERPEN-WEST - FH01;1266714;1266714;;;Braziliestraat;33;;;BUILDING template
ANTWERPEN-WEST - FH01;4511992;4511992;;;Braziliestraat;34;;;BUILDING template
ANTWERPEN-WEST - FH01;4511993;4511993;;;Braziliestraat;36;;;BUILDING template
ANTWERPEN-WEST - FH01;1775251;1775251;;;Braziliestraat;37;;;BUILDING template
ANTWERPEN-WEST - FH01;1775252;1775252;;;Braziliestraat;38;;;BUILDING template
ANTWERPEN-WEST - FH01;4511917;4511917;;;Braziliestraat;39;;;BUILDING template
ANTWERPEN-WEST - FH01;1775258;1775258;;;Braziliestraat;41;;;BUILDING template
ANTWERPEN-WEST - FH01;52549;52549;11196789;Braziliestraat 43 -  Amsterdamstraat 21;Braziliestraat;43;;20190705082415;BUILDING template
ANTWERPEN-WEST - FH01;108930;108930;;;Cadixstraat;1;;;BUILDING template
ANTWERPEN-WEST - FH01;1786771;1786771;;;Cadixstraat;3;;;BUILDING template
ANTWERPEN-WEST - FH01;1786795;1786795;;;Cadixstraat;5;;;BUILDING template
ANTWERPEN-WEST - FH01;108929;108929;;;Cadixstraat;7;;;BUILDING template
ANTWERPEN-WEST - FH01;1288092;1288092;;;Cadixstraat;21;;;BUILDING template
ANTWERPEN-WEST - FH01;1299606;1299606;;;Cadixstraat;23;;;BUILDING template
ANTWERPEN-WEST - FH01;1786894;1786894;;;Cadixstraat;35;;;BUILDING template
ANTWERPEN-WEST - FH01;108299;108299;;;Cadixstraat;37;;;BUILDING template
ANTWERPEN-WEST - FH01;108298;108298;;;Cadixstraat;39;;;BUILDING template
ANTWERPEN-WEST - FH01;4506389;4506389;;;Cadixstraat;41;;;BUILDING template
ANTWERPEN-WEST - FH01;1786953;1786953;;;Cadixstraat;43;;;BUILDING template
ANTWERPEN-WEST - FH01;4506391;4506391;14285997;;Cadixstraat;45;;20190913125146;BUILDING template
ANTWERPEN-WEST - FH01;1786975;1786975;14285997;;Cadixstraat;47;;20190913125146;BUILDING template
ANTWERPEN-WEST - FH01;6427222;6427222;14285997;;Cadixstraat;47;C;20190913125146;BUILDING template
ANTWERPEN-WEST - FH01;6375622;6375622;14285997;;Cadixstraat;47;A;20190913125146;BUILDING template
ANTWERPEN-WEST - FH01;6027282;6027282;14286007;;Cadixstraat;49;A;20190913125248;BUILDING template
ANTWERPEN-WEST - FH01;108297;108297;14286007;;Cadixstraat;49;;20190913125248;BUILDING template
ANTWERPEN-WEST - FH01;5394016;5394016;14286007;;Cadixstraat;51;;20190913125248;BUILDING template
ANTWERPEN-WEST - FH01;6027745;6027745;14286007;;Cadixstraat;51;A;20190913125248;BUILDING template
ANTWERPEN-WEST - FH01;5911749;5911749;;;Cadixstraat;53;;;BUILDING template
ANTWERPEN-WEST - FH01;5448225;5448225;;;Cadixstraat;55;;;BUILDING template
ANTWERPEN-WEST - FH01;6463255;6463255;;;Catharina Pepijnstraat;3;A;;BUILDING template
ANTWERPEN-WEST - FH01;1992482;1992482;;;Catharina Pepijnstraat;7;;;BUILDING template
ANTWERPEN-WEST - FH01;1992486;1992486;;;Catharina Pepijnstraat;9;;;BUILDING template
ANTWERPEN-WEST - FH01;1506186;1506186;;;Catharina Pepijnstraat;11;;;BUILDING template
ANTWERPEN-WEST - FH01;185911;185911;20726981;;Entrepotkaai;3;;20191009135015;BUILDING template
ANTWERPEN-WEST - FH01;2069012;2069012;20726981;;Entrepotkaai;4;;20191009135015;BUILDING template
ANTWERPEN-WEST - FH01;2069014;2069014;20726981;;Entrepotkaai;5;;20191009135015;BUILDING template
ANTWERPEN-WEST - FH01;2069015;2069015;20726981;;Entrepotkaai;6;;20191009135015;BUILDING template
ANTWERPEN-WEST - FH01;4507060;4507060;20727154;;Entrepotkaai;7;;20191009135041;BUILDING template
ANTWERPEN-WEST - FH01;2069017;2069017;20727154;;Entrepotkaai;8;;20191009135041;BUILDING template
ANTWERPEN-WEST - FH01;2069018;2069018;20727154;;Entrepotkaai;9;;20191009135041;BUILDING template
ANTWERPEN-WEST - FH01;2069019;2069019;20727154;;Entrepotkaai;10;;20191009135041;BUILDING template
ANTWERPEN-WEST - FH01;4066155;4066155;20727201;;Entrepotkaai;10;A;20191009135152;BUILDING template
ANTWERPEN-WEST - FH01;2069021;2069021;20727201;;Entrepotkaai;11;;20191009135152;BUILDING template
ANTWERPEN-WEST - FH01;2069022;2069022;20727201;;Entrepotkaai;12;;20191009135152;BUILDING template
ANTWERPEN-WEST - FH01;3928764;3928764;20727201;;Entrepotkaai;13;;20191009135152;BUILDING template
ANTWERPEN-WEST - FH01;2069024;2069024;20727201;;Entrepotkaai;14;;20191009135152;BUILDING template
ANTWERPEN-WEST - FH01;2069025;2069025;20727211;;Entrepotkaai;15;;20191009135215;BUILDING template
ANTWERPEN-WEST - FH01;5576507;5576507;20727211;;Entrepotkaai;16;;20191009135215;BUILDING template
ANTWERPEN-WEST - FH01;1866317;1866317;;;Entrepotplaats;10;;;BUILDING template
ANTWERPEN-WEST - FH01;1295616;1295616;;;Entrepotplaats;12;;;BUILDING template
ANTWERPEN-WEST - FH01;4510628;4510628;;;Entrepotplaats;14;;;BUILDING template
ANTWERPEN-WEST - FH01;1088919;1088919;;;Entrepotplaats;16;;;BUILDING template
ANTWERPEN-WEST - FH01;62428;62428;11196802;Entrepotplaats 18 - Ankerrui 15;Entrepotplaats;18;;20191007115510;BUILDING template
ANTWERPEN-WEST - FH01;108958;108958;;;Genuastraat;1;;;BUILDING template
ANTWERPEN-WEST - FH01;108301;108301;;;Genuastraat;2;;;BUILDING template
ANTWERPEN-WEST - FH01;108957;108957;;;Genuastraat;3;;;BUILDING template
ANTWERPEN-WEST - FH01;1892372;1892372;;;Genuastraat;4;;;BUILDING template
ANTWERPEN-WEST - FH01;1892380;1892380;;;Genuastraat;4;A;;BUILDING template
ANTWERPEN-WEST - FH01;4031647;4031647;;;Genuastraat;5;;;BUILDING template
ANTWERPEN-WEST - FH01;1454935;1454935;;;Genuastraat;6;;;BUILDING template
ANTWERPEN-WEST - FH01;5575585;5575585;;;Genuastraat;7;;;BUILDING template
ANTWERPEN-WEST - FH01;4506351;4506351;;;Genuastraat;8;;;BUILDING template
ANTWERPEN-WEST - FH01;1892421;1892421;;;Genuastraat;9;;;BUILDING template
ANTWERPEN-WEST - FH01;4506352;4506352;;;Genuastraat;10;;;BUILDING template
ANTWERPEN-WEST - FH01;4048591;4048591;;;Genuastraat;11;;;BUILDING template
ANTWERPEN-WEST - FH01;1892429;1892429;;;Genuastraat;12;;;BUILDING template
ANTWERPEN-WEST - FH01;4070580;4070580;;;Genuastraat;14;;;BUILDING template
ANTWERPEN-WEST - FH01;1892443;1892443;11196791;Genuastraat 13 - 15;Genuastraat;15;;20190705082417;BUILDING template
ANTWERPEN-WEST - FH01;108300;108300;;;Genuastraat;16;;;BUILDING template
ANTWERPEN-WEST - FH01;1892503;1892503;;;Genuastraat;17;;;BUILDING template
ANTWERPEN-WEST - FH01;4505491;4505491;11196792;Genuastraat 17 - 19;Genuastraat;19;;20190705082416;BUILDING template
ANTWERPEN-WEST - FH01;59299;59299;;;Godefriduskaai;2;;;BUILDING template
ANTWERPEN-WEST - FH01;1905254;1905254;;;Godefriduskaai;4;;;BUILDING template
ANTWERPEN-WEST - FH01;4510648;4510648;;;Godefriduskaai;6;;;BUILDING template
ANTWERPEN-WEST - FH01;1905268;1905268;20680700;;Godefriduskaai;8;;20191007113645;BUILDING template
ANTWERPEN-WEST - FH01;1905273;1905273;20680700;;Godefriduskaai;10;;20191007113645;BUILDING template
ANTWERPEN-WEST - FH01;62443;62443;;;Godefriduskaai;12;;;BUILDING template
ANTWERPEN-WEST - FH01;62438;62438;;;Godefriduskaai;14;;;BUILDING template
ANTWERPEN-WEST - FH01;1287193;1287193;;;Godefriduskaai;16;;;BUILDING template
ANTWERPEN-WEST - FH01;62439;62439;;;Godefriduskaai;18;;;BUILDING template
ANTWERPEN-WEST - FH01;1905398;1905398;;;Godefriduskaai;20;;;BUILDING template
ANTWERPEN-WEST - FH01;62444;62444;;;Godefriduskaai;22;;;BUILDING template
ANTWERPEN-WEST - FH01;62437;62437;;;Godefriduskaai;26;;;BUILDING template
ANTWERPEN-WEST - FH01;1090148;1090148;;;Godefriduskaai;28;;;BUILDING template
ANTWERPEN-WEST - FH01;1905577;1905577;;;Godefriduskaai;30;;;BUILDING template
ANTWERPEN-WEST - FH01;62442;62442;;;Godefriduskaai;32;;;BUILDING template
ANTWERPEN-WEST - FH01;4510651;4510651;;;Godefriduskaai;34;;;BUILDING template
ANTWERPEN-WEST - FH01;62440;62440;;;Godefriduskaai;36;;;BUILDING template
ANTWERPEN-WEST - FH01;62441;62441;;;Godefriduskaai;38;;;BUILDING template
ANTWERPEN-WEST - FH01;1905601;1905601;;;Godefriduskaai;50;;;BUILDING template
ANTWERPEN-WEST - FH01;1905643;1905643;;;Godefriduskaai;52;;;BUILDING template
ANTWERPEN-WEST - FH01;4510637;4510637;;;Godefriduskaai;54;;;BUILDING template
ANTWERPEN-WEST - FH01;62059;62059;;;Godefriduskaai;56;;;BUILDING template
ANTWERPEN-WEST - FH01;1905662;1905662;11196804;Godefriduskaai 56 - 58;Godefriduskaai;58;;20181222110919;BUILDING template
ANTWERPEN-WEST - FH01;3954604;3954604;;;Hanzestedenplaats;1;;;BUILDING template
ANTWERPEN-WEST - FH01;1933982;1933982;;;Hanzestedenplaats;3;;;BUILDING template
ANTWERPEN-WEST - FH01;4042596;4042596;11196801;Hanzestedenplaats 1 - 5;Hanzestedenplaats;5;;20191004142320;BUILDING template
ANTWERPEN-WEST - FH01;6590994;6590994;;;Hanzestedenplaats;7;;;BUILDING template
ANTWERPEN-WEST - FH01;6590995;6590995;;;Hanzestedenplaats;11;;;BUILDING template
ANTWERPEN-WEST - FH01;3959497;3959497;;;Hanzestedenplaats;15;;;BUILDING template
ANTWERPEN-WEST - FH01;6590996;6590996;;;Hanzestedenplaats;19;;;BUILDING template
ANTWERPEN-WEST - FH01;6590997;6590997;;;Hanzestedenplaats;23;;;BUILDING template
ANTWERPEN-WEST - FH01;12721;12721;;;Indiestraat;2;;;BUILDING template
ANTWERPEN-WEST - FH01;108948;108948;11196781;Indi?straat 2 - 4;Indiestraat;4;;20190705082415;BUILDING template
ANTWERPEN-WEST - FH01;1948967;1948967;;;Indiestraat;8;;;BUILDING template
ANTWERPEN-WEST - FH01;1949013;1949013;;;Indiestraat;10;;;BUILDING template
ANTWERPEN-WEST - FH01;5492426;5492426;;;Indiestraat;12;B;;BUILDING template
ANTWERPEN-WEST - FH01;1089007;1089007;;;Indiestraat;12;;;BUILDING template
ANTWERPEN-WEST - FH01;108947;108947;;;Indiestraat;18;;;BUILDING template
ANTWERPEN-WEST - FH01;108942;108942;;;Indiestraat;21;;;BUILDING template
ANTWERPEN-WEST - FH01;108941;108941;;;Indiestraat;22;;;BUILDING template
ANTWERPEN-WEST - FH01;1949119;1949119;;;Indiestraat;26;;;BUILDING template
ANTWERPEN-WEST - FH01;1949129;1949129;;;Indiestraat;28;;;BUILDING template
ANTWERPEN-WEST - FH01;1949160;1949160;;;Indiestraat;30;;;BUILDING template
ANTWERPEN-WEST - FH01;4505462;4505462;;;Indiestraat;32;;;BUILDING template
ANTWERPEN-WEST - FH01;1949181;1949181;;;Indiestraat;34;;;BUILDING template
ANTWERPEN-WEST - FH01;108940;108940;;;Indiestraat;36;;;BUILDING template
ANTWERPEN-WEST - FH01;6000240;6000240;;;Indiestraat;38;;;BUILDING template
ANTWERPEN-WEST - FH01;1949212;1949212;;;Indiestraat;44;;;BUILDING template
ANTWERPEN-WEST - FH01;62065;62065;;;Italielei;2;;;BUILDING template
ANTWERPEN-WEST - FH01;1950413;1950413;;;Italielei;2;A;;BUILDING template
ANTWERPEN-WEST - FH01;62060;62060;;;Italielei;4;;;BUILDING template
ANTWERPEN-WEST - FH01;108937;108937;;;Kattendijkdok-Oostkaai;3;;;BUILDING template
ANTWERPEN-WEST - FH01;108939;108939;;;Kattendijkdok-Oostkaai;5;;;BUILDING template
ANTWERPEN-WEST - FH01;1960564;1960564;;;Kattendijkdok-Oostkaai;6;;;BUILDING template
ANTWERPEN-WEST - FH01;1960565;1960565;;;Kattendijkdok-Oostkaai;7;;;BUILDING template
ANTWERPEN-WEST - FH01;1960566;1960566;;;Kattendijkdok-Oostkaai;8;;;BUILDING template
ANTWERPEN-WEST - FH01;1960567;1960567;;;Kattendijkdok-Oostkaai;9;;;BUILDING template
ANTWERPEN-WEST - FH01;1960569;1960569;;;Kattendijkdok-Oostkaai;11;;;BUILDING template
ANTWERPEN-WEST - FH01;1960570;1960570;;;Kattendijkdok-Oostkaai;12;;;BUILDING template
ANTWERPEN-WEST - FH01;1960571;1960571;;;Kattendijkdok-Oostkaai;13;;;BUILDING template
ANTWERPEN-WEST - FH01;1960572;1960572;;;Kattendijkdok-Oostkaai;14;;;BUILDING template
ANTWERPEN-WEST - FH01;1960573;1960573;;;Kattendijkdok-Oostkaai;15;;;BUILDING template
ANTWERPEN-WEST - FH01;4505471;4505471;;;Kattendijkdok-Oostkaai;16;;;BUILDING template
ANTWERPEN-WEST - FH01;108936;108936;;;Kattendijkdok-Oostkaai;17;;;BUILDING template
ANTWERPEN-WEST - FH01;1128037;1128037;;;Kattendijkdok-Westkaai;16;;;BUILDING template
ANTWERPEN-WEST - FH01;1960577;1960577;;;Kattendijkdok-Westkaai;21;;;BUILDING template
ANTWERPEN-WEST - FH01;1960580;1960580;;;Kattendijkdok-Westkaai;25;;;BUILDING template
ANTWERPEN-WEST - FH01;1960581;1960581;;;Kattendijkdok-Westkaai;26;;;BUILDING template
ANTWERPEN-WEST - FH01;1960582;1960582;;;Kattendijkdok-Westkaai;27;;;BUILDING template
ANTWERPEN-WEST - FH01;1960583;1960583;;;Kattendijkdok-Westkaai;28;;;BUILDING template
ANTWERPEN-WEST - FH01;1960584;1960584;;;Kattendijkdok-Westkaai;29;;;BUILDING template
ANTWERPEN-WEST - FH01;4511892;4511892;;;Kattendijkdok-Westkaai;30;;;BUILDING template
ANTWERPEN-WEST - FH01;1960586;1960586;;;Kattendijkdok-Westkaai;31;;;BUILDING template
ANTWERPEN-WEST - FH01;1960587;1960587;;;Kattendijkdok-Westkaai;32;;;BUILDING template
ANTWERPEN-WEST - FH01;11985;11985;;;Kattendijkdok-Westkaai;33;;;BUILDING template
ANTWERPEN-WEST - FH01;1195063;1195063;13342630;;Kattendijkdok-Westkaai;41;;20190927010634;BUILDING template
ANTWERPEN-WEST - FH01;4511920;4511920;13342630;Westkaai 41;Kattendijkdok-Westkaai;42;;20190927010634;BUILDING template
ANTWERPEN-WEST - FH01;6525842;6525842;13342630;Westkaai 41;Kattendijkdok-Westkaai;43;;20190927010634;BUILDING template
ANTWERPEN-WEST - FH01;1195065;1195065;20689391;;Kattendijkdok-Westkaai;51;;20191011213223;BUILDING template
ANTWERPEN-WEST - FH01;4511926;4511926;20689391;;Kattendijkdok-Westkaai;54;;;BUILDING template
ANTWERPEN-WEST - FH01;5804911;5804911;20689391;;Kattendijkdok-Westkaai;56;;20191011213223;BUILDING template
ANTWERPEN-WEST - FH01;5804916;5804916;20558752;;Kattendijkdok-Westkaai;61;;20190927010636;BUILDING template
ANTWERPEN-WEST - FH01;6187119;6187119;20558752;;Kattendijkdok-Westkaai;63;;;BUILDING template
ANTWERPEN-WEST - FH01;5537964;5537964;20558752;;Kattendijkdok-Westkaai;65;;;BUILDING template
ANTWERPEN-WEST - FH01;5891727;5891727;20558919;;Kattendijkdok-Westkaai;71;;20190927010630;BUILDING template
ANTWERPEN-WEST - FH01;6008100;6008100;20558919;;Kattendijkdok-Westkaai;72;;;BUILDING template
ANTWERPEN-WEST - FH01;5899748;5899748;20558919;;Kattendijkdok-Westkaai;73;;;BUILDING template
ANTWERPEN-WEST - FH01;5944504;5944504;20559006;;Kattendijkdok-Westkaai;81;;20190927010630;BUILDING template
ANTWERPEN-WEST - FH01;6521029;6521029;20559006;;Kattendijkdok-Westkaai;82;;;BUILDING template
ANTWERPEN-WEST - FH01;6605117;6605117;20559006;;Kattendijkdok-Westkaai;83;;;BUILDING template
ANTWERPEN-WEST - FH01;5944507;5944507;20558663;;Kattendijkdok-Westkaai;91;;20190927010630;BUILDING template
ANTWERPEN-WEST - FH01;6605118;6605118;20558663;;Kattendijkdok-Westkaai;92;;;BUILDING template
ANTWERPEN-WEST - FH01;6521030;6521030;20558663;;Kattendijkdok-Westkaai;93;;;BUILDING template
ANTWERPEN-WEST - FH01;1960880;1960880;;;Kempischdok-Westkaai;6;;;BUILDING template
ANTWERPEN-WEST - FH01;1960881;1960881;;;Kempischdok-Westkaai;8;;;BUILDING template
