Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH06;662035;BL0019;;662035;;;Geraard Mercatorlaan;48;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2434160;BL0001;;2434160;;;Plankeweidelaan;11;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;3937699;BL0018;;3937699;;;Jan van Helmontlaan;52;;;;;Filip Van Dyck;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2429206;BL0012;;2429206;;;Geraard Mercatorlaan;49;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2434162;BL0006;;2434162;;;Plankeweidelaan;12;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662037;BL0019;;662037;;;Geraard Mercatorlaan;50;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2434165;BL0001;;2434165;;;Plankeweidelaan;13;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2429210;BL0012;;2429210;;;Geraard Mercatorlaan;51;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2434168;BL0006;;2434168;;;Plankeweidelaan;14;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662040;BL0012;;662040;;;Geraard Mercatorlaan;53;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2434170;BL0006;;2434170;;;Plankeweidelaan;16;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2405827;BL0020;;2405827;;;Gouverneur Roppesingel;13;;;;;Dieu Jocelin;MDU;1;0;1;2;BUILDING template
HASSELT - FH06;2434171;BL0006;;2434171;;;Plankeweidelaan;18;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;5530321;BL0020;;5530321;;;Gouverneur Roppesingel;15;;;;;Dieu Jocelin;MDU;5;0;8;13;BUILDING template
HASSELT - FH06;662056;BL0012;;662056;;;Rembert Dodoenslaan;1;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;1174354;BL0020;;1174354;;;Gouverneur Roppesingel;25;;;;;Dieu Jocelin;MDU;2;0;1;3;BUILDING template
HASSELT - FH06;4861458;BL0012;;4861458;;;Rembert Dodoenslaan;2;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;666233;BL0017;;666233;;;Harpstraat;6;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2413945;BL0012;;2413945;;;Rembert Dodoenslaan;3;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;666232;BL0017;;666232;;;Harpstraat;8;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;4861460;BL0012;;4861460;;;Rembert Dodoenslaan;4;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;666231;BL0017;;666231;;;Harpstraat;10;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2413947;BL0012;;2413947;;;Rembert Dodoenslaan;5;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;4201663;BL0017;;4201663;;;Harpstraat;12;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2413950;BL0012;;2413950;;;Rembert Dodoenslaan;6;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2416860;BL0017;;2416860;;;Harpstraat;14;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2413952;BL0012;;2413952;;;Rembert Dodoenslaan;7;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2416861;BL0017;;2416861;;;Harpstraat;16;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2413955;BL0012;;2413955;;;Rembert Dodoenslaan;8;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2416862;BL0017;;2416862;;;Harpstraat;18;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2413958;BL0012;;2413958;;;Rembert Dodoenslaan;9;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
