Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate;TSA SIGNED;Meetstaat
MECHELEN - FH02;1279994;BL0232;6;425367;1279994;;;Hendrik Speecqvest;60;;XA;2020-08-04;Andreas Versteeven;MDU;0;5;1;6;Y;;BUILDING template;;Y
MECHELEN - FH02;3048233;BL0232;6;21681362;3048233;;Hendrik Speecqvest 62-64;Hendrik Speecqvest;62;;XC;2019-12-17;Yannick_ Lambrechts;MDU;2;0;1;3;Y;;BUILDING template;;Y
MECHELEN - FH02;NB-28006471513;BL0232;6;NB-28006471513;NB-28006471513;;Hendrik Speecqvest 62-64;Hendrik Speecqvest;64;;XC;;Filip Van Dyck;MDU;0;6;0;6;Y;;BUILDING template;;
MECHELEN - FH02;3048236;BL0232;6;7092721;3048236;;;Hendrik Speecqvest;68;;D;2018-09-12;Bernardo Kana da Rosa;MDU;0;8;0;8;N;;BUILDING template;;
MECHELEN - FH02;3048238;BL0232;6;437305;3048238;;;Hendrik Speecqvest;70;;;2018-09-12;Bernardo Kana da Rosa;SDU;1;0;0;1;N;;BUILDING template;;
MECHELEN - FH02;4203584;BL0232;6;442567;4203584;;;Hendrik Speecqvest;72;;D;2018-09-12;Bernardo Kana da Rosa;MDU;0;2;0;2;N;;BUILDING template;;
MECHELEN - FH02;3046659;BL0232;6;436591;3046659;;;Raghenoplein;2;;D;2019-03-15 19:22:16;Yannick Lambrechts;MDU;0;4;0;4;N;;BUILDING template;;
MECHELEN - FH02;3944164;BL0232;6;441174;3944164;;;Raghenoplein;4;;XC;2020-08-06;Andreas Versteeven;MDU;0;6;1;7;N;;BUILDING template;;Y
MECHELEN - FH02;402676;BL0232;6;441535;402676;;;Stationsstraat;1;;;;Kevin Dekens;SDU;0;1;0;1;N;;BUILDING template;;
MECHELEN - FH02;402675;BL0232;6;441534;402675;;;Stationsstraat;2;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048993;BL0232;6;437679;3048993;;;Stationsstraat;3;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;4756681;BL0232;6;446548;4756681;;;Stationsstraat;4;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;4756684;BL0232;6;446549;4756684;;;Stationsstraat;5;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048994;BL0232;6;437680;3048994;;;Stationsstraat;6;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;402674;BL0232;6;441533;402674;;;Stationsstraat;7;;D;2018-09-05;Hidde Kiekens;MDU;0;3;0;3;Y;;BUILDING template;;
MECHELEN - FH02;402673;BL0232;6;7092748;402673;;;Stationsstraat;8;;D;2019-03-15 19:27:06;Wim Lambrechts;MDU;1;4;0;5;Y;;BUILDING template;;
MECHELEN - FH02;402672;BL0232;6;441532;402672;;;Stationsstraat;9;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048997;BL0232;6;437681;3048997;;;Stationsstraat;10;;;2019-03-22 13:00:22;Wim Lambrechts;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048998;BL0232;6;437682;3048998;;;Stationsstraat;11;;XC;2019-03-12;Andreas Versteeven;MDU;1;2;0;3;N;;BUILDING template;;Y
MECHELEN - FH02;3049000;BL0232;6;437683;3049000;;;Stationsstraat;12;;D;2018-09-05;Hidde Kiekens;MDU;0;3;0;3;Y;;BUILDING template;;
MECHELEN - FH02;3049003;BL0232;6;437684;3049003;;;Stationsstraat;13;;D;2019-03-14;Yannick_ Lambrechts;MDU;0;5;0;5;Y;;BUILDING template;;
MECHELEN - FH02;3049004;BL0232;6;437685;3049004;;;Stationsstraat;14;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;4756662;BL0232;6;446547;4756662;;;Stationsstraat;15;;D;2018-09-17;Hidde Kiekens;MDU;1;0;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3049005;BL0232;6;437686;3049005;;;Stationsstraat;16;;D;2019-03-14;Wim Lambrechts;MDU;0;4;0;4;Y;;BUILDING template;;
MECHELEN - FH02;3944203;BL0232;6;441195;3944203;;;Stationsstraat;17;;XC;2020-07-23;Andreas Versteeven;MDU;0;5;0;5;Y;;BUILDING template;;N
MECHELEN - FH02;3049007;BL0232;6;437687;3049007;;;Stationsstraat;18;;D;2018-09-05;Hidde Kiekens;MDU;1;1;0;2;Y;;BUILDING template;;
MECHELEN - FH02;3992281;BL0232;6;7092743;3992281;;;Stationsstraat;19;;;2020-08-04;Andreas Versteeven;SDU;0;1;0;1;N;;BUILDING template;;
MECHELEN - FH02;3049008;BL0232;6;437688;3049008;;;Stationsstraat;20;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;402671;BL0232;6;441531;402671;;;Stationsstraat;21;;;;Youssef Abdellaoui;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;402677;BL0232;6;11439546;402677;;;Stationsstraat;22;;;2018-07-09;Youssef Abdellaoui;SDU;1;0;0;1;Y;;BUILDING template;;
