Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
EVERE - FH01;1620951;BL0103;6;1620951;;;Chaussée de Louvain - Leuvensesteenweg;1024;;;;;;SDU;1;0;0;1;BUILDING template
EVERE - FH01;1623865;BL0119;9;1623865;11449855;Cicerolaan 35_Kerkhof van Brussellaan 136-138-142;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;136;;20191116010452;XC;2019-09-03;Jonathan Collignon;MDU;1;12;2;15;BUILDING template
EVERE - FH01;1622678;BL0128;2;1622678;;;René Magrittestraat - Rue René Magritte;4;;;;2019-11-21 09:05:16;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1621730;BL0110;4;1621730;;;Rue Hugo Verriest - Hugo Verrieststraat;13;;;;2019-11-25 09:00:40;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;46318;BL0110;6;46318;;;Rue du Maquis - Maquisstraat;44;;;;2019-11-04 08:45:17;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622679;BL0128;2;1622679;;;René Magrittestraat - Rue René Magritte;5;;;;2019-11-21 08:45:25;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;25483;BL0110;4;25483;;;Rue Hugo Verriest - Hugo Verrieststraat;15;;;;2019-11-22 07:45:19;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1620999;BL0110;6;1620999;;;Rue du Maquis - Maquisstraat;46;;;;2019-11-25 11:05:55;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1620954;BL0103;6;1620954;10680649;Leuvensesteenweg 1026-1028-1048;Chaussée de Louvain - Leuvensesteenweg;1028;;20200119122242;C;2020-01-08 12:25:34;Jonathan Collignon;MDU;1;0;0;1;BUILDING template
EVERE - FH01;1622680;BL0128;2;1622680;;;René Magrittestraat - Rue René Magritte;6;;;;2019-11-18 12:50:16;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;726285;BL0110;4;726285;;;Rue Hugo Verriest - Hugo Verrieststraat;17;;;D;2018-05-03 22:40:59;Raphael Use;MDU;0;2;0;2;BUILDING template
EVERE - FH01;1621000;BL0110;6;1621000;;;Rue du Maquis - Maquisstraat;48;;;;2019-11-25 11:10:21;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622681;BL0128;2;1622681;;;René Magrittestraat - Rue René Magritte;7;;;;2019-11-21 08:45:27;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1621001;BL0110;6;1621001;;;Rue du Maquis - Maquisstraat;50;;;D;2018-05-23;Andreas Versteeven;MDU;0;2;0;2;BUILDING template
EVERE - FH01;5583151;BL0103;6;5583151;10680649;Leuvensesteenweg 1026-1028-1048;Chaussée de Louvain - Leuvensesteenweg;1048;;20200119122242;C;2020-01-08 12:25:34;Jonathan Collignon;MDU;1;0;0;1;BUILDING template
EVERE - FH01;1622682;BL0128;2;1622682;;;René Magrittestraat - Rue René Magritte;8;;;;2019-11-21 09:05:13;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;726284;BL0110;4;726284;;;Place Jean De Paduwa - Jan De Paduwaplaats;12;;;;2019-12-20 07:10:16;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1621002;BL0110;6;1621002;;;Rue du Maquis - Maquisstraat;52;;;;2019-11-25 11:10:29;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622683;BL0128;2;1622683;;;René Magrittestraat - Rue René Magritte;9;;;;2019-11-21 08:50:11;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
