Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
KNOKKE-HEIST - FH11;4336296;BL1144;;4336296;;;Oud-Strijdersstraat;13;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;292520;BL1101;;292520;;;Eieburg;16;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;301788;BL1105;;301788;;;de Vrierestraat;4;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2758692;BL1122;;2758692;;;Hendrik Consciencestraat;68;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762262;BL1136;;2762262;;;Kursaalstraat;70;;;D;2020-01-31;Maayken Vanfleteren;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2764801;BL1123;;2764801;;;Pannenstraat;118;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767432;BL1105;;2767432;;;de Vrierestraat;12;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336300;BL1133;;4336300;;;Marktstraat;32;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;292523;BL1101;;292523;;;Eieburg;6;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;301789;BL1105;;301789;;;de Vrierestraat;16;;;D;2020-01-04 14:50:14;Maayken Vanfleteren;MDU;0;2;0;2;BUILDING template
KNOKKE-HEIST - FH11;2758694;BL1122;;2758694;;;Hendrik Consciencestraat;72;;;D;2020-01-24;Hidde Kiekens;MDU;0;5;0;5;BUILDING template
KNOKKE-HEIST - FH11;2762263;BL1136;;2762263;;Kursaalstraat 72-74;Kursaalstraat;72;;;D;2020-03-09 09:16:10;Maayken Vanfleteren;MDU;0;6;1;7;BUILDING template
KNOKKE-HEIST - FH11;2764802;BL1119;;2764802;;;Pannenstraat;119;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767434;BL1105;;2767434;;;de Vrierestraat;14;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336306;BL1133;;4336306;;;Hermans-Lybaertstraat;62;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336503;BL1131;;4336503;;;Heistlaan;104;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;301790;BL1127;;301790;;;de Vrierestraat;20;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2759435;BL1110;;2759435;;;Dwarsstraat;3;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762265;BL1136;;2762265;;Kursaalstraat 72-74;Kursaalstraat;74;;;D;2020-03-09 09:16:10;Maayken Vanfleteren;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2764804;BL1123;;2764804;;;Pannenstraat;120;;;;;Peter Van Leeuwen;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767438;BL1126;;2767438;;;de Vrierestraat;19;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336316;BL1143;;4336316;;;Vuurkruisersstraat;13;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2760195;BL1133;;2760195;;;Heistlaan;105;;;D;2020-01-23 11:15:31;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH11;301791;BL1126;;301791;;;de Vrierestraat;1;;;D;2020-01-04 14:50:16;Maayken Vanfleteren;MDU;1;6;1;8;BUILDING template
