Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;BT IFH;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH01;2406676;BL0113;1;;2406676;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;17;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406677;BL0113;1;;2406677;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;18;;C;2017-11-16;;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2415058;BL0110;1;;2415058;;Fonteinstraat 72-74-76;Fonteinstraat;74;;B;2018-04-18 09:57:38;;MDU;MDU;1;0;0;1;BUILDING template
HASSELT - FH01;2415019;BL0101;1;;2415019;;;Fonteinstraat;14;;E;2018-08-21;Geert Stockman;MDU;MDU;0;7;0;7;BUILDING template
HASSELT - FH01;2415028;BL0101;1;;2415028;;;Fonteinstraat;30;;D;2018-03-13 11:53:05;;MDU;MDU;0;1;0;2;BUILDING template
HASSELT - FH01;707483;BL0101;1;;707483;;;Sint-Truidersteenweg;73;;E;2019-06-06;Kust Hostyens;MDU;MDU;0;14;0;14;BUILDING template
HASSELT - FH01;3937204;BL0102;1;;3937204;;;Abelenstraat;5;;B;2018-05-23;Kevin Dekens;MDU;MDU;0;7;0;7;BUILDING template
HASSELT - FH01;2414608;BL0102;1;;2414608;;;Elzenstraat;2;A;E;2018-03-08 11:59:01;Kevin Dekens;MDU;MDU;0;4;1;5;BUILDING template
HASSELT - FH01;2407552;BL0102;1;;2407552;;;Abelenstraat;7;;XA;2019-09-05;Kurt Holsteyns;MDU;MDU;0;11;1;12;BUILDING template
HASSELT - FH01;3937205;BL0102;1;;3937205;;;Abelenstraat;7;A;D;2019-09-06;Kurt Holsteyns;MDU;MDU;0;8;0;8;BUILDING template
HASSELT - FH01;707207;BL0102;1;;707207;;;Boomkensstraat;117;;D;2019-05-09;Dieu Jocelin;MDU;SDU;0;2;0;2;BUILDING template
HASSELT - FH01;2442776;BL0102;1;;2442776;;;Torenstraat;34;;XA;2019-09-05;Kurt Holsteyns;MDU;MDU;0;11;1;12;BUILDING template
HASSELT - FH01;709221;BL0103;1;;709221;;;Torenstraat;3;;X;2019-09-03;Kurt Holsteyns;MDU;MDU;0;4;0;4;BUILDING template
HASSELT - FH01;2415153;BL0103;1;;2415153;;;Gaarveldstraat;70;;B;2018-10-01;Geert Stockman;MDU;MDU;0;3;0;3;BUILDING template
HASSELT - FH01;2432505;BL0105;1;;2432505;;;Olmenstraat;44;;B;2018-09-16;Geert Stockman;MDU;MDU;0;5;1;6;BUILDING template
HASSELT - FH01;2444512;BL0107;1;;2444512;;;Pastoor Van Dijckstraat;6;;;2019-05-08;Filip Van Geel;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;707396;BL0110;1;;707396;Huisnummer 62 64 en 66;Boomkensstraat 62-64-66;Boomkensstraat;66;;D;2019-05-09;Dieu Jocelin;MDU;MDU;0;3;0;3;BUILDING template
HASSELT - FH01;707233;BL0110;1;;707233;;fonteinstraat 72-74-76;Fonteinstraat;72;;B;2019-06-07;Kust Hostyens;MDU;MDU;0;24;2;26;BUILDING template
HASSELT - FH01;1294204;BL0110;1;;1294204;;fonteinstraat 72-74-76;Fonteinstraat;76;;B;2018-08-28;Geert Stockman;MDU;MDU;0;10;0;10;BUILDING template
HASSELT - FH01;707401;BL0111;1;;707401;;;Boomkensstraat;13;;;2019-09-09;Kurt Holsteyns;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;707377;BL0112;1;;707377;;;Kanunnik Eybenstraat;8;;B;2018-09-12;Geert Stockman;MDU;MDU;0;4;0;4;BUILDING template
HASSELT - FH01;2406662;BL0113;1;;2406662;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;2;;C;2019-05-09;Dieu Jocelin;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406664;BL0113;1;;2406664;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;3;;C;2019-05-09;Dieu Jocelin;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;4903204;BL0113;1;;4903204;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;15;;C;2019-05-09;Dieu Jocelin;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;4162140;BL0113;1;;4162140;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;16;;C;2019-05-09;Dieu Jocelin;MDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2448151;BL0113;1;;2448151;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;3;;C;2018-09-16;Geert Stockman;MDU;MDU;0;11;0;11;BUILDING template
HASSELT - FH01;2448160;BL0113;1;;2448160;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;11;;C;2018-09-16;Geert Stockman;MDU;MDU;0;7;0;7;BUILDING template
HASSELT - FH01;2448161;BL0113;1;;2448161;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;13;;C;2018-09-16;Geert Stockman;MDU;MDU;0;6;0;6;BUILDING template
HASSELT - FH01;2409735;BL0113;1;;2409735;;;Boomkensstraat;3;;D;2018-09-16;Geert Stockman;MDU;MDU;0;2;0;2;BUILDING template
HASSELT - FH01;2436837;BL0113;1;;2436837;runkstersteenweg 4 6 8 2a 2b 2c 2d 2e;Runkstersteenweg 4-6-8-2A-2B-2C-2D-2E;Runkstersteenweg;4;;E;2019-05-29;Kust Hostyens;MDU;MDU;0;32;3;35;BUILDING template
HASSELT - FH01;2436840;BL0113;1;;2436840;10347758;Runkstersteenweg 4-6-8-2A-2B-2C-2D-2E;Runkstersteenweg;6;;E;2018-09-12;Geert Stockman;MDU;MDU;0;6;0;6;BUILDING template
HASSELT - FH01;2436842;BL0113;1;;2436842;10347758;Runkstersteenweg 4-6-8-2A-2B-2C-2D-2E;Runkstersteenweg;8;;E;2018-09-12;Geert Stockman;MDU;MDU;0;5;0;5;BUILDING template
HASSELT - FH01;2408500;BL0114;1;;2408500;;;Bampslaan;11;;D;2019-11-06;Jo De Clippel;MDU;MDU;0;2;0;2;BUILDING template
HASSELT - FH01;654113;BL0117;1;;654113;;Melkvoetstraat 58-58A-58B;Melkvoetstraat;58;;E;2018-09-12 15:35:49;;MDU;MDU;0;9;0;9;BUILDING template
HASSELT - FH01;3937213;BL0117;1;;3937213;;;Koningin Astridlaan;41;;B;2019-05-28;Filip Van Geel;MDU;MDU;0;3;0;3;BUILDING template
HASSELT - FH01;1145400;BL0118;1;;1145400;9041583;Burgemeester Bollenstraat 10_Koningin Astridlaan 21;Burgemeester Bollenstraat;10;;D;2019-09-02;Kurt Holsteyns;MDU;MDU;0;4;1;5;BUILDING template
HASSELT - FH01;2442260;BL0119;1;;2442260;;Thonissenlaan 28-34;Thonissenlaan;28;;X;2018-10-05;Geert Stockman;MDU;MDU;0;7;1;8;BUILDING template
HASSELT - FH01;70247;BL0120;1;;70247;9094362;Thonissenlaan 70-78-80;Thonissenlaan;70;;X;2019-09-09;Kurt Holsteyns;MDU;MDU;0;0;0;0;BUILDING template
HASSELT - FH01;70251;BL0120;1;;70251;9085981;Thonissenlaan 90-92;Thonissenlaan;90;;D;2020-01-06;Jo De Clippel;MDU;MDU;0;3;1;4;BUILDING template
HASSELT - FH01;2442378;BL0120;1;;2442378;;;Thonissenlaan;54;A;D;2018-09-12;Geert Stockman;MDU;MDU;0;7;0;7;BUILDING template
HASSELT - FH01;2442780;BL0102;1;;2442780;;;Torenstraat;36;;;2019-09-05;Kurt Holsteyns;SDU;SDU;1;0;0;1;BUILDING template
HASSELT - FH01;2442783;BL0102;1;;2442783;;;Torenstraat;38;;;2019-09-05 14:55:48;Kurt Holsteyns;SDU;SDU;1;0;0;1;BUILDING template
HASSELT - FH01;2442785;BL0102;1;;2442785;;;Torenstraat;40;;;2019-09-05;Kurt Holsteyns;SDU;SDU;1;0;0;1;BUILDING template
HASSELT - FH01;707340;BL0102;1;;707340;;;Torenstraat;42;;;2019-09-05 15:25:15;Kurt Holsteyns;SDU;SDU;1;0;0;1;BUILDING template
HASSELT - FH01;2409789;BL0102;1;;2409789;;;Boomkensstraat;75;;E;2018-09-02;Geert Stockman;MDU;MDU;1;1;1;3;BUILDING template
HASSELT - FH01;2442764;BL0102;1;;2442764;9163878;Torenstraat 22-24-26;Torenstraat;24;;;2019-09-05 13:26:53;Kurt Holsteyns;MDU;MDU;1;0;0;1;BUILDING template
HASSELT - FH01;2442769;BL0102;1;;2442769;9163878;Torenstraat 22-24-26;Torenstraat;26;;;2019-09-05;Kurt Holsteyns;MDU;MDU;1;0;0;1;BUILDING template
HASSELT - FH01;3937672;BL0102;1;;3937672;9163879;Torenstraat 28-30-32;Torenstraat;28;;;2019-09-05 13:55:39;Kurt Holsteyns;MDU;MDU;1;0;0;1;BUILDING template
HASSELT - FH01;5446987;BL0102;1;;5446987;9163879;Torenstraat 28-30-32;Torenstraat;30;;;2019-09-05;Kurt Holsteyns;MDU;MDU;1;0;0;1;BUILDING template
HASSELT - FH01;5422649;BL0103;1;;5422649;;Sint-Hubertusplein 2-2A;Sint-Hubertusplein;2;A;D;2018-08-14;Geert Stockman;MDU;MDU;1;3;0;4;BUILDING template
HASSELT - FH01;2415140;BL0103;1;;2415140;;;Gaarveldstraat;62;;D;2018-08-14;Geert Stockman;MDU;MDU;1;6;0;7;BUILDING template
HASSELT - FH01;4048409;BL0105;1;;4048409;;;Gaarveldstraat;110;;E;2018-03-13 12:04:03;Kevin Dekens;MDU;MDU;1;2;0;3;BUILDING template
HASSELT - FH01;707400;BL0110;1;;707400;;;Boomkensstraat;34;;B;2018-09-05;Geert Stockman;MDU;MDU;1;10;1;12;BUILDING template
HASSELT - FH01;2409777;BL0110;1;;2409777;Huisnummer 62 64 en 66;Boomkensstraat 62-64-66;Boomkensstraat;62;;;2019-05-09;Dieu Jocelin;MDU;MDU;1;0;0;1;BUILDING template
HASSELT - FH01;2409781;BL0110;1;;2409781;Huisnummer 62 64 en 66;Boomkensstraat 62-64-66;Boomkensstraat;64;;B;2019-06-06;Kust Hostyens;MDU;MDU;1;8;2;11;BUILDING template
HASSELT - FH01;2448148;BL0113;1;;2448148;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;1;;C;2020-06-25;Jo De Clippel;MDU;MDU;1;0;0;1;BUILDING template
HASSELT - FH01;2448163;BL0113;1;;2448163;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;15;;C;2019-05-09;Dieu Jocelin;MDU;SDU;1;0;0;1;BUILDING template
HASSELT - FH01;2409738;BL0113;1;;2409738;;;Boomkensstraat;5;;;2019-05-09;Dieu Jocelin;SDU;SDU;1;0;0;1;BUILDING template
HASSELT - FH01;4069470;BL0113;1;;4069470;;;Runkstersteenweg;24;;C;2018-03-08 13:55:22;Kevin Dekens;MDU;MDU;1;0;0;1;BUILDING template
HASSELT - FH01;653673;BL0114;1;;653673;9177045;de Schiervellaan 13_Bampslaan 1;Bampslaan;1;;XA;2019-09-04;Kurt Holsteyns;MDU;MDU;1;10;1;12;BUILDING template
HASSELT - FH01;3937270;BL0114;1;;3937270;;Brendel 1_Schiervellaan 1;Brendelstraat;1;;B;2018-10-05;Geert Stockman;MDU;MDU;1;5;1;7;BUILDING template
HASSELT - FH01;2438181;BL0114;1;;2438181;7072284;;de Schiervellaan;3;;B;2018-10-03;Geert Stockman;MDU;MDU;1;6;2;9;BUILDING template
HASSELT - FH01;2442197;BL0119;1;;2442197;;;Thonissenlaan;10;;D;2018-09-01;Geert Stockman;MDU;MDU;1;1;1;3;BUILDING template
HASSELT - FH01;2442284;BL0119;1;;2442284;;Thonissenlaan 28-34;Thonissenlaan;34;;;2019-05-09 12:20:24;Dieu Jocelin;MDU;MDU;1;0;0;1;BUILDING template
HASSELT - FH01;2442309;BL0119;1;;2442309;;;Thonissenlaan;40;;XA;2018-09-01;Geert Stockman;MDU;MDU;1;6;1;8;BUILDING template
HASSELT - FH01;2442360;BL0119;1;;2442360;;;Thonissenlaan;50;;B;2019-06-06;Kust Hostyens;MDU;MDU;1;6;1;8;BUILDING template
HASSELT - FH01;1278657;BL0116;1;;1278657;;;Monseigneur Broekxplein;6;;B;2018-11-28 20:05:20;Geert Stockman;MDU;MDU;11;1;4;16;BUILDING template
HASSELT - FH01;2446205;BL0101;1;;2446205;;;Vooruitzichtstraat;42;;B;2018-09-02;Geert Stockman;MDU;MDU;12;0;0;12;BUILDING template
HASSELT - FH01;707228;BL0113;1;;707228;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;7;;C;2020-06-25 09:20:24;Jo De Clippel;MDU;MDU;2;0;0;2;BUILDING template
HASSELT - FH01;5731213;BL0114;1;5166213;5731213;9176129;de Schiervellaan 9-11;de Schiervellaan;11;;XC;2018-10-04;Geert Stockman;MDU;MDU;2;10;1;13;BUILDING template
HASSELT - FH01;2415721;BL0115;1;;2415721;9185368;Geraetsstraat 18-20;Geraetsstraat;18;;B;2018-05-03;Youssef Abdellaoui;MDU;MDU;2;3;1;6;BUILDING template
HASSELT - FH01;2442231;BL0119;1;;2442231;;;Thonissenlaan;18;;B;2018-10-01;Geert Stockman;MDU;MDU;2;7;1;10;BUILDING template
HASSELT - FH01;2442323;BL0119;1;;2442323;;;Thonissenlaan;42;;XA;2019-09-09;Kurt Holsteyns;MDU;MDU;2;10;1;13;BUILDING template
HASSELT - FH01;2442341;BL0119;1;;2442341;7072282;;Thonissenlaan;46;;X;2019-08-21;Kurt Holsteyns;MDU;MDU;2;11;1;14;BUILDING template
HASSELT - FH01;70254;BL0120;1;;70254;9085981;Thonissenlaan 90-92;Thonissenlaan;92;;D;2020-01-06;Jo De Clippel;MDU;MDU;2;0;2;4;BUILDING template
HASSELT - FH01;2408247;BL0115;1;;2408247;;Koningin Astridlaan 34-36;Koningin Astridlaan;34;;E;2018-10-01;Geert Stockman;MDU;MDU;3;1;0;4;BUILDING template
HASSELT - FH01;4852717;BL0115;1;;4852717;;Koningin Astridlaan 34-36;Koningin Astridlaan;36;;E;2018-10-01;Geert Stockman;MDU;MDU;3;1;0;4;BUILDING template
HASSELT - FH01;1145391;BL0118;1;;1145391;;;Koningin Astridlaan;33;;B;2018-10-01;Geert Stockman;MDU;MDU;3;0;0;3;BUILDING template
HASSELT - FH01;2408511;BL0114;1;;2408511;;;Bampslaan;21;;C;2018-10-09;Geert Stockman;MDU;MDU;4;1;0;5;BUILDING template
HASSELT - FH01;2440411;BL0115;1;;2440411;;;Stationsplein;11;;B;2018-10-05;Geert Stockman;MDU;MDU;5;0;2;7;BUILDING template
HASSELT - FH01;2442239;BL0119;1;;2442239;;;Thonissenlaan;20;;B;2018-10-01;Geert Stockman;MDU;MDU;7;0;0;7;BUILDING template
HASSELT - FH01;6162639;BL0101;1;;6162639;;;Sint-Truidersteenweg;67;B;;2018-08-18;Geert Stockman;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;4903355;BL0112;1;;4903355;;;Runkstersteenweg;38;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707413;BL0113;1;;707413;;;Spoorwegstraat;21;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707412;BL0113;1;;707412;;;Spoorwegstraat;22;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707411;BL0113;1;;707411;;;Spoorwegstraat;23;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707410;BL0113;1;;707410;;;Spoorwegstraat;24;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707409;BL0113;1;;707409;;;Spoorwegstraat;25;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707408;BL0113;1;;707408;;;Spoorwegstraat;26;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707407;BL0113;1;;707407;;;Spoorwegstraat;27;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707406;BL0113;1;;707406;;;Spoorwegstraat;28;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707405;BL0113;1;;707405;;;Spoorwegstraat;29;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707404;BL0113;1;;707404;;;Spoorwegstraat;30;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707403;BL0113;1;;707403;;;Boomkensstraat;1;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;2409739;BL0113;1;;2409739;;;Boomkensstraat;7;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707198;BL0113;1;;707198;;;Boomkensstraat;9;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;2409743;BL0113;1;;2409743;;;Boomkensstraat;11;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;2436818;BL0113;1;;2436818;10347758;Runkstersteenweg 4-6-8-2A-2B-2C-2D-2E;Runkstersteenweg;2;A;;16-nov-17;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;2436822;BL0113;1;;2436822;10347758;Runkstersteenweg 4-6-8-2A-2B-2C-2D-2E;Runkstersteenweg;2;B;;16-nov-17;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;2436825;BL0113;1;;2436825;10347758;Runkstersteenweg 4-6-8-2A-2B-2C-2D-2E;Runkstersteenweg;2;C;;16-nov-17;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;2436830;BL0113;1;;2436830;10347758;Runkstersteenweg 4-6-8-2A-2B-2C-2D-2E;Runkstersteenweg;2;D;;16-nov-17;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;2436834;BL0113;1;;2436834;10347758;Runkstersteenweg 4-6-8-2A-2B-2C-2D-2E;Runkstersteenweg;2;E;;16-nov-17;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;707427;BL0113;1;;707427;;;Spoorwegstraat;1;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707428;BL0113;1;;707428;;;Spoorwegstraat;2;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707426;BL0113;1;;707426;;;Spoorwegstraat;3;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707425;BL0113;1;;707425;;;Spoorwegstraat;4;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707424;BL0113;1;;707424;;;Spoorwegstraat;5;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707423;BL0113;1;;707423;;;Spoorwegstraat;6;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707422;BL0113;1;;707422;;;Spoorwegstraat;7;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707421;BL0113;1;;707421;;;Spoorwegstraat;8;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707420;BL0113;1;;707420;;;Spoorwegstraat;9;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707419;BL0113;1;;707419;;;Spoorwegstraat;10;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707418;BL0113;1;;707418;;;Spoorwegstraat;16;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707417;BL0113;1;;707417;;;Spoorwegstraat;17;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707416;BL0113;1;;707416;;;Spoorwegstraat;18;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707415;BL0113;1;;707415;;;Spoorwegstraat;19;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;707414;BL0113;1;;707414;;;Spoorwegstraat;20;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;2438171;BL0114;1;;2438171;;Brendel 1_Schiervellaan 1;de Schiervellaan;1;;;16-nov-17;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;653663;BL0114;1;;653663;9176129;de Schiervellaan 9-11;de Schiervellaan;9;;;16-nov-17;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;653664;BL0114;1;;653664;9177045;de Schiervellaan 13_Bampslaan 1;de Schiervellaan;13;;;16-nov-17;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;2415724;BL0115;1;;2415724;9185368;Geraetsstraat 18-20;Geraetsstraat;20;;;16-nov-17;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;2429030;BL0117;1;;2429030;8577807;Melkvoetstraat 58-58A-58B;Melkvoetstraat;58;A;;2018-09-12 15:36:35;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;5438243;BL0117;1;;5438243;;Melkvoetstraat 58-58A-58B;Melkvoetstraat;58;B;;2018-09-12 15:36:03;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;1145392;BL0118;1;;1145392;9041583;Burgemeester Bollenstraat 10_Koningin Astridlaan 21;Koningin Astridlaan;21;;;16/nov/17;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;70244;BL0120;1;;70244;;;Thonissenlaan;54;;;16-nov-17;;SDU;SDU;;;;;BUILDING template
HASSELT - FH01;4846707;BL0120;1;;4846707;9094362;Thonissenlaan 70-78-80;Thonissenlaan;78;;;2018-09-01;Geert Stockman;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;4846710;BL0120;1;;4846710;9094362;Thonissenlaan 70-78-80;Thonissenlaan;80;;;16-nov-17;;MDU;MDU;;;;;BUILDING template
HASSELT - FH01;4897521;BL0101;1;;4897521;;;Boomkensstraat;88;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2409800;BL0101;1;;2409800;;;Boomkensstraat;90;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2409802;BL0101;1;;2409802;;;Boomkensstraat;92;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2409803;BL0101;1;;2409803;;;Boomkensstraat;94;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2409805;BL0101;1;;2409805;;;Boomkensstraat;96;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2409808;BL0101;1;;2409808;;;Boomkensstraat;100;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2409810;BL0101;1;;2409810;;;Boomkensstraat;102;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2409813;BL0101;1;;2409813;;;Boomkensstraat;104;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2409819;BL0101;1;;2409819;;;Boomkensstraat;106;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2409820;BL0101;1;;2409820;;;Boomkensstraat;108;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;707189;BL0101;1;;707189;;;Vooruitzichtstraat;4;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2446135;BL0101;1;;2446135;;;Vooruitzichtstraat;6;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2409826;BL0101;1;;2409826;;;Boomkensstraat;118;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2446137;BL0101;1;;2446137;;;Vooruitzichtstraat;8;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2446142;BL0101;1;;2446142;;;Vooruitzichtstraat;10;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2446147;BL0101;1;;2446147;;;Vooruitzichtstraat;12;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
HASSELT - FH01;2446153;BL0101;1;;2446153;;;Vooruitzichtstraat;14;;;16-nov-17;;SDU;SDU;0;1;0;1;BUILDING template
