Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate;TSA SIGNED;Meetstaat
KNOKKE - FH01;333271;BL0112;2;8502459;333271;;;Piers de Raveschootlaan;43;A;C;2019-09-26;Ryan De Vries;MDU;0;10;2;12;Y;;BUILDING template;2020-06-22;Y
KNOKKE - FH01;4343343;BL0111;4;13436977;4343343;21436795;Sebastiaan Nachtegaelestraat 5-7;Sebastiaan Nachtegaelestraat;7;;C;2019-09-25;Peter Cremers;MDU;0;4;0;4;Y;N;BUILDING template;2020-09-08;Y
KNOKKE - FH01;2763137;BL0115;1;8502251;2763137;;;Lippenslaan;148;;A;2019-08-19;Geert Stockman;MDU;0;9;1;10;N;;BUILDING template;2020-09-29;Y
KNOKKE - FH01;2763141;BL0115;1;8502252;2763141;;;Lippenslaan;150;;A;2019-08-19;Geert Stockman;MDU;1;5;1;7;N;;BUILDING template;2020-06-29;Y
KNOKKE - FH01;338493;BL0114;2;8502524;338493;;;Piers de Raveschootlaan;63;;C;2019-09-30;Ryan De Vries;MDU;1;8;2;11;Y;;BUILDING template;2020-09-08;Y
KNOKKE - FH01;2765580;BL0115;1;8502351;2765580;;;Piers de Raveschootlaan;97;;C;2019-10-10;Ryan De Vries;MDU;0;7;2;9;Y;;BUILDING template;2020-10-12;Y
KNOKKE - FH01;5292921;BL0118;2;8502605;5292921;;;Fincentlaan;2;A;A;2019-10-29;Dave Ruelens;MDU;1;9;2;12;N;;BUILDING template;2020-09-08;Y
KNOKKE - FH01;1279172;BL0111;4;8502009;1279172;21436795;Sebastiaan Nachtegaelestraat 5-7;Sebastiaan Nachtegaelestraat;5;;C;2019-09-25;Peter Cremers;MDU;0;4;2;6;Y;Y;BUILDING template;2020-09-08;Y
KNOKKE - FH01;2763904;BL0111;4;8502257;2763904;;;Sebastiaan Nachtegaelestraat;19;;C;2019-09-25;Ryan De Vries;MDU;0;6;2;8;Y;;BUILDING template;2020-06-29;Y
KNOKKE - FH01;2761829;BL0120;4;8502150;2761829;;;Koningslaan;54;;C;2019-11-21;Geert Stockman;MDU;0;6;1;7;N;;BUILDING template;2020-09-08;Y
KNOKKE - FH01;2761833;BL0120;4;11217127;2761833;;;Koningslaan;56;;C;2019-11-20;Geert Stockman;MDU;0;6;1;7;N;;BUILDING template;2020-09-08;Y
KNOKKE - FH01;2761856;BL0120;4;8502156;2761856;;;Koningslaan;80;;C;2019-10-06;Geert Stockman;MDU;0;7;1;8;N;;BUILDING template;2020-07-06;Y
KNOKKE-HEIST - FH04;4067471;BL0408;1;21158726;4067471;35543976;Zeedijk-Het Zoute 721-723-724;Zeedijk-Het Zoute;723;;A;2020-05-25 21:10:04;Hidde Kiekens;MDU;0;17;1;18;N;;BUILDING template;2020-08-04;Y
KNOKKE-HEIST - FH04;2761475;BL0403;1;21158489;2761475;;;Zeedijk-Knokke;662;;A;2020-07-30 18:32:45;Maayken Vanfleteren;MDU;1;8;1;10;N;;BUILDING template;2020-08-12;Y
KNOKKE-HEIST - FH04;2761479;BL0403;1;21158491;2761479;;;Zeedijk-Knokke;666;;A;2020-07-30 19:58:01;Maayken Vanfleteren;MDU;1;8;1;10;Y;;BUILDING template;2020-08-12;Y
KNOKKE-HEIST - FH04;2761485;BL0403;1;21158492;2761485;;;Zeedijk-Knokke;669;;A;2020-07-30 18:32:44;Maayken Vanfleteren;MDU;1;8;1;10;Y;;BUILDING template;2020-08-12;Y
KNOKKE-HEIST - FH04;2761511;BL0405;1;21158498;2761511;37127939;Zeedijk-Knokke 693-694;Zeedijk-Knokke;693;;A;2020-06-29 10:30:08;Geert Stockman;MDU;1;0;0;1;N;;BUILDING template;2020-08-04;Y
KNOKKE-HEIST - FH04;2761513;BL0405;1;25756887;2761513;37127939;Zeedijk-Knokke 693-694;Zeedijk-Knokke;694;;A;2020-06-29 10:30:25;Geert Stockman;MDU;0;8;1;9;N;;BUILDING template;2020-08-04;Y
KNOKKE-HEIST - FH04;2761514;BL0405;1;25756898;2761514;37128307;Zeedijk-Knokke 695-696;Zeedijk-Knokke;695;;A;2020-06-29 10:30:31;Geert Stockman;MDU;1;0;0;1;N;;BUILDING template;2020-07-17;Y
KNOKKE-HEIST - FH04;2761516;BL0405;1;21158499;2761516;37128307;Zeedijk-Knokke 695-696;Zeedijk-Knokke;696;;A;2020-06-29 11:25:20;Geert Stockman;MDU;0;8;1;9;N;;BUILDING template;2020-07-17;Y
KNOKKE-HEIST - FH04;2761517;BL0405;1;21158500;2761517;35544571;Zeedijk-Knokke 697-697A-697B-697C;Zeedijk-Knokke;697;;A;2020-05-23 18:20:03;Hidde Kiekens;MDU;0;29;2;31;N;;BUILDING template;2020-09-14;Y
KNOKKE-HEIST - FH04;2762370;BL0408;1;21158523;2762370;;;Kustlaan;115;;A;2020-08-17 12:05:09;Geert Stockman;MDU;0;5;1;6;Y;;BUILDING template;2020-09-07;Y
KNOKKE-HEIST - FH04;5579588;BL0408;1;25756720;5579588;;;Zeedijk-Het Zoute;740;;A;2020-07-30 15:40:15;Maayken Vanfleteren;MDU;0;15;2;17;Y;;BUILDING template;2020-08-12;Y
KNOKKE-HEIST - FH04;6058388;BL0405;1;25756919;6058388;35544571;Zeedijk-Knokke 697-697A-697B-697C;Zeedijk-Knokke;697;B;A;2020-05-23 18:20:03;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template;2020-09-14;Y
KNOKKE-HEIST - FH04;6058392;BL0405;1;25756915;6058392;35544571;Zeedijk-Knokke 697-697A-697B-697C;Zeedijk-Knokke;697;A;A;2020-05-23 18:20:03;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template;2020-09-14;Y
KNOKKE-HEIST - FH04;6417469;BL0405;1;25756945;6417469;35544571;Zeedijk-Knokke 697-697A-697B-697C;Zeedijk-Knokke;697;C;A;2020-05-23 18:20:03;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template;2020-09-14;Y
KNOKKE-HEIST - FH04;2762477;BL0411;1;21158536;2762477;35541940;Kustlaan 207-209;Kustlaan;207;;A;2020-05-12 11:40:11;Geert Stockman;MDU;1;0;0;1;N;;BUILDING template;2020-07-17;Y
KNOKKE-HEIST - FH04;2762479;BL0411;1;21158537;2762479;35541940;Kustlaan 207-209;Kustlaan;209;;A;2020-05-12 11:40:11;Geert Stockman;MDU;0;6;2;8;N;;BUILDING template;2020-07-17;Y
KNOKKE-HEIST - FH04;321992;BL0414;1;21158659;321992;35542551;Kustlaan 337-339;Kustlaan;337;;A;2020-06-05 14:25:35;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template;2020-08-03;Y
KNOKKE-HEIST - FH04;2762558;BL0414;1;21158566;2762558;35542551;Kustlaan 337-339;Kustlaan;339;;A;2020-06-05 14:25:35;Hidde Kiekens;MDU;0;12;1;13;N;;BUILDING template;2020-08-03;Y
KNOKKE-HEIST - FH04;334957;BL0403;1;21158672;334957;37781298;Lichttorenplein 13_Zeedijk-Knokke 661;Zeedijk-Knokke;661;;A;2020-07-29 10:05:08;Maayken Vanfleteren;MDU;1;0;0;1;Y;;BUILDING template;2020-08-07;Y
KNOKKE-HEIST - FH04;334980;BL0403;1;21158683;334980;37781298;Lichttorenplein 13_Zeedijk-Knokke 661;Lichttorenplein;13;;A;2020-07-29 10:05:09;Maayken Vanfleteren;MDU;0;30;1;31;N;;BUILDING template;2020-08-07;Y
KNOKKE-HEIST - FH04;2767849;BL0405;1;21158605;2767849;;;Zandstraat;20;;A;2020-05-15 13:35:07;Geert Stockman;MDU;1;5;1;7;Y;;BUILDING template;2020-10-12;Y
KNOKKE-HEIST - FH04;2767895;BL0413;1;21158607;2767895;;;Zeewindstraat;7;;A;2020-07-07 21:55:07;Maayken Vanfleteren;MDU;1;6;2;9;Y;;BUILDING template;2020-08-03;Y
KNOKKE-HEIST - FH04;2767964;BL0408;1;21158613;2767964;35543976;Zeedijk-Het Zoute 721-723-724;Zeedijk-Het Zoute;721;;A;2020-05-25 21:10:04;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template;2020-08-04;Y
KNOKKE-HEIST - FH04;2768015;BL0410;1;21158618;2768015;;;Zeedijk-Het Zoute;757;A;A;2020-06-03 10:45:27;Hidde Kiekens;MDU;1;8;2;11;N;;BUILDING template;2020-08-03;Y
KNOKKE-HEIST - FH04;1327496;BL0408;1;21158455;1327496;35543976;Zeedijk-Het Zoute 721-723-724;Zeedijk-Het Zoute;724;;A;2020-05-25 21:10:04;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template;2020-08-04;Y
KNOKKE-HEIST - FH06;2762843;BL0611;;29312407;2762843;33269904;Leopoldlaan 99-101;Leopoldlaan;99;;A;2020-08-07 08:10:07;Geert Stockman;MDU;0;1;0;1;N;;BUILDING template;2020-08-31;Y
KNOKKE-HEIST - FH06;2763702;BL0614;;29312420;2763702;;;Meerminlaan;8;;A;2020-08-25 16:10:05;Maayken Vanfleteren;MDU;0;5;1;6;N;;BUILDING template;2020-09-27;Y
KNOKKE-HEIST - FH06;2764244;BL0613;;29312457;2764244;;;Jozef Nellenslaan;223;;A;2020-08-25 13:20:09;Maayken Vanfleteren;MDU;0;15;1;16;Y;;BUILDING template;2020-09-26;Y
KNOKKE-HEIST - FH06;2765261;BL0616;;29312464;2765261;;;Paul Parmentierlaan;196;;A;2020-08-12 10:05:09;Geert Stockman;MDU;0;5;1;6;N;;BUILDING template;2020-09-14;Y
KNOKKE-HEIST - FH06;2761408;BL0608;;31239485;2761408;;;Zeedijk-Knokke;609;;A;2020-07-10 18:10:04;Geert Stockman;MDU;0;14;1;15;Y;;BUILDING template;2020-08-18;Y
KNOKKE-HEIST - FH06;2762847;BL0611;;31239113;2762847;33269904;Leopoldlaan 99-101;Leopoldlaan;101;;A;2020-08-07 08:30:14;Geert Stockman;MDU;0;18;1;19;N;;BUILDING template;2020-08-31;Y
KNOKKE-HEIST - FH06;317808;BL0601;;29312576;317808;;;Jozef Nellenslaan;149;;A;2020-08-07 14:50:09;Hidde Kiekens;MDU;0;7;1;8;N;;BUILDING template;2020-09-14;Y
KNOKKE-HEIST - FH06;337231;BL0608;;29312631;337231;;;Zeedijk-Knokke;602;;A;2020-07-10 15:15:09;Geert Stockman;MDU;0;9;1;10;N;;BUILDING template;2020-09-14;Y
KNOKKE-HEIST - FH06;337352;BL0609;;29312653;337352;;;Zeedijk-Knokke;637;;A;2020-07-14 13:55:15;Geert Stockman;MDU;1;14;1;16;Y;;BUILDING template;2020-09-21;Y
KNOKKE-HEIST - FH09;5579527;BL0916;1;20977949;5579527;;;Louis Parentstraat;26;;A;2019-12-17 11:20:20;olivier collignon;MDU;0;7;1;8;N;;BUILDING template;2020-09-21;Y
KNOKKE-HEIST - FH09;5579528;BL0914;1;20977950;5579528;;;Parkstraat;17;;A;2019-12-20 13:10:17;Geert Stockman;MDU;0;10;1;11;Y;;BUILDING template;2020-09-21;Y
KNOKKE-HEIST - FH09;5579530;BL0915;1;20977952;5579530;;;Parkstraat;35;;A;2019-12-14 10:20:11;Geert Stockman;MDU;0;14;1;15;N;;BUILDING template;2020-09-07;Y
KNOKKE-HEIST - FH09;278;BL0917;1;1803433;278;;;Serweytens de Mercxstraat;21;;C;2020-01-14 11:10:18;Dave Ruelens;MDU;0;13;2;15;Y;;BUILDING template;2020-03-30;Y
KNOKKE-HEIST - FH09;71713;BL0918;2;20977975;71713;;;Graaf d Ursellaan;2;;A;2020-01-23 14:35:25;Peter Van Leeuwen;MDU;1;7;0;8;N;;BUILDING template;2020-09-21;Y
KNOKKE-HEIST - FH09;292350;BL0903;3;20977830;292350;;;de Maerestraat;4;;A;2020-01-30 12:40:17;Peter Van Leeuwen;MDU;0;13;0;13;N;;BUILDING template;2020-09-21;Y
KNOKKE-HEIST - FH09;1491084;BL0907;3;21118412;1491084;;;Zeedijk-Heist;190;;A;2019-11-26;Wim Lambrechts;MDU;0;20;1;21;N;;BUILDING template;2020-09-07;Y
KNOKKE-HEIST - FH09;302684;BL0916;1;20977864;302684;;;Graaf d Ursellaan;36;;A;2020-01-09 12:50:19;olivier collignon;MDU;1;7;1;9;N;;BUILDING template;2020-09-07;Y
KNOKKE-HEIST - FH09;302705;BL0912;2;20977876;302705;;;Visserskapelstraat;19;;C;2020-01-16 10:55:23;Dave Ruelens;MDU;1;5;1;7;Y;;BUILDING template;2020-04-02;Y
KNOKKE-HEIST - FH09;4146526;BL0902;3;21118248;4146526;31383890;Zeedijk-Heist 84-85-86;Zeedijk-Heist;84;;A;2019-12-04 12:50:22;Andreas Versteeven;MDU;0;1;0;1;N;N;BUILDING template;2020-03-30;Y
KNOKKE-HEIST - FH09;2759154;BL0909;3;20977714;2759154;;;Duinenstraat;5;;C;2020-01-28 13:30:46;olivier collignon;MDU;0;11;1;12;N;;BUILDING template;2020-09-14;Y
KNOKKE-HEIST - FH09;2766983;BL0918;2;21118006;2766983;;Graaf d Ursellaan 12-13;Graaf d Ursellaan;13;;A;2020-01-28;Peter Van Leeuwen;MDU;0;6;1;7;N;Y;BUILDING template;2020-07-02;Y
KNOKKE-HEIST - FH09;2756727;BL0902;3;21118251;2756727;31383890;Zeedijk-Heist 84-85-86;Zeedijk-Heist;86;;A;2019-12-04 12:50:22;Andreas Versteeven;MDU;0;1;0;1;N;N;BUILDING template;2020-03-30;Y
KNOKKE-HEIST - FH09;71633;BL0911;2;21118191;71633;;;Serweytens de Mercxstraat;2;;A;2020-02-13;Dave Ruelens;MDU;0;8;2;10;N;;BUILDING template;2020-09-21;Y
KNOKKE-HEIST - FH09;2760296;BL0909;3;20977740;2760296;;;Heldenplein;18;;A;2020-01-21 11:15:26;Dave Ruelens;MDU;0;9;2;11;Y;;BUILDING template;2020-03-31;Y
KNOKKE-HEIST - FH09;2760300;BL0918;2;20977741;2760300;;;Heldenplein;23;;A;2020-01-14 15:25:18;Peter Van Leeuwen;MDU;2;34;0;36;N;;BUILDING template;2020-09-21;Y
KNOKKE-HEIST - FH09;2756807;BL0907;3;20977654;2756807;;;Zeedijk-Heist;175;;A;2019-11-26 11:30:26;Wim Lambrechts;MDU;0;9;1;10;N;;BUILDING template;2020-08-03;Y
KNOKKE-HEIST - FH09;2756839;BL0908;3;20977666;2756839;;;Zeedijk-Heist;205;;A;2019-12-04 11:40:25;Yannick_ Lambrechts;MDU;0;8;1;9;N;;BUILDING template;2020-09-21;Y
KNOKKE-HEIST - FH09;2756858;BL0910;2;20977672;2756858;;;Zeedijk-Heist;236;;A;2020-01-24 15:35:16;Peter Van Leeuwen;MDU;0;9;0;9;N;;BUILDING template;2020-03-31;Y
KNOKKE-HEIST - FH09;2765019;BL0915;1;20977771;2765019;;;Parkstraat;29;;A;2019-12-14 18:00:19;Geert Stockman;MDU;0;8;1;9;Y;;BUILDING template;2020-09-07;Y
KNOKKE-HEIST - FH09;2766157;BL0917;1;20977774;2766157;31382811;Graaf D Ursellaan 24_Serweytens de Mercxstraat 29;Serweytens de Mercxstraat;29;;A;2020-01-21 13:45:33;Dave Ruelens;MDU;0;16;2;18;Y;Y;BUILDING template;2020-04-23;Y
KNOKKE-HEIST - FH09;2756814;BL0907;3;20977660;2756814;;;Zeedijk-Heist;182;;A;2019-12-05;Jasper Coopman;MDU;1;9;1;11;N;;BUILDING template;2020-01-24;Y
KNOKKE-HEIST - FH09;2766980;BL0918;2;20977781;2766980;;Graaf d Ursellaan 12-13;Graaf d Ursellaan;12;;A;2020-07-10 09:22:35;Peter Van Leeuwen;MDU;1;0;0;1;N;N;BUILDING template;2020-07-02;Y
KNOKKE-HEIST - FH09;2767019;BL0916;1;21118029;2767019;;;Graaf d Ursellaan;37;;A;2019-12-17;olivier collignon;MDU;0;13;1;14;N;;BUILDING template;2020-08-18;Y
KNOKKE-HEIST - FH09;2767028;BL0916;1;20977792;2767028;;;Graaf d Ursellaan;41;;A;2019-12-17 12:05:18;olivier collignon;MDU;2;13;1;16;N;;BUILDING template;2020-09-02;Y
KNOKKE-HEIST - FH09;2767038;BL0915;1;20977795;2767038;;;Graaf d Ursellaan;47;;A;2019-12-21 20:35:13;Geert Stockman;MDU;1;14;1;16;N;;BUILDING template;2020-10-06;Y
KNOKKE-HEIST - FH09;2767041;BL0915;1;20977796;2767041;;;Graaf d Ursellaan;49;;A;2019-12-20 13:25:16;Geert Stockman;MDU;1;7;1;9;N;;BUILDING template;2020-09-21;Y
KNOKKE-HEIST - FH09;292338;BL0903;3;20977820;292338;31383077;Graaf van Vlaanderenstraat 1_Zeedijk-Heist 111;Zeedijk-Heist;111;;A;2019-11-19 12:15:24;Andreas Versteeven;MDU;0;16;1;17;N;N;BUILDING template;2020-10-06;Y
KNOKKE-HEIST - FH09;3923060;BL0911;2;20977883;3923060;;;Serweytens de Mercxstraat;8;;A;2020-02-13 10:30:31;Dave Ruelens;MDU;0;12;2;14;Y;;BUILDING template;2020-10-12;Y
KNOKKE-HEIST - FH09;2756725;BL0902;3;20977621;2756725;31383890;Zeedijk-Heist 84-85-86;Zeedijk-Heist;85;;A;2019-12-04 12:50:22;Andreas Versteeven;MDU;0;27;1;28;N;Y;BUILDING template;2020-03-30;Y
KNOKKE-HEIST - FH09;2756887;BL0912;2;21118855;2756887;;;Zeedijk-Heist;264;;A;2020-01-27;Peter Van Leeuwen;MDU;0;20;0;20;N;;BUILDING template;2020-09-07;Y
KNOKKE-HEIST - FH09;292337;BL0903;3;20977819;292337;31383077;Graaf van Vlaanderenstraat 1_Zeedijk-Heist 111;Graaf van Vlaanderenstraat;1;;A;2019-11-19 12:15:24;Andreas Versteeven;MDU;0;13;1;14;N;N;BUILDING template;2020-10-06;Y
KNOKKE-HEIST - FH09;302680;BL0917;1;20977862;302680;31382811;Graaf D Ursellaan 24_Serweytens de Mercxstraat 29;Graaf d Ursellaan;24;;A;2020-01-21 13:45:33;Dave Ruelens;MDU;1;0;0;1;Y;N;BUILDING template;2020-04-23;Y
KNOKKE-HEIST - FH11;302536;BL1120;3;20976291;302536;33557434;Knokkestraat 116-118-120-122;Knokkestraat;116;;A;2020-01-05 15:40:11;Geert Stockman;MDU;0;10;1;11;N;Y;BUILDING template;2020-08-11;Y
KNOKKE-HEIST - FH11;2763765;BL1108;1;20975262;2763765;33557448;Nicolas Mengelaan 13-14-15;Nicolas Mengelaan;14;;A;2020-01-12 10:50:11;Geert Stockman;MDU;0;14;1;15;Y;Y;BUILDING template;2020-10-06;Y
KNOKKE-HEIST - FH11;2763774;BL1107;1;20975273;2763774;;;Nicolas Mengelaan;22;;A;2020-01-12 10:50:13;Geert Stockman;MDU;0;10;1;11;Y;;BUILDING template;2020-03-29;Y
KNOKKE-HEIST - FH11;299877;BL1120;3;20976024;299877;;;Polderstraat;2;;A;2020-01-15 19:25:13;Hidde Kiekens;MDU;0;11;1;12;Y;;BUILDING template;2020-04-09;Y
KNOKKE-HEIST - FH11;3939592;BL1113;2;20976363;3939592;33557445;Kursaalstraat 27-29-31;Kursaalstraat;27;;C;2020-03-09 12:20:10;Maayken Vanfleteren;MDU;1;0;0;1;Y;N;BUILDING template;2020-07-17;Y
KNOKKE-HEIST - FH11;302648;BL1115;3;20976342;302648;;;Knokkestraat;58;;A;2020-03-10 17:00:15;Maayken Vanfleteren;MDU;1;13;2;16;N;;BUILDING template;2020-08-03;Y
KNOKKE-HEIST - FH11;302652;BL1117;3;20976343;302652;;;Knokkestraat;74;;A;2020-01-04 07:40:18;Geert Stockman;MDU;1;16;1;18;Y;;BUILDING template;2020-05-06;Y
KNOKKE-HEIST - FH11;2760364;BL1105;1;20974949;2760364;33557420;Hermans-Lybaertstraat 1-1A-1B-1C-1D;Hermans-Lybaertstraat;1;C;C;2020-01-06 08:10:21;Geert Stockman;MDU;0;7;1;8;Y;Y;BUILDING template;2020-06-26;Y
KNOKKE-HEIST - FH11;4334131;BL1120;3;31594335;4334131;33557434;Knokkestraat 116-118-120-122;Knokkestraat;118;;A;2020-01-05 15:40:11;Geert Stockman;MDU;0;1;0;1;N;N;BUILDING template;2020-08-11;Y
KNOKKE-HEIST - FH11;4334133;BL1120;3;31594341;4334133;33557434;Knokkestraat 116-118-120-122;Knokkestraat;120;;A;2020-01-05 15:40:11;Geert Stockman;MDU;0;1;0;1;N;N;BUILDING template;2020-08-11;Y
KNOKKE-HEIST - FH11;4102440;BL1122;3;20976395;4102440;33557467;Westkapellestraat 81-83;Westkapellestraat;83;;C;2020-01-04 16:50:13;Hidde Kiekens;MDU;0;5;1;6;N;Y;BUILDING template;2020-10-06;Y
KNOKKE-HEIST - FH11;71734;BL1108;1;31591536;71734;33557448;Nicolas Mengelaan 13-14-15;Nicolas Mengelaan;15;;A;2020-01-12 10:50:11;Geert Stockman;MDU;1;0;0;1;N;N;BUILDING template;2020-10-06;Y
KNOKKE-HEIST - FH11;4126378;BL1122;3;20976397;4126378;33557467;Westkapellestraat 81-83;Westkapellestraat;81;;C;2020-01-04 16:50:13;Hidde Kiekens;MDU;0;6;1;7;N;N;BUILDING template;2020-10-06;Y
KNOKKE-HEIST - FH11;5377662;BL1105;1;20976675;5377662;33557420;Hermans-Lybaertstraat 1-1A-1B-1C-1D;Hermans-Lybaertstraat;1;D;C;2020-01-06 08:10:21;Geert Stockman;MDU;1;0;0;1;Y;N;BUILDING template;2020-06-26;Y
KNOKKE-HEIST - FH11;5579405;BL1120;3;21256015;5579405;33557434;Knokkestraat 116-118-120-122;Knokkestraat;122;;A;2020-01-05 15:40:11;Geert Stockman;MDU;1;10;1;12;N;N;BUILDING template;2020-08-11;Y
KNOKKE-HEIST - FH11;2761575;BL1114;2;20975095;2761575;37833829;Knokkestraat 46-48_Noordstraat 2;Knokkestraat;46;;C;;Geert Stockman;MDU;1;0;0;1;Y;N;BUILDING template;2020-09-07;Y
KNOKKE-HEIST - FH11;71642;BL1114;2;20976738;71642;;Knokkestraat 46-48_Noordstraat 2;Noordstraat;2;;C;2020-02-21 13:45:26;Geert Stockman;MDU;0;6;1;7;Y;Y;BUILDING template;2020-09-07;Y
KNOKKE-HEIST - FH11;71721;BL1114;2;37833452;71721;37833829;Knokkestraat 46-48_Noordstraat 2;Knokkestraat;48;;C;;Geert Stockman;MDU;1;0;0;1;Y;N;BUILDING template;2020-09-07;Y
KNOKKE-HEIST - FH11;5579498;BL1108;1;21256226;5579498;33557448;Nicolas Mengelaan 13-14-15;Nicolas Mengelaan;13;;A;2020-01-12 10:50:11;Geert Stockman;MDU;0;1;0;1;Y;N;BUILDING template;2020-10-06;Y
KNOKKE-HEIST - FH11;5776420;BL1137;3;20976733;5776420;33557438;Marktstraat 51_Koudekerkelaan 1;Marktstraat;51;;C;2020-01-10 18:40:13;Hidde Kiekens;MDU;0;11;1;12;N;N;BUILDING template;2020-06-03;Y
