Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;BG Name IFH;Actie;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH07;49137;49137;11382486;Nationalestraat 76-78_Franckenstraat 23;Nationalestraat 76 + 78 - Franckenstraat 23;Building Group verwijderen;Nationalestraat;78;;;;Olivier Collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2025225;2025225;11382486;Nationalestraat 76-78_Franckenstraat 23;Nationalestraat 76 + 78 - Franckenstraat 23;Building Group verwijderen;Nationalestraat;76;;;;;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;3928061;3928061;11382529;Nationalestraat 84-86;Nationalestraat 84-86;Building Group Naam IFH wijzigen;Nationalestraat;84;;;;Emilie Vanfleteren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2025267;2025267;11382529;Nationalestraat 84-86;Nationalestraat 84-86;Building Group Naam IFH wijzigen;Nationalestraat;86;;;;Olivier Collignon;MDU;1;12;0;13;BUILDING template
ANTWERPEN-WEST - FH07;2025286;2025286;11382530;Nationalestraat 90-92;Nationalestraat 90-92;Building Group Naam IFH wijzigen;Nationalestraat;90;;XC;2019-12-23 11:45:22;Peter Van Leeuwen;MDU;2;11;0;13;BUILDING template
ANTWERPEN-WEST - FH07;2025299;2025299;11382530;Nationalestraat 90-92;Nationalestraat 90-92;Building Group Naam IFH wijzigen;Nationalestraat;92;;;;;MDU;1;6;0;7;BUILDING template
ANTWERPEN-WEST - FH07;6524943;6524943;11382539;Pachtstraat 10-12;Pachtstraat 10-12;Bg Aanmaken in IFH;Pachtstraat;12;;;2019-10-29 11:55:20;Peter Cremers;SDU;0;0;0;0;BUILDING template
ANTWERPEN-WEST - FH07;972788;972788;11382539;Pachtstraat 10-12;Pachtstraat 10-12;Bg Aanmaken in IFH;Pachtstraat;10;;XC;2019-10-29 11:45:27;Ryan De Vries;MDU;0;8;2;10;BUILDING template
ANTWERPEN-WEST - FH07;6524941;6524941;11382537;Pachtstraat 2-4;Pachtstraat 2-4;Bg Hernoemen in IFH;Pachtstraat;4;;;2019-10-29 11:53:49;Peter Cremers;SDU;0;0;0;0;BUILDING template
ANTWERPEN-WEST - FH07;972786;972786;11382537;Pachtstraat 2-4;Pachtstraat 2-4;Bg Hernoemen in IFH;Pachtstraat;2;;XC;2019-10-29 12:05:17;Ryan De Vries;MDU;0;8;2;10;BUILDING template
ANTWERPEN-WEST - FH07;6524942;6524942;11382538;Pachtstraat 6-8;Pachtstraat 6-8;Bg Hernoemen in IFH;Pachtstraat;8;;;2019-10-29 11:55:14;Peter Cremers;SDU;0;0;0;0;BUILDING template
ANTWERPEN-WEST - FH07;972787;972787;11382538;Pachtstraat 6-8;Pachtstraat 6-8;Bg Hernoemen in IFH;Pachtstraat;6;;XC;2019-10-29 11:20:22;Ryan De Vries;MDU;0;6;1;7;BUILDING template
ANTWERPEN-WEST - FH07;3928777;3928777;11382571;Pastoor Visschersplein 1-2-3-4;Pastoor Visschersplein 1-2-3-4;Bg Hernoemen in IFH;Pastoor Visschersplein;1;;;;Nicholas De Mol;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2069201;2069201;11382571;Pastoor Visschersplein 1-2-3-4;Pastoor Visschersplein 1-2-3-4;Bg Hernoemen in IFH;Pastoor Visschersplein;3;;;;;MDU;0;1;0;1;BUILDING template
