Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Opdrachttemplate
SINT-NIKLAAS - FH02;4447935;4447935;;;Mercatorstraat;161;;;BUILDING template
SINT-NIKLAAS - FH02;3484804;3484804;11489728;Ankerstraat 21-23;Ankerstraat;21;;20200108105845;BUILDING template
SINT-NIKLAAS - FH02;3517657;3517657;;;Veldstraat;41;;;BUILDING template
SINT-NIKLAAS - FH02;3500289;3500289;;;Knaptandstraat;38;;;BUILDING template
SINT-NIKLAAS - FH02;3486988;3486988;;;Brugsken;50;;;BUILDING template
SINT-NIKLAAS - FH02;3504339;3504339;;;Mercatorstraat;27;;;BUILDING template
SINT-NIKLAAS - FH02;3504506;3504506;;;Mercatorstraat;163;;;BUILDING template
SINT-NIKLAAS - FH02;68414;68414;11489728;Ankerstraat 21-23;Ankerstraat;23;;20200108105845;BUILDING template
SINT-NIKLAAS - FH02;3517660;3517660;;;Veldstraat;43;;;BUILDING template
SINT-NIKLAAS - FH02;4260505;4260505;;;Knaptandstraat;40;;;BUILDING template
SINT-NIKLAAS - FH02;3484813;3484813;11489723;Ankerstraat 36-38-40;Ankerstraat;36;;20200108083627;BUILDING template
SINT-NIKLAAS - FH02;3484815;3484815;11489723;Ankerstraat 36-38-40;Ankerstraat;38;;20200108083627;BUILDING template
SINT-NIKLAAS - FH02;4447937;4447937;;;Mercatorstraat;165;;;BUILDING template
SINT-NIKLAAS - FH02;3484853;3484853;;;Ankerstraat;83;;;BUILDING template
SINT-NIKLAAS - FH02;3517664;3517664;;;Veldstraat;45;;;BUILDING template
SINT-NIKLAAS - FH02;4468665;4468665;;;Knaptandstraat;42;;;BUILDING template
SINT-NIKLAAS - FH02;3484817;3484817;11489723;Ankerstraat 36-38-40;Ankerstraat;40;;20200108083627;BUILDING template
SINT-NIKLAAS - FH02;3504346;3504346;;;Mercatorstraat;33;;;BUILDING template
SINT-NIKLAAS - FH02;4058959;4058959;;;Mercatorstraat;167;;;BUILDING template
SINT-NIKLAAS - FH02;68432;68432;;;Ankerstraat;91;;;BUILDING template
SINT-NIKLAAS - FH02;3517667;3517667;;;Veldstraat;47;;;BUILDING template
SINT-NIKLAAS - FH02;3500291;3500291;;;Knaptandstraat;44;;;BUILDING template
SINT-NIKLAAS - FH02;3504349;3504349;;;Mercatorstraat;35;;;BUILDING template
SINT-NIKLAAS - FH02;3504510;3504510;;;Mercatorstraat;169;;;BUILDING template
SINT-NIKLAAS - FH02;5411572;5411572;;;Ankerstraat;49;B;;BUILDING template
SINT-NIKLAAS - FH02;75549;75549;;;Veldstraat;49;;;BUILDING template
SINT-NIKLAAS - FH02;3500293;3500293;;;Knaptandstraat;46;;;BUILDING template
SINT-NIKLAAS - FH02;56087;56087;;;Mercatorstraat;37;;;BUILDING template
SINT-NIKLAAS - FH02;3504514;3504514;;;Mercatorstraat;171;;;BUILDING template
SINT-NIKLAAS - FH02;3504588;3504588;;;Houtbriel;15;;;BUILDING template
SINT-NIKLAAS - FH02;75550;75550;;;Veldstraat;51;;;BUILDING template
SINT-NIKLAAS - FH02;91076;91076;;;Knaptandstraat;48;;;BUILDING template
SINT-NIKLAAS - FH02;56083;56083;;;Prins Albertstraat;2;;;BUILDING template
SINT-NIKLAAS - FH02;3504590;3504590;;;Houtbriel;16;;;BUILDING template
SINT-NIKLAAS - FH02;75548;75548;;;Veldstraat;53;;;BUILDING template
SINT-NIKLAAS - FH02;91077;91077;;;Knaptandstraat;50;;;BUILDING template
SINT-NIKLAAS - FH02;3484720;3484720;;;Prins Albertstraat;4;;;BUILDING template
SINT-NIKLAAS - FH02;4447946;4447946;;;Mercatorstraat;181;;;BUILDING template
SINT-NIKLAAS - FH02;76231;76231;;;Houtbriel;17;;;BUILDING template
SINT-NIKLAAS - FH02;75553;75553;;;Veldstraat;55;;;BUILDING template
SINT-NIKLAAS - FH02;4153860;4153860;;;Knaptandstraat;52;;;BUILDING template
SINT-NIKLAAS - FH02;3484725;3484725;;;Prins Albertstraat;8;;;BUILDING template
SINT-NIKLAAS - FH02;63262;63262;;;Mercatorstraat;183;;;BUILDING template
SINT-NIKLAAS - FH02;76250;76250;;;Kalkstraat;4;;;BUILDING template
SINT-NIKLAAS - FH02;5401757;5401757;;;Veldstraat;57;;;BUILDING template
SINT-NIKLAAS - FH02;3500299;3500299;;;Knaptandstraat;54;;;BUILDING template
SINT-NIKLAAS - FH02;3484727;3484727;;;Prins Albertstraat;10;;;BUILDING template
SINT-NIKLAAS - FH02;4234722;4234722;;;Mercatorstraat;185;;;BUILDING template
SINT-NIKLAAS - FH02;3497443;3497443;;;Kalkstraat;6;;;BUILDING template
SINT-NIKLAAS - FH02;75554;75554;;;Veldstraat;71;;;BUILDING template
SINT-NIKLAAS - FH02;3500301;3500301;;;Knaptandstraat;56;;;BUILDING template
SINT-NIKLAAS - FH02;3484723;3484723;;;Prins Albertstraat;6;;;BUILDING template
SINT-NIKLAAS - FH02;3484729;3484729;;;Prins Albertstraat;12;;;BUILDING template
SINT-NIKLAAS - FH02;63263;63263;;;Mercatorstraat;187;;;BUILDING template
SINT-NIKLAAS - FH02;76251;76251;;;Kalkstraat;8;;;BUILDING template
SINT-NIKLAAS - FH02;75555;75555;;;Veldstraat;73;;;BUILDING template
SINT-NIKLAAS - FH02;3500305;3500305;;;Knaptandstraat;58;;;BUILDING template
SINT-NIKLAAS - FH02;56082;56082;;;Prins Albertstraat;14;;;BUILDING template
SINT-NIKLAAS - FH02;3504532;3504532;;;Mercatorstraat;189;;;BUILDING template
SINT-NIKLAAS - FH02;3497453;3497453;;;Kalkstraat;12;;;BUILDING template
SINT-NIKLAAS - FH02;3517692;3517692;;;Veldstraat;75;;;BUILDING template
SINT-NIKLAAS - FH02;4468682;4468682;;;Knaptandstraat;60;;;BUILDING template
SINT-NIKLAAS - FH02;56081;56081;;;Prins Albertstraat;16;;;BUILDING template
SINT-NIKLAAS - FH02;4447787;4447787;;;Mercatorstraat;191;;;BUILDING template
SINT-NIKLAAS - FH02;3497460;3497460;;;Kalkstraat;14;;;BUILDING template
SINT-NIKLAAS - FH02;3517697;3517697;;;Veldstraat;77;;;BUILDING template
SINT-NIKLAAS - FH02;3500310;3500310;;;Knaptandstraat;70;;;BUILDING template
SINT-NIKLAAS - FH02;3484736;3484736;;;Prins Albertstraat;18;;;BUILDING template
SINT-NIKLAAS - FH02;3504538;3504538;;;Mercatorstraat;193;;;BUILDING template
SINT-NIKLAAS - FH02;3497462;3497462;;;Kalkstraat;18;;;BUILDING template
SINT-NIKLAAS - FH02;3517701;3517701;;;Veldstraat;79;;;BUILDING template
SINT-NIKLAAS - FH02;3500313;3500313;;;Knaptandstraat;72;;;BUILDING template
SINT-NIKLAAS - FH02;6456861;6456861;;;Ankerstraat;25;A;;BUILDING template
SINT-NIKLAAS - FH02;3484737;3484737;;;Prins Albertstraat;20;;;BUILDING template
SINT-NIKLAAS - FH02;3504542;3504542;;;Mercatorstraat;195;;;BUILDING template
SINT-NIKLAAS - FH02;4460287;4460287;;;Kalkstraat;20;;;BUILDING template
SINT-NIKLAAS - FH02;3517704;3517704;;;Veldstraat;81;;;BUILDING template
SINT-NIKLAAS - FH02;3484822;3484822;;Ankerstraat 42-44;Ankerstraat;44;;;BUILDING template
SINT-NIKLAAS - FH02;3484738;3484738;;;Prins Albertstraat;22;;;BUILDING template
SINT-NIKLAAS - FH02;3504544;3504544;;;Mercatorstraat;197;;;BUILDING template
SINT-NIKLAAS - FH02;4460288;4460288;;;Kalkstraat;22;;;BUILDING template
SINT-NIKLAAS - FH02;4455426;4455426;;;Veldstraat;83;;;BUILDING template
SINT-NIKLAAS - FH02;3500325;3500325;;;Knaptandstraat;80;;;BUILDING template
SINT-NIKLAAS - FH02;3484740;3484740;;;Prins Albertstraat;24;;;BUILDING template
SINT-NIKLAAS - FH02;4447790;4447790;;;Mercatorstraat;199;;;BUILDING template
SINT-NIKLAAS - FH02;4460290;4460290;;;Kalkstraat;24;;;BUILDING template
SINT-NIKLAAS - FH02;3517709;3517709;;;Veldstraat;85;;;BUILDING template
SINT-NIKLAAS - FH02;3484820;3484820;11489725;Ankerstraat 42-44;Ankerstraat;42;;20200108083855;BUILDING template
SINT-NIKLAAS - FH02;4449177;4449177;;;Prins Albertstraat;26;;;BUILDING template
SINT-NIKLAAS - FH02;3504549;3504549;;;Mercatorstraat;201;;;BUILDING template
SINT-NIKLAAS - FH02;3497483;3497483;;;Kalkstraat;28;;;BUILDING template
SINT-NIKLAAS - FH02;4455427;4455427;;;Veldstraat;89;;;BUILDING template
SINT-NIKLAAS - FH02;68421;68421;11489684;Ankerstraat 55-57;Ankerstraat;57;;20200108112724;BUILDING template
SINT-NIKLAAS - FH02;3497477;3497477;;;Kalkstraat;26;;;BUILDING template
SINT-NIKLAAS - FH02;3484743;3484743;;;Prins Albertstraat;28;;;BUILDING template
SINT-NIKLAAS - FH02;3504553;3504553;;;Mercatorstraat;203;;;BUILDING template
SINT-NIKLAAS - FH02;4460294;4460294;;;Kalkstraat;32;;;BUILDING template
SINT-NIKLAAS - FH02;3925998;3925998;;;Veldstraat;91;;;BUILDING template
SINT-NIKLAAS - FH02;4468716;4468716;;;Knaptandstraat;86;;;BUILDING template
SINT-NIKLAAS - FH02;96954;96954;;;Kokkelbeekstraat;2;;;BUILDING template
SINT-NIKLAAS - FH02;56075;56075;;;Prins Albertstraat;30;;;BUILDING template
SINT-NIKLAAS - FH02;3504554;3504554;;;Mercatorstraat;205;;;BUILDING template
SINT-NIKLAAS - FH02;3497490;3497490;;;Kalkstraat;34;;;BUILDING template
SINT-NIKLAAS - FH02;3517723;3517723;;;Veldstraat;93;;;BUILDING template
SINT-NIKLAAS - FH02;9483;9483;;;Knaptandstraat;88;;;BUILDING template
SINT-NIKLAAS - FH02;68415;68415;11489684;Ankerstraat 55-57;Ankerstraat;55;;20200108112724;BUILDING template
SINT-NIKLAAS - FH02;4223737;4223737;;;Mercatorstraat;207;;;BUILDING template
SINT-NIKLAAS - FH02;4460295;4460295;;;Kalkstraat;36;;;BUILDING template
SINT-NIKLAAS - FH02;3517725;3517725;;;Veldstraat;95;;;BUILDING template
SINT-NIKLAAS - FH02;3484840;3484840;11489685;Ankerstraat 65-67;Ankerstraat;65;;20200108113225;BUILDING template
SINT-NIKLAAS - FH02;4444935;4444935;;;Ankerstraat;46;;;BUILDING template
SINT-NIKLAAS - FH02;56074;56074;;;Prins Albertstraat;32;;;BUILDING template
SINT-NIKLAAS - FH02;4447795;4447795;;;Mercatorstraat;209;;;BUILDING template
SINT-NIKLAAS - FH02;4444763;4444763;11489685;Ankerstraat 65-67;Ankerstraat;67;;20200108113225;BUILDING template
SINT-NIKLAAS - FH02;4455431;4455431;;;Veldstraat;97;;;BUILDING template
SINT-NIKLAAS - FH02;6453187;3513808;;;Stationsplein;30;D;;BUILDING template
SINT-NIKLAAS - FH02;75456;75456;;;Lamstraat;8;;;BUILDING template
SINT-NIKLAAS - FH02;3484747;3484747;;;Prins Albertstraat;34;;;BUILDING template
SINT-NIKLAAS - FH02;4447798;4447798;;;Mercatorstraat;211;;;BUILDING template
SINT-NIKLAAS - FH02;3484847;3484847;11489694;Ankerstraat 75-77;Ankerstraat;75;;20200108113507;BUILDING template
SINT-NIKLAAS - FH02;3517727;3517727;;;Veldstraat;99;;;BUILDING template
SINT-NIKLAAS - FH02;3484749;3484749;;;Prins Albertstraat;36;;;BUILDING template
SINT-NIKLAAS - FH02;3504559;3504559;;;Mercatorstraat;213;;;BUILDING template
SINT-NIKLAAS - FH02;3484849;3484849;11489694;Ankerstraat 75-77;Ankerstraat;77;;20200108113507;BUILDING template
SINT-NIKLAAS - FH02;3517732;3517732;;;Veldstraat;101;;;BUILDING template
SINT-NIKLAAS - FH02;91057;91057;;;Moerlandstraat;19;;;BUILDING template
SINT-NIKLAAS - FH02;6453188;6453188;;;Stationsplein;30;C;;BUILDING template
SINT-NIKLAAS - FH02;3948535;3948535;;;Prins Albertstraat;38;;;BUILDING template
SINT-NIKLAAS - FH02;4447801;4447801;;;Mercatorstraat;215;;;BUILDING template
SINT-NIKLAAS - FH02;3484848;3484848;11489726;Ankerstraat 76-78;Ankerstraat;76;;20200108084412;BUILDING template
SINT-NIKLAAS - FH02;3517736;3517736;;;Veldstraat;103;;;BUILDING template
SINT-NIKLAAS - FH02;3505019;3505019;;;Moerlandstraat;21;;;BUILDING template
SINT-NIKLAAS - FH02;3948537;3948537;;;Prins Albertstraat;40;;;BUILDING template
SINT-NIKLAAS - FH02;4447803;4447803;;;Mercatorstraat;217;;;BUILDING template
SINT-NIKLAAS - FH02;75564;75564;;;Kalkstraat;50;;;BUILDING template
SINT-NIKLAAS - FH02;9451;9451;;;Veldstraat;105;;;BUILDING template
SINT-NIKLAAS - FH02;4000870;4000870;;;Moerlandstraat;23;;;BUILDING template
SINT-NIKLAAS - FH02;5899322;5899322;;;Stationsplein;30;B;;BUILDING template
SINT-NIKLAAS - FH02;4153361;4153361;;;Prins Albertstraat;42;;;BUILDING template
SINT-NIKLAAS - FH02;4447805;4447805;;;Mercatorstraat;219;;;BUILDING template
SINT-NIKLAAS - FH02;68428;68428;;;Klein-Hulststraat;59;;;BUILDING template
SINT-NIKLAAS - FH02;3501710;3501710;;;Lamstraat;12;;;BUILDING template
SINT-NIKLAAS - FH02;4188065;4188065;;;Moerlandstraat;25;;;BUILDING template
SINT-NIKLAAS - FH02;4163806;4163806;;;Papenakkerstraat;15;;;BUILDING template
SINT-NIKLAAS - FH02;3484759;3484759;;;Prins Albertstraat;46;;;BUILDING template
SINT-NIKLAAS - FH02;3504563;3504563;;;Mercatorstraat;221;;;BUILDING template
SINT-NIKLAAS - FH02;3500097;3500097;;;Klein-Hulststraat;61;;;BUILDING template
SINT-NIKLAAS - FH02;4464758;4464758;;;Lamstraat;14;;;BUILDING template
SINT-NIKLAAS - FH02;91060;91060;;;Moerlandstraat;27;;;BUILDING template
SINT-NIKLAAS - FH02;3509868;3509868;;;Papenakkerstraat;11;;;BUILDING template
SINT-NIKLAAS - FH02;3484762;3484762;;;Prins Albertstraat;48;;;BUILDING template
SINT-NIKLAAS - FH02;3484850;3484850;11489726;Ankerstraat 76-78;Ankerstraat;78;;20200108084412;BUILDING template
SINT-NIKLAAS - FH02;3500098;3500098;;;Klein-Hulststraat;63;;;BUILDING template
SINT-NIKLAAS - FH02;4464760;4464760;;;Lamstraat;16;;;BUILDING template
SINT-NIKLAAS - FH02;91061;91061;;;Moerlandstraat;29;;;BUILDING template
SINT-NIKLAAS - FH02;3509864;3509864;;;Papenakkerstraat;7;;;BUILDING template
SINT-NIKLAAS - FH02;3484763;3484763;;;Prins Albertstraat;50;;;BUILDING template
SINT-NIKLAAS - FH02;1372936;1372936;;;Sint-Rochushof;1;;;BUILDING template
SINT-NIKLAAS - FH02;3500100;3500100;;;Klein-Hulststraat;65;;;BUILDING template
SINT-NIKLAAS - FH02;3501711;3501711;;;Lamstraat;18;;;BUILDING template
SINT-NIKLAAS - FH02;3505030;3505030;;;Moerlandstraat;31;;;BUILDING template
SINT-NIKLAAS - FH02;3484765;3484765;;;Prins Albertstraat;52;;;BUILDING template
SINT-NIKLAAS - FH02;1372938;1372938;;;Sint-Rochushof;11;;;BUILDING template
SINT-NIKLAAS - FH02;3500105;3500105;;;Klein-Hulststraat;71;;;BUILDING template
SINT-NIKLAAS - FH02;75454;75454;;;Lamstraat;20;;;BUILDING template
SINT-NIKLAAS - FH02;4468941;4468941;;;Moerlandstraat;33;;;BUILDING template
SINT-NIKLAAS - FH02;6329472;6329472;;;Ankerstraat;25;B;;BUILDING template
SINT-NIKLAAS - FH02;3948538;3948538;;;Prins Albertstraat;54;;;BUILDING template
SINT-NIKLAAS - FH02;4447912;4447912;;;Sint-Rochushof;12;;;BUILDING template
SINT-NIKLAAS - FH02;4444810;4444810;;;Klein-Hulststraat;77;;;BUILDING template
SINT-NIKLAAS - FH02;5424647;5424647;;;Lamstraat;10;A;;BUILDING template
SINT-NIKLAAS - FH02;3505033;3505033;;;Moerlandstraat;35;;;BUILDING template
SINT-NIKLAAS - FH02;3484768;3484768;;;Prins Albertstraat;56;;;BUILDING template
SINT-NIKLAAS - FH02;4447914;4447914;;;Sint-Rochushof;13;;;BUILDING template
SINT-NIKLAAS - FH02;4263214;4263214;;;Klein-Hulststraat;79;;;BUILDING template
SINT-NIKLAAS - FH02;5380521;5380521;;;Lamstraat;10;B;;BUILDING template
SINT-NIKLAAS - FH02;91055;91055;;;Moerlandstraat;37;;;BUILDING template
SINT-NIKLAAS - FH02;3484816;3484816;;;Ankerstraat;39;;;BUILDING template
SINT-NIKLAAS - FH02;6116209;6116209;;;Ankerstraat;54;A;;BUILDING template
SINT-NIKLAAS - FH02;3484771;3484771;;;Prins Albertstraat;58;;;BUILDING template
SINT-NIKLAAS - FH02;4447915;4447915;;;Sint-Rochushof;14;;;BUILDING template
SINT-NIKLAAS - FH02;4444813;4444813;;;Klein-Hulststraat;81;;;BUILDING template
SINT-NIKLAAS - FH02;75570;75570;;;Polderstraat;2;;;BUILDING template
SINT-NIKLAAS - FH02;91053;91053;;;Moerlandstraat;39;;;BUILDING template
SINT-NIKLAAS - FH02;56078;56078;;;Prins Albertstraat;60;;;BUILDING template
SINT-NIKLAAS - FH02;4447918;4447918;;;Sint-Rochushof;15;;;BUILDING template
SINT-NIKLAAS - FH02;68429;68429;;;Klein-Hulststraat;83;;;BUILDING template
SINT-NIKLAAS - FH02;4455368;4455368;;;Polderstraat;4;;;BUILDING template
SINT-NIKLAAS - FH02;3505037;3505037;;;Moerlandstraat;41;;;BUILDING template
SINT-NIKLAAS - FH02;5920356;5920356;;;Stationsplein;29;C;;BUILDING template
SINT-NIKLAAS - FH02;56079;56079;;;Prins Albertstraat;62;;;BUILDING template
SINT-NIKLAAS - FH02;4447920;4447920;;;Sint-Rochushof;16;;;BUILDING template
SINT-NIKLAAS - FH02;68441;68441;;;Lamstraat;2;;;BUILDING template
SINT-NIKLAAS - FH02;75467;75467;;;Polderstraat;6;;;BUILDING template
SINT-NIKLAAS - FH02;3505040;3505040;;;Moerlandstraat;43;;;BUILDING template
SINT-NIKLAAS - FH02;4449144;4449144;;;Prins Albertstraat;64;;;BUILDING template
SINT-NIKLAAS - FH02;3484851;3484851;11489729;Ankerstraat 79-81;Ankerstraat;79;;20200108113639;BUILDING template
SINT-NIKLAAS - FH02;75457;75457;;;Lamstraat;4;;;BUILDING template
SINT-NIKLAAS - FH02;75469;75469;;;Polderstraat;8;;;BUILDING template
SINT-NIKLAAS - FH02;4468726;4468726;;;Moerlandstraat;45;;;BUILDING template
SINT-NIKLAAS - FH02;6051618;6051618;;;Stationsplein;29;B;;BUILDING template
SINT-NIKLAAS - FH02;3948539;3948539;;;Prins Albertstraat;66;;;BUILDING template
SINT-NIKLAAS - FH02;3484852;3484852;11489729;Ankerstraat 79-81;Ankerstraat;81;;20200108113639;BUILDING template
SINT-NIKLAAS - FH02;3501708;3501708;;;Lamstraat;6;;;BUILDING template
SINT-NIKLAAS - FH02;4191442;4191442;;;Polderstraat;10;;;BUILDING template
SINT-NIKLAAS - FH02;3505043;3505043;;;Moerlandstraat;47;;;BUILDING template
SINT-NIKLAAS - FH02;3484780;3484780;;;Prins Albertstraat;68;;;BUILDING template
SINT-NIKLAAS - FH02;1372942;1372942;;;Sint-Rochushof;20;;;BUILDING template
SINT-NIKLAAS - FH02;4455378;4455378;;;Veldstraat;4;;;BUILDING template
SINT-NIKLAAS - FH02;3512069;3512069;;;Polderstraat;12;;;BUILDING template
SINT-NIKLAAS - FH02;3505044;3505044;;;Moerlandstraat;49;;;BUILDING template
SINT-NIKLAAS - FH02;68435;68435;11489727;Ankerstraat 95-97;Ankerstraat;95;;20200108094744;BUILDING template
SINT-NIKLAAS - FH02;56080;56080;;;Prins Albertstraat;70;;;BUILDING template
SINT-NIKLAAS - FH02;4447749;4447749;;;Sint-Rochushof;21;;;BUILDING template
SINT-NIKLAAS - FH02;3517617;3517617;;;Veldstraat;6;;;BUILDING template
SINT-NIKLAAS - FH02;3512072;3512072;;;Polderstraat;14;;;BUILDING template
SINT-NIKLAAS - FH02;3505046;3505046;;;Moerlandstraat;51;;;BUILDING template
SINT-NIKLAAS - FH02;3484860;3484860;11489727;Ankerstraat 95-97;Ankerstraat;97;;20200108094744;BUILDING template
SINT-NIKLAAS - FH02;6347287;6347287;;;Ankerstraat;54;B;;BUILDING template
SINT-NIKLAAS - FH02;3484757;3484757;;;Prins Albertstraat;44;A;;BUILDING template
SINT-NIKLAAS - FH02;4447752;4447752;;;Sint-Rochushof;22;;;BUILDING template
SINT-NIKLAAS - FH02;3517620;3517620;;;Veldstraat;8;;;BUILDING template
SINT-NIKLAAS - FH02;3512075;3512075;;;Polderstraat;16;;;BUILDING template
SINT-NIKLAAS - FH02;4468734;4468734;;;Moerlandstraat;55;;;BUILDING template
SINT-NIKLAAS - FH02;3484889;3484889;;;Ankerstraat;126;;;BUILDING template
SINT-NIKLAAS - FH02;56077;56077;;;Prins Albertstraat;44;B;;BUILDING template
SINT-NIKLAAS - FH02;1372947;1372947;;;Sint-Rochushof;23;;;BUILDING template
SINT-NIKLAAS - FH02;3517623;3517623;;;Veldstraat;10;;;BUILDING template
SINT-NIKLAAS - FH02;3505047;3505047;;;Moerlandstraat;57;;;BUILDING template
SINT-NIKLAAS - FH02;4444760;4444760;;;Ankerstraat;119;;;BUILDING template
SINT-NIKLAAS - FH02;5817466;5817466;;;Ankerstraat;61;A;;BUILDING template
SINT-NIKLAAS - FH02;56071;56071;;;Regentieplein;40;;;BUILDING template
SINT-NIKLAAS - FH02;1372944;1372944;;;Sint-Rochushof;24;;;BUILDING template
SINT-NIKLAAS - FH02;3517625;3517625;;;Veldstraat;12;;;BUILDING template
SINT-NIKLAAS - FH02;4464736;4464736;;;Polderstraat;20;;;BUILDING template
SINT-NIKLAAS - FH02;91058;91058;;;Moerlandstraat;59;;;BUILDING template
SINT-NIKLAAS - FH02;1372949;1372949;;;Sint-Rochushof;25;;;BUILDING template
SINT-NIKLAAS - FH02;3517629;3517629;;;Veldstraat;14;;;BUILDING template
SINT-NIKLAAS - FH02;3512081;3512081;;;Polderstraat;22;;;BUILDING template
SINT-NIKLAAS - FH02;91059;91059;;;Moerlandstraat;61;;;BUILDING template
SINT-NIKLAAS - FH02;9385;9385;;Antwerpse Steenweg 40-42_Mercatorstraat 227;Mercatorstraat;227;;;BUILDING template
SINT-NIKLAAS - FH02;4448854;4448854;;;Stationsplein;10;;;BUILDING template
SINT-NIKLAAS - FH02;1372946;1372946;;;Sint-Rochushof;26;;;BUILDING template
SINT-NIKLAAS - FH02;3948831;3948831;;;Veldstraat;16;;;BUILDING template
SINT-NIKLAAS - FH02;3512093;3512093;;;Polderstraat;26;;;BUILDING template
SINT-NIKLAAS - FH02;3505052;3505052;;;Moerlandstraat;63;;;BUILDING template
SINT-NIKLAAS - FH02;56094;56094;;;Vermorgenstraat;2;;;BUILDING template
SINT-NIKLAAS - FH02;1517821;1517821;;;Sint-Rochushof;27;;;BUILDING template
SINT-NIKLAAS - FH02;3517633;3517633;;;Veldstraat;18;;;BUILDING template
SINT-NIKLAAS - FH02;75471;75471;;;Polderstraat;28;;;BUILDING template
SINT-NIKLAAS - FH02;3505053;3505053;;;Moerlandstraat;65;;;BUILDING template
SINT-NIKLAAS - FH02;3484837;3484837;;;Ankerstraat;61;B;;BUILDING template
SINT-NIKLAAS - FH02;56095;56095;;;Vermorgenstraat;4;;;BUILDING template
SINT-NIKLAAS - FH02;1517820;1517820;;;Sint-Rochushof;28;;;BUILDING template
SINT-NIKLAAS - FH02;75544;75544;;;Veldstraat;20;;;BUILDING template
SINT-NIKLAAS - FH02;63268;63268;;Antwerpse Steenweg 40-42_Mercatorstraat 227;Antwerpse Steenweg;40;;;BUILDING template
SINT-NIKLAAS - FH02;3505054;3505054;;;Moerlandstraat;67;;;BUILDING template
SINT-NIKLAAS - FH02;4462014;4462014;;;Stationsplein;22;;;BUILDING template
SINT-NIKLAAS - FH02;6041312;6041312;11489700;Antwerpse Steenweg 40-42_Mercatorstraat 227;Antwerpse Steenweg;42;;20200108075901;BUILDING template
