Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
KNOKKE-HEIST - FH10;4335933;BL1030;;33578990;4335933;;Duinendreef 45-47;Duinendreef;47;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;295046;BL1016;;31668584;295046;;Jozef Nellenslaan 45-47;Jozef Nellenslaan;45;;;;Maayken Vanfleteren;MDU;0;9;1;10;BUILDING template
KNOKKE-HEIST - FH10;5579513;BL1016;;33578723;5579513;;Jozef Nellenslaan 45-47;Jozef Nellenslaan;47;;;;Maayken Vanfleteren;MDU;0;12;1;13;BUILDING template
KNOKKE-HEIST - FH10;293607;BL1020;;33578706;293607;;Kruindreef 5-5A;Kruindreef;5;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;5990451;BL1020;;33578707;5990451;;Kruindreef 5-5A;Kruindreef;5;A;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;5579456;BL1016;;31668970;5579456;;Leeuwerikenlaan 5-7;Leeuwerikenlaan;5;;;;Maayken Vanfleteren;MDU;0;16;1;17;BUILDING template
KNOKKE-HEIST - FH10;295102;BL1016;;31668595;295102;;Leeuwerikenlaan 5-7;Leeuwerikenlaan;7;;;;Maayken Vanfleteren;MDU;0;15;1;16;BUILDING template
KNOKKE-HEIST - FH10;NB-8300290673;BL1016;;;NB-8300290673;;Lentelaan 2_Zeedijk-Albertstrand 445;Lentelaan;2;;;;Maayken Vanfleteren;MDU;0;19;0;19;BUILDING template
KNOKKE-HEIST - FH10;295127;BL1016;;33578900;295127;;Lentelaan 2_Zeedijk-Albertstrand 445;Zeedijk-Albertstrand;445;;;;Maayken Vanfleteren;MDU;0;18;1;19;BUILDING template
KNOKKE-HEIST - FH10;2763464;BL1046;;31668365;2763464;;Lommergang 6-8;Lommergang;6;;;;Hidde Kiekens;MDU;0;5;1;6;BUILDING template
KNOKKE-HEIST - FH10;293645;BL1046;;33578717;293645;;Lommergang 6-8;Lommergang;8;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;294233;BL1005;;33578749;294233;;Majoor Quaillestraat 2-4_Zeedijk-Duinbergen 418;Majoor Quaillestraat;2;;;;Geert Stockman;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;294232;BL1005;;31668570;294232;;Majoor Quaillestraat 2-4_Zeedijk-Duinbergen 418;Majoor Quaillestraat;4;;;;Geert Stockman;MDU;0;56;2;58;BUILDING template
KNOKKE-HEIST - FH10;2759043;BL1005;;33578980;2759043;;Majoor Quaillestraat 2-4_Zeedijk-Duinbergen 418;Zeedijk-Duinbergen;418;;;;Geert Stockman;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;5579543;BL1007;;33578750;5579543;;Majoor Quaillestraat 8-10;Majoor Quaillestraat;10;;;;Geert Stockman;MDU;0;17;1;18;BUILDING template
KNOKKE-HEIST - FH10;294231;BL1007;;31668569;294231;;Majoor Quaillestraat 8-10;Majoor Quaillestraat;8;;;;Geert Stockman;MDU;0;16;1;17;BUILDING template
KNOKKE-HEIST - FH10;294176;BL1005;;31668560;294176;;Manitobaplein 1_Zeedijk-Duinbergen 1;Manitobaplein;1;;;;Geert Stockman;MDU;0;20;1;21;BUILDING template
KNOKKE-HEIST - FH10;294234;BL1005;;33578978;294234;;Manitobaplein 1_Zeedijk-Duinbergen 1;Zeedijk-Duinbergen;410;;;;Geert Stockman;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;5564756;BL1008;;31668837;5564756;;Mimosastraat 12-16;Mimosastraat;12;;;;Maayken Vanfleteren;MDU;1;27;1;29;BUILDING template
KNOKKE-HEIST - FH10;4030250;BL1008;;33578721;4030250;;Mimosastraat 12-16;Mimosastraat;16;;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;5579501;BL1008;;31668977;5579501;;Mimosastraat 2-4;Mimosastraat;2;;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;295591;BL1008;;31668675;295591;;Mimosastraat 2-4;Mimosastraat;4;;;;Maayken Vanfleteren;MDU;0;15;1;16;BUILDING template
KNOKKE-HEIST - FH10;5805229;BL1002;;31668980;5805229;;Patriottenstraat 70_Zeedijk-Duinbergen 300A-300B-301;Patriottenstraat;70;;;;Hidde Kiekens;MDU;0;31;1;32;BUILDING template
KNOKKE-HEIST - FH10;6347676;BL1002;;33578914;6347676;;Patriottenstraat 70_Zeedijk-Duinbergen 300A-300B-301;Zeedijk-Duinbergen;300;A;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;6347682;BL1002;;33578923;6347682;;Patriottenstraat 70_Zeedijk-Duinbergen 300A-300B-301;Zeedijk-Duinbergen;300;B;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;296955;BL1002;;31668724;296955;;;Zeedijk-Duinbergen;300;;;;Hidde Kiekens;MDU;0;0;0;0;BUILDING template
KNOKKE-HEIST - FH10;4335907;BL1021;;31668755;4335907;;Petunialaan 4-6;Petunialaan;4;;;;Hidde Kiekens;MDU;0;4;1;5;BUILDING template
KNOKKE-HEIST - FH10;4335908;BL1021;;33578736;4335908;;Petunialaan 4-6;Petunialaan;6;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;4336000;BL1030;;31668765;4336000;;Poststraat 14-16;Poststraat;14;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293775;BL1030;;33578747;293775;;Poststraat 14-16;Poststraat;16;;;;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH10;4335999;BL1030;;33578746;4335999;;Poststraat 8-10;Poststraat;10;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2765701;BL1030;;31668398;2765701;;Poststraat 8-10;Poststraat;8;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;295126;BL1016;;33578804;295126;;Zeedijk-Albertstrand 430-431-432;Zeedijk-Albertstrand;430;;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;5579241;BL1016;;33578816;5579241;;Zeedijk-Albertstrand 430-431-432;Zeedijk-Albertstrand;431;;;;Maayken Vanfleteren;MDU;0;14;1;15;BUILDING template
KNOKKE-HEIST - FH10;2757769;BL1016;;33578828;2757769;;Zeedijk-Albertstrand 430-431-432;Zeedijk-Albertstrand;432;;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;295129;BL1016;;33578853;295129;;Zeedijk-Albertstrand 437-438;Zeedijk-Albertstrand;437;;;;Maayken Vanfleteren;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;5579242;BL1016;;33578854;5579242;;Zeedijk-Albertstrand 437-438;Zeedijk-Albertstrand;438;;;;Maayken Vanfleteren;MDU;0;26;1;27;BUILDING template
KNOKKE-HEIST - FH10;295592;BL1002;;31668676;295592;;Zeedijk-Duinbergen 311-312;Zeedijk-Duinbergen;311;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;295593;BL1002;;31668677;295593;;Zeedijk-Duinbergen 311-312;Zeedijk-Duinbergen;312;;;;Hidde Kiekens;MDU;0;18;1;19;BUILDING template
KNOKKE-HEIST - FH10;NB-830032093080;BL1002;;;NB-830032093080;;Zeedijk-Duinbergen 320-321_Zeegrasstraat 2-4;Zeedijk-Duinbergen;320;;;;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;2758997;BL1002;;31668268;2758997;;Zeedijk-Duinbergen 320-321_Zeegrasstraat 2-4;Zeedijk-Duinbergen;321;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;295581;BL1002;;4969155;295581;;Zeedijk-Duinbergen 320-321_Zeegrasstraat 2-4;Zeegrasstraat;2;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2767850;BL1002;;4969156;2767850;;Zeedijk-Duinbergen 320-321_Zeegrasstraat 2-4;Zeegrasstraat;4;;;;Hidde Kiekens;MDU;0;33;1;34;BUILDING template
KNOKKE-HEIST - FH10;2759006;BL1003;;31668273;2759006;;Zeedijk-Duinbergen 329-330;Zeedijk-Duinbergen;329;;;;Geert Stockman;MDU;0;31;1;32;BUILDING template
KNOKKE-HEIST - FH10;2759008;BL1003;;33578961;2759008;;Zeedijk-Duinbergen 329-330;Zeedijk-Duinbergen;330;;;;Geert Stockman;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;2759016;BL1004;;33578963;2759016;;Zeedijk-Duinbergen 389-392-393;Zeedijk-Duinbergen;389;;;;Maayken Vanfleteren;MDU;0;11;1;12;BUILDING template
KNOKKE-HEIST - FH10;3939540;BL1004;;33578964;3939540;;Zeedijk-Duinbergen 389-392-393;Zeedijk-Duinbergen;392;;;;Maayken Vanfleteren;MDU;0;29;1;30;BUILDING template
KNOKKE-HEIST - FH10;NB-830039397759;BL1004;;;NB-830039397759;;Zeedijk-Duinbergen 389-392-393;Zeedijk-Duinbergen;393;;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;296491;BL1004;;31668689;296491;;Zeedijk-Duinbergen 394-395;Zeedijk-Duinbergen;394;;;;Maayken Vanfleteren;MDU;1;0;1;2;BUILDING template
KNOKKE-HEIST - FH10;5579327;BL1004;;33578965;5579327;;Zeedijk-Duinbergen 394-395;Zeedijk-Duinbergen;395;;;;Maayken Vanfleteren;MDU;0;18;1;19;BUILDING template
KNOKKE-HEIST - FH10;296493;BL1004;;33578969;296493;;Zeedijk-Duinbergen 396-397;Zeedijk-Duinbergen;396;;;;Maayken Vanfleteren;MDU;0;11;1;12;BUILDING template
KNOKKE-HEIST - FH10;5579328;BL1004;;31668876;5579328;;Zeedijk-Duinbergen 396-397;Zeedijk-Duinbergen;397;;;;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;295471;BL1041;;31668660;295471;;;Anemonenlaan;10;;;;Maayken Vanfleteren;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;6344143;BL1042;;33578905;6344143;;;Anemonenlaan;11;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2757844;BL1042;;31668238;2757844;;;Anemonenlaan;12;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2757845;BL1042;;31668239;2757845;;;Anemonenlaan;13;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;295469;BL1042;;31668659;295469;;;Anemonenlaan;14;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;9867;BL1009;;31668990;9867;;;Anemonenlaan;2;;;;Maayken Vanfleteren;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2757843;BL1009;;31668237;2757843;;;Anemonenlaan;3;;;;Maayken Vanfleteren;MDU;0;11;1;12;BUILDING template
KNOKKE-HEIST - FH10;295571;BL1009;;31668663;295571;;;Anemonenlaan;5;;;;Maayken Vanfleteren;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;296985;BL1025;;31668736;296985;;;Anemonenlaan;6;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;296983;BL1025;;31668735;296983;;;Anemonenlaan;7;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;295472;BL1041;;31668661;295472;;;Anemonenlaan;9;;;;Maayken Vanfleteren;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;294681;BL1050;;31668579;294681;;;Arcadelaan;1;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2758059;BL1007;;31668240;2758059;;;Bergdreef;1;;;;Geert Stockman;MDU;0;5;1;6;BUILDING template
KNOKKE-HEIST - FH10;5579279;BL1014;;31668854;5579279;;;Bergdreef;10;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;5579280;BL1007;;31668874;5579280;;;Bergdreef;11;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293759;BL1020;;31668534;293759;;;Bergdreef;12;;;;Hidde Kiekens;MDU;0;16;1;17;BUILDING template
KNOKKE-HEIST - FH10;293452;BL1007;;31668464;293452;;;Bergdreef;19;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2758068;BL1007;;31668242;2758068;;;Bergdreef;21;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;294229;BL1007;;31668567;294229;;;Bergdreef;23;;;;Geert Stockman;MDU;0;3;1;4;BUILDING template
KNOKKE-HEIST - FH10;2758072;BL1019;;31668243;2758072;;;Bergdreef;31;;;;Hidde Kiekens;MDU;0;22;1;23;BUILDING template
KNOKKE-HEIST - FH10;2758073;BL1019;;31668244;2758073;;;Bergdreef;33;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2758060;BL1007;;31668241;2758060;;;Bergdreef;7;;;;Geert Stockman;MDU;0;5;1;6;BUILDING template
KNOKKE-HEIST - FH10;293757;BL1014;;31668533;293757;;;Bergdreef;8;;;;Hidde Kiekens;MDU;0;6;1;7;BUILDING template
KNOKKE-HEIST - FH10;293614;BL1020;;31668484;293614;;;Bocheldreef;10;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;6667850;BL1031;;33578753;6667850;;;Bocheldreef;11;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293613;BL1020;;31668483;293613;;;Bocheldreef;12;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2758190;BL1031;;31668249;2758190;;;Bocheldreef;13;;;;Hidde Kiekens;MDU;0;4;1;5;BUILDING template
KNOKKE-HEIST - FH10;293620;BL1020;;31668488;293620;;;Bocheldreef;14;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293612;BL1031;;31668482;293612;;;Bocheldreef;15;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293618;BL1020;;31668487;293618;;;Bocheldreef;16;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;4335982;BL1020;;31668762;4335982;;;Bocheldreef;18;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;NB-83012A1e72;BL1020;;;NB-83012A1e72;;;Bocheldreef;2;A;;2020-05-15;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293615;BL1020;;31668485;293615;;;Bocheldreef;2;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;4273817;BL1020;;31668745;4273817;;;Bocheldreef;20;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293617;BL1020;;31668486;293617;;;Bocheldreef;22;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293624;BL1021;;31668490;293624;;;Bocheldreef;23;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;6667849;BL1031;;33578752;6667849;;;Bocheldreef;3;;;;Hidde Kiekens;SDU;0;0;0;0;BUILDING template
KNOKKE-HEIST - FH10;2758188;BL1020;;31668245;2758188;;;Bocheldreef;4;;;;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;293622;BL1031;;31668489;293622;;;Bocheldreef;5;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2758189;BL1020;;31668246;2758189;;;Bocheldreef;8;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;296481;BL1004;;31668685;296481;;;Brieshelling;1;;;;Maayken Vanfleteren;MDU;0;33;1;34;BUILDING template
KNOKKE-HEIST - FH10;5559100;BL1004;;31668802;5559100;;;Brieshelling;3;;;;Maayken Vanfleteren;MDU;0;0;0;0;BUILDING template
KNOKKE-HEIST - FH10;2758419;BL1004;;31668250;2758419;;;Brieshelling;5;;;;Maayken Vanfleteren;MDU;0;20;1;21;BUILDING template
KNOKKE-HEIST - FH10;296566;BL1004;;33578795;296566;;;Brieshelling;7;;;;Maayken Vanfleteren;SDU;0;0;0;0;BUILDING template
KNOKKE-HEIST - FH10;296480;BL1004;;31668684;296480;;;Brieshelling;9;;;;Maayken Vanfleteren;MDU;0;9;1;10;BUILDING template
KNOKKE-HEIST - FH10;293716;BL1035;;31668514;293716;;;Dalgang;1;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293717;BL1035;;31668515;293717;;;Dalgang;3;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;4335913;BL1036;;31668756;4335913;;;Dalgang;4;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293720;BL1035;;31668516;293720;;;Dalgang;5;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2758717;BL1036;;31668261;2758717;;;Dalgang;6;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293721;BL1035;;31668517;293721;;;Dalgang;7;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293723;BL1036;;31668518;293723;;;Dalgang;8;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2767486;BL1015;;31668411;2767486;;;De Wandelaar;1;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2767488;BL1006;;31668412;2767488;;;De Wandelaar;2;;;;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;4335776;BL1015;;31668753;4335776;;;De Wandelaar;3;;;;Hidde Kiekens;MDU;0;2;0;2;BUILDING template
KNOKKE-HEIST - FH10;4335777;BL1015;;31668754;4335777;;;De Wandelaar;5;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2767490;BL1015;;31668413;2767490;;;De Wandelaar;7;;;;Hidde Kiekens;MDU;0;5;1;6;BUILDING template
KNOKKE-HEIST - FH10;5830112;BL1001;;31668981;5830112;;;Dir.-Gen. Willemspark;1;;;;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;292972;BL1010;;31668439;292972;;;Duinbergenlaan;101;;;;Maayken Vanfleteren;MDU;0;6;1;7;BUILDING template
KNOKKE-HEIST - FH10;4335087;BL1008;;33578983;4335087;;;Duinbergenlaan;105;;;;Maayken Vanfleteren;SDU;0;0;0;0;BUILDING template
KNOKKE-HEIST - FH10;2759106;BL1003;;33578985;2759106;;;Duinbergenlaan;115;;;;Geert Stockman;SDU;0;0;0;0;BUILDING template
KNOKKE-HEIST - FH10;2759107;BL1003;;31668293;2759107;;;Duinbergenlaan;117;;;;Geert Stockman;MDU;1;11;1;13;BUILDING template
KNOKKE-HEIST - FH10;5905446;BL1003;;31668985;5905446;;;Duinbergenlaan;121;A;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;4336643;BL1003;;31668781;4336643;;;Duinbergenlaan;123;;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;2759111;BL1003;;31668294;2759111;;;Duinbergenlaan;125;;;;Geert Stockman;MDU;0;49;1;50;BUILDING template
KNOKKE-HEIST - FH10;5905445;BL1003;;31668984;5905445;;;Duinbergenlaan;127;;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;295464;BL1044;;31668655;295464;;;Duinbergenlaan;61;;;;Maayken Vanfleteren;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293809;BL1045;;31668555;293809;;;Duinbergenlaan;62;;;;Geert Stockman;MDU;0;7;0;7;BUILDING template
KNOKKE-HEIST - FH10;2759073;BL1044;;31668282;2759073;;;Duinbergenlaan;63;;;;Maayken Vanfleteren;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2759074;BL1045;;31668283;2759074;;;Duinbergenlaan;64;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293811;BL1045;;31668556;293811;;;Duinbergenlaan;66;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293801;BL1045;;31668551;293801;;;Duinbergenlaan;68;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;295468;BL1029;;31668658;295468;;;Duinbergenlaan;69;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293803;BL1038;;31668552;293803;;;Duinbergenlaan;70;;;;Hidde Kiekens;MDU;0;2;0;2;BUILDING template
KNOKKE-HEIST - FH10;4336422;BL1029;;31668770;4336422;;;Duinbergenlaan;71;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2759077;BL1038;;31668284;2759077;;;Duinbergenlaan;72;;;;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH10;2759078;BL1029;;31668285;2759078;;;Duinbergenlaan;73;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2759080;BL1038;;31668286;2759080;;;Duinbergenlaan;74;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;295466;BL1029;;31668657;295466;;;Duinbergenlaan;75;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293805;BL1038;;31668553;293805;;;Duinbergenlaan;76;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;292942;BL1022;;31668438;292942;;;Duinbergenlaan;77;;;;Maayken Vanfleteren;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;5579331;BL1038;;31668911;5579331;;;Duinbergenlaan;78;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2759084;BL1022;;31668287;2759084;;;Duinbergenlaan;79;;;;Maayken Vanfleteren;MDU;0;12;1;13;BUILDING template
KNOKKE-HEIST - FH10;293807;BL1030;;31668554;293807;;;Duinbergenlaan;80;;;;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH10;4023063;BL1030;;31668743;4023063;;;Duinbergenlaan;82;;;;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH10;292974;BL1022;;31668441;292974;;;Duinbergenlaan;83;;;;Maayken Vanfleteren;MDU;0;11;1;12;BUILDING template
KNOKKE-HEIST - FH10;2759092;BL1030;;31668288;2759092;;;Duinbergenlaan;86;;;;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;292976;BL1011;;31668443;292976;;;Duinbergenlaan;89;;;;Hidde Kiekens;MDU;0;2;0;2;BUILDING template
KNOKKE-HEIST - FH10;2759096;BL1011;;31668290;2759096;;;Duinbergenlaan;91;;;;Hidde Kiekens;MDU;0;2;0;2;BUILDING template
