File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502135;'20200128094328;2760039;'33860000;'11010;Gulden-Vliesstraat;'5;';8300;Knokke-Heist;;'74660,353;'226734,907;;Y;NA;3;9;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;8340088;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;KEEP;;;';2760039;8340088
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502135;'20200128094328;2760039;'33860000;'11010;Gulden-Vliesstraat;'5;';8300;Knokke-Heist;;'74660,353;'226734,907;;Y;NA;3;9;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;8340089;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;KEEP;;;';2760039;8340089
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502135;'20200128094328;2760039;'33860000;'11010;Gulden-Vliesstraat;'5;';8300;Knokke-Heist;;'74660,353;'226734,907;;Y;NA;3;9;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;8340090;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;KEEP;;;';2760039;8340090
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502035;'20200205125935;239607;'33860000;'11010;Gulden-Vliesstraat;'6;';8300;Knokke-Heist;;'74673,675;'226761,552;;N;IRREG;6;12;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';1;8335441;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';239607;8335441
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502035;'20200205125935;239607;'33860000;'11010;Gulden-Vliesstraat;'6;';8300;Knokke-Heist;;'74673,675;'226761,552;;N;IRREG;6;12;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';2;8339605;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';239607;8339605
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502035;'20200205125935;239607;'33860000;'11010;Gulden-Vliesstraat;'6;';8300;Knokke-Heist;;'74673,675;'226761,552;;N;IRREG;6;12;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';3;8343834;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';239607;8343834
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502035;'20200205125935;239607;'33860000;'11010;Gulden-Vliesstraat;'6;';8300;Knokke-Heist;;'74673,675;'226761,552;;N;IRREG;6;12;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';4;8348405;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';239607;8348405
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502035;'20200205125935;239607;'33860000;'11010;Gulden-Vliesstraat;'6;';8300;Knokke-Heist;;'74673,675;'226761,552;;N;IRREG;6;12;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';5;8352520;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';239607;8352520
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502035;'20200205125935;239607;'33860000;'11010;Gulden-Vliesstraat;'6;';8300;Knokke-Heist;;'74673,675;'226761,552;;N;IRREG;6;12;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';6;8352521;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';239607;8352521
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502035;'20200205125935;239607;'33860000;'11010;Gulden-Vliesstraat;'6;';8300;Knokke-Heist;;'74673,675;'226761,552;;N;IRREG;6;12;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';7;8357487;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';239607;8357487
