adres_full;SU;BU;LU;File_SSV_Action;File_SSV_Status;File_SSV_Error;Area_Type;Area_FID;Area_Version;Area_Name;Zoning_FID;Zoning_Version;Zoning_Name;Zoning_Id;Zoning_Tech;BG_Id;BG_Version;BG_Name;BG_SSV_Action;BG_SSV_Status;BG_SSV_Error;BG_Building_SSV_Action;BG_Building_SSV_Status;BG_Building_SSV_Error;Building_FID;Building_Version;LAM_MK;LAM_City_Code;LAM_Street_Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall_Mount;SS_Reason;Number_Floors;Height_Cable;Orig_VC_Type;New_VC_Type;VC_Method;Intro_Tube;Prov_Status;Prov_Reason;Prov_Planned;Prov_Mod_By;Prov_Mod_Date;Comments;SSV_Flag;SSV_Action;SSV_Status;SSV_Error;SSV_Date;Seq;LU_Key;LAM_SK;Nature;Nr_TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD_Details;CAD_Type;CAD_Type_Descr;CAD_SubType;Prov_Status_LU;Prov_Reason_LU;Prov_Planned_LU;Prov_Mod_By_LU;Prov_Mod_Date_LU;Comments_LU;SSV_Flag_LU;SSV_Action_LU;SSV_Status_LU;SSV_Error_LU;SSV_Date_LU;planrrr_bid;planrrr_uid;BT;GUESSED_UNITS_FLOOR;Seq_test;maxSeq;newSeq;LAM Nature index;Unit Counter_x;GUESSED_FLOOR;GUESSED_FLOOR_TRUNC;SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP;Unit Counter_y;;MERGED_PBOX;MERGED_APP;;MERGED_FLOOR
Hemelaerstraat 33;0;0;2;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790457;'20200130174900;103625;'60370000;'12129;Hemelaerstraat;'33;';9100;Sint-Niklaas;;'133766,847;'206034,755;;Y;NA;3;9;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;2112085;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;KEEP;;;';103625;2112085;MDU;0.6666666666666666;2;2;2;103625-LU2;2.0;1.5;1;;;;;;;;;;101;101;;1
Hemelaerstraat 35;0;0;2;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790458;'20200130174900;103626;'60370000;'12129;Hemelaerstraat;'35;';9100;Sint-Niklaas;;'133764,947;'206031,923;;Y;NA;3;9;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;2112678;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;KEEP;;;';103626;2112678;MDU;0.6666666666666666;1;2;1;103626-LU1;1.0;0.0;0;;;;;;;;;;1;1;;0
Hemelaerstraat 35;0;0;2;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790458;'20200130174900;103626;'60370000;'12129;Hemelaerstraat;'35;';9100;Sint-Niklaas;;'133764,947;'206031,923;;Y;NA;3;9;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;11093307;;LU;1;;;;;;Y;;;;NA;;;;;;;N;KEEP;;;';103626;11093307;MDU;0.6666666666666666;2;2;2;103626-LU2;2.0;1.5;1;;;;;;;;;;101;101;;1
Plezantstraat 4;1;1;3;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790470;'20200130174900;103754;'60370000;'24752;Plezantstraat;'4;';9100;Sint-Niklaas;;'133714,604;'206237,25;;Y;NA;4;13;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;2114028;;BU;1;;;;;;Y;#HA.GV;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';103754;2114028;MDU;1.0;4;5;4;103754-BU1;1.0;0.0;0;;;;;;;;;;1;1;;0
Plezantstraat 4;1;1;3;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790470;'20200130174900;103754;'60370000;'24752;Plezantstraat;'4;';9100;Sint-Niklaas;;'133714,604;'206237,25;;Y;NA;4;13;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;2113972;;LU;1;;;;;;Y;#A1;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';103754;2113972;MDU;1.0;1;5;1;103754-LU1;2.0;1.0;1;;;;;;;;;;101;101;;1
Plezantstraat 4;1;1;3;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790470;'20200130174900;103754;'60370000;'24752;Plezantstraat;'4;';9100;Sint-Niklaas;;'133714,604;'206237,25;;Y;NA;4;13;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;2113995;;LU;1;;;;;;Y;#A2/K3-S5-S6;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';103754;2113995;MDU;1.0;2;5;2;103754-LU2;3.0;2.0;2;;;;;;;;;;201;201;;2
Plezantstraat 4;1;1;3;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790470;'20200130174900;103754;'60370000;'24752;Plezantstraat;'4;';9100;Sint-Niklaas;;'133714,604;'206237,25;;Y;NA;4;13;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;2114008;;LU;1;;;;;;Y;#A3/K1-S4;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';103754;2114008;MDU;1.0;3;5;3;103754-LU3;4.0;3.0;3;;;;;;;;;;301;301;;3
Plezantstraat 4;1;1;3;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790470;'20200130174900;103754;'60370000;'24752;Plezantstraat;'4;';9100;Sint-Niklaas;;'133714,604;'206237,25;;Y;NA;4;13;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';5;11093731;;SU;1;;;;;;Y;;;;APPART;;;;;;;N;KEEP;;;';103754;11093731;MDU;1.0;5;5;5;103754-SU1;4.0;3.0;3;;;;;;;;;;SU1;SU1;;0
Nieuwstraat 2;0;1;1;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790579;'20200130174906;104871;'60370000;'22403;Nieuwstraat;'2;';9100;Sint-Niklaas;;'133953,468;'205986,816;;Y;NA;3;9;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;2105552;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;KEEP;;;';104871;2105552;MDU;0.6666666666666666;1;10;1;104871-BU1;1.0;0.0;0;W03-D-Sint-Niklaas-FH01;104871;BU;;;0;1;1.0;;1;1;;0
Nieuwstraat 2;0;1;1;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790579;'20200130174906;104871;'60370000;'22403;Nieuwstraat;'2;';9100;Sint-Niklaas;;'133953,468;'205986,816;;Y;NA;3;9;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';10;11194474;;LU;1;;;;;;Y;;;;NA;;;;SSV_IMPORT;;;N;KEEP;;;';104871;11194474;MDU;0.6666666666666666;10;10;10;104871-LU1;2.0;1.5;1;W03-D-Sint-Niklaas-FH01;104871;LU;;;1;1;2.0;;1;101;;1
